character,tag,count,chapter,novel
Anne Cox,N,0,1,Emma
Anne Cox,C,0,1,Emma
Anne Cox,I,0,1,Emma
Anne Cox,A,0,1,Emma
Anne Cox,DC,0,1,Emma
Anne Cox,DN,0,1,Emma
Augusta,N,0,1,Emma
Augusta,C,0,1,Emma
Augusta,I,0,1,Emma
Augusta,A,0,1,Emma
Augusta,DC,0,1,Emma
Augusta,DN,0,1,Emma
Captain Weston,N,0,1,Emma
Captain Weston,C,0,1,Emma
Captain Weston,I,0,1,Emma
Captain Weston,A,0,1,Emma
Captain Weston,DC,0,1,Emma
Captain Weston,DN,0,1,Emma
Colonel Campbell,N,0,1,Emma
Colonel Campbell,C,0,1,Emma
Colonel Campbell,I,0,1,Emma
Colonel Campbell,A,0,1,Emma
Colonel Campbell,DC,0,1,Emma
Colonel Campbell,DN,0,1,Emma
Donwell,N,0,1,Emma
Donwell,C,0,1,Emma
Donwell,I,0,1,Emma
Donwell,A,0,1,Emma
Donwell,DC,0,1,Emma
Donwell,DN,0,1,Emma
Elizabeth,N,0,1,Emma
Elizabeth,C,0,1,Emma
Elizabeth,I,0,1,Emma
Elizabeth,A,0,1,Emma
Elizabeth,DC,0,1,Emma
Elizabeth,DN,0,1,Emma
Emma,N,0,1,Emma
Emma,C,0,1,Emma
Emma,I,0,1,Emma
Emma,A,0,1,Emma
Emma,DC,0,1,Emma
Emma,DN,0,1,Emma
Enscombe,N,0,1,Emma
Enscombe,C,0,1,Emma
Enscombe,I,0,1,Emma
Enscombe,A,0,1,Emma
Enscombe,DC,0,1,Emma
Enscombe,DN,0,1,Emma
Frank Churchill,N,0,1,Emma
Frank Churchill,C,0,1,Emma
Frank Churchill,I,0,1,Emma
Frank Churchill,A,0,1,Emma
Frank Churchill,DC,0,1,Emma
Frank Churchill,DN,0,1,Emma
George,N,0,1,Emma
George,C,0,1,Emma
George,I,0,1,Emma
George,A,0,1,Emma
George,DC,0,1,Emma
George,DN,0,1,Emma
Grandpapa,N,0,1,Emma
Grandpapa,C,0,1,Emma
Grandpapa,I,0,1,Emma
Grandpapa,A,0,1,Emma
Grandpapa,DC,0,1,Emma
Grandpapa,DN,0,1,Emma
Hannah,N,0,1,Emma
Hannah,C,0,1,Emma
Hannah,I,0,1,Emma
Hannah,A,0,1,Emma
Hannah,DC,0,1,Emma
Hannah,DN,0,1,Emma
Harriet,N,0,1,Emma
Harriet,C,0,1,Emma
Harriet,I,0,1,Emma
Harriet,A,0,1,Emma
Harriet,DC,0,1,Emma
Harriet,DN,0,1,Emma
Harriet;—“well,N,0,1,Emma
Harriet;—“well,C,0,1,Emma
Harriet;—“well,I,0,1,Emma
Harriet;—“well,A,0,1,Emma
Harriet;—“well,DC,0,1,Emma
Harriet;—“well,DN,0,1,Emma
Henry,N,0,1,Emma
Henry,C,0,1,Emma
Henry,I,0,1,Emma
Henry,A,0,1,Emma
Henry,DC,0,1,Emma
Henry,DN,0,1,Emma
Hetty,N,0,1,Emma
Hetty,C,0,1,Emma
Hetty,I,0,1,Emma
Hetty,A,0,1,Emma
Hetty,DC,0,1,Emma
Hetty,DN,0,1,Emma
Highbury,N,0,1,Emma
Highbury,C,0,1,Emma
Highbury,I,0,1,Emma
Highbury,A,0,1,Emma
Highbury,DC,0,1,Emma
Highbury,DN,0,1,Emma
Isabella,N,0,1,Emma
Isabella,C,0,1,Emma
Isabella,I,0,1,Emma
Isabella,A,0,1,Emma
Isabella,DC,0,1,Emma
Isabella,DN,0,1,Emma
James,N,0,1,Emma
James,C,0,1,Emma
James,I,0,1,Emma
James,A,0,1,Emma
James,DC,0,1,Emma
James,DN,0,1,Emma
Madame de Genlis,N,0,1,Emma
Madame de Genlis,C,0,1,Emma
Madame de Genlis,I,0,1,Emma
Madame de Genlis,A,0,1,Emma
Madame de Genlis,DC,0,1,Emma
Madame de Genlis,DN,0,1,Emma
Miss Bates,N,0,1,Emma
Miss Bates,C,0,1,Emma
Miss Bates,I,0,1,Emma
Miss Bates,A,0,1,Emma
Miss Bates,DC,0,1,Emma
Miss Bates,DN,0,1,Emma
Miss Bickerton,N,0,1,Emma
Miss Bickerton,C,0,1,Emma
Miss Bickerton,I,0,1,Emma
Miss Bickerton,A,0,1,Emma
Miss Bickerton,DC,0,1,Emma
Miss Bickerton,DN,0,1,Emma
Miss Campbell,N,0,1,Emma
Miss Campbell,C,0,1,Emma
Miss Campbell,I,0,1,Emma
Miss Campbell,A,0,1,Emma
Miss Campbell,DC,0,1,Emma
Miss Campbell,DN,0,1,Emma
Miss Churchill,N,0,1,Emma
Miss Churchill,C,0,1,Emma
Miss Churchill,I,0,1,Emma
Miss Churchill,A,0,1,Emma
Miss Churchill,DC,0,1,Emma
Miss Churchill,DN,0,1,Emma
Miss Fairfax,N,0,1,Emma
Miss Fairfax,C,0,1,Emma
Miss Fairfax,I,0,1,Emma
Miss Fairfax,A,0,1,Emma
Miss Fairfax,DC,0,1,Emma
Miss Fairfax,DN,0,1,Emma
Miss Hawkins,N,0,1,Emma
Miss Hawkins,C,0,1,Emma
Miss Hawkins,I,0,1,Emma
Miss Hawkins,A,0,1,Emma
Miss Hawkins,DC,0,1,Emma
Miss Hawkins,DN,0,1,Emma
Miss Nash,N,0,1,Emma
Miss Nash,C,0,1,Emma
Miss Nash,I,0,1,Emma
Miss Nash,A,0,1,Emma
Miss Nash,DC,0,1,Emma
Miss Nash,DN,0,1,Emma
Miss Woodhouse,N,0,1,Emma
Miss Woodhouse,C,0,1,Emma
Miss Woodhouse,I,0,1,Emma
Miss Woodhouse,A,0,1,Emma
Miss Woodhouse,DC,0,1,Emma
Miss Woodhouse,DN,0,1,Emma
Miss Woodhouse.—Dear Miss Woodhouse,N,0,1,Emma
Miss Woodhouse.—Dear Miss Woodhouse,C,0,1,Emma
Miss Woodhouse.—Dear Miss Woodhouse,I,0,1,Emma
Miss Woodhouse.—Dear Miss Woodhouse,A,0,1,Emma
Miss Woodhouse.—Dear Miss Woodhouse,DC,0,1,Emma
Miss Woodhouse.—Dear Miss Woodhouse,DN,0,1,Emma
Mr.,N,0,1,Emma
Mr.,C,0,1,Emma
Mr.,I,0,1,Emma
Mr.,A,0,1,Emma
Mr.,DC,0,1,Emma
Mr.,DN,0,1,Emma
Mr. Cole,N,0,1,Emma
Mr. Cole,C,0,1,Emma
Mr. Cole,I,0,1,Emma
Mr. Cole,A,0,1,Emma
Mr. Cole,DC,0,1,Emma
Mr. Cole,DN,0,1,Emma
Mr. Cox,N,0,1,Emma
Mr. Cox,C,0,1,Emma
Mr. Cox,I,0,1,Emma
Mr. Cox,A,0,1,Emma
Mr. Cox,DC,0,1,Emma
Mr. Cox,DN,0,1,Emma
Mr. Dixon,N,0,1,Emma
Mr. Dixon,C,0,1,Emma
Mr. Dixon,I,0,1,Emma
