character,tag,count,chapter,novel
Abel Sampson,N,0,1,Guy_Mannering
Abel Sampson,C,0,1,Guy_Mannering
Abel Sampson,I,0,1,Guy_Mannering
Abel Sampson,A,0,1,Guy_Mannering
Abel Sampson,DC,0,1,Guy_Mannering
Abel Sampson,DN,0,1,Guy_Mannering
Ailie,N,0,1,Guy_Mannering
Ailie,C,0,1,Guy_Mannering
Ailie,I,0,1,Guy_Mannering
Ailie,A,0,1,Guy_Mannering
Ailie,DC,0,1,Guy_Mannering
Ailie,DN,0,1,Guy_Mannering
Archer,N,0,1,Guy_Mannering
Archer,C,0,1,Guy_Mannering
Archer,I,0,1,Guy_Mannering
Archer,A,0,1,Guy_Mannering
Archer,DC,0,1,Guy_Mannering
Archer,DN,0,1,Guy_Mannering
Arthur Mervyn,N,0,1,Guy_Mannering
Arthur Mervyn,C,0,1,Guy_Mannering
Arthur Mervyn,I,0,1,Guy_Mannering
Arthur Mervyn,A,0,1,Guy_Mannering
Arthur Mervyn,DC,0,1,Guy_Mannering
Arthur Mervyn,DN,0,1,Guy_Mannering
Aweel,N,0,1,Guy_Mannering
Aweel,C,0,1,Guy_Mannering
Aweel,I,0,1,Guy_Mannering
Aweel,A,0,1,Guy_Mannering
Aweel,DC,0,1,Guy_Mannering
Aweel,DN,0,1,Guy_Mannering
Ay,N,0,1,Guy_Mannering
Ay,C,0,1,Guy_Mannering
Ay,I,0,1,Guy_Mannering
Ay,A,0,1,Guy_Mannering
Ay,DC,0,1,Guy_Mannering
Ay,DN,0,1,Guy_Mannering
Bargally,N,0,1,Guy_Mannering
Bargally,C,0,1,Guy_Mannering
Bargally,I,0,1,Guy_Mannering
Bargally,A,0,1,Guy_Mannering
Bargally,DC,0,1,Guy_Mannering
Bargally,DN,0,1,Guy_Mannering
Barnes,N,0,1,Guy_Mannering
Barnes,C,0,1,Guy_Mannering
Barnes,I,0,1,Guy_Mannering
Barnes,A,0,1,Guy_Mannering
Barnes,DC,0,1,Guy_Mannering
Barnes,DN,0,1,Guy_Mannering
Bertram,N,0,1,Guy_Mannering
Bertram,C,0,1,Guy_Mannering
Bertram,I,0,1,Guy_Mannering
Bertram,A,0,1,Guy_Mannering
Bertram,DC,0,1,Guy_Mannering
Bertram,DN,0,1,Guy_Mannering
Blackwood,N,0,1,Guy_Mannering
Blackwood,C,0,1,Guy_Mannering
Blackwood,I,0,1,Guy_Mannering
Blackwood,A,0,1,Guy_Mannering
Blackwood,DC,0,1,Guy_Mannering
Blackwood,DN,0,1,Guy_Mannering
Brown,N,0,1,Guy_Mannering
Brown,C,0,1,Guy_Mannering
Brown,I,0,1,Guy_Mannering
Brown,A,0,1,Guy_Mannering
Brown,DC,0,1,Guy_Mannering
Brown,DN,0,1,Guy_Mannering
Captain Bertram,N,0,1,Guy_Mannering
Captain Bertram,C,0,1,Guy_Mannering
Captain Bertram,I,0,1,Guy_Mannering
Captain Bertram,A,0,1,Guy_Mannering
Captain Bertram,DC,0,1,Guy_Mannering
Captain Bertram,DN,0,1,Guy_Mannering
Captain Brown,N,0,1,Guy_Mannering
Captain Brown,C,0,1,Guy_Mannering
Captain Brown,I,0,1,Guy_Mannering
Captain Brown,A,0,1,Guy_Mannering
Captain Brown,DC,0,1,Guy_Mannering
Captain Brown,DN,0,1,Guy_Mannering
Charles II,N,0,1,Guy_Mannering
Charles II,C,0,1,Guy_Mannering
Charles II,I,0,1,Guy_Mannering
Charles II,A,0,1,Guy_Mannering
Charles II,DC,0,1,Guy_Mannering
Charles II,DN,0,1,Guy_Mannering
Charlie,N,0,1,Guy_Mannering
Charlie,C,0,1,Guy_Mannering
Charlie,I,0,1,Guy_Mannering
Charlie,A,0,1,Guy_Mannering
Charlie,DC,0,1,Guy_Mannering
Charlie,DN,0,1,Guy_Mannering
Colonel Mannering,N,0,1,Guy_Mannering
Colonel Mannering,C,0,1,Guy_Mannering
Colonel Mannering,I,0,1,Guy_Mannering
Colonel Mannering,A,0,1,Guy_Mannering
Colonel Mannering,DC,0,1,Guy_Mannering
Colonel Mannering,DN,0,1,Guy_Mannering
Commissioner Bertram,N,0,1,Guy_Mannering
Commissioner Bertram,C,0,1,Guy_Mannering
