character,tag,count,chapter,novel
Agatha,N,1,1,Hard_Cash
Agatha,C,0,1,Hard_Cash
Agatha,I,0,1,Hard_Cash
Agatha,A,3,1,Hard_Cash
Agatha,DC,0,1,Hard_Cash
Agatha,DN,0,1,Hard_Cash
Aileen aroon,N,21,1,Hard_Cash
Aileen aroon,C,0,1,Hard_Cash
Aileen aroon,I,0,1,Hard_Cash
Aileen aroon,A,0,1,Hard_Cash
Aileen aroon,DC,1,1,Hard_Cash
Aileen aroon,DN,0,1,Hard_Cash
Albion Villa,N,4,1,Hard_Cash
Albion Villa,C,0,1,Hard_Cash
Albion Villa,I,0,1,Hard_Cash
Albion Villa,A,0,1,Hard_Cash
Albion Villa,DC,0,1,Hard_Cash
Albion Villa,DN,1,1,Hard_Cash
Alfred,N,194,1,Hard_Cash
Alfred,C,116,1,Hard_Cash
Alfred,I,117,1,Hard_Cash
Alfred,A,160,1,Hard_Cash
Alfred,DC,71,1,Hard_Cash
Alfred,DN,42,1,Hard_Cash
Andrew,N,0,1,Hard_Cash
Andrew,C,0,1,Hard_Cash
Andrew,I,0,1,Hard_Cash
Andrew,A,0,1,Hard_Cash
Andrew,DC,0,1,Hard_Cash
Andrew,DN,0,1,Hard_Cash
Aquilina,N,1,1,Hard_Cash
Aquilina,C,0,1,Hard_Cash
Aquilina,I,2,1,Hard_Cash
Aquilina,A,0,1,Hard_Cash
Aquilina,DC,0,1,Hard_Cash
Aquilina,DN,1,1,Hard_Cash
Aristotle,N,1,1,Hard_Cash
Aristotle,C,0,1,Hard_Cash
Aristotle,I,0,1,Hard_Cash
Aristotle,A,0,1,Hard_Cash
Aristotle,DC,1,1,Hard_Cash
Aristotle,DN,0,1,Hard_Cash
B.,N,0,1,Hard_Cash
B.,C,0,1,Hard_Cash
B.,I,0,1,Hard_Cash
B.,A,0,1,Hard_Cash
B.,DC,0,1,Hard_Cash
B.,DN,0,1,Hard_Cash
Badham o ' Wadham,N,7,1,Hard_Cash
Badham o ' Wadham,C,2,1,Hard_Cash
Badham o ' Wadham,I,1,1,Hard_Cash
Badham o ' Wadham,A,0,1,Hard_Cash
Badham o ' Wadham,DC,0,1,Hard_Cash
Badham o ' Wadham,DN,0,1,Hard_Cash
Baker,N,0,1,Hard_Cash
Baker,C,0,1,Hard_Cash
Baker,I,0,1,Hard_Cash
Baker,A,0,1,Hard_Cash
Baker,DC,0,1,Hard_Cash
Baker,DN,0,1,Hard_Cash
Bayliss,N,12,1,Hard_Cash
Bayliss,C,10,1,Hard_Cash
Bayliss,I,3,1,Hard_Cash
Bayliss,A,4,1,Hard_Cash
Bayliss,DC,3,1,Hard_Cash
Bayliss,DN,1,1,Hard_Cash
Billy,N,10,1,Hard_Cash
Billy,C,2,1,Hard_Cash
Billy,I,1,1,Hard_Cash
Billy,A,6,1,Hard_Cash
Billy,DC,1,1,Hard_Cash
Billy,DN,0,1,Hard_Cash
Board,N,0,1,Hard_Cash
Board,C,0,1,Hard_Cash
Board,I,0,1,Hard_Cash
Board,A,0,1,Hard_Cash
Board,DC,0,1,Hard_Cash
Board,DN,0,1,Hard_Cash
Brown,N,0,1,Hard_Cash
Brown,C,0,1,Hard_Cash
Brown,I,0,1,Hard_Cash
Brown,A,0,1,Hard_Cash
Brown,DC,0,1,Hard_Cash
Brown,DN,0,1,Hard_Cash
Brutus,N,3,1,Hard_Cash
Brutus,C,0,1,Hard_Cash
Brutus,I,0,1,Hard_Cash
Brutus,A,1,1,Hard_Cash
Brutus,DC,2,1,Hard_Cash
Brutus,DN,0,1,Hard_Cash
Cambridge,N,10,1,Hard_Cash
Cambridge,C,0,1,Hard_Cash
Cambridge,I,1,1,Hard_Cash
Cambridge,A,5,1,Hard_Cash
Cambridge,DC,4,1,Hard_Cash
Cambridge,DN,0,1,Hard_Cash
Captain Bazalgette,N,0,1,Hard_Cash
Captain Bazalgette,C,0,1,Hard_Cash
Captain Bazalgette,I,0,1,Hard_Cash
Captain Bazalgette,A,0,1,Hard_Cash
Captain Bazalgette,DC,0,1,Hard_Cash
Captain Bazalgette,DN,0,1,Hard_Cash
Christ,N,0,1,Hard_Cash
Christ,C,0,1,Hard_Cash
Christ,I,0,1,Hard_Cash
Christ,A,0,1,Hard_Cash
Christ,DC,0,1,Hard_Cash
Christ,DN,0,1,Hard_Cash
Christian,N,0,1,Hard_Cash
Christian,C,0,1,Hard_Cash
Christian,I,0,1,Hard_Cash
Christian,A,0,1,Hard_Cash
Christian,DC,0,1,Hard_Cash
Christian,DN,0,1,Hard_Cash
Co.,N,0,1,Hard_Cash
Co.,C,0,1,Hard_Cash
Co.,I,0,1,Hard_Cash
Co.,A,0,1,Hard_Cash
Co.,DC,0,1,Hard_Cash
Co.,DN,0,1,Hard_Cash
Collier,N,7,1,Hard_Cash
Collier,C,7,1,Hard_Cash
Collier,I,4,1,Hard_Cash
Collier,A,5,1,Hard_Cash
Collier,DC,0,1,Hard_Cash
Collier,DN,2,1,Hard_Cash
Colls,N,0,1,Hard_Cash
Colls,C,0,1,Hard_Cash
Colls,I,0,1,Hard_Cash
Colls,A,0,1,Hard_Cash
Colls,DC,0,1,Hard_Cash
Colls,DN,0,1,Hard_Cash
Colt,N,0,1,Hard_Cash
Colt,C,0,1,Hard_Cash
Colt,I,0,1,Hard_Cash
Colt,A,0,1,Hard_Cash
Colt,DC,0,1,Hard_Cash
Colt,DN,0,1,Hard_Cash
Cooper,N,0,1,Hard_Cash
Cooper,C,0,1,Hard_Cash
Cooper,I,0,1,Hard_Cash
Cooper,A,0,1,Hard_Cash
Cooper,DC,0,1,Hard_Cash
Cooper,DN,0,1,Hard_Cash
Cross,N,0,1,Hard_Cash
Cross,C,0,1,Hard_Cash
Cross,I,0,1,Hard_Cash
Cross,A,0,1,Hard_Cash
Cross,DC,0,1,Hard_Cash
Cross,DN,0,1,Hard_Cash
"DEAR MRS . DODD,--I",N,1,1,Hard_Cash
"DEAR MRS . DODD,--I",C,0,1,Hard_Cash
"DEAR MRS . DODD,--I",I,1,1,Hard_Cash
"DEAR MRS . DODD,--I",A,2,1,Hard_Cash
"DEAR MRS . DODD,--I",DC,5,1,Hard_Cash
"DEAR MRS . DODD,--I",DN,0,1,Hard_Cash
David,N,18,1,Hard_Cash
David,C,19,1,Hard_Cash
David,I,13,1,Hard_Cash
David,A,23,1,Hard_Cash
David,DC,4,1,Hard_Cash
David,DN,9,1,Hard_Cash
Death,N,4,1,Hard_Cash
Death,C,0,1,Hard_Cash
Death,I,0,1,Hard_Cash
Death,A,1,1,Hard_Cash
Death,DC,1,1,Hard_Cash
Death,DN,0,1,Hard_Cash
Despair,N,0,1,Hard_Cash
Despair,C,0,1,Hard_Cash
Despair,I,0,1,Hard_Cash
Despair,A,0,1,Hard_Cash
Despair,DC,0,1,Hard_Cash
Despair,DN,0,1,Hard_Cash
Dick,N,7,1,Hard_Cash
Dick,C,9,1,Hard_Cash
Dick,I,1,1,Hard_Cash
Dick,A,2,1,Hard_Cash
Dick,DC,1,1,Hard_Cash
Dick,DN,1,1,Hard_Cash
Dicky,N,3,1,Hard_Cash
Dicky,C,4,1,Hard_Cash
Dicky,I,2,1,Hard_Cash
Dicky,A,6,1,Hard_Cash
Dicky,DC,1,1,Hard_Cash
Dicky,DN,0,1,Hard_Cash
Doctor Sampson,N,0,1,Hard_Cash
Doctor Sampson,C,0,1,Hard_Cash
Doctor Sampson,I,0,1,Hard_Cash
Doctor Sampson,A,0,1,Hard_Cash
Doctor Sampson,DC,0,1,Hard_Cash
Doctor Sampson,DN,0,1,Hard_Cash
Dodd,N,94,1,Hard_Cash
Dodd,C,62,1,Hard_Cash
Dodd,I,46,1,Hard_Cash
Dodd,A,102,1,Hard_Cash
Dodd,DC,17,1,Hard_Cash
Dodd,DN,14,1,Hard_Cash
Dr. Alder,N,0,1,Hard_Cash
Dr. Alder,C,0,1,Hard_Cash
Dr. Alder,I,0,1,Hard_Cash
Dr. Alder,A,0,1,Hard_Cash
Dr. Alder,DC,0,1,Hard_Cash
Dr. Alder,DN,0,1,Hard_Cash
Dr. Bailey,N,0,1,Hard_Cash
Dr. Bailey,C,0,1,Hard_Cash
Dr. Bailey,I,0,1,Hard_Cash
Dr. Bailey,A,0,1,Hard_Cash
Dr. Bailey,DC,0,1,Hard_Cash
Dr. Bailey,DN,0,1,Hard_Cash
Dr. Chalmers,N,4,1,Hard_Cash
Dr. Chalmers,C,0,1,Hard_Cash
Dr. Chalmers,I,2,1,Hard_Cash
Dr. Chalmers,A,0,1,Hard_Cash
Dr. Chalmers,DC,4,1,Hard_Cash
Dr. Chalmers,DN,0,1,Hard_Cash
Dr. Eskell,N,0,1,Hard_Cash
Dr. Eskell,C,0,1,Hard_Cash
Dr. Eskell,I,0,1,Hard_Cash
Dr. Eskell,A,0,1,Hard_Cash
Dr. Eskell,DC,0,1,Hard_Cash
