character,tag,count,chapter,novel
A. B.,N,0,1,Hard_Times
A. B.,C,0,1,Hard_Times
A. B.,I,0,1,Hard_Times
A. B.,A,0,1,Hard_Times
A. B.,DC,0,1,Hard_Times
A. B.,DN,0,1,Hard_Times
Bitzer,N,0,1,Hard_Times
Bitzer,C,0,1,Hard_Times
Bitzer,I,0,1,Hard_Times
Bitzer,A,0,1,Hard_Times
Bitzer,DC,0,1,Hard_Times
Bitzer,DN,0,1,Hard_Times
Brothers,N,0,1,Hard_Times
Brothers,C,0,1,Hard_Times
Brothers,I,0,1,Hard_Times
Brothers,A,0,1,Hard_Times
Brothers,DC,0,1,Hard_Times
Brothers,DN,0,1,Hard_Times
Childerth,N,0,1,Hard_Times
Childerth,C,0,1,Hard_Times
Childerth,I,0,1,Hard_Times
Childerth,A,0,1,Hard_Times
Childerth,DC,0,1,Hard_Times
Childerth,DN,0,1,Hard_Times
Cupid,N,0,1,Hard_Times
Cupid,C,0,1,Hard_Times
Cupid,I,0,1,Hard_Times
Cupid,A,0,1,Hard_Times
Cupid,DC,0,1,Hard_Times
Cupid,DN,0,1,Hard_Times
Emma Gordon,N,0,1,Hard_Times
Emma Gordon,C,0,1,Hard_Times
Emma Gordon,I,0,1,Hard_Times
Emma Gordon,A,0,1,Hard_Times
Emma Gordon,DC,0,1,Hard_Times
Emma Gordon,DN,0,1,Hard_Times
Father,N,0,1,Hard_Times
Father,C,0,1,Hard_Times
Father,I,0,1,Hard_Times
Father,A,0,1,Hard_Times
Father,DC,0,1,Hard_Times
Father,DN,0,1,Hard_Times
George,N,0,1,Hard_Times
George,C,0,1,Hard_Times
George,I,0,1,Hard_Times
George,A,0,1,Hard_Times
George,DC,0,1,Hard_Times
George,DN,0,1,Hard_Times
God,N,0,1,Hard_Times
God,C,0,1,Hard_Times
God,I,0,1,Hard_Times
God,A,0,1,Hard_Times
God,DC,0,1,Hard_Times
God,DN,0,1,Hard_Times
Halloa,N,0,1,Hard_Times
Halloa,C,0,1,Hard_Times
Halloa,I,0,1,Hard_Times
Halloa,A,0,1,Hard_Times
Halloa,DC,0,1,Hard_Times
Halloa,DN,0,1,Hard_Times
Heaven,N,0,1,Hard_Times
Heaven,C,0,1,Hard_Times
Heaven,I,0,1,Hard_Times
Heaven,A,0,1,Hard_Times
Heaven,DC,0,1,Hard_Times
Heaven,DN,0,1,Hard_Times
Jane,N,0,1,Hard_Times
Jane,C,0,1,Hard_Times
Jane,I,0,1,Hard_Times
Jane,A,0,1,Hard_Times
Jane,DC,0,1,Hard_Times
Jane,DN,0,1,Hard_Times
Josephine,N,0,1,Hard_Times
Josephine,C,0,1,Hard_Times
Josephine,I,0,1,Hard_Times
Josephine,A,0,1,Hard_Times
Josephine,DC,0,1,Hard_Times
Josephine,DN,0,1,Hard_Times
Josiah Bounderby,N,0,1,Hard_Times
Josiah Bounderby,C,0,1,Hard_Times
Josiah Bounderby,I,0,1,Hard_Times
Josiah Bounderby,A,0,1,Hard_Times
Josiah Bounderby,DC,0,1,Hard_Times
Josiah Bounderby,DN,0,1,Hard_Times
Lady Scadgers,N,0,1,Hard_Times
Lady Scadgers,C,0,1,Hard_Times
Lady Scadgers,I,0,1,Hard_Times
Lady Scadgers,A,0,1,Hard_Times
Lady Scadgers,DC,0,1,Hard_Times
Lady Scadgers,DN,0,1,Hard_Times
Loo,N,0,1,Hard_Times
Loo,C,0,1,Hard_Times
Loo,I,0,1,Hard_Times
Loo,A,0,1,Hard_Times
Loo,DC,0,1,Hard_Times
Loo,DN,0,1,Hard_Times
Louisa,N,0,1,Hard_Times
Louisa,C,0,1,Hard_Times
Louisa,I,0,1,Hard_Times
Louisa,A,0,1,Hard_Times
Louisa,DC,0,1,Hard_Times
Louisa,DN,0,1,Hard_Times
Master Kidderminster,N,0,1,Hard_Times
Master Kidderminster,C,0,1,Hard_Times
Master Kidderminster,I,0,1,Hard_Times
Master Kidderminster,A,0,1,Hard_Times
Master Kidderminster,DC,0,1,Hard_Times
Master Kidderminster,DN,0,1,Hard_Times
Merrylegs,N,0,1,Hard_Times
Merrylegs,C,0,1,Hard_Times
Merrylegs,I,0,1,Hard_Times
Merrylegs,A,0,1,Hard_Times
Merrylegs,DC,0,1,Hard_Times
Merrylegs,DN,0,1,Hard_Times
Miss Gradgrind,N,0,1,Hard_Times
Miss Gradgrind,C,0,1,Hard_Times
Miss Gradgrind,I,0,1,Hard_Times
Miss Gradgrind,A,0,1,Hard_Times
Miss Gradgrind,DC,0,1,Hard_Times
Miss Gradgrind,DN,0,1,Hard_Times
Mother Sparsit,N,0,1,Hard_Times
Mother Sparsit,C,0,1,Hard_Times
Mother Sparsit,I,0,1,Hard_Times
Mother Sparsit,A,0,1,Hard_Times
Mother Sparsit,DC,0,1,Hard_Times
Mother Sparsit,DN,0,1,Hard_Times
Mr. Bounderby,N,0,1,Hard_Times
Mr. Bounderby,C,0,1,Hard_Times
Mr. Bounderby,I,0,1,Hard_Times
