character,tag,count,chapter,novel
Abraham,N,0,1,Jack_Sheppard
Abraham,C,0,1,Jack_Sheppard
Abraham,I,0,1,Jack_Sheppard
Abraham,A,0,1,Jack_Sheppard
Abraham,DC,0,1,Jack_Sheppard
Abraham,DN,0,1,Jack_Sheppard
Aliva,N,0,1,Jack_Sheppard
Aliva,C,0,1,Jack_Sheppard
Aliva,I,0,1,Jack_Sheppard
Aliva,A,0,1,Jack_Sheppard
Aliva,DC,0,1,Jack_Sheppard
Aliva,DN,0,1,Jack_Sheppard
Alsatia,N,0,1,Jack_Sheppard
Alsatia,C,0,1,Jack_Sheppard
Alsatia,I,0,1,Jack_Sheppard
Alsatia,A,0,1,Jack_Sheppard
Alsatia,DC,0,1,Jack_Sheppard
Alsatia,DN,0,1,Jack_Sheppard
Austin,N,0,1,Jack_Sheppard
Austin,C,0,1,Jack_Sheppard
Austin,I,0,1,Jack_Sheppard
Austin,A,0,1,Jack_Sheppard
Austin,DC,0,1,Jack_Sheppard
Austin,DN,0,1,Jack_Sheppard
Baptist,N,0,1,Jack_Sheppard
Baptist,C,0,1,Jack_Sheppard
Baptist,I,0,1,Jack_Sheppard
Baptist,A,0,1,Jack_Sheppard
Baptist,DC,0,1,Jack_Sheppard
Baptist,DN,0,1,Jack_Sheppard
Ben,N,0,1,Jack_Sheppard
Ben,C,0,1,Jack_Sheppard
Ben,I,0,1,Jack_Sheppard
Ben,A,0,1,Jack_Sheppard
Ben,DC,0,1,Jack_Sheppard
Ben,DN,0,1,Jack_Sheppard
Black Mary,N,0,1,Jack_Sheppard
Black Mary,C,0,1,Jack_Sheppard
Black Mary,I,0,1,Jack_Sheppard
Black Mary,A,0,1,Jack_Sheppard
Black Mary,DC,0,1,Jack_Sheppard
Black Mary,DN,0,1,Jack_Sheppard
Brother,N,0,1,Jack_Sheppard
Brother,C,0,1,Jack_Sheppard
Brother,I,0,1,Jack_Sheppard
Brother,A,0,1,Jack_Sheppard
Brother,DC,0,1,Jack_Sheppard
Brother,DN,0,1,Jack_Sheppard
Caliban,N,0,1,Jack_Sheppard
Caliban,C,0,1,Jack_Sheppard
Caliban,I,0,1,Jack_Sheppard
Caliban,A,0,1,Jack_Sheppard
Caliban,DC,0,1,Jack_Sheppard
Caliban,DN,0,1,Jack_Sheppard
Captain Darrell,N,0,1,Jack_Sheppard
Captain Darrell,C,0,1,Jack_Sheppard
Captain Darrell,I,0,1,Jack_Sheppard
Captain Darrell,A,0,1,Jack_Sheppard
Captain Darrell,DC,0,1,Jack_Sheppard
Captain Darrell,DN,0,1,Jack_Sheppard
Captain Kneebone,N,0,1,Jack_Sheppard
Captain Kneebone,C,0,1,Jack_Sheppard
Captain Kneebone,I,0,1,Jack_Sheppard
Captain Kneebone,A,0,1,Jack_Sheppard
Captain Kneebone,DC,0,1,Jack_Sheppard
Captain Kneebone,DN,0,1,Jack_Sheppard
Captain Sheppard,N,0,1,Jack_Sheppard
Captain Sheppard,C,0,1,Jack_Sheppard
Captain Sheppard,I,0,1,Jack_Sheppard
Captain Sheppard,A,0,1,Jack_Sheppard
Captain Sheppard,DC,0,1,Jack_Sheppard
Captain Sheppard,DN,0,1,Jack_Sheppard
Charcam,N,0,1,Jack_Sheppard
Charcam,C,0,1,Jack_Sheppard
Charcam,I,0,1,Jack_Sheppard
Charcam,A,0,1,Jack_Sheppard
Charcam,DC,0,1,Jack_Sheppard
Charcam,DN,0,1,Jack_Sheppard
Claude Du Val,N,0,1,Jack_Sheppard
Claude Du Val,C,0,1,Jack_Sheppard
Claude Du Val,I,0,1,Jack_Sheppard
Claude Du Val,A,0,1,Jack_Sheppard
Claude Du Val,DC,0,1,Jack_Sheppard
Claude Du Val,DN,0,1,Jack_Sheppard
Constance,N,0,1,Jack_Sheppard
Constance,C,0,1,Jack_Sheppard
Constance,I,0,1,Jack_Sheppard
Constance,A,0,1,Jack_Sheppard
Constance,DC,0,1,Jack_Sheppard
Constance,DN,0,1,Jack_Sheppard
Darell,N,0,1,Jack_Sheppard
Darell,C,0,1,Jack_Sheppard
Darell,I,0,1,Jack_Sheppard
Darell,A,0,1,Jack_Sheppard
Darell,DC,0,1,Jack_Sheppard
Darell,DN,0,1,Jack_Sheppard
David,N,0,1,Jack_Sheppard
David,C,0,1,Jack_Sheppard
David,I,0,1,Jack_Sheppard
David,A,0,1,Jack_Sheppard
David,DC,0,1,Jack_Sheppard
David,DN,0,1,Jack_Sheppard
Davies,N,0,1,Jack_Sheppard
Davies,C,0,1,Jack_Sheppard
Davies,I,0,1,Jack_Sheppard
Davies,A,0,1,Jack_Sheppard
Davies,DC,0,1,Jack_Sheppard
Davies,DN,0,1,Jack_Sheppard
Devil,N,0,1,Jack_Sheppard
Devil,C,0,1,Jack_Sheppard
Devil,I,0,1,Jack_Sheppard
Devil,A,0,1,Jack_Sheppard
Devil,DC,0,1,Jack_Sheppard
Devil,DN,0,1,Jack_Sheppard
Edgeworth Bess,N,0,1,Jack_Sheppard
Edgeworth Bess,C,0,1,Jack_Sheppard
Edgeworth Bess,I,0,1,Jack_Sheppard
Edgeworth Bess,A,0,1,Jack_Sheppard
Edgeworth Bess,DC,0,1,Jack_Sheppard
Edgeworth Bess,DN,0,1,Jack_Sheppard
Father Spencer,N,0,1,Jack_Sheppard
Father Spencer,C,0,1,Jack_Sheppard
Father Spencer,I,0,1,Jack_Sheppard
Father Spencer,A,0,1,Jack_Sheppard
Father Spencer,DC,0,1,Jack_Sheppard
Father Spencer,DN,0,1,Jack_Sheppard
Figg,N,0,1,Jack_Sheppard
Figg,C,0,1,Jack_Sheppard
Figg,I,0,1,Jack_Sheppard
Figg,A,0,1,Jack_Sheppard
Figg,DC,0,1,Jack_Sheppard
Figg,DN,0,1,Jack_Sheppard
Gay,N,0,1,Jack_Sheppard
Gay,C,0,1,Jack_Sheppard
Gay,I,0,1,Jack_Sheppard
Gay,A,0,1,Jack_Sheppard
Gay,DC,0,1,Jack_Sheppard
Gay,DN,0,1,Jack_Sheppard
God,N,0,1,Jack_Sheppard
God,C,0,1,Jack_Sheppard
God,I,0,1,Jack_Sheppard
God,A,0,1,Jack_Sheppard
God,DC,0,1,Jack_Sheppard
God,DN,0,1,Jack_Sheppard
Griffin,N,0,1,Jack_Sheppard
Griffin,C,0,1,Jack_Sheppard
Griffin,I,0,1,Jack_Sheppard
Griffin,A,0,1,Jack_Sheppard
Griffin,DC,0,1,Jack_Sheppard
Griffin,DN,0,1,Jack_Sheppard
Heaven,N,0,1,Jack_Sheppard
Heaven,C,0,1,Jack_Sheppard
Heaven,I,0,1,Jack_Sheppard
Heaven,A,0,1,Jack_Sheppard
Heaven,DC,0,1,Jack_Sheppard
Heaven,DN,0,1,Jack_Sheppard
Hogarth,N,0,1,Jack_Sheppard
Hogarth,C,0,1,Jack_Sheppard
Hogarth,I,0,1,Jack_Sheppard
Hogarth,A,0,1,Jack_Sheppard
