character,tag,count,chapter,novel
Abby,N,0,1,Jude_the_Obscure
Abby,C,0,1,Jude_the_Obscure
Abby,I,0,1,Jude_the_Obscure
Abby,A,0,1,Jude_the_Obscure
Abby,DC,0,1,Jude_the_Obscure
Abby,DN,0,1,Jude_the_Obscure
Alfredston,N,0,1,Jude_the_Obscure
Alfredston,C,0,1,Jude_the_Obscure
Alfredston,I,0,1,Jude_the_Obscure
Alfredston,A,0,1,Jude_the_Obscure
Alfredston,DC,0,1,Jude_the_Obscure
Alfredston,DN,0,1,Jude_the_Obscure
Anny,N,0,1,Jude_the_Obscure
Anny,C,0,1,Jude_the_Obscure
Anny,I,0,1,Jude_the_Obscure
Anny,A,0,1,Jude_the_Obscure
Anny,DC,0,1,Jude_the_Obscure
Anny,DN,0,1,Jude_the_Obscure
Arabella,N,0,1,Jude_the_Obscure
Arabella,C,0,1,Jude_the_Obscure
Arabella,I,0,1,Jude_the_Obscure
Arabella,A,0,1,Jude_the_Obscure
Arabella,DC,0,1,Jude_the_Obscure
Arabella,DN,0,1,Jude_the_Obscure
Aunt Drusilla,N,0,1,Jude_the_Obscure
Aunt Drusilla,C,0,1,Jude_the_Obscure
Aunt Drusilla,I,0,1,Jude_the_Obscure
Aunt Drusilla,A,0,1,Jude_the_Obscure
Aunt Drusilla,DC,0,1,Jude_the_Obscure
Aunt Drusilla,DN,0,1,Jude_the_Obscure
Challow,N,0,1,Jude_the_Obscure
Challow,C,0,1,Jude_the_Obscure
Challow,I,0,1,Jude_the_Obscure
Challow,A,0,1,Jude_the_Obscure
Challow,DC,0,1,Jude_the_Obscure
Challow,DN,0,1,Jude_the_Obscure
Donn,N,0,1,Jude_the_Obscure
Donn,C,0,1,Jude_the_Obscure
Donn,I,0,1,Jude_the_Obscure
Donn,A,0,1,Jude_the_Obscure
Donn,DC,0,1,Jude_the_Obscure
Donn,DN,0,1,Jude_the_Obscure
Drusilla Fawley,N,0,1,Jude_the_Obscure
Drusilla Fawley,C,0,1,Jude_the_Obscure
Drusilla Fawley,I,0,1,Jude_the_Obscure
Drusilla Fawley,A,0,1,Jude_the_Obscure
Drusilla Fawley,DC,0,1,Jude_the_Obscure
Drusilla Fawley,DN,0,1,Jude_the_Obscure
Farmer Troutham,N,0,1,Jude_the_Obscure
Farmer Troutham,C,0,1,Jude_the_Obscure
Farmer Troutham,I,0,1,Jude_the_Obscure
Farmer Troutham,A,0,1,Jude_the_Obscure
