character,tag,count,chapter,novel
Alicia,N,5,1,Lady_Audley's_Secret
Alicia,C,0,1,Lady_Audley's_Secret
Alicia,I,2,1,Lady_Audley's_Secret
Alicia,A,4,1,Lady_Audley's_Secret
Alicia,DC,0,1,Lady_Audley's_Secret
Alicia,DN,0,1,Lady_Audley's_Secret
Atkinson,N,0,1,Lady_Audley's_Secret
Atkinson,C,0,1,Lady_Audley's_Secret
Atkinson,I,0,1,Lady_Audley's_Secret
Atkinson,A,0,1,Lady_Audley's_Secret
Atkinson,DC,0,1,Lady_Audley's_Secret
Atkinson,DN,0,1,Lady_Audley's_Secret
Billy,N,0,1,Lady_Audley's_Secret
Billy,C,0,1,Lady_Audley's_Secret
Billy,I,0,1,Lady_Audley's_Secret
Billy,A,0,1,Lady_Audley's_Secret
Billy,DC,0,1,Lady_Audley's_Secret
Billy,DN,0,1,Lady_Audley's_Secret
Bob,N,0,1,Lady_Audley's_Secret
Bob,C,0,1,Lady_Audley's_Secret
Bob,I,0,1,Lady_Audley's_Secret
Bob,A,0,1,Lady_Audley's_Secret
Bob,DC,0,1,Lady_Audley's_Secret
Bob,DN,0,1,Lady_Audley's_Secret
Caesar,N,0,1,Lady_Audley's_Secret
Caesar,C,0,1,Lady_Audley's_Secret
Caesar,I,0,1,Lady_Audley's_Secret
Caesar,A,0,1,Lady_Audley's_Secret
Caesar,DC,0,1,Lady_Audley's_Secret
Caesar,DN,0,1,Lady_Audley's_Secret
Captain Maldon,N,0,1,Lady_Audley's_Secret
Captain Maldon,C,0,1,Lady_Audley's_Secret
Captain Maldon,I,0,1,Lady_Audley's_Secret
Captain Maldon,A,0,1,Lady_Audley's_Secret
Captain Maldon,DC,0,1,Lady_Audley's_Secret
Captain Maldon,DN,0,1,Lady_Audley's_Secret
Clara Talboys,N,0,1,Lady_Audley's_Secret
Clara Talboys,C,0,1,Lady_Audley's_Secret
Clara Talboys,I,0,1,Lady_Audley's_Secret
Clara Talboys,A,0,1,Lady_Audley's_Secret
Clara Talboys,DC,0,1,Lady_Audley's_Secret
Clara Talboys,DN,0,1,Lady_Audley's_Secret
Dr. Mosgrave,N,0,1,Lady_Audley's_Secret
Dr. Mosgrave,C,0,1,Lady_Audley's_Secret
Dr. Mosgrave,I,0,1,Lady_Audley's_Secret
Dr. Mosgrave,A,0,1,Lady_Audley's_Secret
Dr. Mosgrave,DC,0,1,Lady_Audley's_Secret
Dr. Mosgrave,DN,0,1,Lady_Audley's_Secret
George,N,0,1,Lady_Audley's_Secret
George,C,0,1,Lady_Audley's_Secret
George,I,0,1,Lady_Audley's_Secret
George,A,0,1,Lady_Audley's_Secret
George,DC,0,1,Lady_Audley's_Secret
George,DN,0,1,Lady_Audley's_Secret
George Talboys,N,0,1,Lady_Audley's_Secret
George Talboys,C,0,1,Lady_Audley's_Secret
George Talboys,I,0,1,Lady_Audley's_Secret
George Talboys,A,0,1,Lady_Audley's_Secret
George Talboys,DC,0,1,Lady_Audley's_Secret
George Talboys,DN,0,1,Lady_Audley's_Secret
Georgey,N,0,1,Lady_Audley's_Secret
Georgey,C,0,1,Lady_Audley's_Secret
Georgey,I,0,1,Lady_Audley's_Secret
Georgey,A,0,1,Lady_Audley's_Secret
Georgey,DC,0,1,Lady_Audley's_Secret
Georgey,DN,0,1,Lady_Audley's_Secret
God,N,0,1,Lady_Audley's_Secret
God,C,0,1,Lady_Audley's_Secret
God,I,0,1,Lady_Audley's_Secret
God,A,0,1,Lady_Audley's_Secret
God,DC,0,1,Lady_Audley's_Secret
God,DN,0,1,Lady_Audley's_Secret
Gran'pa,N,0,1,Lady_Audley's_Secret
Gran'pa,C,0,1,Lady_Audley's_Secret
Gran'pa,I,0,1,Lady_Audley's_Secret
Gran'pa,A,0,1,Lady_Audley's_Secret
Gran'pa,DC,0,1,Lady_Audley's_Secret
Gran'pa,DN,0,1,Lady_Audley's_Secret
Gutenberg,N,0,1,Lady_Audley's_Secret
Gutenberg,C,0,1,Lady_Audley's_Secret
Gutenberg,I,0,1,Lady_Audley's_Secret
Gutenberg,A,0,1,Lady_Audley's_Secret
Gutenberg,DC,0,1,Lady_Audley's_Secret
Gutenberg,DN,0,1,Lady_Audley's_Secret
Heaven,N,0,1,Lady_Audley's_Secret
Heaven,C,0,1,Lady_Audley's_Secret
Heaven,I,0,1,Lady_Audley's_Secret
Heaven,A,0,1,Lady_Audley's_Secret
Heaven,DC,0,1,Lady_Audley's_Secret
Heaven,DN,0,1,Lady_Audley's_Secret
Helen Maldon,N,0,1,Lady_Audley's_Secret
Helen Maldon,C,0,1,Lady_Audley's_Secret
Helen Maldon,I,0,1,Lady_Audley's_Secret
Helen Maldon,A,0,1,Lady_Audley's_Secret
Helen Maldon,DC,0,1,Lady_Audley's_Secret
Helen Maldon,DN,0,1,Lady_Audley's_Secret
Helen Talboys,N,0,1,Lady_Audley's_Secret
Helen Talboys,C,0,1,Lady_Audley's_Secret
Helen Talboys,I,0,1,Lady_Audley's_Secret
Helen Talboys,A,0,1,Lady_Audley's_Secret
Helen Talboys,DC,0,1,Lady_Audley's_Secret
Helen Talboys,DN,0,1,Lady_Audley's_Secret
II,N,0,1,Lady_Audley's_Secret
II,C,0,1,Lady_Audley's_Secret
II,I,0,1,Lady_Audley's_Secret
II,A,0,1,Lady_Audley's_Secret
II,DC,0,1,Lady_Audley's_Secret
II,DN,0,1,Lady_Audley's_Secret
Jonathan Ingram,N,0,1,Lady_Audley's_Secret
Jonathan Ingram,C,0,1,Lady_Audley's_Secret
Jonathan Ingram,I,0,1,Lady_Audley's_Secret
Jonathan Ingram,A,0,1,Lady_Audley's_Secret
Jonathan Ingram,DC,0,1,Lady_Audley's_Secret
Jonathan Ingram,DN,0,1,Lady_Audley's_Secret
Junius Brutus,N,0,1,Lady_Audley's_Secret
Junius Brutus,C,0,1,Lady_Audley's_Secret
Junius Brutus,I,0,1,Lady_Audley's_Secret
Junius Brutus,A,0,1,Lady_Audley's_Secret
Junius Brutus,DC,0,1,Lady_Audley's_Secret
Junius Brutus,DN,0,1,Lady_Audley's_Secret
Lady Audley,N,3,1,Lady_Audley's_Secret
Lady Audley,C,0,1,Lady_Audley's_Secret
Lady Audley,I,0,1,Lady_Audley's_Secret
Lady Audley,A,12,1,Lady_Audley's_Secret
Lady Audley,DC,1,1,Lady_Audley's_Secret
Lady Audley,DN,1,1,Lady_Audley's_Secret
Lieutenant Maldon,N,0,1,Lady_Audley's_Secret
Lieutenant Maldon,C,0,1,Lady_Audley's_Secret
Lieutenant Maldon,I,0,1,Lady_Audley's_Secret
Lieutenant Maldon,A,0,1,Lady_Audley's_Secret
Lieutenant Maldon,DC,0,1,Lady_Audley's_Secret
Lieutenant Maldon,DN,0,1,Lady_Audley's_Secret
Little George,N,0,1,Lady_Audley's_Secret
Little George,C,0,1,Lady_Audley's_Secret
Little George,I,0,1,Lady_Audley's_Secret
Little George,A,0,1,Lady_Audley's_Secret
