character,tag,count,chapter,novel
Baynes,N,0,1,Love_and_Mr._Lewisham
Baynes,C,0,1,Love_and_Mr._Lewisham
Baynes,I,0,1,Love_and_Mr._Lewisham
Baynes,A,0,1,Love_and_Mr._Lewisham
Baynes,DC,0,1,Love_and_Mr._Lewisham
Baynes,DN,0,1,Love_and_Mr._Lewisham
Bletherley,N,0,1,Love_and_Mr._Lewisham
Bletherley,C,0,1,Love_and_Mr._Lewisham
Bletherley,I,0,1,Love_and_Mr._Lewisham
Bletherley,A,0,1,Love_and_Mr._Lewisham
Bletherley,DC,0,1,Love_and_Mr._Lewisham
Bletherley,DN,0,1,Love_and_Mr._Lewisham
Bonover,N,0,1,Love_and_Mr._Lewisham
Bonover,C,0,1,Love_and_Mr._Lewisham
Bonover,I,0,1,Love_and_Mr._Lewisham
Bonover,A,0,1,Love_and_Mr._Lewisham
Bonover,DC,0,1,Love_and_Mr._Lewisham
Bonover,DN,0,1,Love_and_Mr._Lewisham
Carlyle,N,2,1,Love_and_Mr._Lewisham
Carlyle,C,0,1,Love_and_Mr._Lewisham
Carlyle,I,0,1,Love_and_Mr._Lewisham
Carlyle,A,0,1,Love_and_Mr._Lewisham
Carlyle,DC,0,1,Love_and_Mr._Lewisham
Carlyle,DN,0,1,Love_and_Mr._Lewisham
Chaffery,N,0,1,Love_and_Mr._Lewisham
Chaffery,C,0,1,Love_and_Mr._Lewisham
Chaffery,I,0,1,Love_and_Mr._Lewisham
Chaffery,A,0,1,Love_and_Mr._Lewisham
Chaffery,DC,0,1,Love_and_Mr._Lewisham
Chaffery,DN,0,1,Love_and_Mr._Lewisham
Dear Madam,N,0,1,Love_and_Mr._Lewisham
Dear Madam,C,0,1,Love_and_Mr._Lewisham
Dear Madam,I,0,1,Love_and_Mr._Lewisham
Dear Madam,A,0,1,Love_and_Mr._Lewisham
Dear Madam,DC,0,1,Love_and_Mr._Lewisham
Dear Madam,DN,0,1,Love_and_Mr._Lewisham
Dunkerley,N,0,1,Love_and_Mr._Lewisham
Dunkerley,C,0,1,Love_and_Mr._Lewisham
Dunkerley,I,0,1,Love_and_Mr._Lewisham
Dunkerley,A,0,1,Love_and_Mr._Lewisham
Dunkerley,DC,0,1,Love_and_Mr._Lewisham
Dunkerley,DN,0,1,Love_and_Mr._Lewisham
Ethel,N,0,1,Love_and_Mr._Lewisham
Ethel,C,0,1,Love_and_Mr._Lewisham
Ethel,I,0,1,Love_and_Mr._Lewisham
Ethel,A,0,1,Love_and_Mr._Lewisham
Ethel,DC,0,1,Love_and_Mr._Lewisham
Ethel,DN,0,1,Love_and_Mr._Lewisham
Horace,N,1,1,Love_and_Mr._Lewisham
Horace,C,0,1,Love_and_Mr._Lewisham
Horace,I,0,1,Love_and_Mr._Lewisham
Horace,A,0,1,Love_and_Mr._Lewisham
Horace,DC,0,1,Love_and_Mr._Lewisham
Horace,DN,0,1,Love_and_Mr._Lewisham
Lagune,N,0,1,Love_and_Mr._Lewisham
Lagune,C,0,1,Love_and_Mr._Lewisham
Lagune,I,0,1,Love_and_Mr._Lewisham
Lagune,A,0,1,Love_and_Mr._Lewisham
Lagune,DC,0,1,Love_and_Mr._Lewisham
Lagune,DN,0,1,Love_and_Mr._Lewisham
Lewisham,N,19,1,Love_and_Mr._Lewisham
Lewisham,C,30,1,Love_and_Mr._Lewisham
Lewisham,I,16,1,Love_and_Mr._Lewisham
Lewisham,A,23,1,Love_and_Mr._Lewisham
Lewisham,DC,0,1,Love_and_Mr._Lewisham
Lewisham,DN,5,1,Love_and_Mr._Lewisham
"Lewisham,--his",N,0,1,Love_and_Mr._Lewisham
"Lewisham,--his",C,0,1,Love_and_Mr._Lewisham
"Lewisham,--his",I,0,1,Love_and_Mr._Lewisham
"Lewisham,--his",A,0,1,Love_and_Mr._Lewisham
"Lewisham,--his",DC,0,1,Love_and_Mr._Lewisham
"Lewisham,--his",DN,0,1,Love_and_Mr._Lewisham
Luther,N,0,1,Love_and_Mr._Lewisham
Luther,C,0,1,Love_and_Mr._Lewisham
Luther,I,0,1,Love_and_Mr._Lewisham
Luther,A,0,1,Love_and_Mr._Lewisham
Luther,DC,0,1,Love_and_Mr._Lewisham
Luther,DN,0,1,Love_and_Mr._Lewisham
Madam Gadow,N,0,1,Love_and_Mr._Lewisham
Madam Gadow,C,0,1,Love_and_Mr._Lewisham
Madam Gadow,I,0,1,Love_and_Mr._Lewisham
Madam Gadow,A,0,1,Love_and_Mr._Lewisham
Madam Gadow,DC,0,1,Love_and_Mr._Lewisham
Madam Gadow,DN,0,1,Love_and_Mr._Lewisham
Miss Henderson,N,0,1,Love_and_Mr._Lewisham
Miss Henderson,C,0,1,Love_and_Mr._Lewisham
Miss Henderson,I,0,1,Love_and_Mr._Lewisham
Miss Henderson,A,0,1,Love_and_Mr._Lewisham
Miss Henderson,DC,0,1,Love_and_Mr._Lewisham
Miss Henderson,DN,0,1,Love_and_Mr._Lewisham
Miss Heydinger,N,0,1,Love_and_Mr._Lewisham
Miss Heydinger,C,0,1,Love_and_Mr._Lewisham
Miss Heydinger,I,0,1,Love_and_Mr._Lewisham
Miss Heydinger,A,0,1,Love_and_Mr._Lewisham
Miss Heydinger,DC,0,1,Love_and_Mr._Lewisham
