character,tag,count,chapter,novel
Admiral Crawford,N,0,1,Mansfield_Park
Admiral Crawford,C,0,1,Mansfield_Park
Admiral Crawford,I,0,1,Mansfield_Park
Admiral Crawford,A,0,1,Mansfield_Park
Admiral Crawford,DC,0,1,Mansfield_Park
Admiral Crawford,DN,0,1,Mansfield_Park
Agatha,N,0,1,Mansfield_Park
Agatha,C,0,1,Mansfield_Park
Agatha,I,0,1,Mansfield_Park
Agatha,A,0,1,Mansfield_Park
Agatha,DC,0,1,Mansfield_Park
Agatha,DN,0,1,Mansfield_Park
Amelia,N,0,1,Mansfield_Park
Amelia,C,0,1,Mansfield_Park
Amelia,I,0,1,Mansfield_Park
Amelia,A,0,1,Mansfield_Park
Amelia,DC,0,1,Mansfield_Park
Amelia,DN,0,1,Mansfield_Park
Anderson,N,0,1,Mansfield_Park
Anderson,C,0,1,Mansfield_Park
Anderson,I,0,1,Mansfield_Park
Anderson,A,0,1,Mansfield_Park
Anderson,DC,0,1,Mansfield_Park
Anderson,DN,0,1,Mansfield_Park
Anhalt,N,0,1,Mansfield_Park
Anhalt,C,0,1,Mansfield_Park
Anhalt,I,0,1,Mansfield_Park
Anhalt,A,0,1,Mansfield_Park
Anhalt,DC,0,1,Mansfield_Park
Anhalt,DN,0,1,Mansfield_Park
Baddeley,N,0,1,Mansfield_Park
Baddeley,C,0,1,Mansfield_Park
Baddeley,I,0,1,Mansfield_Park
Baddeley,A,0,1,Mansfield_Park
Baddeley,DC,0,1,Mansfield_Park
Baddeley,DN,0,1,Mansfield_Park
Baron Wildenheim,N,0,1,Mansfield_Park
Baron Wildenheim,C,0,1,Mansfield_Park
Baron Wildenheim,I,0,1,Mansfield_Park
Baron Wildenheim,A,0,1,Mansfield_Park
Baron Wildenheim,DC,0,1,Mansfield_Park
Baron Wildenheim,DN,0,1,Mansfield_Park
Betsey,N,0,1,Mansfield_Park
Betsey,C,0,1,Mansfield_Park
Betsey,I,0,1,Mansfield_Park
Betsey,A,0,1,Mansfield_Park
Betsey,DC,0,1,Mansfield_Park
Betsey,DN,0,1,Mansfield_Park
Chapman,N,0,1,Mansfield_Park
Chapman,C,0,1,Mansfield_Park
Chapman,I,0,1,Mansfield_Park
Chapman,A,0,1,Mansfield_Park
Chapman,DC,0,1,Mansfield_Park
Chapman,DN,0,1,Mansfield_Park
Charles,N,0,1,Mansfield_Park
Charles,C,0,1,Mansfield_Park
Charles,I,0,1,Mansfield_Park
Charles,A,0,1,Mansfield_Park
Charles,DC,0,1,Mansfield_Park
Charles,DN,0,1,Mansfield_Park
Charles Maddox,N,0,1,Mansfield_Park
Charles Maddox,C,0,1,Mansfield_Park
Charles Maddox,I,0,1,Mansfield_Park
Charles Maddox,A,0,1,Mansfield_Park
Charles Maddox,DC,0,1,Mansfield_Park
Charles Maddox,DN,0,1,Mansfield_Park
Cottager,N,0,1,Mansfield_Park
Cottager,C,0,1,Mansfield_Park
Cottager,I,0,1,Mansfield_Park
Cottager,A,0,1,Mansfield_Park
Cottager,DC,0,1,Mansfield_Park
Cottager,DN,0,1,Mansfield_Park
Dick Jackson,N,0,1,Mansfield_Park
Dick Jackson,C,0,1,Mansfield_Park
Dick Jackson,I,0,1,Mansfield_Park
Dick Jackson,A,0,1,Mansfield_Park
Dick Jackson,DC,0,1,Mansfield_Park
Dick Jackson,DN,0,1,Mansfield_Park
Dr. Grant,N,0,1,Mansfield_Park
Dr. Grant,C,0,1,Mansfield_Park
Dr. Grant,I,0,1,Mansfield_Park
Dr. Grant,A,0,1,Mansfield_Park
Dr. Grant,DC,0,1,Mansfield_Park
Dr. Grant,DN,0,1,Mansfield_Park
Edmund,N,0,1,Mansfield_Park
Edmund,C,0,1,Mansfield_Park
Edmund,I,0,1,Mansfield_Park
Edmund,A,0,1,Mansfield_Park
Edmund,DC,0,1,Mansfield_Park
Edmund,DN,0,1,Mansfield_Park
Everingham,N,0,1,Mansfield_Park
Everingham,C,0,1,Mansfield_Park
Everingham,I,0,1,Mansfield_Park
Everingham,A,0,1,Mansfield_Park
Everingham,DC,0,1,Mansfield_Park
Everingham,DN,0,1,Mansfield_Park
Fanny,N,0,1,Mansfield_Park
Fanny,C,0,1,Mansfield_Park
Fanny,I,0,1,Mansfield_Park
Fanny,A,0,1,Mansfield_Park
Fanny,DC,0,1,Mansfield_Park
Fanny,DN,0,1,Mansfield_Park
Flora,N,0,1,Mansfield_Park
Flora,C,0,1,Mansfield_Park
Flora,I,0,1,Mansfield_Park
Flora,A,0,1,Mansfield_Park
Flora,DC,0,1,Mansfield_Park
Flora,DN,0,1,Mansfield_Park
Frederick,N,0,1,Mansfield_Park
Frederick,C,0,1,Mansfield_Park
Frederick,I,0,1,Mansfield_Park
Frederick,A,0,1,Mansfield_Park
Frederick,DC,0,1,Mansfield_Park
Frederick,DN,0,1,Mansfield_Park
Henry,N,0,1,Mansfield_Park
Henry,C,0,1,Mansfield_Park
Henry,I,0,1,Mansfield_Park
Henry,A,0,1,Mansfield_Park
Henry,DC,0,1,Mansfield_Park
Henry,DN,0,1,Mansfield_Park
Janet,N,0,1,Mansfield_Park
Janet,C,0,1,Mansfield_Park
Janet,I,0,1,Mansfield_Park
Janet,A,0,1,Mansfield_Park
Janet,DC,0,1,Mansfield_Park
Janet,DN,0,1,Mansfield_Park
Julia,N,0,1,Mansfield_Park
Julia,C,0,1,Mansfield_Park
Julia,I,0,1,Mansfield_Park
Julia,A,0,1,Mansfield_Park
Julia,DC,0,1,Mansfield_Park
Julia,DN,0,1,Mansfield_Park
Lady Bertram,N,0,1,Mansfield_Park
Lady Bertram,C,0,1,Mansfield_Park
Lady Bertram,I,0,1,Mansfield_Park
Lady Bertram,A,0,1,Mansfield_Park
Lady Bertram,DC,0,1,Mansfield_Park
Lady Bertram,DN,0,1,Mansfield_Park
Lady Stornaway,N,0,1,Mansfield_Park
Lady Stornaway,C,0,1,Mansfield_Park
Lady Stornaway,I,0,1,Mansfield_Park
Lady Stornaway,A,0,1,Mansfield_Park
Lady Stornaway,DC,0,1,Mansfield_Park
Lady Stornaway,DN,0,1,Mansfield_Park
Lord Ravenshaw,N,0,1,Mansfield_Park
Lord Ravenshaw,C,0,1,Mansfield_Park
Lord Ravenshaw,I,0,1,Mansfield_Park
Lord Ravenshaw,A,0,1,Mansfield_Park
Lord Ravenshaw,DC,0,1,Mansfield_Park
Lord Ravenshaw,DN,0,1,Mansfield_Park
Lovers,N,0,1,Mansfield_Park
Lovers,C,0,1,Mansfield_Park
Lovers,I,0,1,Mansfield_Park
Lovers,A,0,1,Mansfield_Park
Lovers,DC,0,1,Mansfield_Park
Lovers,DN,0,1,Mansfield_Park
Maddison,N,0,1,Mansfield_Park
Maddison,C,0,1,Mansfield_Park
Maddison,I,0,1,Mansfield_Park
Maddison,A,0,1,Mansfield_Park
Maddison,DC,0,1,Mansfield_Park
Maddison,DN,0,1,Mansfield_Park
Mansfield,N,0,1,Mansfield_Park
Mansfield,C,0,1,Mansfield_Park
Mansfield,I,0,1,Mansfield_Park
Mansfield,A,0,1,Mansfield_Park
Mansfield,DC,0,1,Mansfield_Park
Mansfield,DN,0,1,Mansfield_Park
Maria,N,0,1,Mansfield_Park
Maria,C,0,1,Mansfield_Park
Maria,I,0,1,Mansfield_Park
Maria,A,0,1,Mansfield_Park
Maria,DC,0,1,Mansfield_Park
Maria,DN,0,1,Mansfield_Park
Mary,N,0,1,Mansfield_Park
Mary,C,0,1,Mansfield_Park
Mary,I,0,1,Mansfield_Park
Mary,A,0,1,Mansfield_Park
Mary,DC,0,1,Mansfield_Park
Mary,DN,0,1,Mansfield_Park
Miss Crawford,N,0,1,Mansfield_Park
Miss Crawford,C,0,1,Mansfield_Park
Miss Crawford,I,0,1,Mansfield_Park
Miss Crawford,A,0,1,Mansfield_Park
Miss Crawford,DC,0,1,Mansfield_Park
Miss Crawford,DN,0,1,Mansfield_Park
Miss Lee,N,0,1,Mansfield_Park
Miss Lee,C,0,1,Mansfield_Park
Miss Lee,I,0,1,Mansfield_Park
