character,tag,count,chapter,novel
Alice,N,3,1,Mary_Barton
Alice,C,0,1,Mary_Barton
Alice,I,1,1,Mary_Barton
Alice,A,4,1,Mary_Barton
Alice,DC,4,1,Mary_Barton
Alice,DN,0,1,Mary_Barton
Amy,N,0,1,Mary_Barton
Amy,C,0,1,Mary_Barton
Amy,I,0,1,Mary_Barton
Amy,A,0,1,Mary_Barton
Amy,DC,0,1,Mary_Barton
Amy,DN,0,1,Mary_Barton
BURNS,N,0,1,Mary_Barton
BURNS,C,0,1,Mary_Barton
BURNS,I,0,1,Mary_Barton
BURNS,A,0,1,Mary_Barton
BURNS,DC,0,1,Mary_Barton
BURNS,DN,0,1,Mary_Barton
Ben Sturgis,N,0,1,Mary_Barton
Ben Sturgis,C,0,1,Mary_Barton
Ben Sturgis,I,0,1,Mary_Barton
Ben Sturgis,A,0,1,Mary_Barton
Ben Sturgis,DC,0,1,Mary_Barton
Ben Sturgis,DN,0,1,Mary_Barton
Bessy Witter,N,0,1,Mary_Barton
Bessy Witter,C,0,1,Mary_Barton
Bessy Witter,I,0,1,Mary_Barton
Bessy Witter,A,0,1,Mary_Barton
Bessy Witter,DC,0,1,Mary_Barton
Bessy Witter,DN,0,1,Mary_Barton
Betty,N,0,1,Mary_Barton
Betty,C,0,1,Mary_Barton
Betty,I,0,1,Mary_Barton
Betty,A,0,1,Mary_Barton
Betty,DC,0,1,Mary_Barton
Betty,DN,0,1,Mary_Barton
CRABBE,N,0,1,Mary_Barton
CRABBE,C,0,1,Mary_Barton
CRABBE,I,0,1,Mary_Barton
CRABBE,A,0,1,Mary_Barton
CRABBE,DC,0,1,Mary_Barton
CRABBE,DN,0,1,Mary_Barton
Carsons,N,0,1,Mary_Barton
Carsons,C,0,1,Mary_Barton
Carsons,I,0,1,Mary_Barton
Carsons,A,0,1,Mary_Barton
Carsons,DC,0,1,Mary_Barton
Carsons,DN,0,1,Mary_Barton
Charley,N,0,1,Mary_Barton
Charley,C,0,1,Mary_Barton
Charley,I,0,1,Mary_Barton
Charley,A,0,1,Mary_Barton
Charley,DC,0,1,Mary_Barton
Charley,DN,0,1,Mary_Barton
Davenport,N,0,1,Mary_Barton
Davenport,C,0,1,Mary_Barton
Davenport,I,0,1,Mary_Barton
Davenport,A,0,1,Mary_Barton
Davenport,DC,0,1,Mary_Barton
Davenport,DN,0,1,Mary_Barton
Deep,N,0,1,Mary_Barton
Deep,C,0,1,Mary_Barton
Deep,I,0,1,Mary_Barton
Deep,A,0,1,Mary_Barton
Deep,DC,0,1,Mary_Barton
Deep,DN,0,1,Mary_Barton
Dicky,N,0,1,Mary_Barton
Dicky,C,0,1,Mary_Barton
Dicky,I,0,1,Mary_Barton
Dicky,A,0,1,Mary_Barton
Dicky,DC,0,1,Mary_Barton
Dicky,DN,0,1,Mary_Barton
ELLIOTT,N,0,1,Mary_Barton
ELLIOTT,C,0,1,Mary_Barton
ELLIOTT,I,0,1,Mary_Barton
ELLIOTT,A,0,1,Mary_Barton
ELLIOTT,DC,0,1,Mary_Barton
ELLIOTT,DN,0,1,Mary_Barton
Elizabeth Cleghorn Gaskell,N,0,1,Mary_Barton
Elizabeth Cleghorn Gaskell,C,0,1,Mary_Barton
Elizabeth Cleghorn Gaskell,I,0,1,Mary_Barton
Elizabeth Cleghorn Gaskell,A,0,1,Mary_Barton
Elizabeth Cleghorn Gaskell,DC,0,1,Mary_Barton
Elizabeth Cleghorn Gaskell,DN,0,1,Mary_Barton
Esther,N,16,1,Mary_Barton
Esther,C,0,1,Mary_Barton
Esther,I,5,1,Mary_Barton
Esther,A,27,1,Mary_Barton
Esther,DC,23,1,Mary_Barton
Esther,DN,2,1,Mary_Barton
Father,N,0,1,Mary_Barton
Father,C,0,1,Mary_Barton
Father,I,0,1,Mary_Barton
Father,A,0,1,Mary_Barton
Father,DC,0,1,Mary_Barton
Father,DN,0,1,Mary_Barton
Frank,N,0,1,Mary_Barton
Frank,C,0,1,Mary_Barton
Frank,I,0,1,Mary_Barton
Frank,A,0,1,Mary_Barton
Frank,DC,0,1,Mary_Barton
Frank,DN,0,1,Mary_Barton
George,N,0,1,Mary_Barton
George,C,0,1,Mary_Barton
George,I,0,1,Mary_Barton
George,A,0,1,Mary_Barton
George,DC,0,1,Mary_Barton
George,DN,0,1,Mary_Barton
God,N,1,1,Mary_Barton
God,C,0,1,Mary_Barton
God,I,0,1,Mary_Barton
God,A,0,1,Mary_Barton
God,DC,1,1,Mary_Barton
God,DN,0,1,Mary_Barton
Grandfather,N,0,1,Mary_Barton
Grandfather,C,0,1,Mary_Barton
Grandfather,I,0,1,Mary_Barton
Grandfather,A,0,1,Mary_Barton
Grandfather,DC,0,1,Mary_Barton
Grandfather,DN,0,1,Mary_Barton
Harry,N,0,1,Mary_Barton
Harry,C,0,1,Mary_Barton
Harry,I,0,1,Mary_Barton
Harry,A,0,1,Mary_Barton
Harry,DC,0,1,Mary_Barton
Harry,DN,0,1,Mary_Barton
Helen,N,0,1,Mary_Barton
Helen,C,0,1,Mary_Barton
Helen,I,0,1,Mary_Barton
Helen,A,0,1,Mary_Barton
Helen,DC,0,1,Mary_Barton
Helen,DN,0,1,Mary_Barton
Howe'er,N,0,1,Mary_Barton
Howe'er,C,0,1,Mary_Barton
Howe'er,I,0,1,Mary_Barton
Howe'er,A,0,1,Mary_Barton
Howe'er,DC,0,1,Mary_Barton
Howe'er,DN,0,1,Mary_Barton
Jack Harris,N,0,1,Mary_Barton
Jack Harris,C,0,1,Mary_Barton
Jack Harris,I,0,1,Mary_Barton
Jack Harris,A,0,1,Mary_Barton
Jack Harris,DC,0,1,Mary_Barton
Jack Harris,DN,0,1,Mary_Barton
Jacob Butterworth,N,0,1,Mary_Barton
Jacob Butterworth,C,0,1,Mary_Barton
Jacob Butterworth,I,0,1,Mary_Barton
Jacob Butterworth,A,0,1,Mary_Barton
Jacob Butterworth,DC,0,1,Mary_Barton
Jacob Butterworth,DN,0,1,Mary_Barton
Jane Richardson,N,0,1,Mary_Barton
Jane Richardson,C,0,1,Mary_Barton
Jane Richardson,I,0,1,Mary_Barton
Jane Richardson,A,0,1,Mary_Barton
Jane Richardson,DC,0,1,Mary_Barton
Jane Richardson,DN,0,1,Mary_Barton
Jane Wilson,N,1,1,Mary_Barton
Jane Wilson,C,0,1,Mary_Barton
Jane Wilson,I,0,1,Mary_Barton
Jane Wilson,A,0,1,Mary_Barton
Jane Wilson,DC,0,1,Mary_Barton
Jane Wilson,DN,0,1,Mary_Barton
Jem,N,0,1,Mary_Barton
Jem,C,0,1,Mary_Barton
Jem,I,0,1,Mary_Barton
Jem,A,0,1,Mary_Barton
Jem,DC,0,1,Mary_Barton
Jem,DN,0,1,Mary_Barton
Job,N,0,1,Mary_Barton
Job,C,0,1,Mary_Barton
Job,I,0,1,Mary_Barton
Job,A,0,1,Mary_Barton
Job,DC,0,1,Mary_Barton
Job,DN,0,1,Mary_Barton
John Barton,N,7,1,Mary_Barton
John Barton,C,13,1,Mary_Barton
John Barton,I,4,1,Mary_Barton
John Barton,A,6,1,Mary_Barton
John Barton,DC,1,1,Mary_Barton
John Barton,DN,0,1,Mary_Barton
John Cropper _,N,0,1,Mary_Barton
John Cropper _,C,0,1,Mary_Barton
John Cropper _,I,0,1,Mary_Barton
John Cropper _,A,0,1,Mary_Barton
John Cropper _,DC,0,1,Mary_Barton
John Cropper _,DN,0,1,Mary_Barton
John Slater,N,0,1,Mary_Barton
John Slater,C,0,1,Mary_Barton
John Slater,I,0,1,Mary_Barton
John Slater,A,0,1,Mary_Barton
John Slater,DC,0,1,Mary_Barton
John Slater,DN,0,1,Mary_Barton
Johnnie,N,0,1,Mary_Barton
Johnnie,C,0,1,Mary_Barton
Johnnie,I,0,1,Mary_Barton
Johnnie,A,0,1,Mary_Barton
Johnnie,DC,0,1,Mary_Barton
Johnnie,DN,0,1,Mary_Barton
Johnson,N,0,1,Mary_Barton
Johnson,C,0,1,Mary_Barton
Johnson,I,0,1,Mary_Barton
Johnson,A,0,1,Mary_Barton
Johnson,DC,0,1,Mary_Barton
Johnson,DN,0,1,Mary_Barton
Jonas,N,0,1,Mary_Barton
Jonas,C,0,1,Mary_Barton
Jonas,I,0,1,Mary_Barton
Jonas,A,0,1,Mary_Barton
Jonas,DC,0,1,Mary_Barton
Jonas,DN,0,1,Mary_Barton
Margaret,N,0,1,Mary_Barton
Margaret,C,0,1,Mary_Barton
Margaret,I,0,1,Mary_Barton
Margaret,A,0,1,Mary_Barton
Margaret,DC,0,1,Mary_Barton
Margaret,DN,0,1,Mary_Barton
Mary,N,24,1,Mary_Barton
Mary,C,2,1,Mary_Barton
Mary,I,7,1,Mary_Barton
Mary,A,6,1,Mary_Barton
Mary,DC,9,1,Mary_Barton
Mary,DN,0,1,Mary_Barton
Miss Barton,N,0,1,Mary_Barton
Miss Barton,C,0,1,Mary_Barton
Miss Barton,I,0,1,Mary_Barton
Miss Barton,A,0,1,Mary_Barton
Miss Barton,DC,0,1,Mary_Barton
Miss Barton,DN,0,1,Mary_Barton
Miss Simmonds,N,0,1,Mary_Barton
Miss Simmonds,C,0,1,Mary_Barton
Miss Simmonds,I,0,1,Mary_Barton
Miss Simmonds,A,0,1,Mary_Barton
Miss Simmonds,DC,0,1,Mary_Barton
Miss Simmonds,DN,0,1,Mary_Barton
Missis,N,0,1,Mary_Barton
Missis,C,0,1,Mary_Barton
Missis,I,0,1,Mary_Barton
Missis,A,0,1,Mary_Barton
Missis,DC,0,1,Mary_Barton
Missis,DN,0,1,Mary_Barton
Mother,N,0,1,Mary_Barton
Mother,C,0,1,Mary_Barton
Mother,I,0,1,Mary_Barton
Mother,A,0,1,Mary_Barton
Mother,DC,0,1,Mary_Barton
Mother,DN,0,1,Mary_Barton
Mr. Bridgenorth,N,0,1,Mary_Barton
Mr. Bridgenorth,C,0,1,Mary_Barton
Mr. Bridgenorth,I,0,1,Mary_Barton
Mr. Bridgenorth,A,0,1,Mary_Barton
Mr. Bridgenorth,DC,0,1,Mary_Barton
Mr. Bridgenorth,DN,0,1,Mary_Barton
Mr. Carson,N,0,1,Mary_Barton
Mr. Carson,C,0,1,Mary_Barton
Mr. Carson,I,0,1,Mary_Barton
Mr. Carson,A,0,1,Mary_Barton
Mr. Carson,DC,0,1,Mary_Barton
Mr. Carson,DN,0,1,Mary_Barton
Mr. Cheshire,N,0,1,Mary_Barton
Mr. Cheshire,C,0,1,Mary_Barton
Mr. Cheshire,I,0,1,Mary_Barton
Mr. Cheshire,A,0,1,Mary_Barton
Mr. Cheshire,DC,0,1,Mary_Barton
Mr. Cheshire,DN,0,1,Mary_Barton
Mr. Duncombe,N,0,1,Mary_Barton
Mr. Duncombe,C,0,1,Mary_Barton
Mr. Duncombe,I,0,1,Mary_Barton
Mr. Duncombe,A,0,1,Mary_Barton
Mr. Duncombe,DC,0,1,Mary_Barton
Mr. Duncombe,DN,0,1,Mary_Barton
Mrs. Barton,N,1,1,Mary_Barton
Mrs. Barton,C,0,1,Mary_Barton
Mrs. Barton,I,0,1,Mary_Barton
Mrs. Barton,A,0,1,Mary_Barton
Mrs. Barton,DC,0,1,Mary_Barton
Mrs. Barton,DN,0,1,Mary_Barton
Mrs. Bradshaw,N,5,1,Mary_Barton
Mrs. Bradshaw,C,0,1,Mary_Barton
Mrs. Bradshaw,I,0,1,Mary_Barton
Mrs. Bradshaw,A,1,1,Mary_Barton
Mrs. Bradshaw,DC,1,1,Mary_Barton
Mrs. Bradshaw,DN,0,1,Mary_Barton
Mrs. Davenport,N,0,1,Mary_Barton
Mrs. Davenport,C,0,1,Mary_Barton
Mrs. Davenport,I,0,1,Mary_Barton
Mrs. Davenport,A,0,1,Mary_Barton
Mrs. Davenport,DC,0,1,Mary_Barton
Mrs. Davenport,DN,0,1,Mary_Barton
Mrs. Heming,N,0,1,Mary_Barton
Mrs. Heming,C,0,1,Mary_Barton
Mrs. Heming,I,0,1,Mary_Barton
Mrs. Heming,A,0,1,Mary_Barton
Mrs. Heming,DC,0,1,Mary_Barton
Mrs. Heming,DN,0,1,Mary_Barton
Mrs. Jones,N,0,1,Mary_Barton
Mrs. Jones,C,0,1,Mary_Barton
Mrs. Jones,I,0,1,Mary_Barton
Mrs. Jones,A,0,1,Mary_Barton
Mrs. Jones,DC,0,1,Mary_Barton
Mrs. Jones,DN,0,1,Mary_Barton
Mrs. Ogden,N,0,1,Mary_Barton
Mrs. Ogden,C,0,1,Mary_Barton
Mrs. Ogden,I,0,1,Mary_Barton
Mrs. Ogden,A,0,1,Mary_Barton
Mrs. Ogden,DC,0,1,Mary_Barton
Mrs. Ogden,DN,0,1,Mary_Barton
Mrs. Sturgis,N,0,1,Mary_Barton
Mrs. Sturgis,C,0,1,Mary_Barton
Mrs. Sturgis,I,0,1,Mary_Barton
Mrs. Sturgis,A,0,1,Mary_Barton
Mrs. Sturgis,DC,0,1,Mary_Barton
Mrs. Sturgis,DN,0,1,Mary_Barton
Mrs. Wilson,N,11,1,Mary_Barton
Mrs. Wilson,C,10,1,Mary_Barton
Mrs. Wilson,I,10,1,Mary_Barton
Mrs. Wilson,A,5,1,Mary_Barton
Mrs. Wilson,DC,4,1,Mary_Barton
Mrs. Wilson,DN,1,1,Mary_Barton
Nurse,N,0,1,Mary_Barton
Nurse,C,0,1,Mary_Barton
Nurse,I,0,1,Mary_Barton
Nurse,A,0,1,Mary_Barton
Nurse,DC,0,1,Mary_Barton
Nurse,DN,0,1,Mary_Barton
O'Brien,N,0,1,Mary_Barton
O'Brien,C,0,1,Mary_Barton
O'Brien,I,0,1,Mary_Barton
O'Brien,A,0,1,Mary_Barton
O'Brien,DC,0,1,Mary_Barton
O'Brien,DN,0,1,Mary_Barton
Old Job,N,0,1,Mary_Barton
Old Job,C,0,1,Mary_Barton
Old Job,I,0,1,Mary_Barton
Old Job,A,0,1,Mary_Barton
Old Job,DC,0,1,Mary_Barton
Old Job,DN,0,1,Mary_Barton
Old Mr. Carson,N,0,1,Mary_Barton
Old Mr. Carson,C,0,1,Mary_Barton
Old Mr. Carson,I,0,1,Mary_Barton
Old Mr. Carson,A,0,1,Mary_Barton
Old Mr. Carson,DC,0,1,Mary_Barton
Old Mr. Carson,DN,0,1,Mary_Barton
Papa,N,0,1,Mary_Barton
Papa,C,0,1,Mary_Barton
Papa,I,0,1,Mary_Barton
Papa,A,0,1,Mary_Barton
Papa,DC,0,1,Mary_Barton
Papa,DN,0,1,Mary_Barton
Parliament,N,0,1,Mary_Barton
Parliament,C,0,1,Mary_Barton
Parliament,I,0,1,Mary_Barton
Parliament,A,0,1,Mary_Barton
Parliament,DC,0,1,Mary_Barton
Parliament,DN,0,1,Mary_Barton
Prince Albert,N,0,1,Mary_Barton
Prince Albert,C,0,1,Mary_Barton
Prince Albert,I,0,1,Mary_Barton
Prince Albert,A,0,1,Mary_Barton
Prince Albert,DC,0,1,Mary_Barton
Prince Albert,DN,0,1,Mary_Barton
Reynard,N,0,1,Mary_Barton
Reynard,C,0,1,Mary_Barton
Reynard,I,0,1,Mary_Barton
Reynard,A,0,1,Mary_Barton
Reynard,DC,0,1,Mary_Barton
Reynard,DN,0,1,Mary_Barton
Richard,N,1,1,Mary_Barton
Richard,C,0,1,Mary_Barton
Richard,I,0,1,Mary_Barton
Richard,A,0,1,Mary_Barton
Richard,DC,0,1,Mary_Barton
Richard,DN,0,1,Mary_Barton
Roscoe,N,0,1,Mary_Barton
Roscoe,C,0,1,Mary_Barton
Roscoe,I,0,1,Mary_Barton
Roscoe,A,0,1,Mary_Barton
Roscoe,DC,0,1,Mary_Barton
Roscoe,DN,0,1,Mary_Barton
Sally,N,0,1,Mary_Barton
Sally,C,0,1,Mary_Barton
Sally,I,0,1,Mary_Barton
Sally,A,0,1,Mary_Barton
