character,tag,count,chapter,novel
Biddy Brannigan,N,0,1,Melmoth_the_Wanderer1
Biddy Brannigan,C,0,1,Melmoth_the_Wanderer1
Biddy Brannigan,I,0,1,Melmoth_the_Wanderer1
Biddy Brannigan,A,0,1,Melmoth_the_Wanderer1
Biddy Brannigan,DC,0,1,Melmoth_the_Wanderer1
Biddy Brannigan,DN,0,1,Melmoth_the_Wanderer1
Christ,N,1,1,Melmoth_the_Wanderer1
Christ,C,0,1,Melmoth_the_Wanderer1
Christ,I,0,1,Melmoth_the_Wanderer1
Christ,A,0,1,Melmoth_the_Wanderer1
Christ,DC,0,1,Melmoth_the_Wanderer1
Christ,DN,0,1,Melmoth_the_Wanderer1
Cousin,N,0,1,Melmoth_the_Wanderer1
Cousin,C,0,1,Melmoth_the_Wanderer1
Cousin,I,0,1,Melmoth_the_Wanderer1
Cousin,A,0,1,Melmoth_the_Wanderer1
Cousin,DC,0,1,Melmoth_the_Wanderer1
Cousin,DN,0,1,Melmoth_the_Wanderer1
Cromwell,N,0,1,Melmoth_the_Wanderer1
Cromwell,C,0,1,Melmoth_the_Wanderer1
Cromwell,I,0,1,Melmoth_the_Wanderer1
Cromwell,A,0,1,Melmoth_the_Wanderer1
Cromwell,DC,0,1,Melmoth_the_Wanderer1
Cromwell,DN,0,1,Melmoth_the_Wanderer1
Director,N,0,1,Melmoth_the_Wanderer1
Director,C,0,1,Melmoth_the_Wanderer1
Director,I,0,1,Melmoth_the_Wanderer1
Director,A,0,1,Melmoth_the_Wanderer1
Director,DC,0,1,Melmoth_the_Wanderer1
Director,DN,0,1,Melmoth_the_Wanderer1
Dryden,N,0,1,Melmoth_the_Wanderer1
Dryden,C,0,1,Melmoth_the_Wanderer1
Dryden,I,0,1,Melmoth_the_Wanderer1
Dryden,A,0,1,Melmoth_the_Wanderer1
Dryden,DC,0,1,Melmoth_the_Wanderer1
Dryden,DN,0,1,Melmoth_the_Wanderer1
Father Fay,N,0,1,Melmoth_the_Wanderer1
Father Fay,C,0,1,Melmoth_the_Wanderer1
Father Fay,I,0,1,Melmoth_the_Wanderer1
Father Fay,A,0,1,Melmoth_the_Wanderer1
Father Fay,DC,0,1,Melmoth_the_Wanderer1
Father Fay,DN,0,1,Melmoth_the_Wanderer1
Father Olavida,N,0,1,Melmoth_the_Wanderer1
Father Olavida,C,0,1,Melmoth_the_Wanderer1
Father Olavida,I,0,1,Melmoth_the_Wanderer1
