character,tag,count,chapter,novel
Aunt Jemima,N,0,1,Miss_Marjoribanks
Aunt Jemima,C,0,1,Miss_Marjoribanks
Aunt Jemima,I,0,1,Miss_Marjoribanks
Aunt Jemima,A,0,1,Miss_Marjoribanks
Aunt Jemima,DC,0,1,Miss_Marjoribanks
Aunt Jemima,DN,0,1,Miss_Marjoribanks
Barbara,N,0,1,Miss_Marjoribanks
Barbara,C,0,1,Miss_Marjoribanks
Barbara,I,0,1,Miss_Marjoribanks
Barbara,A,0,1,Miss_Marjoribanks
Barbara,DC,0,1,Miss_Marjoribanks
Barbara,DN,0,1,Miss_Marjoribanks
Betsy,N,0,1,Miss_Marjoribanks
Betsy,C,0,1,Miss_Marjoribanks
Betsy,I,0,1,Miss_Marjoribanks
Betsy,A,0,1,Miss_Marjoribanks
Betsy,DC,0,1,Miss_Marjoribanks
Betsy,DN,0,1,Miss_Marjoribanks
Carlingford,N,0,1,Miss_Marjoribanks
Carlingford,C,0,1,Miss_Marjoribanks
Carlingford,I,0,1,Miss_Marjoribanks
Carlingford,A,0,1,Miss_Marjoribanks
Carlingford,DC,0,1,Miss_Marjoribanks
Carlingford,DN,0,1,Miss_Marjoribanks
Charles,N,0,1,Miss_Marjoribanks
Charles,C,0,1,Miss_Marjoribanks
Charles,I,0,1,Miss_Marjoribanks
Charles,A,0,1,Miss_Marjoribanks
Charles,DC,0,1,Miss_Marjoribanks
Charles,DN,0,1,Miss_Marjoribanks
Colonel Chiley,N,0,1,Miss_Marjoribanks
Colonel Chiley,C,0,1,Miss_Marjoribanks
Colonel Chiley,I,0,1,Miss_Marjoribanks
Colonel Chiley,A,0,1,Miss_Marjoribanks
Colonel Chiley,DC,0,1,Miss_Marjoribanks
Colonel Chiley,DN,0,1,Miss_Marjoribanks
Dr Marjoribanks,N,0,1,Miss_Marjoribanks
Dr Marjoribanks,C,0,1,Miss_Marjoribanks
Dr Marjoribanks,I,0,1,Miss_Marjoribanks
Dr Marjoribanks,A,0,1,Miss_Marjoribanks
Dr Marjoribanks,DC,0,1,Miss_Marjoribanks
Dr Marjoribanks,DN,0,1,Miss_Marjoribanks
Dr Rider,N,0,1,Miss_Marjoribanks
Dr Rider,C,0,1,Miss_Marjoribanks
Dr Rider,I,0,1,Miss_Marjoribanks
Dr Rider,A,0,1,Miss_Marjoribanks
Dr Rider,DC,0,1,Miss_Marjoribanks
Dr Rider,DN,0,1,Miss_Marjoribanks
Edward,N,0,1,Miss_Marjoribanks
Edward,C,0,1,Miss_Marjoribanks
Edward,I,0,1,Miss_Marjoribanks
Edward,A,0,1,Miss_Marjoribanks
Edward,DC,0,1,Miss_Marjoribanks
Edward,DN,0,1,Miss_Marjoribanks
Fanny,N,0,1,Miss_Marjoribanks
Fanny,C,0,1,Miss_Marjoribanks
Fanny,I,0,1,Miss_Marjoribanks
Fanny,A,0,1,Miss_Marjoribanks
Fanny,DC,0,1,Miss_Marjoribanks
Fanny,DN,0,1,Miss_Marjoribanks
Garrett,N,0,1,Miss_Marjoribanks
Garrett,C,0,1,Miss_Marjoribanks
Garrett,I,0,1,Miss_Marjoribanks
Garrett,A,0,1,Miss_Marjoribanks
Garrett,DC,0,1,Miss_Marjoribanks
Garrett,DN,0,1,Miss_Marjoribanks
General Travers,N,0,1,Miss_Marjoribanks
General Travers,C,0,1,Miss_Marjoribanks
