character,tag,count,chapter,novel
Abdel Faza,N,0,1,Mr._Midshipman_Easy
Abdel Faza,C,0,1,Mr._Midshipman_Easy
Abdel Faza,I,0,1,Mr._Midshipman_Easy
Abdel Faza,A,0,1,Mr._Midshipman_Easy
Abdel Faza,DC,0,1,Mr._Midshipman_Easy
Abdel Faza,DN,0,1,Mr._Midshipman_Easy
Agnes,N,0,1,Mr._Midshipman_Easy
Agnes,C,0,1,Mr._Midshipman_Easy
Agnes,I,0,1,Mr._Midshipman_Easy
Agnes,A,0,1,Mr._Midshipman_Easy
Agnes,DC,0,1,Mr._Midshipman_Easy
Agnes,DN,0,1,Mr._Midshipman_Easy
Atkins,N,0,1,Mr._Midshipman_Easy
Atkins,C,0,1,Mr._Midshipman_Easy
Atkins,I,0,1,Mr._Midshipman_Easy
Atkins,A,0,1,Mr._Midshipman_Easy
Atkins,DC,0,1,Mr._Midshipman_Easy
Atkins,DN,0,1,Mr._Midshipman_Easy
Azar,N,0,1,Mr._Midshipman_Easy
Azar,C,0,1,Mr._Midshipman_Easy
Azar,I,0,1,Mr._Midshipman_Easy
Azar,A,0,1,Mr._Midshipman_Easy
Azar,DC,0,1,Mr._Midshipman_Easy
Azar,DN,0,1,Mr._Midshipman_Easy
Bob,N,0,1,Mr._Midshipman_Easy
Bob,C,0,1,Mr._Midshipman_Easy
Bob,I,0,1,Mr._Midshipman_Easy
Bob,A,0,1,Mr._Midshipman_Easy
Bob,DC,0,1,Mr._Midshipman_Easy
Bob,DN,0,1,Mr._Midshipman_Easy
Caesar,N,0,1,Mr._Midshipman_Easy
Caesar,C,0,1,Mr._Midshipman_Easy
Caesar,I,0,1,Mr._Midshipman_Easy
Caesar,A,0,1,Mr._Midshipman_Easy
Caesar,DC,0,1,Mr._Midshipman_Easy
Caesar,DN,0,1,Mr._Midshipman_Easy
Captain Frederick Marryat,N,0,1,Mr._Midshipman_Easy
Captain Frederick Marryat,C,0,1,Mr._Midshipman_Easy
Captain Frederick Marryat,I,0,1,Mr._Midshipman_Easy
Captain Frederick Marryat,A,0,1,Mr._Midshipman_Easy
Captain Frederick Marryat,DC,0,1,Mr._Midshipman_Easy
Captain Frederick Marryat,DN,0,1,Mr._Midshipman_Easy
Captain Hogg,N,0,1,Mr._Midshipman_Easy
Captain Hogg,C,0,1,Mr._Midshipman_Easy
Captain Hogg,I,0,1,Mr._Midshipman_Easy
Captain Hogg,A,0,1,Mr._Midshipman_Easy
Captain Hogg,DC,0,1,Mr._Midshipman_Easy
Captain Hogg,DN,0,1,Mr._Midshipman_Easy
Captain Sawbridge,N,0,1,Mr._Midshipman_Easy
Captain Sawbridge,C,0,1,Mr._Midshipman_Easy
Captain Sawbridge,I,0,1,Mr._Midshipman_Easy
Captain Sawbridge,A,0,1,Mr._Midshipman_Easy
Captain Sawbridge,DC,0,1,Mr._Midshipman_Easy
Captain Sawbridge,DN,0,1,Mr._Midshipman_Easy
Captain Tartar,N,0,1,Mr._Midshipman_Easy
Captain Tartar,C,0,1,Mr._Midshipman_Easy
Captain Tartar,I,0,1,Mr._Midshipman_Easy
Captain Tartar,A,0,1,Mr._Midshipman_Easy
Captain Tartar,DC,0,1,Mr._Midshipman_Easy
Captain Tartar,DN,0,1,Mr._Midshipman_Easy
Captain Vilson,N,0,1,Mr._Midshipman_Easy
Captain Vilson,C,0,1,Mr._Midshipman_Easy
