character,tag,count,chapter,novel
Albert,N,0,1,New_Grub_Street
Albert,C,0,1,New_Grub_Street
Albert,I,0,1,New_Grub_Street
Albert,A,0,1,New_Grub_Street
Albert,DC,0,1,New_Grub_Street
Albert,DN,0,1,New_Grub_Street
Alfred,N,0,1,New_Grub_Street
Alfred,C,0,1,New_Grub_Street
Alfred,I,0,1,New_Grub_Street
Alfred,A,0,1,New_Grub_Street
Alfred,DC,0,1,New_Grub_Street
Alfred,DN,0,1,New_Grub_Street
Alfred Yule,N,0,1,New_Grub_Street
Alfred Yule,C,0,1,New_Grub_Street
Alfred Yule,I,0,1,New_Grub_Street
Alfred Yule,A,0,1,New_Grub_Street
Alfred Yule,DC,0,1,New_Grub_Street
Alfred Yule,DN,0,1,New_Grub_Street
Amy,N,0,1,New_Grub_Street
Amy,C,0,1,New_Grub_Street
Amy,I,0,1,New_Grub_Street
Amy,A,0,1,New_Grub_Street
Amy,DC,0,1,New_Grub_Street
Amy,DN,0,1,New_Grub_Street
Annie,N,0,1,New_Grub_Street
Annie,C,0,1,New_Grub_Street
Annie,I,0,1,New_Grub_Street
Annie,A,0,1,New_Grub_Street
Annie,DC,0,1,New_Grub_Street
Annie,DN,0,1,New_Grub_Street
Barlow,N,0,1,New_Grub_Street
Barlow,C,0,1,New_Grub_Street
Barlow,I,0,1,New_Grub_Street
Barlow,A,0,1,New_Grub_Street
Barlow,DC,0,1,New_Grub_Street
Barlow,DN,0,1,New_Grub_Street
Biffen,N,0,1,New_Grub_Street
Biffen,C,0,1,New_Grub_Street
Biffen,I,0,1,New_Grub_Street
Biffen,A,0,1,New_Grub_Street
Biffen,DC,0,1,New_Grub_Street
Biffen,DN,0,1,New_Grub_Street
Bowring,N,0,1,New_Grub_Street
Bowring,C,0,1,New_Grub_Street
Bowring,I,0,1,New_Grub_Street
Bowring,A,0,1,New_Grub_Street
Bowring,DC,0,1,New_Grub_Street
Bowring,DN,0,1,New_Grub_Street
Carter,N,0,1,New_Grub_Street
Carter,C,0,1,New_Grub_Street
Carter,I,0,1,New_Grub_Street
Carter,A,0,1,New_Grub_Street
Carter,DC,0,1,New_Grub_Street
Carter,DN,0,1,New_Grub_Street
Davies,N,0,1,New_Grub_Street
Davies,C,0,1,New_Grub_Street
Davies,I,0,1,New_Grub_Street
Davies,A,0,1,New_Grub_Street
Davies,DC,0,1,New_Grub_Street
Davies,DN,0,1,New_Grub_Street
Dickens,N,0,1,New_Grub_Street
Dickens,C,0,1,New_Grub_Street
Dickens,I,0,1,New_Grub_Street
Dickens,A,0,1,New_Grub_Street
Dickens,DC,0,1,New_Grub_Street
Dickens,DN,0,1,New_Grub_Street
Diogenes Laertius,N,0,1,New_Grub_Street
Diogenes Laertius,C,0,1,New_Grub_Street
Diogenes Laertius,I,0,1,New_Grub_Street
Diogenes Laertius,A,0,1,New_Grub_Street
Diogenes Laertius,DC,0,1,New_Grub_Street
Diogenes Laertius,DN,0,1,New_Grub_Street
Dolomore,N,0,1,New_Grub_Street
Dolomore,C,0,1,New_Grub_Street
Dolomore,I,0,1,New_Grub_Street
Dolomore,A,0,1,New_Grub_Street
Dolomore,DC,0,1,New_Grub_Street
Dolomore,DN,0,1,New_Grub_Street
Dora,N,0,1,New_Grub_Street
Dora,C,0,1,New_Grub_Street
Dora,I,0,1,New_Grub_Street
Dora,A,0,1,New_Grub_Street
Dora,DC,0,1,New_Grub_Street
Dora,DN,0,1,New_Grub_Street
Edith,N,0,1,New_Grub_Street
Edith,C,0,1,New_Grub_Street
Edith,I,0,1,New_Grub_Street
Edith,A,0,1,New_Grub_Street
Edith,DC,0,1,New_Grub_Street
Edith,DN,0,1,New_Grub_Street
Fadge,N,0,1,New_Grub_Street
Fadge,C,0,1,New_Grub_Street
Fadge,I,0,1,New_Grub_Street
Fadge,A,0,1,New_Grub_Street
Fadge,DC,0,1,New_Grub_Street
Fadge,DN,0,1,New_Grub_Street
Father,N,0,1,New_Grub_Street
Father,C,0,1,New_Grub_Street
Father,I,0,1,New_Grub_Street
Father,A,0,1,New_Grub_Street
Father,DC,0,1,New_Grub_Street
Father,DN,0,1,New_Grub_Street
Hubert Reed,N,0,1,New_Grub_Street
Hubert Reed,C,0,1,New_Grub_Street
Hubert Reed,I,0,1,New_Grub_Street
Hubert Reed,A,0,1,New_Grub_Street
Hubert Reed,DC,0,1,New_Grub_Street
Hubert Reed,DN,0,1,New_Grub_Street
JASPER ’S MAGNANIMITY Occasionally Milvain,N,0,1,New_Grub_Street
JASPER ’S MAGNANIMITY Occasionally Milvain,C,0,1,New_Grub_Street
JASPER ’S MAGNANIMITY Occasionally Milvain,I,0,1,New_Grub_Street
JASPER ’S MAGNANIMITY Occasionally Milvain,A,0,1,New_Grub_Street
JASPER ’S MAGNANIMITY Occasionally Milvain,DC,0,1,New_Grub_Street
JASPER ’S MAGNANIMITY Occasionally Milvain,DN,0,1,New_Grub_Street
Jack,N,0,1,New_Grub_Street
Jack,C,0,1,New_Grub_Street
Jack,I,0,1,New_Grub_Street
Jack,A,0,1,New_Grub_Street
Jack,DC,0,1,New_Grub_Street
Jack,DN,0,1,New_Grub_Street
Jasper,N,0,1,New_Grub_Street
Jasper,C,0,1,New_Grub_Street
Jasper,I,0,1,New_Grub_Street
Jasper,A,0,1,New_Grub_Street
Jasper,DC,0,1,New_Grub_Street
Jasper,DN,0,1,New_Grub_Street
Jedwood,N,0,1,New_Grub_Street
Jedwood,C,0,1,New_Grub_Street
Jedwood,I,0,1,New_Grub_Street
Jedwood,A,0,1,New_Grub_Street
Jedwood,DC,0,1,New_Grub_Street
Jedwood,DN,0,1,New_Grub_Street
John,N,0,1,New_Grub_Street
John,C,0,1,New_Grub_Street
John,I,0,1,New_Grub_Street
John,A,0,1,New_Grub_Street
John,DC,0,1,New_Grub_Street
John,DN,0,1,New_Grub_Street
Jolly,N,0,1,New_Grub_Street
Jolly,C,0,1,New_Grub_Street
Jolly,I,0,1,New_Grub_Street
Jolly,A,0,1,New_Grub_Street
Jolly,DC,0,1,New_Grub_Street
Jolly,DN,0,1,New_Grub_Street
Jove,N,0,1,New_Grub_Street
Jove,C,0,1,New_Grub_Street
Jove,I,0,1,New_Grub_Street
Jove,A,0,1,New_Grub_Street
Jove,DC,0,1,New_Grub_Street
Jove,DN,0,1,New_Grub_Street
Marian,N,0,1,New_Grub_Street
Marian,C,0,1,New_Grub_Street
Marian,I,0,1,New_Grub_Street
Marian,A,0,1,New_Grub_Street
Marian,DC,0,1,New_Grub_Street
Marian,DN,0,1,New_Grub_Street
Markland,N,0,1,New_Grub_Street
Markland,C,0,1,New_Grub_Street
Markland,I,0,1,New_Grub_Street
Markland,A,0,1,New_Grub_Street
Markland,DC,0,1,New_Grub_Street
Markland,DN,0,1,New_Grub_Street
Maud,N,0,1,New_Grub_Street
Maud,C,0,1,New_Grub_Street
Maud,I,0,1,New_Grub_Street
Maud,A,0,1,New_Grub_Street
Maud,DC,0,1,New_Grub_Street
Maud,DN,0,1,New_Grub_Street
Miss Harrow,N,0,1,New_Grub_Street
Miss Harrow,C,0,1,New_Grub_Street
Miss Harrow,I,0,1,New_Grub_Street
Miss Harrow,A,0,1,New_Grub_Street
Miss Harrow,DC,0,1,New_Grub_Street
Miss Harrow,DN,0,1,New_Grub_Street
Miss Radway,N,0,1,New_Grub_Street
Miss Radway,C,0,1,New_Grub_Street
Miss Radway,I,0,1,New_Grub_Street
Miss Radway,A,0,1,New_Grub_Street
Miss Radway,DC,0,1,New_Grub_Street
Miss Radway,DN,0,1,New_Grub_Street
Miss Rupert,N,0,1,New_Grub_Street
Miss Rupert,C,0,1,New_Grub_Street
Miss Rupert,I,0,1,New_Grub_Street
Miss Rupert,A,0,1,New_Grub_Street
Miss Rupert,DC,0,1,New_Grub_Street
Miss Rupert,DN,0,1,New_Grub_Street
Miss Yule,N,0,1,New_Grub_Street
Miss Yule,C,0,1,New_Grub_Street
Miss Yule,I,0,1,New_Grub_Street
Miss Yule,A,0,1,New_Grub_Street
Miss Yule,DC,0,1,New_Grub_Street
Miss Yule,DN,0,1,New_Grub_Street
Monk,N,0,1,New_Grub_Street
Monk,C,0,1,New_Grub_Street
Monk,I,0,1,New_Grub_Street
Monk,A,0,1,New_Grub_Street
Monk,DC,0,1,New_Grub_Street
Monk,DN,0,1,New_Grub_Street
Mortimer,N,0,1,New_Grub_Street
Mortimer,C,0,1,New_Grub_Street
Mortimer,I,0,1,New_Grub_Street
Mortimer,A,0,1,New_Grub_Street
Mortimer,DC,0,1,New_Grub_Street
Mortimer,DN,0,1,New_Grub_Street
Mother,N,0,1,New_Grub_Street
Mother,C,0,1,New_Grub_Street
Mother,I,0,1,New_Grub_Street
Mother,A,0,1,New_Grub_Street
Mother,DC,0,1,New_Grub_Street
Mother,DN,0,1,New_Grub_Street
Mr Bailey,N,0,1,New_Grub_Street
Mr Bailey,C,0,1,New_Grub_Street
Mr Bailey,I,0,1,New_Grub_Street
Mr Bailey,A,0,1,New_Grub_Street
Mr Bailey,DC,0,1,New_Grub_Street
Mr Bailey,DN,0,1,New_Grub_Street
Mr Baker,N,0,1,New_Grub_Street
Mr Baker,C,0,1,New_Grub_Street
Mr Baker,I,0,1,New_Grub_Street
Mr Baker,A,0,1,New_Grub_Street
Mr Baker,DC,0,1,New_Grub_Street
Mr Baker,DN,0,1,New_Grub_Street
Mr Briggs,N,0,1,New_Grub_Street
Mr Briggs,C,0,1,New_Grub_Street
Mr Briggs,I,0,1,New_Grub_Street
Mr Briggs,A,0,1,New_Grub_Street
Mr Briggs,DC,0,1,New_Grub_Street
Mr Briggs,DN,0,1,New_Grub_Street
Mr Freeman Sterling,N,0,1,New_Grub_Street
Mr Freeman Sterling,C,0,1,New_Grub_Street
Mr Freeman Sterling,I,0,1,New_Grub_Street
Mr Freeman Sterling,A,0,1,New_Grub_Street
Mr Freeman Sterling,DC,0,1,New_Grub_Street
Mr Freeman Sterling,DN,0,1,New_Grub_Street
Mr Gorbutt,N,0,1,New_Grub_Street
Mr Gorbutt,C,0,1,New_Grub_Street
Mr Gorbutt,I,0,1,New_Grub_Street
Mr Gorbutt,A,0,1,New_Grub_Street
