character,tag,count,chapter,novel
ANON,N,0,1,North_and_South
ANON,C,0,1,North_and_South
ANON,I,0,1,North_and_South
ANON,A,0,1,North_and_South
ANON,DC,0,1,North_and_South
ANON,DN,0,1,North_and_South
Aunt Hale,N,0,1,North_and_South
Aunt Hale,C,0,1,North_and_South
Aunt Hale,I,0,1,North_and_South
Aunt Hale,A,0,1,North_and_South
Aunt Hale,DC,0,1,North_and_South
Aunt Hale,DN,0,1,North_and_South
Aunt Shaw,N,2,1,North_and_South
Aunt Shaw,C,0,1,North_and_South
Aunt Shaw,I,1,1,North_and_South
Aunt Shaw,A,0,1,North_and_South
Aunt Shaw,DC,1,1,North_and_South
Aunt Shaw,DN,0,1,North_and_South
Bess,N,0,1,North_and_South
Bess,C,0,1,North_and_South
Bess,I,0,1,North_and_South
Bess,A,0,1,North_and_South
Bess,DC,0,1,North_and_South
Bess,DN,0,1,North_and_South
Bessie,N,0,1,North_and_South
Bessie,C,0,1,North_and_South
Bessie,I,0,1,North_and_South
Bessie,A,0,1,North_and_South
Bessie,DC,0,1,North_and_South
Bessie,DN,0,1,North_and_South
Bessy,N,0,1,North_and_South
Bessy,C,0,1,North_and_South
Bessy,I,0,1,North_and_South
Bessy,A,0,1,North_and_South
Bessy,DC,0,1,North_and_South
Bessy,DN,0,1,North_and_South
Betsy,N,0,1,North_and_South
Betsy,C,0,1,North_and_South
Betsy,I,0,1,North_and_South
Betsy,A,0,1,North_and_South
Betsy,DC,0,1,North_and_South
Betsy,DN,0,1,North_and_South
Boucher,N,0,1,North_and_South
Boucher,C,0,1,North_and_South
Boucher,I,0,1,North_and_South
Boucher,A,0,1,North_and_South
Boucher,DC,0,1,North_and_South
Boucher,DN,0,1,North_and_South
Captain Lennox,N,10,1,North_and_South
Captain Lennox,C,0,1,North_and_South
Captain Lennox,I,2,1,North_and_South
Captain Lennox,A,4,1,North_and_South
Captain Lennox,DC,3,1,North_and_South
Captain Lennox,DN,0,1,North_and_South
Captain Reid,N,0,1,North_and_South
Captain Reid,C,0,1,North_and_South
Captain Reid,I,0,1,North_and_South
Captain Reid,A,0,1,North_and_South
Captain Reid,DC,0,1,North_and_South
Captain Reid,DN,0,1,North_and_South
Charlotte,N,0,1,North_and_South
Charlotte,C,0,1,North_and_South
Charlotte,I,0,1,North_and_South
Charlotte,A,0,1,North_and_South
Charlotte,DC,0,1,North_and_South
Charlotte,DN,0,1,North_and_South
DRAYTON,N,0,1,North_and_South
DRAYTON,C,0,1,North_and_South
DRAYTON,I,0,1,North_and_South
DRAYTON,A,0,1,North_and_South
DRAYTON,DC,0,1,North_and_South
DRAYTON,DN,0,1,North_and_South
Dixon,N,0,1,North_and_South
Dixon,C,0,1,North_and_South
Dixon,I,0,1,North_and_South
Dixon,A,0,1,North_and_South
Dixon,DC,0,1,North_and_South
Dixon,DN,0,1,North_and_South
Dolores,N,0,1,North_and_South
Dolores,C,0,1,North_and_South
