character,tag,count,chapter,novel
Ailie,N,0,1,Old_Mortality
Ailie,C,0,1,Old_Mortality
Ailie,I,0,1,Old_Mortality
Ailie,A,0,1,Old_Mortality
Ailie,DC,0,1,Old_Mortality
Ailie,DN,0,1,Old_Mortality
Allan,N,0,1,Old_Mortality
Allan,C,0,1,Old_Mortality
Allan,I,0,1,Old_Mortality
Allan,A,0,1,Old_Mortality
Allan,DC,0,1,Old_Mortality
Allan,DN,0,1,Old_Mortality
Archbishop Sharpe,N,0,1,Old_Mortality
Archbishop Sharpe,C,0,1,Old_Mortality
Archbishop Sharpe,I,0,1,Old_Mortality
Archbishop Sharpe,A,0,1,Old_Mortality
Archbishop Sharpe,DC,0,1,Old_Mortality
Archbishop Sharpe,DN,0,1,Old_Mortality
Aweel,N,0,1,Old_Mortality
Aweel,C,0,1,Old_Mortality
Aweel,I,0,1,Old_Mortality
Aweel,A,0,1,Old_Mortality
Aweel,DC,0,1,Old_Mortality
Aweel,DN,0,1,Old_Mortality
Balfour,N,0,1,Old_Mortality
Balfour,C,0,1,Old_Mortality
Balfour,I,0,1,Old_Mortality
Balfour,A,0,1,Old_Mortality
Balfour,DC,0,1,Old_Mortality
Balfour,DN,0,1,Old_Mortality
Basil Olifant,N,0,1,Old_Mortality
Basil Olifant,C,0,1,Old_Mortality
Basil Olifant,I,0,1,Old_Mortality
Basil Olifant,A,0,1,Old_Mortality
Basil Olifant,DC,0,1,Old_Mortality
Basil Olifant,DN,0,1,Old_Mortality
Bauldy,N,0,1,Old_Mortality
Bauldy,C,0,1,Old_Mortality
Bauldy,I,0,1,Old_Mortality
Bauldy,A,0,1,Old_Mortality
Bauldy,DC,0,1,Old_Mortality
Bauldy,DN,0,1,Old_Mortality
Bessie Maclure,N,0,1,Old_Mortality
Bessie Maclure,C,0,1,Old_Mortality
Bessie Maclure,I,0,1,Old_Mortality
Bessie Maclure,A,0,1,Old_Mortality
Bessie Maclure,DC,0,1,Old_Mortality
Bessie Maclure,DN,0,1,Old_Mortality
Bessie McLure,N,0,1,Old_Mortality
Bessie McLure,C,0,1,Old_Mortality
Bessie McLure,I,0,1,Old_Mortality
Bessie McLure,A,0,1,Old_Mortality
Bessie McLure,DC,0,1,Old_Mortality
Bessie McLure,DN,0,1,Old_Mortality
Bothwell,N,0,1,Old_Mortality
Bothwell,C,0,1,Old_Mortality
Bothwell,I,0,1,Old_Mortality
Bothwell,A,0,1,Old_Mortality
Bothwell,DC,0,1,Old_Mortality
Bothwell,DN,0,1,Old_Mortality
Brother,N,0,1,Old_Mortality
Brother,C,0,1,Old_Mortality
Brother,I,0,1,Old_Mortality
Brother,A,0,1,Old_Mortality
Brother,DC,0,1,Old_Mortality
Brother,DN,0,1,Old_Mortality
Burley,N,0,1,Old_Mortality
Burley,C,0,1,Old_Mortality
Burley,I,0,1,Old_Mortality
Burley,A,0,1,Old_Mortality
Burley,DC,0,1,Old_Mortality
Burley,DN,0,1,Old_Mortality
Cameron,N,0,1,Old_Mortality
Cameron,C,0,1,Old_Mortality
Cameron,I,0,1,Old_Mortality
Cameron,A,0,1,Old_Mortality
Cameron,DC,0,1,Old_Mortality
Cameron,DN,0,1,Old_Mortality
Captain Paton,N,0,1,Old_Mortality
Captain Paton,C,0,1,Old_Mortality
Captain Paton,I,0,1,Old_Mortality
Captain Paton,A,0,1,Old_Mortality
Captain Paton,DC,0,1,Old_Mortality
Captain Paton,DN,0,1,Old_Mortality
Chappins of Yell with Sandy the Keelman,N,0,1,Old_Mortality
Chappins of Yell with Sandy the Keelman,C,0,1,Old_Mortality
Chappins of Yell with Sandy the Keelman,I,0,1,Old_Mortality
