character,tag,count,chapter,novel
Agnes,N,0,1,Oliver_Twist
Agnes,C,0,1,Oliver_Twist
Agnes,I,0,1,Oliver_Twist
Agnes,A,0,1,Oliver_Twist
Agnes,DC,0,1,Oliver_Twist
Agnes,DN,0,1,Oliver_Twist
Barney,N,0,1,Oliver_Twist
Barney,C,0,1,Oliver_Twist
Barney,I,0,1,Oliver_Twist
Barney,A,0,1,Oliver_Twist
Barney,DC,0,1,Oliver_Twist
Barney,DN,0,1,Oliver_Twist
Bet,N,0,1,Oliver_Twist
Bet,C,0,1,Oliver_Twist
Bet,I,0,1,Oliver_Twist
Bet,A,0,1,Oliver_Twist
Bet,DC,0,1,Oliver_Twist
Bet,DN,0,1,Oliver_Twist
Blathers,N,0,1,Oliver_Twist
Blathers,C,0,1,Oliver_Twist
Blathers,I,0,1,Oliver_Twist
Blathers,A,0,1,Oliver_Twist
Blathers,DC,0,1,Oliver_Twist
Blathers,DN,0,1,Oliver_Twist
Brittles,N,0,1,Oliver_Twist
Brittles,C,0,1,Oliver_Twist
Brittles,I,0,1,Oliver_Twist
Brittles,A,0,1,Oliver_Twist
Brittles,DC,0,1,Oliver_Twist
Brittles,DN,0,1,Oliver_Twist
Charlotte,N,0,1,Oliver_Twist
Charlotte,C,0,1,Oliver_Twist
Charlotte,I,0,1,Oliver_Twist
Charlotte,A,0,1,Oliver_Twist
Charlotte,DC,0,1,Oliver_Twist
Charlotte,DN,0,1,Oliver_Twist
Chickweed,N,0,1,Oliver_Twist
Chickweed,C,0,1,Oliver_Twist
Chickweed,I,0,1,Oliver_Twist
Chickweed,A,0,1,Oliver_Twist
Chickweed,DC,0,1,Oliver_Twist
Chickweed,DN,0,1,Oliver_Twist
Cod,N,0,1,Oliver_Twist
Cod,C,0,1,Oliver_Twist
Cod,I,0,1,Oliver_Twist
Cod,A,0,1,Oliver_Twist
Cod,DC,0,1,Oliver_Twist
Cod,DN,0,1,Oliver_Twist
Dick,N,0,1,Oliver_Twist
Dick,C,0,1,Oliver_Twist
Dick,I,0,1,Oliver_Twist
Dick,A,0,1,Oliver_Twist
Dick,DC,0,1,Oliver_Twist
Dick,DN,0,1,Oliver_Twist
Duff,N,0,1,Oliver_Twist
Duff,C,0,1,Oliver_Twist
Duff,I,0,1,Oliver_Twist
Duff,A,0,1,Oliver_Twist
Duff,DC,0,1,Oliver_Twist
Duff,DN,0,1,Oliver_Twist
Fagin,N,1,1,Oliver_Twist
Fagin,C,0,1,Oliver_Twist
Fagin,I,0,1,Oliver_Twist
Fagin,A,0,1,Oliver_Twist
Fagin,DC,0,1,Oliver_Twist
Fagin,DN,0,1,Oliver_Twist
Faguey,N,0,1,Oliver_Twist
Faguey,C,0,1,Oliver_Twist
Faguey,I,0,1,Oliver_Twist
Faguey,A,0,1,Oliver_Twist
Faguey,DC,0,1,Oliver_Twist
Faguey,DN,0,1,Oliver_Twist
God,N,0,1,Oliver_Twist
God,C,0,1,Oliver_Twist
God,I,0,1,Oliver_Twist
God,A,0,1,Oliver_Twist
God,DC,0,1,Oliver_Twist
God,DN,0,1,Oliver_Twist
Harry,N,0,1,Oliver_Twist
Harry,C,0,1,Oliver_Twist
Harry,I,0,1,Oliver_Twist
Harry,A,0,1,Oliver_Twist
Harry,DC,0,1,Oliver_Twist
Harry,DN,0,1,Oliver_Twist
Heaven,N,0,1,Oliver_Twist
Heaven,C,0,1,Oliver_Twist
Heaven,I,0,1,Oliver_Twist
Heaven,A,0,1,Oliver_Twist
Heaven,DC,0,1,Oliver_Twist
Heaven,DN,0,1,Oliver_Twist
Jack Dawkins,N,0,1,Oliver_Twist
Jack Dawkins,C,0,1,Oliver_Twist
Jack Dawkins,I,0,1,Oliver_Twist
Jack Dawkins,A,0,1,Oliver_Twist
Jack Dawkins,DC,0,1,Oliver_Twist
Jack Dawkins,DN,0,1,Oliver_Twist
Kags,N,0,1,Oliver_Twist
Kags,C,0,1,Oliver_Twist
Kags,I,0,1,Oliver_Twist
Kags,A,0,1,Oliver_Twist
Kags,DC,0,1,Oliver_Twist
Kags,DN,0,1,Oliver_Twist
Little Oliver,N,0,1,Oliver_Twist
Little Oliver,C,0,1,Oliver_Twist
Little Oliver,I,0,1,Oliver_Twist
Little Oliver,A,0,1,Oliver_Twist
Little Oliver,DC,0,1,Oliver_Twist
Little Oliver,DN,0,1,Oliver_Twist
Lor,N,0,1,Oliver_Twist
Lor,C,0,1,Oliver_Twist
Lor,I,0,1,Oliver_Twist
Lor,A,0,1,Oliver_Twist
Lor,DC,0,1,Oliver_Twist
Lor,DN,0,1,Oliver_Twist
Master Bates,N,0,1,Oliver_Twist
Master Bates,C,0,1,Oliver_Twist
Master Bates,I,0,1,Oliver_Twist
Master Bates,A,0,1,Oliver_Twist
Master Bates,DC,0,1,Oliver_Twist
Master Bates,DN,0,1,Oliver_Twist
Messrs. Blathers,N,0,1,Oliver_Twist
Messrs. Blathers,C,0,1,Oliver_Twist
Messrs. Blathers,I,0,1,Oliver_Twist
Messrs. Blathers,A,0,1,Oliver_Twist
Messrs. Blathers,DC,0,1,Oliver_Twist
Messrs. Blathers,DN,0,1,Oliver_Twist
Miss Maylie,N,0,1,Oliver_Twist
Miss Maylie,C,0,1,Oliver_Twist
Miss Maylie,I,0,1,Oliver_Twist
Miss Maylie,A,0,1,Oliver_Twist
Miss Maylie,DC,0,1,Oliver_Twist
Miss Maylie,DN,0,1,Oliver_Twist
Monks,N,0,1,Oliver_Twist
Monks,C,0,1,Oliver_Twist
Monks,I,0,1,Oliver_Twist
Monks,A,0,1,Oliver_Twist
Monks,DC,0,1,Oliver_Twist
Monks,DN,0,1,Oliver_Twist
Mr. Bolter,N,0,1,Oliver_Twist
Mr. Bolter,C,0,1,Oliver_Twist
Mr. Bolter,I,0,1,Oliver_Twist
Mr. Bolter,A,0,1,Oliver_Twist
Mr. Bolter,DC,0,1,Oliver_Twist
Mr. Bolter,DN,0,1,Oliver_Twist
Mr. Browlow,N,0,1,Oliver_Twist
Mr. Browlow,C,0,1,Oliver_Twist
Mr. Browlow,I,0,1,Oliver_Twist
Mr. Browlow,A,0,1,Oliver_Twist
Mr. Browlow,DC,0,1,Oliver_Twist
Mr. Browlow,DN,0,1,Oliver_Twist
Mr. Brownlow,N,1,1,Oliver_Twist
Mr. Brownlow,C,0,1,Oliver_Twist
Mr. Brownlow,I,0,1,Oliver_Twist
Mr. Brownlow,A,1,1,Oliver_Twist
Mr. Brownlow,DC,0,1,Oliver_Twist
Mr. Brownlow,DN,0,1,Oliver_Twist
Mr. Bumble,N,1,1,Oliver_Twist
Mr. Bumble,C,0,1,Oliver_Twist
Mr. Bumble,I,0,1,Oliver_Twist
Mr. Bumble,A,0,1,Oliver_Twist
Mr. Bumble,DC,0,1,Oliver_Twist
Mr. Bumble,DN,0,1,Oliver_Twist
