character,tag,count,chapter,novel
Alfred David,N,0,1,Our_Mutual_Friend
Alfred David,C,0,1,Our_Mutual_Friend
Alfred David,I,0,1,Our_Mutual_Friend
Alfred David,A,0,1,Our_Mutual_Friend
Alfred David,DC,0,1,Our_Mutual_Friend
Alfred David,DN,0,1,Our_Mutual_Friend
Alfred Lammle Esquire,N,0,1,Our_Mutual_Friend
Alfred Lammle Esquire,C,0,1,Our_Mutual_Friend
Alfred Lammle Esquire,I,0,1,Our_Mutual_Friend
Alfred Lammle Esquire,A,0,1,Our_Mutual_Friend
Alfred Lammle Esquire,DC,0,1,Our_Mutual_Friend
Alfred Lammle Esquire,DN,0,1,Our_Mutual_Friend
Analytical Chemist,N,0,1,Our_Mutual_Friend
Analytical Chemist,C,0,1,Our_Mutual_Friend
Analytical Chemist,I,0,1,Our_Mutual_Friend
Analytical Chemist,A,0,1,Our_Mutual_Friend
Analytical Chemist,DC,0,1,Our_Mutual_Friend
Analytical Chemist,DN,0,1,Our_Mutual_Friend
Aunt Jane,N,0,1,Our_Mutual_Friend
Aunt Jane,C,0,1,Our_Mutual_Friend
Aunt Jane,I,0,1,Our_Mutual_Friend
Aunt Jane,A,0,1,Our_Mutual_Friend
Aunt Jane,DC,0,1,Our_Mutual_Friend
Aunt Jane,DN,0,1,Our_Mutual_Friend
Baby,N,0,1,Our_Mutual_Friend
Baby,C,0,1,Our_Mutual_Friend
Baby,I,0,1,Our_Mutual_Friend
Baby,A,0,1,Our_Mutual_Friend
Baby,DC,0,1,Our_Mutual_Friend
Baby,DN,0,1,Our_Mutual_Friend
Bella,N,0,1,Our_Mutual_Friend
Bella,C,0,1,Our_Mutual_Friend
Bella,I,0,1,Our_Mutual_Friend
Bella,A,0,1,Our_Mutual_Friend
Bella,DC,0,1,Our_Mutual_Friend
Bella,DN,0,1,Our_Mutual_Friend
Betty,N,0,1,Our_Mutual_Friend
Betty,C,0,1,Our_Mutual_Friend
Betty,I,0,1,Our_Mutual_Friend
Betty,A,0,1,Our_Mutual_Friend
Betty,DC,0,1,Our_Mutual_Friend
Betty,DN,0,1,Our_Mutual_Friend
Bob Glamour,N,0,1,Our_Mutual_Friend
Bob Glamour,C,0,1,Our_Mutual_Friend
Bob Glamour,I,0,1,Our_Mutual_Friend
Bob Glamour,A,0,1,Our_Mutual_Friend
Bob Glamour,DC,0,1,Our_Mutual_Friend
Bob Glamour,DN,0,1,Our_Mutual_Friend
Bof,N,0,1,Our_Mutual_Friend
Bof,C,0,1,Our_Mutual_Friend
Bof,I,0,1,Our_Mutual_Friend
Bof,A,0,1,Our_Mutual_Friend
Bof,DC,0,1,Our_Mutual_Friend
Bof,DN,0,1,Our_Mutual_Friend
Boffin,N,0,1,Our_Mutual_Friend
Boffin,C,0,1,Our_Mutual_Friend
Boffin,I,0,1,Our_Mutual_Friend
Boffin,A,0,1,Our_Mutual_Friend
Boffin,DC,0,1,Our_Mutual_Friend
Boffin,DN,0,1,Our_Mutual_Friend
Boots,N,0,1,Our_Mutual_Friend
Boots,C,0,1,Our_Mutual_Friend
Boots,I,0,1,Our_Mutual_Friend
Boots,A,0,1,Our_Mutual_Friend
Boots,DC,0,1,Our_Mutual_Friend
Boots,DN,0,1,Our_Mutual_Friend
Bradley,N,0,1,Our_Mutual_Friend
Bradley,C,0,1,Our_Mutual_Friend
Bradley,I,0,1,Our_Mutual_Friend
Bradley,A,0,1,Our_Mutual_Friend
Bradley,DC,0,1,Our_Mutual_Friend
Bradley,DN,0,1,Our_Mutual_Friend
Brewer,N,0,1,Our_Mutual_Friend
Brewer,C,0,1,Our_Mutual_Friend
Brewer,I,0,1,Our_Mutual_Friend
Brewer,A,0,1,Our_Mutual_Friend
Brewer,DC,0,1,Our_Mutual_Friend
Brewer,DN,0,1,Our_Mutual_Friend
Brother,N,0,1,Our_Mutual_Friend
Brother,C,0,1,Our_Mutual_Friend
Brother,I,0,1,Our_Mutual_Friend
Brother,A,0,1,Our_Mutual_Friend
Brother,DC,0,1,Our_Mutual_Friend
Brother,DN,0,1,Our_Mutual_Friend
Buffer,N,0,1,Our_Mutual_Friend
Buffer,C,0,1,Our_Mutual_Friend
