character,tag,count,chapter,novel
Angel,N,0,1,Paul_Clifford
Angel,C,0,1,Paul_Clifford
Angel,I,0,1,Paul_Clifford
Angel,A,0,1,Paul_Clifford
Angel,DC,0,1,Paul_Clifford
Angel,DN,0,1,Paul_Clifford
Attie,N,0,1,Paul_Clifford
Attie,C,0,1,Paul_Clifford
Attie,I,0,1,Paul_Clifford
Attie,A,0,1,Paul_Clifford
Attie,DC,0,1,Paul_Clifford
Attie,DN,0,1,Paul_Clifford
BAILLIE,N,0,1,Paul_Clifford
BAILLIE,C,0,1,Paul_Clifford
BAILLIE,I,0,1,Paul_Clifford
BAILLIE,A,0,1,Paul_Clifford
BAILLIE,DC,0,1,Paul_Clifford
BAILLIE,DN,0,1,Paul_Clifford
Bachelor Bill,N,0,1,Paul_Clifford
Bachelor Bill,C,0,1,Paul_Clifford
Bachelor Bill,I,0,1,Paul_Clifford
Bachelor Bill,A,0,1,Paul_Clifford
Bachelor Bill,DC,0,1,Paul_Clifford
Bachelor Bill,DN,0,1,Paul_Clifford
Bacon,N,0,1,Paul_Clifford
Bacon,C,0,1,Paul_Clifford
Bacon,I,0,1,Paul_Clifford
Bacon,A,0,1,Paul_Clifford
Bacon,DC,0,1,Paul_Clifford
Bacon,DN,0,1,Paul_Clifford
Bagshot,N,0,1,Paul_Clifford
Bagshot,C,0,1,Paul_Clifford
Bagshot,I,0,1,Paul_Clifford
Bagshot,A,0,1,Paul_Clifford
Bagshot,DC,0,1,Paul_Clifford
Bagshot,DN,0,1,Paul_Clifford
Barlow,N,0,1,Paul_Clifford
Barlow,C,0,1,Paul_Clifford
Barlow,I,0,1,Paul_Clifford
Barlow,A,0,1,Paul_Clifford
Barlow,DC,0,1,Paul_Clifford
Barlow,DN,0,1,Paul_Clifford
Ben,N,0,1,Paul_Clifford
Ben,C,0,1,Paul_Clifford
Ben,I,0,1,Paul_Clifford
Ben,A,0,1,Paul_Clifford
Ben,DC,0,1,Paul_Clifford
Ben,DN,0,1,Paul_Clifford
Bill Fang,N,0,1,Paul_Clifford
Bill Fang,C,0,1,Paul_Clifford
Bill Fang,I,0,1,Paul_Clifford
Bill Fang,A,0,1,Paul_Clifford
Bill Fang,DC,0,1,Paul_Clifford
Bill Fang,DN,0,1,Paul_Clifford
Bill Troutling,N,0,1,Paul_Clifford
Bill Troutling,C,0,1,Paul_Clifford
Bill Troutling,I,0,1,Paul_Clifford
Bill Troutling,A,0,1,Paul_Clifford
Bill Troutling,DC,0,1,Paul_Clifford
Bill Troutling,DN,0,1,Paul_Clifford
Brandon,N,0,1,Paul_Clifford
Brandon,C,0,1,Paul_Clifford
Brandon,I,0,1,Paul_Clifford
Brandon,A,0,1,Paul_Clifford
Brandon,DC,0,1,Paul_Clifford
Brandon,DN,0,1,Paul_Clifford
Cardinal Richelieu,N,0,1,Paul_Clifford
Cardinal Richelieu,C,0,1,Paul_Clifford
Cardinal Richelieu,I,0,1,Paul_Clifford
Cardinal Richelieu,A,0,1,Paul_Clifford
