character,tag,count,chapter,novel
Alcides,N,0,1,Pendennis
Alcides,C,0,1,Pendennis
Alcides,I,0,1,Pendennis
Alcides,A,0,1,Pendennis
Alcides,DC,0,1,Pendennis
Alcides,DN,0,1,Pendennis
Alnaschar,N,0,1,Pendennis
Alnaschar,C,0,1,Pendennis
Alnaschar,I,0,1,Pendennis
Alnaschar,A,0,1,Pendennis
Alnaschar,DC,0,1,Pendennis
Alnaschar,DN,0,1,Pendennis
Altamont,N,0,1,Pendennis
Altamont,C,0,1,Pendennis
Altamont,I,0,1,Pendennis
Altamont,A,0,1,Pendennis
Altamont,DC,0,1,Pendennis
Altamont,DN,0,1,Pendennis
Ameliar - Ann,N,0,1,Pendennis
Ameliar - Ann,C,0,1,Pendennis
Ameliar - Ann,I,0,1,Pendennis
Ameliar - Ann,A,0,1,Pendennis
Ameliar - Ann,DC,0,1,Pendennis
Ameliar - Ann,DN,0,1,Pendennis
Anatole,N,0,1,Pendennis
Anatole,C,0,1,Pendennis
Anatole,I,0,1,Pendennis
Anatole,A,0,1,Pendennis
Anatole,DC,0,1,Pendennis
Anatole,DN,0,1,Pendennis
Archer,N,0,1,Pendennis
Archer,C,0,1,Pendennis
Archer,I,0,1,Pendennis
Archer,A,0,1,Pendennis
Archer,DC,0,1,Pendennis
Archer,DN,0,1,Pendennis
Ariadne,N,0,1,Pendennis
Ariadne,C,0,1,Pendennis
Ariadne,I,0,1,Pendennis
Ariadne,A,0,1,Pendennis
Ariadne,DC,0,1,Pendennis
Ariadne,DN,0,1,Pendennis
Arthur,N,0,1,Pendennis
Arthur,C,0,1,Pendennis
Arthur,I,0,1,Pendennis
Arthur,A,0,1,Pendennis
Arthur,DC,0,1,Pendennis
Arthur,DN,0,1,Pendennis
Arthur Pendennis of Crecy,N,0,1,Pendennis
Arthur Pendennis of Crecy,C,0,1,Pendennis
Arthur Pendennis of Crecy,I,0,1,Pendennis
Arthur Pendennis of Crecy,A,0,1,Pendennis
Arthur Pendennis of Crecy,DC,0,1,Pendennis
Arthur Pendennis of Crecy,DN,0,1,Pendennis
Bacon,N,0,1,Pendennis
Bacon,C,0,1,Pendennis
Bacon,I,0,1,Pendennis
Bacon,A,0,1,Pendennis
Bacon,DC,0,1,Pendennis
Bacon,DN,0,1,Pendennis
Bareacres,N,0,1,Pendennis
Bareacres,C,0,1,Pendennis
Bareacres,I,0,1,Pendennis
Bareacres,A,0,1,Pendennis
Bareacres,DC,0,1,Pendennis
Bareacres,DN,0,1,Pendennis
Beatrice,N,0,1,Pendennis
Beatrice,C,0,1,Pendennis
Beatrice,I,0,1,Pendennis
Beatrice,A,0,1,Pendennis
Beatrice,DC,0,1,Pendennis
Beatrice,DN,0,1,Pendennis
Bedad,N,0,1,Pendennis
Bedad,C,0,1,Pendennis
Bedad,I,0,1,Pendennis
Bedad,A,0,1,Pendennis
Bedad,DC,0,1,Pendennis
Bedad,DN,0,1,Pendennis
Begad,N,0,1,Pendennis
Begad,C,0,1,Pendennis
Begad,I,0,1,Pendennis
Begad,A,0,1,Pendennis
