character,tag,count,chapter,novel
Admiral Baldwin,N,0,1,Persuasion
Admiral Baldwin,C,0,1,Persuasion
Admiral Baldwin,I,0,1,Persuasion
Admiral Baldwin,A,0,1,Persuasion
Admiral Baldwin,DC,0,1,Persuasion
Admiral Baldwin,DN,0,1,Persuasion
Admiral Croft,N,0,1,Persuasion
Admiral Croft,C,0,1,Persuasion
Admiral Croft,I,0,1,Persuasion
Admiral Croft,A,0,1,Persuasion
Admiral Croft,DC,0,1,Persuasion
Admiral Croft,DN,0,1,Persuasion
Anne,N,0,1,Persuasion
Anne,C,0,1,Persuasion
Anne,I,0,1,Persuasion
Anne,A,0,1,Persuasion
Anne,DC,0,1,Persuasion
Anne,DN,0,1,Persuasion
Captain Benwick,N,0,1,Persuasion
Captain Benwick,C,0,1,Persuasion
Captain Benwick,I,0,1,Persuasion
Captain Benwick,A,0,1,Persuasion
Captain Benwick,DC,0,1,Persuasion
Captain Benwick,DN,0,1,Persuasion
Captain Harville,N,0,1,Persuasion
Captain Harville,C,0,1,Persuasion
Captain Harville,I,0,1,Persuasion
Captain Harville,A,0,1,Persuasion
Captain Harville,DC,0,1,Persuasion
Captain Harville,DN,0,1,Persuasion
Captain Wentworth,N,0,1,Persuasion
Captain Wentworth,C,0,1,Persuasion
Captain Wentworth,I,0,1,Persuasion
Captain Wentworth,A,0,1,Persuasion
Captain Wentworth,DC,0,1,Persuasion
Captain Wentworth,DN,0,1,Persuasion
Charles,N,0,1,Persuasion
Charles,C,0,1,Persuasion
Charles,I,0,1,Persuasion
Charles,A,0,1,Persuasion
Charles,DC,0,1,Persuasion
Charles,DN,0,1,Persuasion
Colonel Wallis,N,0,1,Persuasion
Colonel Wallis,C,0,1,Persuasion
Colonel Wallis,I,0,1,Persuasion
Colonel Wallis,A,0,1,Persuasion
Colonel Wallis,DC,0,1,Persuasion
Colonel Wallis,DN,0,1,Persuasion
Dear Smith,N,0,1,Persuasion
Dear Smith,C,0,1,Persuasion
Dear Smith,I,0,1,Persuasion
Dear Smith,A,0,1,Persuasion
Dear Smith,DC,0,1,Persuasion
Dear Smith,DN,0,1,Persuasion
Dick,N,0,1,Persuasion
Dick,C,0,1,Persuasion
Dick,I,0,1,Persuasion
Dick,A,0,1,Persuasion
Dick,DC,0,1,Persuasion
Dick,DN,0,1,Persuasion
Dr Shirley,N,0,1,Persuasion
Dr Shirley,C,0,1,Persuasion
Dr Shirley,I,0,1,Persuasion
Dr Shirley,A,0,1,Persuasion
Dr Shirley,DC,0,1,Persuasion
Dr Shirley,DN,0,1,Persuasion
Edward,N,0,1,Persuasion
Edward,C,0,1,Persuasion
Edward,I,0,1,Persuasion
Edward,A,0,1,Persuasion
Edward,DC,0,1,Persuasion
Edward,DN,0,1,Persuasion
Elizabeth,N,0,1,Persuasion
Elizabeth,C,0,1,Persuasion
Elizabeth,I,0,1,Persuasion
Elizabeth,A,0,1,Persuasion
Elizabeth,DC,0,1,Persuasion
Elizabeth,DN,0,1,Persuasion
Frederick,N,0,1,Persuasion
Frederick,C,0,1,Persuasion
Frederick,I,0,1,Persuasion
Frederick,A,0,1,Persuasion
Frederick,DC,0,1,Persuasion
Frederick,DN,0,1,Persuasion
God,N,0,1,Persuasion
God,C,0,1,Persuasion
God,I,0,1,Persuasion
God,A,0,1,Persuasion
God,DC,0,1,Persuasion
God,DN,0,1,Persuasion
Henrietta,N,0,1,Persuasion
Henrietta,C,0,1,Persuasion
Henrietta,I,0,1,Persuasion
Henrietta,A,0,1,Persuasion
Henrietta,DC,0,1,Persuasion
Henrietta,DN,0,1,Persuasion
Jemima,N,0,1,Persuasion
Jemima,C,0,1,Persuasion
Jemima,I,0,1,Persuasion
Jemima,A,0,1,Persuasion
Jemima,DC,0,1,Persuasion
Jemima,DN,0,1,Persuasion
Kellynch,N,0,1,Persuasion
Kellynch,C,0,1,Persuasion
Kellynch,I,0,1,Persuasion
Kellynch,A,0,1,Persuasion
Kellynch,DC,0,1,Persuasion
Kellynch,DN,0,1,Persuasion
Lady Dalrymple,N,0,1,Persuasion
Lady Dalrymple,C,0,1,Persuasion
Lady Dalrymple,I,0,1,Persuasion
Lady Dalrymple,A,0,1,Persuasion
Lady Dalrymple,DC,0,1,Persuasion
Lady Dalrymple,DN,0,1,Persuasion
Lady Elliot,N,0,1,Persuasion
Lady Elliot,C,0,1,Persuasion
Lady Elliot,I,0,1,Persuasion
Lady Elliot,A,0,1,Persuasion
Lady Elliot,DC,0,1,Persuasion
Lady Elliot,DN,0,1,Persuasion
Lady Russell,N,0,1,Persuasion
Lady Russell,C,0,1,Persuasion
Lady Russell,I,0,1,Persuasion
Lady Russell,A,0,1,Persuasion
Lady Russell,DC,0,1,Persuasion
Lady Russell,DN,0,1,Persuasion
Louisa,N,0,1,Persuasion
Louisa,C,0,1,Persuasion
Louisa,I,0,1,Persuasion
Louisa,A,0,1,Persuasion
Louisa,DC,0,1,Persuasion
Louisa,DN,0,1,Persuasion
Mary,N,0,1,Persuasion
Mary,C,0,1,Persuasion
Mary,I,0,1,Persuasion
Mary,A,0,1,Persuasion
Mary,DC,0,1,Persuasion
Mary,DN,0,1,Persuasion
Miss Atkinson,N,0,1,Persuasion
Miss Atkinson,C,0,1,Persuasion
Miss Atkinson,I,0,1,Persuasion
Miss Atkinson,A,0,1,Persuasion
Miss Atkinson,DC,0,1,Persuasion
Miss Atkinson,DN,0,1,Persuasion
Miss Carteret,N,0,1,Persuasion
Miss Carteret,C,0,1,Persuasion
Miss Carteret,I,0,1,Persuasion
Miss Carteret,A,0,1,Persuasion
Miss Carteret,DC,0,1,Persuasion
Miss Carteret,DN,0,1,Persuasion
Miss Hamilton,N,0,1,Persuasion
Miss Hamilton,C,0,1,Persuasion
Miss Hamilton,I,0,1,Persuasion
Miss Hamilton,A,0,1,Persuasion
Miss Hamilton,DC,0,1,Persuasion
Miss Hamilton,DN,0,1,Persuasion
Mr Elliot,N,0,1,Persuasion
Mr Elliot,C,0,1,Persuasion
Mr Elliot,I,0,1,Persuasion
Mr Elliot,A,0,1,Persuasion
Mr Elliot,DC,0,1,Persuasion
Mr Elliot,DN,0,1,Persuasion
Mr Shepherd,N,0,1,Persuasion
Mr Shepherd,C,0,1,Persuasion
Mr Shepherd,I,0,1,Persuasion
Mr Shepherd,A,0,1,Persuasion
Mr Shepherd,DC,0,1,Persuasion
Mr Shepherd,DN,0,1,Persuasion
Mr Smith,N,0,1,Persuasion
Mr Smith,C,0,1,Persuasion
Mr Smith,I,0,1,Persuasion
Mr Smith,A,0,1,Persuasion
Mr Smith,DC,0,1,Persuasion
Mr Smith,DN,0,1,Persuasion
Mr Wentworth,N,0,1,Persuasion
Mr Wentworth,C,0,1,Persuasion
Mr Wentworth,I,0,1,Persuasion
Mr Wentworth,A,0,1,Persuasion
Mr Wentworth,DC,0,1,Persuasion
Mr Wentworth,DN,0,1,Persuasion
Mrs Clay,N,0,1,Persuasion
Mrs Clay,C,0,1,Persuasion
Mrs Clay,I,0,1,Persuasion
Mrs Clay,A,0,1,Persuasion
Mrs Clay,DC,0,1,Persuasion
Mrs Clay,DN,0,1,Persuasion
Mrs Croft,N,0,1,Persuasion
Mrs Croft,C,0,1,Persuasion
Mrs Croft,I,0,1,Persuasion
Mrs Croft,A,0,1,Persuasion
Mrs Croft,DC,0,1,Persuasion
Mrs Croft,DN,0,1,Persuasion
Mrs Harville,N,0,1,Persuasion
Mrs Harville,C,0,1,Persuasion
Mrs Harville,I,0,1,Persuasion
Mrs Harville,A,0,1,Persuasion
Mrs Harville,DC,0,1,Persuasion
Mrs Harville,DN,0,1,Persuasion
Mrs Musgrove,N,0,1,Persuasion
Mrs Musgrove,C,0,1,Persuasion
Mrs Musgrove,I,0,1,Persuasion
Mrs Musgrove,A,0,1,Persuasion
Mrs Musgrove,DC,0,1,Persuasion
Mrs Musgrove,DN,0,1,Persuasion
Mrs Rooke,N,0,1,Persuasion
Mrs Rooke,C,0,1,Persuasion
Mrs Rooke,I,0,1,Persuasion
Mrs Rooke,A,0,1,Persuasion
Mrs Rooke,DC,0,1,Persuasion
Mrs Rooke,DN,0,1,Persuasion
Mrs Shirley,N,0,1,Persuasion
Mrs Shirley,C,0,1,Persuasion
Mrs Shirley,I,0,1,Persuasion
Mrs Shirley,A,0,1,Persuasion
Mrs Shirley,DC,0,1,Persuasion
Mrs Shirley,DN,0,1,Persuasion
Mrs Smith,N,0,1,Persuasion
Mrs Smith,C,0,1,Persuasion
Mrs Smith,I,0,1,Persuasion
Mrs Smith,A,0,1,Persuasion
Mrs Smith,DC,0,1,Persuasion
Mrs Smith,DN,0,1,Persuasion
Mrs Wallis,N,0,1,Persuasion
Mrs Wallis,C,0,1,Persuasion
Mrs Wallis,I,0,1,Persuasion
Mrs Wallis,A,0,1,Persuasion
Mrs Wallis,DC,0,1,Persuasion
Mrs Wallis,DN,0,1,Persuasion
Nurse Rooke,N,0,1,Persuasion
Nurse Rooke,C,0,1,Persuasion
Nurse Rooke,I,0,1,Persuasion
Nurse Rooke,A,0,1,Persuasion
Nurse Rooke,DC,0,1,Persuasion
Nurse Rooke,DN,0,1,Persuasion
Penelope,N,0,1,Persuasion
Penelope,C,0,1,Persuasion
Penelope,I,0,1,Persuasion
Penelope,A,0,1,Persuasion
Penelope,DC,0,1,Persuasion
Penelope,DN,0,1,Persuasion
Sir Walter,N,0,1,Persuasion
Sir Walter,C,0,1,Persuasion
Sir Walter,I,0,1,Persuasion
Sir Walter,A,0,1,Persuasion
Sir Walter,DC,0,1,Persuasion
Sir Walter,DN,0,1,Persuasion
Sophy,N,0,1,Persuasion
Sophy,C,0,1,Persuasion
Sophy,I,0,1,Persuasion
Sophy,A,0,1,Persuasion
Sophy,DC,0,1,Persuasion
Sophy,DN,0,1,Persuasion
The Mr Musgroves,N,0,1,Persuasion
The Mr Musgroves,C,0,1,Persuasion
The Mr Musgroves,I,0,1,Persuasion
The Mr Musgroves,A,0,1,Persuasion
The Mr Musgroves,DC,0,1,Persuasion
The Mr Musgroves,DN,0,1,Persuasion
The little Durands,N,0,1,Persuasion
The little Durands,C,0,1,Persuasion
The little Durands,I,0,1,Persuasion
The little Durands,A,0,1,Persuasion
The little Durands,DC,0,1,Persuasion
The little Durands,DN,0,1,Persuasion
Winthrop,N,0,1,Persuasion
Winthrop,C,0,1,Persuasion
Winthrop,I,0,1,Persuasion
Winthrop,A,0,1,Persuasion
Winthrop,DC,0,1,Persuasion
Winthrop,DN,0,1,Persuasion
old Sir Archibald Drew,N,0,1,Persuasion
old Sir Archibald Drew,C,0,1,Persuasion
old Sir Archibald Drew,I,0,1,Persuasion
old Sir Archibald Drew,A,0,1,Persuasion
old Sir Archibald Drew,DC,0,1,Persuasion
old Sir Archibald Drew,DN,0,1,Persuasion
the Asp,N,0,1,Persuasion
the Asp,C,0,1,Persuasion
the Asp,I,0,1,Persuasion
the Asp,A,0,1,Persuasion
the Asp,DC,0,1,Persuasion
the Asp,DN,0,1,Persuasion
the Crofts,N,0,1,Persuasion
the Crofts,C,0,1,Persuasion
the Crofts,I,0,1,Persuasion
the Crofts,A,0,1,Persuasion
the Crofts,DC,0,1,Persuasion
the Crofts,DN,0,1,Persuasion
the Dalrymples,N,0,1,Persuasion
the Dalrymples,C,0,1,Persuasion
the Dalrymples,I,0,1,Persuasion
the Dalrymples,A,0,1,Persuasion
the Dalrymples,DC,0,1,Persuasion
the Dalrymples,DN,0,1,Persuasion
the Harvilles,N,0,1,Persuasion
the Harvilles,C,0,1,Persuasion
the Harvilles,I,0,1,Persuasion
the Harvilles,A,0,1,Persuasion
the Harvilles,DC,0,1,Persuasion
the Harvilles,DN,0,1,Persuasion
the Hayters,N,0,1,Persuasion
the Hayters,C,0,1,Persuasion
the Hayters,I,0,1,Persuasion
the Hayters,A,0,1,Persuasion
the Hayters,DC,0,1,Persuasion
the Hayters,DN,0,1,Persuasion
the Miss Musgroves,N,0,1,Persuasion
