character,tag,count,chapter,novel
Amy,N,0,1,Phoebe_Junior
Amy,C,0,1,Phoebe_Junior
Amy,I,0,1,Phoebe_Junior
Amy,A,0,1,Phoebe_Junior
Amy,DC,0,1,Phoebe_Junior
Amy,DN,0,1,Phoebe_Junior
Anne,N,0,1,Phoebe_Junior
Anne,C,0,1,Phoebe_Junior
Anne,I,0,1,Phoebe_Junior
Anne,A,0,1,Phoebe_Junior
Anne,DC,0,1,Phoebe_Junior
Anne,DN,0,1,Phoebe_Junior
Betsy,N,0,1,Phoebe_Junior
Betsy,C,0,1,Phoebe_Junior
Betsy,I,0,1,Phoebe_Junior
Betsy,A,0,1,Phoebe_Junior
Betsy,DC,0,1,Phoebe_Junior
Betsy,DN,0,1,Phoebe_Junior
Carlingford,N,0,1,Phoebe_Junior
Carlingford,C,0,1,Phoebe_Junior
Carlingford,I,0,1,Phoebe_Junior
Carlingford,A,0,1,Phoebe_Junior
Carlingford,DC,0,1,Phoebe_Junior
Carlingford,DN,0,1,Phoebe_Junior
Christie,N,0,1,Phoebe_Junior
Christie,C,0,1,Phoebe_Junior
Christie,I,0,1,Phoebe_Junior
Christie,A,0,1,Phoebe_Junior
Christie,DC,0,1,Phoebe_Junior
Christie,DN,0,1,Phoebe_Junior
Clar,N,0,1,Phoebe_Junior
Clar,C,0,1,Phoebe_Junior
Clar,I,0,1,Phoebe_Junior
Clar,A,0,1,Phoebe_Junior
Clar,DC,0,1,Phoebe_Junior
Clar,DN,0,1,Phoebe_Junior
Clara,N,0,1,Phoebe_Junior
Clara,C,0,1,Phoebe_Junior
Clara,I,0,1,Phoebe_Junior
Clara,A,0,1,Phoebe_Junior
Clara,DC,0,1,Phoebe_Junior
Clara,DN,0,1,Phoebe_Junior
Cotsdean,N,0,1,Phoebe_Junior
Cotsdean,C,0,1,Phoebe_Junior
Cotsdean,I,0,1,Phoebe_Junior
Cotsdean,A,0,1,Phoebe_Junior
Cotsdean,DC,0,1,Phoebe_Junior
Cotsdean,DN,0,1,Phoebe_Junior
