character,tag,count,chapter,novel
Addison,N,0,1,Pride_and_Prejudice
Addison,C,0,1,Pride_and_Prejudice
Addison,I,0,1,Pride_and_Prejudice
Addison,A,0,1,Pride_and_Prejudice
Addison,DC,0,1,Pride_and_Prejudice
Addison,DN,0,1,Pride_and_Prejudice
Anne,N,0,1,Pride_and_Prejudice
Anne,C,0,1,Pride_and_Prejudice
Anne,I,0,1,Pride_and_Prejudice
Anne,A,0,1,Pride_and_Prejudice
Anne,DC,0,1,Pride_and_Prejudice
Anne,DN,0,1,Pride_and_Prejudice
Brother,N,0,1,Pride_and_Prejudice
Brother,C,0,1,Pride_and_Prejudice
Brother,I,0,1,Pride_and_Prejudice
Brother,A,0,1,Pride_and_Prejudice
Brother,DC,0,1,Pride_and_Prejudice
Brother,DN,0,1,Pride_and_Prejudice
Captain Carter,N,0,1,Pride_and_Prejudice
Captain Carter,C,0,1,Pride_and_Prejudice
Captain Carter,I,0,1,Pride_and_Prejudice
Captain Carter,A,0,1,Pride_and_Prejudice
Captain Carter,DC,0,1,Pride_and_Prejudice
Captain Carter,DN,0,1,Pride_and_Prejudice
Caroline,N,0,1,Pride_and_Prejudice
Caroline,C,0,1,Pride_and_Prejudice
Caroline,I,0,1,Pride_and_Prejudice
Caroline,A,0,1,Pride_and_Prejudice
Caroline,DC,0,1,Pride_and_Prejudice
Caroline,DN,0,1,Pride_and_Prejudice
Charles,N,0,1,Pride_and_Prejudice
Charles,C,0,1,Pride_and_Prejudice
Charles,I,0,1,Pride_and_Prejudice
Charles,A,0,1,Pride_and_Prejudice
Charles,DC,0,1,Pride_and_Prejudice
Charles,DN,0,1,Pride_and_Prejudice
Charlotte,N,0,1,Pride_and_Prejudice
Charlotte,C,0,1,Pride_and_Prejudice
Charlotte,I,0,1,Pride_and_Prejudice
Charlotte,A,0,1,Pride_and_Prejudice
Charlotte,DC,0,1,Pride_and_Prejudice
Charlotte,DN,0,1,Pride_and_Prejudice
Colonel F.,N,0,1,Pride_and_Prejudice
Colonel F.,C,0,1,Pride_and_Prejudice
Colonel F.,I,0,1,Pride_and_Prejudice
Colonel F.,A,0,1,Pride_and_Prejudice
Colonel F.,DC,0,1,Pride_and_Prejudice
Colonel F.,DN,0,1,Pride_and_Prejudice
Colonel Fitzwilliam,N,0,1,Pride_and_Prejudice
Colonel Fitzwilliam,C,0,1,Pride_and_Prejudice
Colonel Fitzwilliam,I,0,1,Pride_and_Prejudice
Colonel Fitzwilliam,A,0,1,Pride_and_Prejudice
Colonel Fitzwilliam,DC,0,1,Pride_and_Prejudice
Colonel Fitzwilliam,DN,0,1,Pride_and_Prejudice
Colonel Forster,N,0,1,Pride_and_Prejudice
Colonel Forster,C,0,1,Pride_and_Prejudice
Colonel Forster,I,0,1,Pride_and_Prejudice
Colonel Forster,A,0,1,Pride_and_Prejudice
Colonel Forster,DC,0,1,Pride_and_Prejudice
Colonel Forster,DN,0,1,Pride_and_Prejudice
Dear Lizzy,N,0,1,Pride_and_Prejudice
Dear Lizzy,C,0,1,Pride_and_Prejudice
Dear Lizzy,I,0,1,Pride_and_Prejudice
Dear Lizzy,A,0,1,Pride_and_Prejudice
Dear Lizzy,DC,0,1,Pride_and_Prejudice
Dear Lizzy,DN,0,1,Pride_and_Prejudice
Elizabeth,N,0,1,Pride_and_Prejudice
Elizabeth,C,0,1,Pride_and_Prejudice
Elizabeth,I,0,1,Pride_and_Prejudice
Elizabeth,A,0,1,Pride_and_Prejudice
Elizabeth,DC,1,1,Pride_and_Prejudice
Elizabeth,DN,0,1,Pride_and_Prejudice
"Elizabeth,--",N,0,1,Pride_and_Prejudice
"Elizabeth,--",C,0,1,Pride_and_Prejudice
"Elizabeth,--",I,0,1,Pride_and_Prejudice
"Elizabeth,--",A,0,1,Pride_and_Prejudice
"Elizabeth,--",DC,0,1,Pride_and_Prejudice
"Elizabeth,--",DN,0,1,Pride_and_Prejudice
George Allen,N,0,1,Pride_and_Prejudice
George Allen,C,0,1,Pride_and_Prejudice
George Allen,I,0,1,Pride_and_Prejudice
George Allen,A,0,1,Pride_and_Prejudice
George Allen,DC,0,1,Pride_and_Prejudice
George Allen,DN,0,1,Pride_and_Prejudice
George Wickham,N,0,1,Pride_and_Prejudice
George Wickham,C,0,1,Pride_and_Prejudice
George Wickham,I,0,1,Pride_and_Prejudice
George Wickham,A,0,1,Pride_and_Prejudice
George Wickham,DC,0,1,Pride_and_Prejudice
George Wickham,DN,0,1,Pride_and_Prejudice
Georgiana,N,0,1,Pride_and_Prejudice
Georgiana,C,0,1,Pride_and_Prejudice
Georgiana,I,0,1,Pride_and_Prejudice
Georgiana,A,0,1,Pride_and_Prejudice
Georgiana,DC,0,1,Pride_and_Prejudice
Georgiana,DN,0,1,Pride_and_Prejudice
Harriet,N,0,1,Pride_and_Prejudice
Harriet,C,0,1,Pride_and_Prejudice
Harriet,I,0,1,Pride_and_Prejudice
Harriet,A,0,1,Pride_and_Prejudice
Harriet,DC,0,1,Pride_and_Prejudice
Harriet,DN,0,1,Pride_and_Prejudice
Hill,N,0,1,Pride_and_Prejudice
Hill,C,0,1,Pride_and_Prejudice
Hill,I,0,1,Pride_and_Prejudice
Hill,A,0,1,Pride_and_Prejudice
Hill,DC,0,1,Pride_and_Prejudice
Hill,DN,0,1,Pride_and_Prejudice
Illustration,N,0,1,Pride_and_Prejudice
Illustration,C,0,1,Pride_and_Prejudice
Illustration,I,0,1,Pride_and_Prejudice
Illustration,A,0,1,Pride_and_Prejudice
Illustration,DC,0,1,Pride_and_Prejudice
Illustration,DN,0,1,Pride_and_Prejudice
Jane,N,0,1,Pride_and_Prejudice
Jane,C,0,1,Pride_and_Prejudice
Jane,I,0,1,Pride_and_Prejudice
Jane,A,0,1,Pride_and_Prejudice
Jane,DC,0,1,Pride_and_Prejudice
Jane,DN,0,1,Pride_and_Prejudice
Lady Catherine,N,0,1,Pride_and_Prejudice
Lady Catherine,C,0,1,Pride_and_Prejudice
Lady Catherine,I,0,1,Pride_and_Prejudice
Lady Catherine,A,0,1,Pride_and_Prejudice
Lady Catherine,DC,0,1,Pride_and_Prejudice
Lady Catherine,DN,0,1,Pride_and_Prejudice
Lady Lucas,N,0,1,Pride_and_Prejudice
Lady Lucas,C,0,1,Pride_and_Prejudice
Lady Lucas,I,0,1,Pride_and_Prejudice
Lady Lucas,A,0,1,Pride_and_Prejudice
Lady Lucas,DC,0,1,Pride_and_Prejudice
Lady Lucas,DN,0,1,Pride_and_Prejudice
Lizzy,N,0,1,Pride_and_Prejudice
Lizzy,C,0,1,Pride_and_Prejudice
Lizzy,I,0,1,Pride_and_Prejudice
Lizzy,A,0,1,Pride_and_Prejudice
Lizzy,DC,0,1,Pride_and_Prejudice
Lizzy,DN,0,1,Pride_and_Prejudice
Louisa,N,0,1,Pride_and_Prejudice
Louisa,C,0,1,Pride_and_Prejudice
Louisa,I,0,1,Pride_and_Prejudice
Louisa,A,0,1,Pride_and_Prejudice
Louisa,DC,0,1,Pride_and_Prejudice
Louisa,DN,0,1,Pride_and_Prejudice
Lydia,N,0,1,Pride_and_Prejudice
Lydia,C,0,1,Pride_and_Prejudice
Lydia,I,0,1,Pride_and_Prejudice
Lydia,A,0,1,Pride_and_Prejudice
Lydia,DC,0,1,Pride_and_Prejudice
Lydia,DN,0,1,Pride_and_Prejudice
Maria,N,0,1,Pride_and_Prejudice
Maria,C,0,1,Pride_and_Prejudice
Maria,I,0,1,Pride_and_Prejudice
Maria,A,0,1,Pride_and_Prejudice
Maria,DC,0,1,Pride_and_Prejudice
Maria,DN,0,1,Pride_and_Prejudice
Mary,N,0,1,Pride_and_Prejudice
Mary,C,0,1,Pride_and_Prejudice
Mary,I,0,1,Pride_and_Prejudice
Mary,A,0,1,Pride_and_Prejudice
Mary,DC,0,1,Pride_and_Prejudice
Mary,DN,0,1,Pride_and_Prejudice
Meryton,N,0,1,Pride_and_Prejudice
Meryton,C,0,1,Pride_and_Prejudice
Meryton,I,0,1,Pride_and_Prejudice
Meryton,A,0,1,Pride_and_Prejudice
Meryton,DC,0,1,Pride_and_Prejudice
Meryton,DN,0,1,Pride_and_Prejudice
Miss Austen,N,0,1,Pride_and_Prejudice
Miss Austen,C,0,1,Pride_and_Prejudice
Miss Austen,I,0,1,Pride_and_Prejudice
Miss Austen,A,0,1,Pride_and_Prejudice
Miss Austen,DC,0,1,Pride_and_Prejudice
Miss Austen,DN,0,1,Pride_and_Prejudice
Miss Bingley,N,0,1,Pride_and_Prejudice
