character,tag,count,chapter,novel
Addio,N,0,1,Romola
Addio,C,0,1,Romola
Addio,I,0,1,Romola
Addio,A,0,1,Romola
Addio,DC,0,1,Romola
Addio,DN,0,1,Romola
Antonio,N,0,1,Romola
Antonio,C,0,1,Romola
Antonio,I,0,1,Romola
Antonio,A,0,1,Romola
Antonio,DC,0,1,Romola
Antonio,DN,0,1,Romola
Ariadne,N,0,1,Romola
Ariadne,C,0,1,Romola
Ariadne,I,0,1,Romola
Ariadne,A,0,1,Romola
Ariadne,DC,0,1,Romola
Ariadne,DN,0,1,Romola
Babbo,N,0,1,Romola
Babbo,C,0,1,Romola
Babbo,I,0,1,Romola
Babbo,A,0,1,Romola
Babbo,DC,0,1,Romola
Babbo,DN,0,1,Romola
Baldassarre,N,0,1,Romola
Baldassarre,C,0,1,Romola
Baldassarre,I,0,1,Romola
Baldassarre,A,0,1,Romola
Baldassarre,DC,0,1,Romola
Baldassarre,DN,0,1,Romola
Bardo,N,0,1,Romola
Bardo,C,0,1,Romola
Bardo,I,0,1,Romola
Bardo,A,0,1,Romola
Bardo,DC,0,1,Romola
Bardo,DN,0,1,Romola
Benedetto,N,0,1,Romola
Benedetto,C,0,1,Romola
Benedetto,I,0,1,Romola
Benedetto,A,0,1,Romola
Benedetto,DC,0,1,Romola
Benedetto,DN,0,1,Romola
Bernardo,N,0,1,Romola
Bernardo,C,0,1,Romola
Bernardo,I,0,1,Romola
Bernardo,A,0,1,Romola
Bernardo,DC,0,1,Romola
Bernardo,DN,0,1,Romola
Bernardo Dovizi,N,0,1,Romola
Bernardo Dovizi,C,0,1,Romola
Bernardo Dovizi,I,0,1,Romola
Bernardo Dovizi,A,0,1,Romola
Bernardo Dovizi,DC,0,1,Romola
Bernardo Dovizi,DN,0,1,Romola
Bernardo Rucellai,N,0,1,Romola
Bernardo Rucellai,C,0,1,Romola
Bernardo Rucellai,I,0,1,Romola
Bernardo Rucellai,A,0,1,Romola
