character,tag,count,chapter,novel
Agnes,N,0,1,Rookwood
Agnes,C,0,1,Rookwood
Agnes,I,0,1,Rookwood
Agnes,A,0,1,Rookwood
Agnes,DC,0,1,Rookwood
Agnes,DN,0,1,Rookwood
Ainsworth,N,0,1,Rookwood
Ainsworth,C,0,1,Rookwood
Ainsworth,I,0,1,Rookwood
Ainsworth,A,0,1,Rookwood
Ainsworth,DC,0,1,Rookwood
Ainsworth,DN,0,1,Rookwood
Alan,N,0,1,Rookwood
Alan,C,0,1,Rookwood
Alan,I,0,1,Rookwood
Alan,A,0,1,Rookwood
Alan,DC,0,1,Rookwood
Alan,DN,0,1,Rookwood
Balthazar,N,0,1,Rookwood
Balthazar,C,0,1,Rookwood
Balthazar,I,0,1,Rookwood
Balthazar,A,0,1,Rookwood
Balthazar,DC,0,1,Rookwood
Balthazar,DN,0,1,Rookwood
Barbara,N,0,1,Rookwood
Barbara,C,0,1,Rookwood
Barbara,I,0,1,Rookwood
Barbara,A,0,1,Rookwood
Barbara,DC,0,1,Rookwood
Barbara,DN,0,1,Rookwood
Burtenshaw,N,0,1,Rookwood
Burtenshaw,C,0,1,Rookwood
Burtenshaw,I,0,1,Rookwood
Burtenshaw,A,0,1,Rookwood
Burtenshaw,DC,0,1,Rookwood
Burtenshaw,DN,0,1,Rookwood
Checkley,N,0,1,Rookwood
Checkley,C,0,1,Rookwood
Checkley,I,0,1,Rookwood
Checkley,A,0,1,Rookwood
Checkley,DC,0,1,Rookwood
Checkley,DN,0,1,Rookwood
Claude Du - Val,N,0,1,Rookwood
Claude Du - Val,C,0,1,Rookwood
Claude Du - Val,I,0,1,Rookwood
Claude Du - Val,A,0,1,Rookwood
Claude Du - Val,DC,0,1,Rookwood
Claude Du - Val,DN,0,1,Rookwood
Coates,N,0,1,Rookwood
Coates,C,0,1,Rookwood
Coates,I,0,1,Rookwood
Coates,A,0,1,Rookwood
Coates,DC,0,1,Rookwood
Coates,DN,0,1,Rookwood
Cyprian,N,0,1,Rookwood
Cyprian,C,0,1,Rookwood
Cyprian,I,0,1,Rookwood
Cyprian,A,0,1,Rookwood
Cyprian,DC,0,1,Rookwood
Cyprian,DN,0,1,Rookwood
Cyprian de Mulverton,N,0,1,Rookwood
Cyprian de Mulverton,C,0,1,Rookwood
Cyprian de Mulverton,I,0,1,Rookwood
Cyprian de Mulverton,A,0,1,Rookwood
Cyprian de Mulverton,DC,0,1,Rookwood
Cyprian de Mulverton,DN,0,1,Rookwood
Delany,N,0,1,Rookwood
Delany,C,0,1,Rookwood
Delany,I,0,1,Rookwood
Delany,A,0,1,Rookwood
Delany,DC,0,1,Rookwood
Delany,DN,0,1,Rookwood
Devil,N,0,1,Rookwood
Devil,C,0,1,Rookwood
Devil,I,0,1,Rookwood
Devil,A,0,1,Rookwood
Devil,DC,0,1,Rookwood
Devil,DN,0,1,Rookwood
Dick,N,0,1,Rookwood
Dick,C,0,1,Rookwood
Dick,I,0,1,Rookwood
Dick,A,0,1,Rookwood
Dick,DC,0,1,Rookwood
Dick,DN,0,1,Rookwood
Dick Turpin,N,0,1,Rookwood
Dick Turpin,C,0,1,Rookwood
Dick Turpin,I,0,1,Rookwood
Dick Turpin,A,0,1,Rookwood
Dick Turpin,DC,0,1,Rookwood
Dick Turpin,DN,0,1,Rookwood
Eleanor,N,0,1,Rookwood
Eleanor,C,0,1,Rookwood
Eleanor,I,0,1,Rookwood
Eleanor,A,0,1,Rookwood
Eleanor,DC,0,1,Rookwood
Eleanor,DN,0,1,Rookwood
Farmer Toft,N,0,1,Rookwood
Farmer Toft,C,0,1,Rookwood
Farmer Toft,I,0,1,Rookwood
Farmer Toft,A,0,1,Rookwood
Farmer Toft,DC,0,1,Rookwood
Farmer Toft,DN,0,1,Rookwood
Fate,N,2,1,Rookwood
Fate,C,0,1,Rookwood
Fate,I,0,1,Rookwood
Fate,A,0,1,Rookwood
Fate,DC,0,1,Rookwood
Fate,DN,0,1,Rookwood
Father Ambrose,N,0,1,Rookwood
Father Ambrose,C,0,1,Rookwood
Father Ambrose,I,0,1,Rookwood
Father Ambrose,A,0,1,Rookwood
Father Ambrose,DC,0,1,Rookwood
Father Ambrose,DN,0,1,Rookwood
Fulford,N,0,1,Rookwood
Fulford,C,0,1,Rookwood
Fulford,I,0,1,Rookwood
Fulford,A,0,1,Rookwood
Fulford,DC,0,1,Rookwood
Fulford,DN,0,1,Rookwood
God,N,1,1,Rookwood
God,C,0,1,Rookwood
God,I,0,1,Rookwood
God,A,0,1,Rookwood
God,DC,1,1,Rookwood
God,DN,0,1,Rookwood
Grasshopper,N,0,1,Rookwood
Grasshopper,C,0,1,Rookwood
Grasshopper,I,0,1,Rookwood
Grasshopper,A,0,1,Rookwood
Grasshopper,DC,0,1,Rookwood
Grasshopper,DN,0,1,Rookwood
Handassah,N,0,1,Rookwood
Handassah,C,0,1,Rookwood
Handassah,I,0,1,Rookwood
Handassah,A,0,1,Rookwood
Handassah,DC,0,1,Rookwood
Handassah,DN,0,1,Rookwood
Heaven,N,0,1,Rookwood
Heaven,C,0,1,Rookwood
Heaven,I,0,1,Rookwood
Heaven,A,0,1,Rookwood
Heaven,DC,0,1,Rookwood
Heaven,DN,0,1,Rookwood
Holloway,N,0,1,Rookwood
Holloway,C,0,1,Rookwood
Holloway,I,0,1,Rookwood
Holloway,A,0,1,Rookwood
Holloway,DC,0,1,Rookwood
Holloway,DN,0,1,Rookwood
Hugh,N,0,1,Rookwood
Hugh,C,0,1,Rookwood
Hugh,I,0,1,Rookwood
Hugh,A,0,1,Rookwood
Hugh,DC,0,1,Rookwood
Hugh,DN,0,1,Rookwood
Jack,N,2,1,Rookwood
Jack,C,0,1,Rookwood
Jack,I,1,1,Rookwood
Jack,A,1,1,Rookwood
Jack,DC,0,1,Rookwood
Jack,DN,0,1,Rookwood
Jack Hall,N,0,1,Rookwood
Jack Hall,C,0,1,Rookwood
Jack Hall,I,0,1,Rookwood
Jack Hall,A,0,1,Rookwood
Jack Hall,DC,0,1,Rookwood
Jack Hall,DN,0,1,Rookwood
Jack Sheppard,N,0,1,Rookwood
Jack Sheppard,C,0,1,Rookwood
Jack Sheppard,I,0,1,Rookwood
Jack Sheppard,A,0,1,Rookwood
Jack Sheppard,DC,0,1,Rookwood
Jack Sheppard,DN,0,1,Rookwood
Jem,N,0,1,Rookwood
Jem,C,0,1,Rookwood
Jem,I,0,1,Rookwood
Jem,A,0,1,Rookwood
Jem,DC,0,1,Rookwood
Jem,DN,0,1,Rookwood
Jerry,N,0,1,Rookwood
Jerry,C,0,1,Rookwood
Jerry,I,0,1,Rookwood
Jerry,A,0,1,Rookwood
Jerry,DC,0,1,Rookwood
Jerry,DN,0,1,Rookwood
John Hall,N,0,1,Rookwood
John Hall,C,0,1,Rookwood
John Hall,I,0,1,Rookwood
John Hall,A,0,1,Rookwood
John Hall,DC,0,1,Rookwood
John Hall,DN,0,1,Rookwood
King,N,0,1,Rookwood
King,C,0,1,Rookwood
King,I,0,1,Rookwood
King,A,0,1,Rookwood
King,DC,0,1,Rookwood
King,DN,0,1,Rookwood
Lady Rookwood,N,0,1,Rookwood
Lady Rookwood,C,0,1,Rookwood
Lady Rookwood,I,0,1,Rookwood
Lady Rookwood,A,0,1,Rookwood
Lady Rookwood,DC,0,1,Rookwood
Lady Rookwood,DN,0,1,Rookwood
Larry,N,0,1,Rookwood
Larry,C,0,1,Rookwood
Larry,I,0,1,Rookwood
Larry,A,0,1,Rookwood
Larry,DC,0,1,Rookwood
Larry,DN,0,1,Rookwood
Lord Viscount William Courtenay,N,0,1,Rookwood
Lord Viscount William Courtenay,C,0,1,Rookwood
Lord Viscount William Courtenay,I,0,1,Rookwood
Lord Viscount William Courtenay,A,0,1,Rookwood
Lord Viscount William Courtenay,DC,0,1,Rookwood
Lord Viscount William Courtenay,DN,0,1,Rookwood
Luke,N,24,1,Rookwood
Luke,C,39,1,Rookwood
Luke,I,12,1,Rookwood
Luke,A,21,1,Rookwood
Luke,DC,1,1,Rookwood
Luke,DN,2,1,Rookwood
Major Mowbray,N,0,1,Rookwood
Major Mowbray,C,0,1,Rookwood
Major Mowbray,I,0,1,Rookwood
Major Mowbray,A,0,1,Rookwood
Major Mowbray,DC,0,1,Rookwood
Major Mowbray,DN,0,1,Rookwood
Master Peter,N,0,1,Rookwood
Master Peter,C,0,1,Rookwood
Master Peter,I,0,1,Rookwood
Master Peter,A,0,1,Rookwood
