character,tag,count,chapter,novel
Aunt Faith,N,0,1,Ruth
Aunt Faith,C,0,1,Ruth
Aunt Faith,I,0,1,Ruth
Aunt Faith,A,0,1,Ruth
Aunt Faith,DC,0,1,Ruth
Aunt Faith,DN,0,1,Ruth
Christ,N,0,1,Ruth
Christ,C,0,1,Ruth
Christ,I,0,1,Ruth
Christ,A,0,1,Ruth
Christ,DC,0,1,Ruth
Christ,DN,0,1,Ruth
"DEAR FAITH,--You",N,0,1,Ruth
"DEAR FAITH,--You",C,0,1,Ruth
"DEAR FAITH,--You",I,0,1,Ruth
"DEAR FAITH,--You",A,0,1,Ruth
"DEAR FAITH,--You",DC,0,1,Ruth
"DEAR FAITH,--You",DN,0,1,Ruth
Dick,N,0,1,Ruth
Dick,C,0,1,Ruth
Dick,I,0,1,Ruth
Dick,A,0,1,Ruth
Dick,DC,0,1,Ruth
Dick,DN,0,1,Ruth
Eagle,N,0,1,Ruth
Eagle,C,0,1,Ruth
Eagle,I,0,1,Ruth
Eagle,A,0,1,Ruth
Eagle,DC,0,1,Ruth
Eagle,DN,0,1,Ruth
Eccleston,N,0,1,Ruth
Eccleston,C,0,1,Ruth
Eccleston,I,0,1,Ruth
Eccleston,A,0,1,Ruth
Eccleston,DC,0,1,Ruth
Eccleston,DN,0,1,Ruth
Elizabeth,N,0,1,Ruth
Elizabeth,C,0,1,Ruth
Elizabeth,I,0,1,Ruth
Elizabeth,A,0,1,Ruth
Elizabeth,DC,0,1,Ruth
Elizabeth,DN,0,1,Ruth
Faith,N,0,1,Ruth
Faith,C,0,1,Ruth
Faith,I,0,1,Ruth
Faith,A,0,1,Ruth
Faith,DC,0,1,Ruth
Faith,DN,0,1,Ruth
Father,N,0,1,Ruth
Father,C,0,1,Ruth
Father,I,0,1,Ruth
Father,A,0,1,Ruth
Father,DC,0,1,Ruth
Father,DN,0,1,Ruth
Harry,N,0,1,Ruth
Harry,C,0,1,Ruth
Harry,I,0,1,Ruth
Harry,A,0,1,Ruth
Harry,DC,0,1,Ruth
Harry,DN,0,1,Ruth
Helmsby,N,0,1,Ruth
Helmsby,C,0,1,Ruth
Helmsby,I,0,1,Ruth
Helmsby,A,0,1,Ruth
Helmsby,DC,0,1,Ruth
Helmsby,DN,0,1,Ruth
Henry,N,0,1,Ruth
Henry,C,0,1,Ruth
Henry,I,0,1,Ruth
Henry,A,0,1,Ruth
Henry,DC,0,1,Ruth
Henry,DN,0,1,Ruth
Jemima,N,0,1,Ruth
Jemima,C,0,1,Ruth
Jemima,I,0,1,Ruth
Jemima,A,0,1,Ruth
Jemima,DC,0,1,Ruth
Jemima,DN,0,1,Ruth
Jenny,N,9,1,Ruth
Jenny,C,3,1,Ruth
Jenny,I,2,1,Ruth
Jenny,A,4,1,Ruth
Jenny,DC,6,1,Ruth
Jenny,DN,0,1,Ruth
Jerry Dixon,N,0,1,Ruth
Jerry Dixon,C,0,1,Ruth
Jerry Dixon,I,0,1,Ruth
Jerry Dixon,A,0,1,Ruth
Jerry Dixon,DC,0,1,Ruth
Jerry Dixon,DN,0,1,Ruth
John Rawson,N,0,1,Ruth
John Rawson,C,0,1,Ruth
John Rawson,I,0,1,Ruth
John Rawson,A,0,1,Ruth
John Rawson,DC,0,1,Ruth
John Rawson,DN,0,1,Ruth
Leonard,N,0,1,Ruth
Leonard,C,0,1,Ruth
Leonard,I,0,1,Ruth
Leonard,A,0,1,Ruth
Leonard,DC,0,1,Ruth
Leonard,DN,0,1,Ruth
Mamma,N,0,1,Ruth
Mamma,C,0,1,Ruth
Mamma,I,0,1,Ruth
Mamma,A,0,1,Ruth
Mamma,DC,0,1,Ruth
Mamma,DN,0,1,Ruth
Mary,N,0,1,Ruth
Mary,C,0,1,Ruth
Mary,I,0,1,Ruth
Mary,A,0,1,Ruth
Mary,DC,0,1,Ruth
Mary,DN,0,1,Ruth
Master Dixon,N,0,1,Ruth
Master Dixon,C,0,1,Ruth
Master Dixon,I,0,1,Ruth
Master Dixon,A,0,1,Ruth
Master Dixon,DC,0,1,Ruth
Master Dixon,DN,0,1,Ruth
Mimie,N,0,1,Ruth
Mimie,C,0,1,Ruth
Mimie,I,0,1,Ruth
Mimie,A,0,1,Ruth
Mimie,DC,0,1,Ruth
Mimie,DN,0,1,Ruth
Miss Duncombe,N,0,1,Ruth
Miss Duncombe,C,0,1,Ruth
Miss Duncombe,I,0,1,Ruth
Miss Duncombe,A,0,1,Ruth
Miss Duncombe,DC,0,1,Ruth
Miss Duncombe,DN,0,1,Ruth
Miss Faith,N,0,1,Ruth
Miss Faith,C,0,1,Ruth
Miss Faith,I,0,1,Ruth
Miss Faith,A,0,1,Ruth
Miss Faith,DC,0,1,Ruth
Miss Faith,DN,0,1,Ruth
Miss Hilton,N,2,1,Ruth
Miss Hilton,C,0,1,Ruth
Miss Hilton,I,2,1,Ruth
Miss Hilton,A,1,1,Ruth
Miss Hilton,DC,8,1,Ruth
Miss Hilton,DN,0,1,Ruth
"Miss Hilton,""--""Ruthie",N,0,1,Ruth
"Miss Hilton,""--""Ruthie",C,0,1,Ruth
"Miss Hilton,""--""Ruthie",I,0,1,Ruth
"Miss Hilton,""--""Ruthie",A,0,1,Ruth
"Miss Hilton,""--""Ruthie",DC,0,1,Ruth
"Miss Hilton,""--""Ruthie",DN,0,1,Ruth
Mother,N,0,1,Ruth
Mother,C,0,1,Ruth
Mother,I,0,1,Ruth
Mother,A,0,1,Ruth
Mother,DC,0,1,Ruth
Mother,DN,0,1,Ruth
Mr Bellingham,N,0,1,Ruth
Mr Bellingham,C,0,1,Ruth
Mr Bellingham,I,0,1,Ruth
Mr Bellingham,A,0,1,Ruth
Mr Bellingham,DC,0,1,Ruth
Mr Bellingham,DN,0,1,Ruth
Mr Benson,N,0,1,Ruth
Mr Benson,C,0,1,Ruth
Mr Benson,I,0,1,Ruth
Mr Benson,A,0,1,Ruth
Mr Benson,DC,0,1,Ruth
Mr Benson,DN,0,1,Ruth
Mr Bradshaw,N,0,1,Ruth
Mr Bradshaw,C,0,1,Ruth
Mr Bradshaw,I,0,1,Ruth
Mr Bradshaw,A,0,1,Ruth
Mr Bradshaw,DC,0,1,Ruth
Mr Bradshaw,DN,0,1,Ruth
Mr Cranworth,N,0,1,Ruth
Mr Cranworth,C,0,1,Ruth
Mr Cranworth,I,0,1,Ruth
Mr Cranworth,A,0,1,Ruth
Mr Cranworth,DC,0,1,Ruth
Mr Cranworth,DN,0,1,Ruth
Mr Davis,N,0,1,Ruth
Mr Davis,C,0,1,Ruth
Mr Davis,I,0,1,Ruth
Mr Davis,A,0,1,Ruth
Mr Davis,DC,0,1,Ruth
Mr Davis,DN,0,1,Ruth
Mr Dennison,N,0,1,Ruth
Mr Dennison,C,0,1,Ruth
Mr Dennison,I,0,1,Ruth
Mr Dennison,A,0,1,Ruth
Mr Dennison,DC,0,1,Ruth
Mr Dennison,DN,0,1,Ruth
Mr Donne,N,0,1,Ruth
Mr Donne,C,0,1,Ruth
Mr Donne,I,0,1,Ruth
Mr Donne,A,0,1,Ruth
Mr Donne,DC,0,1,Ruth
Mr Donne,DN,0,1,Ruth
Mr Farquhar,N,0,1,Ruth
Mr Farquhar,C,0,1,Ruth
Mr Farquhar,I,0,1,Ruth
Mr Farquhar,A,0,1,Ruth
Mr Farquhar,DC,0,1,Ruth
Mr Farquhar,DN,0,1,Ruth
Mr Grey,N,0,1,Ruth
Mr Grey,C,0,1,Ruth
Mr Grey,I,0,1,Ruth
Mr Grey,A,0,1,Ruth
Mr Grey,DC,0,1,Ruth
Mr Grey,DN,0,1,Ruth
Mr Hickson,N,0,1,Ruth
Mr Hickson,C,0,1,Ruth
Mr Hickson,I,0,1,Ruth
Mr Hickson,A,0,1,Ruth
Mr Hickson,DC,0,1,Ruth
Mr Hickson,DN,0,1,Ruth
Mr Hilton,N,0,1,Ruth
Mr Hilton,C,0,1,Ruth
Mr Hilton,I,0,1,Ruth
Mr Hilton,A,0,1,Ruth
Mr Hilton,DC,0,1,Ruth
Mr Hilton,DN,0,1,Ruth
Mr Jones,N,0,1,Ruth
Mr Jones,C,0,1,Ruth
Mr Jones,I,0,1,Ruth
