character,tag,count,chapter,novel
Barton,N,0,1,Sense_and_Sensibility
Barton,C,0,1,Sense_and_Sensibility
Barton,I,0,1,Sense_and_Sensibility
Barton,A,0,1,Sense_and_Sensibility
Barton,DC,0,1,Sense_and_Sensibility
Barton,DN,0,1,Sense_and_Sensibility
Charlotte,N,0,1,Sense_and_Sensibility
Charlotte,C,0,1,Sense_and_Sensibility
Charlotte,I,0,1,Sense_and_Sensibility
Charlotte,A,0,1,Sense_and_Sensibility
Charlotte,DC,0,1,Sense_and_Sensibility
Charlotte,DN,0,1,Sense_and_Sensibility
Colonel Brandon,N,0,1,Sense_and_Sensibility
Colonel Brandon,C,0,1,Sense_and_Sensibility
Colonel Brandon,I,0,1,Sense_and_Sensibility
Colonel Brandon,A,0,1,Sense_and_Sensibility
Colonel Brandon,DC,0,1,Sense_and_Sensibility
Colonel Brandon,DN,0,1,Sense_and_Sensibility
Colonel Brandon;—he,N,0,1,Sense_and_Sensibility
Colonel Brandon;—he,C,0,1,Sense_and_Sensibility
Colonel Brandon;—he,I,0,1,Sense_and_Sensibility
Colonel Brandon;—he,A,0,1,Sense_and_Sensibility
Colonel Brandon;—he,DC,0,1,Sense_and_Sensibility
Colonel Brandon;—he,DN,0,1,Sense_and_Sensibility
Dr. Davies,N,0,1,Sense_and_Sensibility
Dr. Davies,C,0,1,Sense_and_Sensibility
Dr. Davies,I,0,1,Sense_and_Sensibility
Dr. Davies,A,0,1,Sense_and_Sensibility
Dr. Davies,DC,0,1,Sense_and_Sensibility
Dr. Davies,DN,0,1,Sense_and_Sensibility
Edward,N,0,1,Sense_and_Sensibility
Edward,C,0,1,Sense_and_Sensibility
Edward,I,0,1,Sense_and_Sensibility
Edward,A,0,1,Sense_and_Sensibility
Edward,DC,0,1,Sense_and_Sensibility
Edward,DN,0,1,Sense_and_Sensibility
Elinor,N,0,1,Sense_and_Sensibility
Elinor,C,0,1,Sense_and_Sensibility
Elinor,I,0,1,Sense_and_Sensibility
Elinor,A,0,1,Sense_and_Sensibility
Elinor,DC,0,1,Sense_and_Sensibility
Elinor,DN,0,1,Sense_and_Sensibility
Eliza,N,0,1,Sense_and_Sensibility
Eliza,C,0,1,Sense_and_Sensibility
Eliza,I,0,1,Sense_and_Sensibility
Eliza,A,0,1,Sense_and_Sensibility
Eliza,DC,0,1,Sense_and_Sensibility
Eliza,DN,0,1,Sense_and_Sensibility
Fanny,N,0,1,Sense_and_Sensibility
Fanny,C,0,1,Sense_and_Sensibility
Fanny,I,0,1,Sense_and_Sensibility
Fanny,A,0,1,Sense_and_Sensibility
