character,tag,count,chapter,novel
Abraham,N,1,1,Shirley
Abraham,C,1,1,Shirley
Abraham,I,1,1,Shirley
Abraham,A,1,1,Shirley
Abraham,DC,0,1,Shirley
Abraham,DN,0,1,Shirley
Adam,N,0,1,Shirley
Adam,C,0,1,Shirley
Adam,I,0,1,Shirley
Adam,A,0,1,Shirley
Adam,DC,0,1,Shirley
Adam,DN,0,1,Shirley
Bob,N,0,1,Shirley
Bob,C,0,1,Shirley
Bob,I,0,1,Shirley
Bob,A,0,1,Shirley
Bob,DC,0,1,Shirley
Bob,DN,0,1,Shirley
Bonaparte,N,0,1,Shirley
Bonaparte,C,0,1,Shirley
Bonaparte,I,0,1,Shirley
Bonaparte,A,0,1,Shirley
Bonaparte,DC,0,1,Shirley
Bonaparte,DN,0,1,Shirley
Boultby,N,2,1,Shirley
Boultby,C,0,1,Shirley
Boultby,I,0,1,Shirley
Boultby,A,0,1,Shirley
Boultby,DC,2,1,Shirley
Boultby,DN,0,1,Shirley
Briarmains,N,0,1,Shirley
Briarmains,C,0,1,Shirley
Briarmains,I,0,1,Shirley
Briarmains,A,0,1,Shirley
Briarmains,DC,0,1,Shirley
Briarmains,DN,0,1,Shirley
CHARLES DICKENS,N,0,1,Shirley
CHARLES DICKENS,C,0,1,Shirley
CHARLES DICKENS,I,0,1,Shirley
CHARLES DICKENS,A,0,1,Shirley
CHARLES DICKENS,DC,0,1,Shirley
CHARLES DICKENS,DN,0,1,Shirley
Captain Keeldar,N,0,1,Shirley
Captain Keeldar,C,0,1,Shirley
Captain Keeldar,I,0,1,Shirley
Captain Keeldar,A,0,1,Shirley
Captain Keeldar,DC,0,1,Shirley
Captain Keeldar,DN,0,1,Shirley
Caroline,N,0,1,Shirley
Caroline,C,0,1,Shirley
Caroline,I,0,1,Shirley
Caroline,A,0,1,Shirley
Caroline,DC,0,1,Shirley
Caroline,DN,0,1,Shirley
"Caroline--""She",N,0,1,Shirley
"Caroline--""She",C,0,1,Shirley
"Caroline--""She",I,0,1,Shirley
"Caroline--""She",A,0,1,Shirley
"Caroline--""She",DC,0,1,Shirley
"Caroline--""She",DN,0,1,Shirley
Cary,N,0,1,Shirley
Cary,C,0,1,Shirley
Cary,I,0,1,Shirley
Cary,A,0,1,Shirley
Cary,DC,0,1,Shirley
Cary,DN,0,1,Shirley
Castlereagh,N,0,1,Shirley
Castlereagh,C,0,1,Shirley
Castlereagh,I,0,1,Shirley
Castlereagh,A,0,1,Shirley
Castlereagh,DC,0,1,Shirley
Castlereagh,DN,0,1,Shirley
Chénier,N,0,1,Shirley
Chénier,C,0,1,Shirley
Chénier,I,0,1,Shirley
Chénier,A,0,1,Shirley
Chénier,DC,0,1,Shirley
Chénier,DN,0,1,Shirley
Coriolanus,N,0,1,Shirley
Coriolanus,C,0,1,Shirley
Coriolanus,I,0,1,Shirley
Coriolanus,A,0,1,Shirley
Coriolanus,DC,0,1,Shirley
Coriolanus,DN,0,1,Shirley
Cowper,N,0,1,Shirley
Cowper,C,0,1,Shirley
Cowper,I,0,1,Shirley
Cowper,A,0,1,Shirley
Cowper,DC,0,1,Shirley
Cowper,DN,0,1,Shirley
Cyril Hall,N,0,1,Shirley
Cyril Hall,C,0,1,Shirley
Cyril Hall,I,0,1,Shirley
Cyril Hall,A,0,1,Shirley
Cyril Hall,DC,0,1,Shirley
Cyril Hall,DN,0,1,Shirley
Daniel,N,2,1,Shirley
Daniel,C,0,1,Shirley
Daniel,I,0,1,Shirley
Daniel,A,0,1,Shirley
Daniel,DC,1,1,Shirley
Daniel,DN,0,1,Shirley
Davy,N,4,1,Shirley
Davy,C,0,1,Shirley
Davy,I,1,1,Shirley
Davy,A,0,1,Shirley
Davy,DC,6,1,Shirley
Davy,DN,0,1,Shirley
Donne,N,15,1,Shirley
Donne,C,4,1,Shirley
Donne,I,2,1,Shirley
Donne,A,8,1,Shirley
Donne,DC,1,1,Shirley
Donne,DN,4,1,Shirley
Dora,N,0,1,Shirley
Dora,C,0,1,Shirley
Dora,I,0,1,Shirley
Dora,A,0,1,Shirley
Dora,DC,0,1,Shirley
Dora,DN,0,1,Shirley
Dr. Boultby,N,0,1,Shirley
Dr. Boultby,C,0,1,Shirley
Dr. Boultby,I,0,1,Shirley
Dr. Boultby,A,0,1,Shirley
Dr. Boultby,DC,0,1,Shirley
Dr. Boultby,DN,0,1,Shirley
Eliza,N,0,1,Shirley
Eliza,C,0,1,Shirley
Eliza,I,0,1,Shirley
Eliza,A,0,1,Shirley
Eliza,DC,0,1,Shirley
Eliza,DN,0,1,Shirley
Eva,N,0,1,Shirley
Eva,C,0,1,Shirley
Eva,I,0,1,Shirley
Eva,A,0,1,Shirley
Eva,DC,0,1,Shirley
Eva,DN,0,1,Shirley
Eve,N,0,1,Shirley
Eve,C,0,1,Shirley
Eve,I,0,1,Shirley
Eve,A,0,1,Shirley
Eve,DC,0,1,Shirley
Eve,DN,0,1,Shirley
Fanny,N,0,1,Shirley
Fanny,C,0,1,Shirley
Fanny,I,0,1,Shirley
Fanny,A,0,1,Shirley
Fanny,DC,0,1,Shirley
Fanny,DN,0,1,Shirley
Farrens,N,0,1,Shirley
Farrens,C,0,1,Shirley
Farrens,I,0,1,Shirley
Farrens,A,0,1,Shirley
Farrens,DC,0,1,Shirley
Farrens,DN,0,1,Shirley
Fieldhead,N,0,1,Shirley
Fieldhead,C,0,1,Shirley
Fieldhead,I,0,1,Shirley
Fieldhead,A,0,1,Shirley
Fieldhead,DC,0,1,Shirley
Fieldhead,DN,0,1,Shirley
Fortune,N,0,1,Shirley
Fortune,C,0,1,Shirley
Fortune,I,0,1,Shirley
Fortune,A,0,1,Shirley
Fortune,DC,0,1,Shirley
Fortune,DN,0,1,Shirley
God,N,0,1,Shirley
God,C,0,1,Shirley
God,I,0,1,Shirley
God,A,0,1,Shirley
God,DC,0,1,Shirley
God,DN,0,1,Shirley
Grace,N,0,1,Shirley
Grace,C,0,1,Shirley
Grace,I,0,1,Shirley
Grace,A,0,1,Shirley
Grace,DC,0,1,Shirley
Grace,DN,0,1,Shirley
Hannah,N,0,1,Shirley
Hannah,C,0,1,Shirley
Hannah,I,0,1,Shirley
Hannah,A,0,1,Shirley
Hannah,DC,0,1,Shirley
Hannah,DN,0,1,Shirley
Harriet,N,0,1,Shirley
Harriet,C,0,1,Shirley
Harriet,I,0,1,Shirley
Harriet,A,0,1,Shirley
Harriet,DC,0,1,Shirley
Harriet,DN,0,1,Shirley
Helstone,N,0,1,Shirley
Helstone,C,0,1,Shirley
Helstone,I,0,1,Shirley
Helstone,A,0,1,Shirley
Helstone,DC,0,1,Shirley
Helstone,DN,0,1,Shirley
Henry,N,0,1,Shirley
Henry,C,0,1,Shirley
Henry,I,0,1,Shirley
Henry,A,0,1,Shirley
Henry,DC,0,1,Shirley
Henry,DN,0,1,Shirley
Hiram Yorke,N,0,1,Shirley
Hiram Yorke,C,0,1,Shirley
Hiram Yorke,I,0,1,Shirley
Hiram Yorke,A,0,1,Shirley
Hiram Yorke,DC,0,1,Shirley
Hiram Yorke,DN,0,1,Shirley
Hollow,N,0,1,Shirley
Hollow,C,0,1,Shirley
Hollow,I,0,1,Shirley
Hollow,A,0,1,Shirley
Hollow,DC,0,1,Shirley
Hollow,DN,0,1,Shirley
Hortense,N,0,1,Shirley
Hortense,C,0,1,Shirley
Hortense,I,0,1,Shirley
Hortense,A,0,1,Shirley
Hortense,DC,0,1,Shirley
Hortense,DN,0,1,Shirley
Isabella,N,0,1,Shirley
Isabella,C,0,1,Shirley
Isabella,I,0,1,Shirley
Isabella,A,0,1,Shirley
Isabella,DC,0,1,Shirley
Isabella,DN,0,1,Shirley
James,N,0,1,Shirley
James,C,0,1,Shirley
James,I,0,1,Shirley
James,A,0,1,Shirley
James,DC,0,1,Shirley
James,DN,0,1,Shirley
Jessy,N,0,1,Shirley
Jessy,C,0,1,Shirley
Jessy,I,0,1,Shirley
Jessy,A,0,1,Shirley
Jessy,DC,0,1,Shirley
Jessy,DN,0,1,Shirley
Joe,N,1,1,Shirley
Joe,C,0,1,Shirley
Joe,I,0,1,Shirley
Joe,A,1,1,Shirley
Joe,DC,1,1,Shirley
Joe,DN,0,1,Shirley
John,N,1,1,Shirley
John,C,0,1,Shirley
John,I,0,1,Shirley
John,A,0,1,Shirley
John,DC,0,1,Shirley
John,DN,0,1,Shirley
John Wesley,N,0,1,Shirley
John Wesley,C,0,1,Shirley
John Wesley,I,0,1,Shirley
John Wesley,A,0,1,Shirley
John Wesley,DC,0,1,Shirley
John Wesley,DN,0,1,Shirley
Lamb,N,0,1,Shirley
Lamb,C,0,1,Shirley
Lamb,I,0,1,Shirley
Lamb,A,0,1,Shirley
Lamb,DC,0,1,Shirley
Lamb,DN,0,1,Shirley
Lina,N,0,1,Shirley
Lina,C,0,1,Shirley
Lina,I,0,1,Shirley
Lina,A,0,1,Shirley
Lina,DC,0,1,Shirley
Lina,DN,0,1,Shirley
Lord Wellington,N,0,1,Shirley
Lord Wellington,C,0,1,Shirley
Lord Wellington,I,0,1,Shirley
Lord Wellington,A,0,1,Shirley
Lord Wellington,DC,0,1,Shirley
Lord Wellington,DN,0,1,Shirley
Louis,N,0,1,Shirley
Louis,C,0,1,Shirley
Louis,I,0,1,Shirley
Louis,A,0,1,Shirley
Louis,DC,0,1,Shirley
Louis,DN,0,1,Shirley
Lucretia,N,0,1,Shirley
Lucretia,C,0,1,Shirley
Lucretia,I,0,1,Shirley
Lucretia,A,0,1,Shirley
Lucretia,DC,0,1,Shirley
Lucretia,DN,0,1,Shirley
MATTERS,N,0,1,Shirley
MATTERS,C,0,1,Shirley
MATTERS,I,0,1,Shirley
MATTERS,A,0,1,Shirley
MATTERS,DC,0,1,Shirley
MATTERS,DN,0,1,Shirley
MacTurk,N,0,1,Shirley
MacTurk,C,0,1,Shirley
MacTurk,I,0,1,Shirley
MacTurk,A,0,1,Shirley
MacTurk,DC,0,1,Shirley
MacTurk,DN,0,1,Shirley
Malone,N,22,1,Shirley
Malone,C,4,1,Shirley
Malone,I,4,1,Shirley
Malone,A,13,1,Shirley
Malone,DC,6,1,Shirley
Malone,DN,3,1,Shirley
Malone.--I,N,1,1,Shirley
Malone.--I,C,0,1,Shirley
Malone.--I,I,0,1,Shirley
Malone.--I,A,4,1,Shirley
Malone.--I,DC,4,1,Shirley
Malone.--I,DN,0,1,Shirley
Mamma,N,0,1,Shirley
Mamma,C,0,1,Shirley
Mamma,I,0,1,Shirley
Mamma,A,0,1,Shirley
Mamma,DC,0,1,Shirley
Mamma,DN,0,1,Shirley
Margaret,N,1,1,Shirley
Margaret,C,0,1,Shirley
Margaret,I,0,1,Shirley
Margaret,A,0,1,Shirley
Margaret,DC,1,1,Shirley
Margaret,DN,0,1,Shirley
Mark,N,0,1,Shirley
Mark,C,0,1,Shirley
Mark,I,0,1,Shirley
Mark,A,0,1,Shirley
Mark,DC,0,1,Shirley
Mark,DN,0,1,Shirley
Martin,N,0,1,Shirley
Martin,C,0,1,Shirley
Martin,I,0,1,Shirley
Martin,A,0,1,Shirley
Martin,DC,0,1,Shirley
Martin,DN,0,1,Shirley
Mary,N,0,1,Shirley
Mary,C,0,1,Shirley
Mary,I,0,1,Shirley
Mary,A,0,1,Shirley
Mary,DC,0,1,Shirley
Mary,DN,0,1,Shirley
Mary Ann Ainley,N,0,1,Shirley
Mary Ann Ainley,C,0,1,Shirley
Mary Ann Ainley,I,0,1,Shirley
Mary Ann Ainley,A,0,1,Shirley
Mary Ann Ainley,DC,0,1,Shirley
Mary Ann Ainley,DN,0,1,Shirley
Matthew,N,0,1,Shirley
Matthew,C,0,1,Shirley
Matthew,I,0,1,Shirley
Matthew,A,0,1,Shirley
Matthew,DC,0,1,Shirley
Matthew,DN,0,1,Shirley
Matthewson Helstone,N,0,1,Shirley
Matthewson Helstone,C,0,1,Shirley
Matthewson Helstone,I,0,1,Shirley
Matthewson Helstone,A,0,1,Shirley
Matthewson Helstone,DC,0,1,Shirley
Matthewson Helstone,DN,0,1,Shirley
Mike,N,10,1,Shirley
Mike,C,0,1,Shirley
Mike,I,10,1,Shirley
Mike,A,17,1,Shirley
Mike,DC,43,1,Shirley
Mike,DN,0,1,Shirley
Miss Ainley,N,0,1,Shirley
Miss Ainley,C,0,1,Shirley
Miss Ainley,I,0,1,Shirley
Miss Ainley,A,0,1,Shirley
Miss Ainley,DC,0,1,Shirley
Miss Ainley,DN,0,1,Shirley
Miss Austen,N,0,1,Shirley
Miss Austen,C,0,1,Shirley
Miss Austen,I,0,1,Shirley
Miss Austen,A,0,1,Shirley
Miss Austen,DC,0,1,Shirley
Miss Austen,DN,0,1,Shirley
Miss Cave,N,0,1,Shirley
Miss Cave,C,0,1,Shirley
Miss Cave,I,0,1,Shirley
Miss Cave,A,0,1,Shirley
Miss Cave,DC,0,1,Shirley
Miss Cave,DN,0,1,Shirley
Miss Grey,N,0,1,Shirley
Miss Grey,C,0,1,Shirley
Miss Grey,I,0,1,Shirley
Miss Grey,A,0,1,Shirley
Miss Grey,DC,0,1,Shirley
Miss Grey,DN,0,1,Shirley
Miss Hardman,N,0,1,Shirley
Miss Hardman,C,0,1,Shirley
Miss Hardman,I,0,1,Shirley
Miss Hardman,A,0,1,Shirley
Miss Hardman,DC,0,1,Shirley
Miss Hardman,DN,0,1,Shirley
Miss Mann,N,0,1,Shirley
Miss Mann,C,0,1,Shirley
Miss Mann,I,0,1,Shirley
Miss Mann,A,0,1,Shirley
Miss Mann,DC,0,1,Shirley
Miss Mann,DN,0,1,Shirley
Miss Mary,N,0,1,Shirley
Miss Mary,C,0,1,Shirley
Miss Mary,I,0,1,Shirley
Miss Mary,A,0,1,Shirley
Miss Mary,DC,0,1,Shirley
Miss Mary,DN,0,1,Shirley
Miss Moore,N,0,1,Shirley
Miss Moore,C,0,1,Shirley
