character,tag,count,chapter,novel
Amelia,N,0,1,Sybil
Amelia,C,0,1,Sybil
Amelia,I,0,1,Sybil
Amelia,A,0,1,Sybil
Amelia,DC,0,1,Sybil
Amelia,DN,0,1,Sybil
Arabella,N,0,1,Sybil
Arabella,C,0,1,Sybil
Arabella,I,0,1,Sybil
Arabella,A,0,1,Sybil
Arabella,DC,0,1,Sybil
Arabella,DN,0,1,Sybil
Aubrey St Lys,N,0,1,Sybil
Aubrey St Lys,C,0,1,Sybil
Aubrey St Lys,I,0,1,Sybil
Aubrey St Lys,A,0,1,Sybil
Aubrey St Lys,DC,0,1,Sybil
Aubrey St Lys,DN,0,1,Sybil
Augustus,N,0,1,Sybil
Augustus,C,0,1,Sybil
Augustus,I,0,1,Sybil
Augustus,A,0,1,Sybil
Augustus,DC,0,1,Sybil
Augustus,DN,0,1,Sybil
BOMBASTES RIP,N,0,1,Sybil
BOMBASTES RIP,C,0,1,Sybil
BOMBASTES RIP,I,0,1,Sybil
BOMBASTES RIP,A,0,1,Sybil
BOMBASTES RIP,DC,0,1,Sybil
BOMBASTES RIP,DN,0,1,Sybil
Bamford,N,0,1,Sybil
Bamford,C,0,1,Sybil
Bamford,I,0,1,Sybil
Bamford,A,0,1,Sybil
Bamford,DC,0,1,Sybil
Bamford,DN,0,1,Sybil
Barber,N,0,1,Sybil
Barber,C,0,1,Sybil
Barber,I,0,1,Sybil
Barber,A,0,1,Sybil
Barber,DC,0,1,Sybil
Barber,DN,0,1,Sybil
Brookes,N,0,1,Sybil
Brookes,C,0,1,Sybil
Brookes,I,0,1,Sybil
Brookes,A,0,1,Sybil
Brookes,DC,0,1,Sybil
Brookes,DN,0,1,Sybil
Burke,N,0,1,Sybil
Burke,C,0,1,Sybil
Burke,I,0,1,Sybil
Burke,A,0,1,Sybil
Burke,DC,0,1,Sybil
Burke,DN,0,1,Sybil
Captain Grouse,N,0,1,Sybil
Captain Grouse,C,0,1,Sybil
Captain Grouse,I,0,1,Sybil
Captain Grouse,A,0,1,Sybil
Captain Grouse,DC,0,1,Sybil
Captain Grouse,DN,0,1,Sybil
Captain Spruce,N,0,1,Sybil
Captain Spruce,C,0,1,Sybil
Captain Spruce,I,0,1,Sybil
Captain Spruce,A,0,1,Sybil
