character,tag,count,chapter,novel
Abraham,N,0,1,Tess_of_the_d'Urbervilles
Abraham,C,0,1,Tess_of_the_d'Urbervilles
Abraham,I,0,1,Tess_of_the_d'Urbervilles
Abraham,A,0,1,Tess_of_the_d'Urbervilles
Abraham,DC,0,1,Tess_of_the_d'Urbervilles
Abraham,DN,0,1,Tess_of_the_d'Urbervilles
Alec,N,0,1,Tess_of_the_d'Urbervilles
Alec,C,0,1,Tess_of_the_d'Urbervilles
Alec,I,0,1,Tess_of_the_d'Urbervilles
Alec,A,0,1,Tess_of_the_d'Urbervilles
Alec,DC,0,1,Tess_of_the_d'Urbervilles
Alec,DN,0,1,Tess_of_the_d'Urbervilles
Beck Knibbs,N,0,1,Tess_of_the_d'Urbervilles
Beck Knibbs,C,0,1,Tess_of_the_d'Urbervilles
Beck Knibbs,I,0,1,Tess_of_the_d'Urbervilles
Beck Knibbs,A,0,1,Tess_of_the_d'Urbervilles
Beck Knibbs,DC,0,1,Tess_of_the_d'Urbervilles
Beck Knibbs,DN,0,1,Tess_of_the_d'Urbervilles
Car,N,0,1,Tess_of_the_d'Urbervilles
Car,C,0,1,Tess_of_the_d'Urbervilles
Car,I,0,1,Tess_of_the_d'Urbervilles
Car,A,0,1,Tess_of_the_d'Urbervilles
Car,DC,0,1,Tess_of_the_d'Urbervilles
Car,DN,0,1,Tess_of_the_d'Urbervilles
Clare,N,0,1,Tess_of_the_d'Urbervilles
Clare,C,0,1,Tess_of_the_d'Urbervilles
Clare,I,0,1,Tess_of_the_d'Urbervilles
Clare,A,0,1,Tess_of_the_d'Urbervilles
Clare,DC,0,1,Tess_of_the_d'Urbervilles
Clare,DN,0,1,Tess_of_the_d'Urbervilles
Cuthbert,N,0,1,Tess_of_the_d'Urbervilles
Cuthbert,C,0,1,Tess_of_the_d'Urbervilles
Cuthbert,I,0,1,Tess_of_the_d'Urbervilles
Cuthbert,A,0,1,Tess_of_the_d'Urbervilles
Cuthbert,DC,0,1,Tess_of_the_d'Urbervilles
Cuthbert,DN,0,1,Tess_of_the_d'Urbervilles
Dairyman Crick,N,0,1,Tess_of_the_d'Urbervilles
Dairyman Crick,C,0,1,Tess_of_the_d'Urbervilles
Dairyman Crick,I,0,1,Tess_of_the_d'Urbervilles
Dairyman Crick,A,0,1,Tess_of_the_d'Urbervilles
Dairyman Crick,DC,0,1,Tess_of_the_d'Urbervilles
Dairyman Crick,DN,0,1,Tess_of_the_d'Urbervilles
Durbeyfield,N,0,1,Tess_of_the_d'Urbervilles
Durbeyfield,C,0,1,Tess_of_the_d'Urbervilles
Durbeyfield,I,0,1,Tess_of_the_d'Urbervilles
Durbeyfield,A,0,1,Tess_of_the_d'Urbervilles
Durbeyfield,DC,0,1,Tess_of_the_d'Urbervilles
Durbeyfield,DN,0,1,Tess_of_the_d'Urbervilles
D’Urberville,N,0,1,Tess_of_the_d'Urbervilles
D’Urberville,C,0,1,Tess_of_the_d'Urbervilles
D’Urberville,I,0,1,Tess_of_the_d'Urbervilles
D’Urberville,A,0,1,Tess_of_the_d'Urbervilles
D’Urberville,DC,0,1,Tess_of_the_d'Urbervilles
D’Urberville,DN,0,1,Tess_of_the_d'Urbervilles
Eve,N,0,1,Tess_of_the_d'Urbervilles
Eve,C,0,1,Tess_of_the_d'Urbervilles
Eve,I,0,1,Tess_of_the_d'Urbervilles
Eve,A,0,1,Tess_of_the_d'Urbervilles
Eve,DC,0,1,Tess_of_the_d'Urbervilles
Eve,DN,0,1,Tess_of_the_d'Urbervilles
Farmer Groby,N,0,1,Tess_of_the_d'Urbervilles
Farmer Groby,C,0,1,Tess_of_the_d'Urbervilles
Farmer Groby,I,0,1,Tess_of_the_d'Urbervilles
Farmer Groby,A,0,1,Tess_of_the_d'Urbervilles
Farmer Groby,DC,0,1,Tess_of_the_d'Urbervilles
Farmer Groby,DN,0,1,Tess_of_the_d'Urbervilles
Felix,N,0,1,Tess_of_the_d'Urbervilles
Felix,C,0,1,Tess_of_the_d'Urbervilles
Felix,I,0,1,Tess_of_the_d'Urbervilles
Felix,A,0,1,Tess_of_the_d'Urbervilles
Felix,DC,0,1,Tess_of_the_d'Urbervilles
Felix,DN,0,1,Tess_of_the_d'Urbervilles
God,N,0,1,Tess_of_the_d'Urbervilles
God,C,0,1,Tess_of_the_d'Urbervilles
God,I,0,1,Tess_of_the_d'Urbervilles
God,A,0,1,Tess_of_the_d'Urbervilles
God,DC,0,1,Tess_of_the_d'Urbervilles
God,DN,0,1,Tess_of_the_d'Urbervilles
Heaven,N,0,1,Tess_of_the_d'Urbervilles
Heaven,C,0,1,Tess_of_the_d'Urbervilles
Heaven,I,0,1,Tess_of_the_d'Urbervilles
Heaven,A,0,1,Tess_of_the_d'Urbervilles
Heaven,DC,0,1,Tess_of_the_d'Urbervilles
Heaven,DN,0,1,Tess_of_the_d'Urbervilles
Herons,N,0,1,Tess_of_the_d'Urbervilles
Herons,C,0,1,Tess_of_the_d'Urbervilles
Herons,I,0,1,Tess_of_the_d'Urbervilles
Herons,A,0,1,Tess_of_the_d'Urbervilles
Herons,DC,0,1,Tess_of_the_d'Urbervilles
Herons,DN,0,1,Tess_of_the_d'Urbervilles
Hodge,N,0,1,Tess_of_the_d'Urbervilles
Hodge,C,0,1,Tess_of_the_d'Urbervilles
Hodge,I,0,1,Tess_of_the_d'Urbervilles
Hodge,A,0,1,Tess_of_the_d'Urbervilles
Hodge,DC,0,1,Tess_of_the_d'Urbervilles
Hodge,DN,0,1,Tess_of_the_d'Urbervilles
Izz,N,0,1,Tess_of_the_d'Urbervilles
Izz,C,0,1,Tess_of_the_d'Urbervilles
Izz,I,0,1,Tess_of_the_d'Urbervilles
Izz,A,0,1,Tess_of_the_d'Urbervilles
Izz,DC,0,1,Tess_of_the_d'Urbervilles
Izz,DN,0,1,Tess_of_the_d'Urbervilles
J,N,0,1,Tess_of_the_d'Urbervilles
J,C,0,1,Tess_of_the_d'Urbervilles
J,I,0,1,Tess_of_the_d'Urbervilles
J,A,0,1,Tess_of_the_d'Urbervilles
J,DC,0,1,Tess_of_the_d'Urbervilles
J,DN,0,1,Tess_of_the_d'Urbervilles
Jack,N,0,1,Tess_of_the_d'Urbervilles
Jack,C,0,1,Tess_of_the_d'Urbervilles
Jack,I,0,1,Tess_of_the_d'Urbervilles
Jack,A,0,1,Tess_of_the_d'Urbervilles
Jack,DC,0,1,Tess_of_the_d'Urbervilles
Jack,DN,0,1,Tess_of_the_d'Urbervilles
Joan,N,0,1,Tess_of_the_d'Urbervilles
Joan,C,0,1,Tess_of_the_d'Urbervilles
Joan,I,0,1,Tess_of_the_d'Urbervilles
Joan,A,0,1,Tess_of_the_d'Urbervilles
Joan,DC,0,1,Tess_of_the_d'Urbervilles
Joan,DN,0,1,Tess_of_the_d'Urbervilles
Jonathan,N,0,1,Tess_of_the_d'Urbervilles
Jonathan,C,0,1,Tess_of_the_d'Urbervilles
Jonathan,I,0,1,Tess_of_the_d'Urbervilles
Jonathan,A,0,1,Tess_of_the_d'Urbervilles
Jonathan,DC,0,1,Tess_of_the_d'Urbervilles
Jonathan,DN,0,1,Tess_of_the_d'Urbervilles
Liza - Lu,N,0,1,Tess_of_the_d'Urbervilles
Liza - Lu,C,0,1,Tess_of_the_d'Urbervilles
Liza - Lu,I,0,1,Tess_of_the_d'Urbervilles
Liza - Lu,A,0,1,Tess_of_the_d'Urbervilles
Liza - Lu,DC,0,1,Tess_of_the_d'Urbervilles
Liza - Lu,DN,0,1,Tess_of_the_d'Urbervilles
Marian,N,0,1,Tess_of_the_d'Urbervilles
Marian,C,0,1,Tess_of_the_d'Urbervilles
Marian,I,0,1,Tess_of_the_d'Urbervilles
Marian,A,0,1,Tess_of_the_d'Urbervilles
Marian,DC,0,1,Tess_of_the_d'Urbervilles
Marian,DN,0,1,Tess_of_the_d'Urbervilles
Marlott,N,0,1,Tess_of_the_d'Urbervilles
Marlott,C,0,1,Tess_of_the_d'Urbervilles
Marlott,I,0,1,Tess_of_the_d'Urbervilles
Marlott,A,0,1,Tess_of_the_d'Urbervilles
Marlott,DC,0,1,Tess_of_the_d'Urbervilles
Marlott,DN,0,1,Tess_of_the_d'Urbervilles
