character,tag,count,chapter,novel
Annaple Bailzou,N,0,1,The_Heart_of_Midlothian2
Annaple Bailzou,C,0,1,The_Heart_of_Midlothian2
Annaple Bailzou,I,0,1,The_Heart_of_Midlothian2
Annaple Bailzou,A,0,1,The_Heart_of_Midlothian2
Annaple Bailzou,DC,0,1,The_Heart_of_Midlothian2
Annaple Bailzou,DN,0,1,The_Heart_of_Midlothian2
Archibald,N,0,1,The_Heart_of_Midlothian2
Archibald,C,0,1,The_Heart_of_Midlothian2
Archibald,I,0,1,The_Heart_of_Midlothian2
Archibald,A,0,1,The_Heart_of_Midlothian2
Archibald,DC,0,1,The_Heart_of_Midlothian2
Archibald,DN,0,1,The_Heart_of_Midlothian2
Argyle,N,2,1,The_Heart_of_Midlothian2
Argyle,C,0,1,The_Heart_of_Midlothian2
Argyle,I,0,1,The_Heart_of_Midlothian2
Argyle,A,0,1,The_Heart_of_Midlothian2
Argyle,DC,1,1,The_Heart_of_Midlothian2
Argyle,DN,0,1,The_Heart_of_Midlothian2
Benjamin Butler,N,0,1,The_Heart_of_Midlothian2
Benjamin Butler,C,0,1,The_Heart_of_Midlothian2
Benjamin Butler,I,0,1,The_Heart_of_Midlothian2
Benjamin Butler,A,0,1,The_Heart_of_Midlothian2
Benjamin Butler,DC,0,1,The_Heart_of_Midlothian2
Benjamin Butler,DN,0,1,The_Heart_of_Midlothian2
Bible Butler,N,0,1,The_Heart_of_Midlothian2
Bible Butler,C,0,1,The_Heart_of_Midlothian2
Bible Butler,I,0,1,The_Heart_of_Midlothian2
Bible Butler,A,0,1,The_Heart_of_Midlothian2
Bible Butler,DC,0,1,The_Heart_of_Midlothian2
Bible Butler,DN,0,1,The_Heart_of_Midlothian2
Black,N,0,1,The_Heart_of_Midlothian2
Black,C,0,1,The_Heart_of_Midlothian2
Black,I,0,1,The_Heart_of_Midlothian2
Black,A,0,1,The_Heart_of_Midlothian2
Black,DC,0,1,The_Heart_of_Midlothian2
Black,DN,0,1,The_Heart_of_Midlothian2
Braidwood,N,0,1,The_Heart_of_Midlothian2
Braidwood,C,0,1,The_Heart_of_Midlothian2
Braidwood,I,0,1,The_Heart_of_Midlothian2
Braidwood,A,0,1,The_Heart_of_Midlothian2
Braidwood,DC,0,1,The_Heart_of_Midlothian2
Braidwood,DN,0,1,The_Heart_of_Midlothian2
Butler,N,2,1,The_Heart_of_Midlothian2
Butler,C,0,1,The_Heart_of_Midlothian2
Butler,I,0,1,The_Heart_of_Midlothian2
Butler,A,0,1,The_Heart_of_Midlothian2
Butler,DC,1,1,The_Heart_of_Midlothian2
Butler,DN,1,1,The_Heart_of_Midlothian2
Campbell,N,0,1,The_Heart_of_Midlothian2
Campbell,C,0,1,The_Heart_of_Midlothian2
Campbell,I,0,1,The_Heart_of_Midlothian2
Campbell,A,0,1,The_Heart_of_Midlothian2
Campbell,DC,0,1,The_Heart_of_Midlothian2
Campbell,DN,0,1,The_Heart_of_Midlothian2
Captain Duncan,N,0,1,The_Heart_of_Midlothian2
Captain Duncan,C,0,1,The_Heart_of_Midlothian2
Captain Duncan,I,0,1,The_Heart_of_Midlothian2
Captain Duncan,A,0,1,The_Heart_of_Midlothian2
Captain Duncan,DC,0,1,The_Heart_of_Midlothian2
Captain Duncan,DN,0,1,The_Heart_of_Midlothian2
Captain George Burton,N,0,1,The_Heart_of_Midlothian2
Captain George Burton,C,0,1,The_Heart_of_Midlothian2
Captain George Burton,I,0,1,The_Heart_of_Midlothian2
Captain George Burton,A,0,1,The_Heart_of_Midlothian2
Captain George Burton,DC,0,1,The_Heart_of_Midlothian2
Captain George Burton,DN,0,1,The_Heart_of_Midlothian2
Captain Porteus,N,0,1,The_Heart_of_Midlothian2
Captain Porteus,C,0,1,The_Heart_of_Midlothian2
Captain Porteus,I,0,1,The_Heart_of_Midlothian2
Captain Porteus,A,0,1,The_Heart_of_Midlothian2
Captain Porteus,DC,0,1,The_Heart_of_Midlothian2
Captain Porteus,DN,0,1,The_Heart_of_Midlothian2
Christiana,N,0,1,The_Heart_of_Midlothian2
Christiana,C,0,1,The_Heart_of_Midlothian2
Christiana,I,0,1,The_Heart_of_Midlothian2
Christiana,A,0,1,The_Heart_of_Midlothian2
Christiana,DC,0,1,The_Heart_of_Midlothian2
Christiana,DN,0,1,The_Heart_of_Midlothian2
Cot tam,N,0,1,The_Heart_of_Midlothian2
Cot tam,C,0,1,The_Heart_of_Midlothian2
Cot tam,I,0,1,The_Heart_of_Midlothian2
Cot tam,A,0,1,The_Heart_of_Midlothian2
Cot tam,DC,0,1,The_Heart_of_Midlothian2
Cot tam,DN,0,1,The_Heart_of_Midlothian2
David,N,1,1,The_Heart_of_Midlothian2
David,C,0,1,The_Heart_of_Midlothian2
David,I,0,1,The_Heart_of_Midlothian2
David,A,0,1,The_Heart_of_Midlothian2
David,DC,0,1,The_Heart_of_Midlothian2
David,DN,1,1,The_Heart_of_Midlothian2
"Deans--""She",N,0,1,The_Heart_of_Midlothian2
"Deans--""She",C,0,1,The_Heart_of_Midlothian2
"Deans--""She",I,0,1,The_Heart_of_Midlothian2
"Deans--""She",A,0,1,The_Heart_of_Midlothian2
"Deans--""She",DC,0,1,The_Heart_of_Midlothian2
"Deans--""She",DN,0,1,The_Heart_of_Midlothian2
Dick Ostler,N,0,1,The_Heart_of_Midlothian2
Dick Ostler,C,0,1,The_Heart_of_Midlothian2
Dick Ostler,I,0,1,The_Heart_of_Midlothian2
Dick Ostler,A,0,1,The_Heart_of_Midlothian2
Dick Ostler,DC,0,1,The_Heart_of_Midlothian2
Dick Ostler,DN,0,1,The_Heart_of_Midlothian2
Donacha,N,0,1,The_Heart_of_Midlothian2
Donacha,C,0,1,The_Heart_of_Midlothian2
Donacha,I,0,1,The_Heart_of_Midlothian2
Donacha,A,0,1,The_Heart_of_Midlothian2
Donacha,DC,0,1,The_Heart_of_Midlothian2
Donacha,DN,0,1,The_Heart_of_Midlothian2
Dumbiedikes,N,0,1,The_Heart_of_Midlothian2
Dumbiedikes,C,0,1,The_Heart_of_Midlothian2
Dumbiedikes,I,0,1,The_Heart_of_Midlothian2
Dumbiedikes,A,0,1,The_Heart_of_Midlothian2
Dumbiedikes,DC,0,1,The_Heart_of_Midlothian2
Dumbiedikes,DN,0,1,The_Heart_of_Midlothian2
Duncan,N,0,1,The_Heart_of_Midlothian2
Duncan,C,0,1,The_Heart_of_Midlothian2
Duncan,I,0,1,The_Heart_of_Midlothian2
Duncan,A,0,1,The_Heart_of_Midlothian2
Duncan,DC,0,1,The_Heart_of_Midlothian2
Duncan,DN,0,1,The_Heart_of_Midlothian2
Duncan of Knock,N,0,1,The_Heart_of_Midlothian2
Duncan of Knock,C,0,1,The_Heart_of_Midlothian2
Duncan of Knock,I,0,1,The_Heart_of_Midlothian2
Duncan of Knock,A,0,1,The_Heart_of_Midlothian2
Duncan of Knock,DC,0,1,The_Heart_of_Midlothian2
Duncan of Knock,DN,0,1,The_Heart_of_Midlothian2
Effie,N,5,1,The_Heart_of_Midlothian2
Effie,C,4,1,The_Heart_of_Midlothian2
Effie,I,0,1,The_Heart_of_Midlothian2
Effie,A,7,1,The_Heart_of_Midlothian2
Effie,DC,2,1,The_Heart_of_Midlothian2
Effie,DN,0,1,The_Heart_of_Midlothian2
Effie?--Effie,N,0,1,The_Heart_of_Midlothian2
Effie?--Effie,C,0,1,The_Heart_of_Midlothian2
Effie?--Effie,I,0,1,The_Heart_of_Midlothian2
Effie?--Effie,A,0,1,The_Heart_of_Midlothian2
Effie?--Effie,DC,0,1,The_Heart_of_Midlothian2
Effie?--Effie,DN,0,1,The_Heart_of_Midlothian2
Euphemia Butler,N,0,1,The_Heart_of_Midlothian2
Euphemia Butler,C,0,1,The_Heart_of_Midlothian2
Euphemia Butler,I,0,1,The_Heart_of_Midlothian2
Euphemia Butler,A,0,1,The_Heart_of_Midlothian2
Euphemia Butler,DC,0,1,The_Heart_of_Midlothian2
Euphemia Butler,DN,0,1,The_Heart_of_Midlothian2
Feckless Fannie,N,0,1,The_Heart_of_Midlothian2
Feckless Fannie,C,0,1,The_Heart_of_Midlothian2
Feckless Fannie,I,0,1,The_Heart_of_Midlothian2
Feckless Fannie,A,0,1,The_Heart_of_Midlothian2
Feckless Fannie,DC,0,1,The_Heart_of_Midlothian2
Feckless Fannie,DN,0,1,The_Heart_of_Midlothian2
Femie,N,0,1,The_Heart_of_Midlothian2
Femie,C,0,1,The_Heart_of_Midlothian2
Femie,I,0,1,The_Heart_of_Midlothian2
Femie,A,0,1,The_Heart_of_Midlothian2
Femie,DC,0,1,The_Heart_of_Midlothian2
Femie,DN,0,1,The_Heart_of_Midlothian2
Francis Gordon,N,0,1,The_Heart_of_Midlothian2
Francis Gordon,C,0,1,The_Heart_of_Midlothian2
Francis Gordon,I,0,1,The_Heart_of_Midlothian2
Francis Gordon,A,0,1,The_Heart_of_Midlothian2
Francis Gordon,DC,0,1,The_Heart_of_Midlothian2
Francis Gordon,DN,0,1,The_Heart_of_Midlothian2
Frank,N,0,1,The_Heart_of_Midlothian2
Frank,C,0,1,The_Heart_of_Midlothian2
Frank,I,0,1,The_Heart_of_Midlothian2
Frank,A,0,1,The_Heart_of_Midlothian2
Frank,DC,0,1,The_Heart_of_Midlothian2
Frank,DN,0,1,The_Heart_of_Midlothian2
Gentle George,N,0,1,The_Heart_of_Midlothian2
Gentle George,C,0,1,The_Heart_of_Midlothian2
Gentle George,I,0,1,The_Heart_of_Midlothian2
Gentle George,A,0,1,The_Heart_of_Midlothian2
Gentle George,DC,0,1,The_Heart_of_Midlothian2
Gentle George,DN,0,1,The_Heart_of_Midlothian2
George Fox,N,0,1,The_Heart_of_Midlothian2
George Fox,C,0,1,The_Heart_of_Midlothian2
George Fox,I,0,1,The_Heart_of_Midlothian2
George Fox,A,0,1,The_Heart_of_Midlothian2
George Fox,DC,0,1,The_Heart_of_Midlothian2
George Fox,DN,0,1,The_Heart_of_Midlothian2
George II,N,0,1,The_Heart_of_Midlothian2
George II,C,0,1,The_Heart_of_Midlothian2
George II,I,0,1,The_Heart_of_Midlothian2
George II,A,0,1,The_Heart_of_Midlothian2
George II,DC,0,1,The_Heart_of_Midlothian2
George II,DN,0,1,The_Heart_of_Midlothian2
George Robertson,N,0,1,The_Heart_of_Midlothian2
George Robertson,C,0,1,The_Heart_of_Midlothian2
George Robertson,I,0,1,The_Heart_of_Midlothian2
George Robertson,A,0,1,The_Heart_of_Midlothian2
George Robertson,DC,0,1,The_Heart_of_Midlothian2
George Robertson,DN,0,1,The_Heart_of_Midlothian2
God,N,3,1,The_Heart_of_Midlothian2
God,C,0,1,The_Heart_of_Midlothian2
God,I,0,1,The_Heart_of_Midlothian2
God,A,0,1,The_Heart_of_Midlothian2
God,DC,1,1,The_Heart_of_Midlothian2
God,DN,0,1,The_Heart_of_Midlothian2
Grace,N,0,1,The_Heart_of_Midlothian2
Grace,C,0,1,The_Heart_of_Midlothian2
Grace,I,0,1,The_Heart_of_Midlothian2
Grace,A,0,1,The_Heart_of_Midlothian2
Grace,DC,0,1,The_Heart_of_Midlothian2
Grace,DN,0,1,The_Heart_of_Midlothian2
Graves,N,0,1,The_Heart_of_Midlothian2
Graves,C,0,1,The_Heart_of_Midlothian2
Graves,I,0,1,The_Heart_of_Midlothian2
Graves,A,0,1,The_Heart_of_Midlothian2
Graves,DC,0,1,The_Heart_of_Midlothian2
Graves,DN,0,1,The_Heart_of_Midlothian2
Heaven,N,0,1,The_Heart_of_Midlothian2
Heaven,C,0,1,The_Heart_of_Midlothian2
Heaven,I,0,1,The_Heart_of_Midlothian2
Heaven,A,0,1,The_Heart_of_Midlothian2
Heaven,DC,0,1,The_Heart_of_Midlothian2
Heaven,DN,0,1,The_Heart_of_Midlothian2
J. D.,N,0,1,The_Heart_of_Midlothian2
J. D.,C,0,1,The_Heart_of_Midlothian2
J. D.,I,0,1,The_Heart_of_Midlothian2
J. D.,A,0,1,The_Heart_of_Midlothian2
J. D.,DC,0,1,The_Heart_of_Midlothian2
J. D.,DN,0,1,The_Heart_of_Midlothian2
James Wilson,N,0,1,The_Heart_of_Midlothian2
James Wilson,C,0,1,The_Heart_of_Midlothian2
James Wilson,I,0,1,The_Heart_of_Midlothian2
James Wilson,A,0,1,The_Heart_of_Midlothian2
James Wilson,DC,0,1,The_Heart_of_Midlothian2
James Wilson,DN,0,1,The_Heart_of_Midlothian2
Jeanie,N,26,1,The_Heart_of_Midlothian2
Jeanie,C,34,1,The_Heart_of_Midlothian2
Jeanie,I,29,1,The_Heart_of_Midlothian2
Jeanie,A,39,1,The_Heart_of_Midlothian2
Jeanie,DC,16,1,The_Heart_of_Midlothian2
Jeanie,DN,3,1,The_Heart_of_Midlothian2
Jenny,N,0,1,The_Heart_of_Midlothian2
Jenny,C,0,1,The_Heart_of_Midlothian2
Jenny,I,0,1,The_Heart_of_Midlothian2
Jenny,A,0,1,The_Heart_of_Midlothian2
Jenny,DC,0,1,The_Heart_of_Midlothian2
Jenny,DN,0,1,The_Heart_of_Midlothian2
Joe Broadwheel,N,0,1,The_Heart_of_Midlothian2
Joe Broadwheel,C,0,1,The_Heart_of_Midlothian2
Joe Broadwheel,I,0,1,The_Heart_of_Midlothian2
Joe Broadwheel,A,0,1,The_Heart_of_Midlothian2
Joe Broadwheel,DC,0,1,The_Heart_of_Midlothian2
Joe Broadwheel,DN,0,1,The_Heart_of_Midlothian2
John Bunyan,N,0,1,The_Heart_of_Midlothian2
John Bunyan,C,0,1,The_Heart_of_Midlothian2
John Bunyan,I,0,1,The_Heart_of_Midlothian2
John Bunyan,A,0,1,The_Heart_of_Midlothian2
John Bunyan,DC,0,1,The_Heart_of_Midlothian2
John Bunyan,DN,0,1,The_Heart_of_Midlothian2
John Crawford,N,0,1,The_Heart_of_Midlothian2
John Crawford,C,0,1,The_Heart_of_Midlothian2
John Crawford,I,0,1,The_Heart_of_Midlothian2
John Crawford,A,0,1,The_Heart_of_Midlothian2
John Crawford,DC,0,1,The_Heart_of_Midlothian2
John Crawford,DN,0,1,The_Heart_of_Midlothian2
John Livingstone,N,0,1,The_Heart_of_Midlothian2
John Livingstone,C,0,1,The_Heart_of_Midlothian2
John Livingstone,I,0,1,The_Heart_of_Midlothian2
John Livingstone,A,0,1,The_Heart_of_Midlothian2
John Livingstone,DC,0,1,The_Heart_of_Midlothian2
John Livingstone,DN,0,1,The_Heart_of_Midlothian2
Lady Staunton,N,0,1,The_Heart_of_Midlothian2
Lady Staunton,C,0,1,The_Heart_of_Midlothian2
Lady Staunton,I,0,1,The_Heart_of_Midlothian2
Lady Staunton,A,0,1,The_Heart_of_Midlothian2
Lady Staunton,DC,0,1,The_Heart_of_Midlothian2
Lady Staunton,DN,0,1,The_Heart_of_Midlothian2
Lady Suffolk,N,0,1,The_Heart_of_Midlothian2
Lady Suffolk,C,0,1,The_Heart_of_Midlothian2
Lady Suffolk,I,0,1,The_Heart_of_Midlothian2
Lady Suffolk,A,0,1,The_Heart_of_Midlothian2
Lady Suffolk,DC,0,1,The_Heart_of_Midlothian2
Lady Suffolk,DN,0,1,The_Heart_of_Midlothian2
Leddy Staunton,N,0,1,The_Heart_of_Midlothian2
Leddy Staunton,C,0,1,The_Heart_of_Midlothian2
Leddy Staunton,I,0,1,The_Heart_of_Midlothian2
Leddy Staunton,A,0,1,The_Heart_of_Midlothian2
Leddy Staunton,DC,0,1,The_Heart_of_Midlothian2
