character,tag,count,chapter,novel
A.,N,0,1,The_Heir_of_Redclyffe
A.,C,0,1,The_Heir_of_Redclyffe
A.,I,0,1,The_Heir_of_Redclyffe
A.,A,0,1,The_Heir_of_Redclyffe
A.,DC,0,1,The_Heir_of_Redclyffe
A.,DN,0,1,The_Heir_of_Redclyffe
Alice Lamsden,N,0,1,The_Heir_of_Redclyffe
Alice Lamsden,C,0,1,The_Heir_of_Redclyffe
Alice Lamsden,I,0,1,The_Heir_of_Redclyffe
Alice Lamsden,A,0,1,The_Heir_of_Redclyffe
Alice Lamsden,DC,0,1,The_Heir_of_Redclyffe
Alice Lamsden,DN,0,1,The_Heir_of_Redclyffe
Amabel,N,9,1,The_Heir_of_Redclyffe
Amabel,C,8,1,The_Heir_of_Redclyffe
Amabel,I,3,1,The_Heir_of_Redclyffe
Amabel,A,2,1,The_Heir_of_Redclyffe
Amabel,DC,0,1,The_Heir_of_Redclyffe
Amabel,DN,1,1,The_Heir_of_Redclyffe
Amy,N,14,1,The_Heir_of_Redclyffe
Amy,C,11,1,The_Heir_of_Redclyffe
Amy,I,3,1,The_Heir_of_Redclyffe
Amy,A,6,1,The_Heir_of_Redclyffe
Amy,DC,12,1,The_Heir_of_Redclyffe
Amy,DN,0,1,The_Heir_of_Redclyffe
"Amy,--You",N,0,1,The_Heir_of_Redclyffe
"Amy,--You",C,0,1,The_Heir_of_Redclyffe
"Amy,--You",I,0,1,The_Heir_of_Redclyffe
"Amy,--You",A,0,1,The_Heir_of_Redclyffe
"Amy,--You",DC,0,1,The_Heir_of_Redclyffe
"Amy,--You",DN,0,1,The_Heir_of_Redclyffe
"Amy,--‘Do",N,0,1,The_Heir_of_Redclyffe
"Amy,--‘Do",C,0,1,The_Heir_of_Redclyffe
"Amy,--‘Do",I,0,1,The_Heir_of_Redclyffe
"Amy,--‘Do",A,0,1,The_Heir_of_Redclyffe
"Amy,--‘Do",DC,0,1,The_Heir_of_Redclyffe
"Amy,--‘Do",DN,0,1,The_Heir_of_Redclyffe
Anne,N,0,1,The_Heir_of_Redclyffe
Anne,C,0,1,The_Heir_of_Redclyffe
Anne,I,0,1,The_Heir_of_Redclyffe
Anne,A,0,1,The_Heir_of_Redclyffe
Anne,DC,0,1,The_Heir_of_Redclyffe
