character,tag,count,chapter,novel
Adye,N,0,1,The_Invisible_Man
Adye,C,0,1,The_Invisible_Man
Adye,I,0,1,The_Invisible_Man
Adye,A,0,1,The_Invisible_Man
Adye,DC,0,1,The_Invisible_Man
Adye,DN,0,1,The_Invisible_Man
Cuss,N,0,1,The_Invisible_Man
Cuss,C,0,1,The_Invisible_Man
Cuss,I,0,1,The_Invisible_Man
Cuss,A,0,1,The_Invisible_Man
Cuss,DC,0,1,The_Invisible_Man
Cuss,DN,0,1,The_Invisible_Man
DR . KEMP,N,0,1,The_Invisible_Man
DR . KEMP,C,0,1,The_Invisible_Man
DR . KEMP,I,0,1,The_Invisible_Man
DR . KEMP,A,0,1,The_Invisible_Man
DR . KEMP,DC,0,1,The_Invisible_Man
DR . KEMP,DN,0,1,The_Invisible_Man
Death,N,0,1,The_Invisible_Man
Death,C,0,1,The_Invisible_Man
Death,I,0,1,The_Invisible_Man
Death,A,0,1,The_Invisible_Man
Death,DC,0,1,The_Invisible_Man
Death,DN,0,1,The_Invisible_Man
Doctor Kemp,N,0,1,The_Invisible_Man
Doctor Kemp,C,0,1,The_Invisible_Man
Doctor Kemp,I,0,1,The_Invisible_Man
Doctor Kemp,A,0,1,The_Invisible_Man
Doctor Kemp,DC,0,1,The_Invisible_Man
Doctor Kemp,DN,0,1,The_Invisible_Man
Fearenside,N,0,1,The_Invisible_Man
Fearenside,C,0,1,The_Invisible_Man
Fearenside,I,0,1,The_Invisible_Man
Fearenside,A,0,1,The_Invisible_Man
Fearenside,DC,0,1,The_Invisible_Man
Fearenside,DN,0,1,The_Invisible_Man
Gibbons,N,0,1,The_Invisible_Man
Gibbons,C,0,1,The_Invisible_Man
Gibbons,I,0,1,The_Invisible_Man
Gibbons,A,0,1,The_Invisible_Man
Gibbons,DC,0,1,The_Invisible_Man
Gibbons,DN,0,1,The_Invisible_Man
God,N,0,1,The_Invisible_Man
God,C,0,1,The_Invisible_Man
God,I,0,1,The_Invisible_Man
God,A,0,1,The_Invisible_Man
God,DC,0,1,The_Invisible_Man
God,DN,0,1,The_Invisible_Man
Griffin,N,0,1,The_Invisible_Man
Griffin,C,0,1,The_Invisible_Man
Griffin,I,0,1,The_Invisible_Man
Griffin,A,0,1,The_Invisible_Man
Griffin,DC,0,1,The_Invisible_Man
Griffin,DN,0,1,The_Invisible_Man
Henfrey,N,0,1,The_Invisible_Man
Henfrey,C,0,1,The_Invisible_Man
Henfrey,I,0,1,The_Invisible_Man
Henfrey,A,0,1,The_Invisible_Man
Henfrey,DC,0,1,The_Invisible_Man
Henfrey,DN,0,1,The_Invisible_Man
Iping,N,0,1,The_Invisible_Man
Iping,C,0,1,The_Invisible_Man
Iping,I,0,1,The_Invisible_Man
Iping,A,0,1,The_Invisible_Man
Iping,DC,0,1,The_Invisible_Man
Iping,DN,0,1,The_Invisible_Man
Jaffers,N,0,1,The_Invisible_Man
Jaffers,C,0,1,The_Invisible_Man
Jaffers,I,0,1,The_Invisible_Man
Jaffers,A,0,1,The_Invisible_Man
Jaffers,DC,0,1,The_Invisible_Man
Jaffers,DN,0,1,The_Invisible_Man
Janny,N,0,1,The_Invisible_Man
Janny,C,0,1,The_Invisible_Man
Janny,I,0,1,The_Invisible_Man
Janny,A,0,1,The_Invisible_Man
Janny,DC,0,1,The_Invisible_Man
Janny,DN,0,1,The_Invisible_Man
Kemp,N,0,1,The_Invisible_Man
Kemp,C,0,1,The_Invisible_Man
Kemp,I,0,1,The_Invisible_Man
Kemp,A,0,1,The_Invisible_Man
Kemp,DC,0,1,The_Invisible_Man
Kemp,DN,0,1,The_Invisible_Man
Millie,N,6,1,The_Invisible_Man
Millie,C,13,1,The_Invisible_Man
Millie,I,13,1,The_Invisible_Man
Millie,A,25,1,The_Invisible_Man
Millie,DC,2,1,The_Invisible_Man
Millie,DN,3,1,The_Invisible_Man
Mr. Bunting,N,0,1,The_Invisible_Man
Mr. Bunting,C,0,1,The_Invisible_Man
Mr. Bunting,I,0,1,The_Invisible_Man
Mr. Bunting,A,0,1,The_Invisible_Man
Mr. Bunting,DC,0,1,The_Invisible_Man
Mr. Bunting,DN,0,1,The_Invisible_Man
Mr. Hall,N,0,1,The_Invisible_Man
Mr. Hall,C,0,1,The_Invisible_Man
Mr. Hall,I,0,1,The_Invisible_Man
Mr. Hall,A,0,1,The_Invisible_Man
Mr. Hall,DC,0,1,The_Invisible_Man
Mr. Hall,DN,0,1,The_Invisible_Man
Mr. Heelas,N,0,1,The_Invisible_Man
Mr. Heelas,C,0,1,The_Invisible_Man
Mr. Heelas,I,0,1,The_Invisible_Man
Mr. Heelas,A,0,1,The_Invisible_Man
Mr. Heelas,DC,0,1,The_Invisible_Man
Mr. Heelas,DN,0,1,The_Invisible_Man
Mr. Huxter,N,0,1,The_Invisible_Man
Mr. Huxter,C,0,1,The_Invisible_Man
