character,tag,count,chapter,novel
Augustus,N,3,1,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,I,3,1,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,A,1,1,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,DN,1,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,N,2,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,A,2,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,DN,2,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,N,1,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Edward,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Edward,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Edward,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Edward,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Edward,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Edward,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Father,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Father,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Father,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Father,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Father,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Father,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
God,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
God,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
God,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
God,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
God,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
God,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,A,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,DC,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,DN,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,N,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,C,0,1,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,I,0,1,The_Life_and_Adventures_of_Michael_Armstrong
