character,tag,count,chapter,novel
Alf,N,0,1,The_Light_that_Failed
Alf,C,0,1,The_Light_that_Failed
Alf,I,0,1,The_Light_that_Failed
Alf,A,0,1,The_Light_that_Failed
Alf,DC,0,1,The_Light_that_Failed
Alf,DN,0,1,The_Light_that_Failed
Amomma,N,0,1,The_Light_that_Failed
Amomma,C,0,1,The_Light_that_Failed
Amomma,I,0,1,The_Light_that_Failed
Amomma,A,0,1,The_Light_that_Failed
Amomma,DC,0,1,The_Light_that_Failed
Amomma,DN,0,1,The_Light_that_Failed
Bess,N,0,1,The_Light_that_Failed
Bess,C,0,1,The_Light_that_Failed
Bess,I,0,1,The_Light_that_Failed
Bess,A,0,1,The_Light_that_Failed
Bess,DC,0,1,The_Light_that_Failed
Bess,DN,0,1,The_Light_that_Failed
Bessie,N,0,1,The_Light_that_Failed
Bessie,C,0,1,The_Light_that_Failed
Bessie,I,0,1,The_Light_that_Failed
Bessie,A,0,1,The_Light_that_Failed
Bessie,DC,0,1,The_Light_that_Failed
Bessie,DN,0,1,The_Light_that_Failed
Binkie,N,0,1,The_Light_that_Failed
Binkie,C,0,1,The_Light_that_Failed
Binkie,I,0,1,The_Light_that_Failed
Binkie,A,0,1,The_Light_that_Failed
Binkie,DC,0,1,The_Light_that_Failed
Binkie,DN,0,1,The_Light_that_Failed
Cassavetti,N,0,1,The_Light_that_Failed
Cassavetti,C,0,1,The_Light_that_Failed
Cassavetti,I,0,1,The_Light_that_Failed
Cassavetti,A,0,1,The_Light_that_Failed
Cassavetti,DC,0,1,The_Light_that_Failed
Cassavetti,DN,0,1,The_Light_that_Failed
Dick,N,0,1,The_Light_that_Failed
Dick,C,0,1,The_Light_that_Failed
Dick,I,0,1,The_Light_that_Failed
Dick,A,0,1,The_Light_that_Failed
Dick,DC,0,1,The_Light_that_Failed
Dick,DN,0,1,The_Light_that_Failed
Dickie,N,0,1,The_Light_that_Failed
Dickie,C,0,1,The_Light_that_Failed
Dickie,I,0,1,The_Light_that_Failed
Dickie,A,0,1,The_Light_that_Failed
Dickie,DC,0,1,The_Light_that_Failed
Dickie,DN,0,1,The_Light_that_Failed
George,N,0,1,The_Light_that_Failed
George,C,0,1,The_Light_that_Failed
George,I,0,1,The_Light_that_Failed
George,A,0,1,The_Light_that_Failed
George,DC,0,1,The_Light_that_Failed
George,DN,0,1,The_Light_that_Failed
God,N,0,1,The_Light_that_Failed
God,C,0,1,The_Light_that_Failed
God,I,0,1,The_Light_that_Failed
God,A,0,1,The_Light_that_Failed
God,DC,0,1,The_Light_that_Failed
God,DN,0,1,The_Light_that_Failed
Joe,N,0,1,The_Light_that_Failed
Joe,C,0,1,The_Light_that_Failed
Joe,I,0,1,The_Light_that_Failed
Joe,A,0,1,The_Light_that_Failed
Joe,DC,0,1,The_Light_that_Failed
Joe,DN,0,1,The_Light_that_Failed
Jove,N,0,1,The_Light_that_Failed
Jove,C,0,1,The_Light_that_Failed
Jove,I,0,1,The_Light_that_Failed
Jove,A,0,1,The_Light_that_Failed
Jove,DC,0,1,The_Light_that_Failed
Jove,DN,0,1,The_Light_that_Failed
Kami,N,0,1,The_Light_that_Failed
Kami,C,0,1,The_Light_that_Failed
Kami,I,0,1,The_Light_that_Failed
Kami,A,0,1,The_Light_that_Failed
Kami,DC,0,1,The_Light_that_Failed
Kami,DN,0,1,The_Light_that_Failed
Maclagan,N,0,1,The_Light_that_Failed
Maclagan,C,0,1,The_Light_that_Failed
Maclagan,I,0,1,The_Light_that_Failed
Maclagan,A,0,1,The_Light_that_Failed
Maclagan,DC,0,1,The_Light_that_Failed
Maclagan,DN,0,1,The_Light_that_Failed
