character,tag,count,chapter,novel
Blowbody,N,5,1,The_Mayor_of_Casterbridge
Blowbody,C,4,1,The_Mayor_of_Casterbridge
Blowbody,I,0,1,The_Mayor_of_Casterbridge
Blowbody,A,3,1,The_Mayor_of_Casterbridge
Blowbody,DC,1,1,The_Mayor_of_Casterbridge
Blowbody,DN,1,1,The_Mayor_of_Casterbridge
Buzzford,N,6,1,The_Mayor_of_Casterbridge
Buzzford,C,3,1,The_Mayor_of_Casterbridge
Buzzford,I,2,1,The_Mayor_of_Casterbridge
Buzzford,A,0,1,The_Mayor_of_Casterbridge
Buzzford,DC,0,1,The_Mayor_of_Casterbridge
Buzzford,DN,0,1,The_Mayor_of_Casterbridge
Casterbridge,N,3,1,The_Mayor_of_Casterbridge
Casterbridge,C,0,1,The_Mayor_of_Casterbridge
Casterbridge,I,0,1,The_Mayor_of_Casterbridge
Casterbridge,A,2,1,The_Mayor_of_Casterbridge
Casterbridge,DC,0,1,The_Mayor_of_Casterbridge
Casterbridge,DN,0,1,The_Mayor_of_Casterbridge
Charl,N,9,1,The_Mayor_of_Casterbridge
Charl,C,7,1,The_Mayor_of_Casterbridge
Charl,I,0,1,The_Mayor_of_Casterbridge
Charl,A,1,1,The_Mayor_of_Casterbridge
Charl,DC,0,1,The_Mayor_of_Casterbridge
Charl,DN,0,1,The_Mayor_of_Casterbridge
Christopher Coney,N,9,1,The_Mayor_of_Casterbridge
Christopher Coney,C,2,1,The_Mayor_of_Casterbridge
Christopher Coney,I,5,1,The_Mayor_of_Casterbridge
Christopher Coney,A,3,1,The_Mayor_of_Casterbridge
Christopher Coney,DC,2,1,The_Mayor_of_Casterbridge
Christopher Coney,DN,0,1,The_Mayor_of_Casterbridge
David,N,0,1,The_Mayor_of_Casterbridge
David,C,0,1,The_Mayor_of_Casterbridge
David,I,0,1,The_Mayor_of_Casterbridge
David,A,0,1,The_Mayor_of_Casterbridge
David,DC,0,1,The_Mayor_of_Casterbridge
David,DN,0,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,N,0,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,C,0,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,I,0,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,A,0,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,DC,0,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,DN,0,1,The_Mayor_of_Casterbridge
Farfrae,N,174,1,The_Mayor_of_Casterbridge
Farfrae,C,35,1,The_Mayor_of_Casterbridge
Farfrae,I,46,1,The_Mayor_of_Casterbridge
Farfrae,A,60,1,The_Mayor_of_Casterbridge
Farfrae,DC,31,1,The_Mayor_of_Casterbridge
Farfrae,DN,9,1,The_Mayor_of_Casterbridge
Father,N,2,1,The_Mayor_of_Casterbridge
Father,C,0,1,The_Mayor_of_Casterbridge
Father,I,0,1,The_Mayor_of_Casterbridge
Father,A,0,1,The_Mayor_of_Casterbridge
Father,DC,1,1,The_Mayor_of_Casterbridge
Father,DN,1,1,The_Mayor_of_Casterbridge
Father!—I,N,1,1,The_Mayor_of_Casterbridge
Father!—I,C,0,1,The_Mayor_of_Casterbridge
Father!—I,I,0,1,The_Mayor_of_Casterbridge
Father!—I,A,0,1,The_Mayor_of_Casterbridge
Father!—I,DC,0,1,The_Mayor_of_Casterbridge
Father!—I,DN,0,1,The_Mayor_of_Casterbridge
God,N,3,1,The_Mayor_of_Casterbridge
God,C,0,1,The_Mayor_of_Casterbridge
God,I,0,1,The_Mayor_of_Casterbridge
God,A,0,1,The_Mayor_of_Casterbridge
God,DC,0,1,The_Mayor_of_Casterbridge
God,DN,1,1,The_Mayor_of_Casterbridge
