character,tag,count,chapter,novel
Alice,N,0,1,The_Mill_on_the_Floss
Alice,C,0,1,The_Mill_on_the_Floss
Alice,I,0,1,The_Mill_on_the_Floss
Alice,A,0,1,The_Mill_on_the_Floss
Alice,DC,0,1,The_Mill_on_the_Floss
Alice,DN,0,1,The_Mill_on_the_Floss
Aunt Glegg,N,0,1,The_Mill_on_the_Floss
Aunt Glegg,C,0,1,The_Mill_on_the_Floss
Aunt Glegg,I,0,1,The_Mill_on_the_Floss
Aunt Glegg,A,0,1,The_Mill_on_the_Floss
Aunt Glegg,DC,0,1,The_Mill_on_the_Floss
Aunt Glegg,DN,0,1,The_Mill_on_the_Floss
Aunt Pullet,N,0,1,The_Mill_on_the_Floss
Aunt Pullet,C,0,1,The_Mill_on_the_Floss
Aunt Pullet,I,0,1,The_Mill_on_the_Floss
Aunt Pullet,A,0,1,The_Mill_on_the_Floss
Aunt Pullet,DC,0,1,The_Mill_on_the_Floss
Aunt Pullet,DN,0,1,The_Mill_on_the_Floss
Bessy,N,0,1,The_Mill_on_the_Floss
Bessy,C,0,1,The_Mill_on_the_Floss
Bessy,I,0,1,The_Mill_on_the_Floss
Bessy,A,0,1,The_Mill_on_the_Floss
Bessy,DC,0,1,The_Mill_on_the_Floss
Bessy,DN,0,1,The_Mill_on_the_Floss
Bob,N,0,1,The_Mill_on_the_Floss
Bob,C,0,1,The_Mill_on_the_Floss
Bob,I,0,1,The_Mill_on_the_Floss
Bob,A,0,1,The_Mill_on_the_Floss
Bob,DC,0,1,The_Mill_on_the_Floss
Bob,DN,0,1,The_Mill_on_the_Floss
Columbus,N,0,1,The_Mill_on_the_Floss
Columbus,C,0,1,The_Mill_on_the_Floss
Columbus,I,0,1,The_Mill_on_the_Floss
Columbus,A,0,1,The_Mill_on_the_Floss
Columbus,DC,0,1,The_Mill_on_the_Floss
Columbus,DN,0,1,The_Mill_on_the_Floss
Dix,N,0,1,The_Mill_on_the_Floss
Dix,C,0,1,The_Mill_on_the_Floss
Dix,I,0,1,The_Mill_on_the_Floss
Dix,A,0,1,The_Mill_on_the_Floss
Dix,DC,0,1,The_Mill_on_the_Floss
Dix,DN,0,1,The_Mill_on_the_Floss
Dolly,N,0,1,The_Mill_on_the_Floss
Dolly,C,0,1,The_Mill_on_the_Floss
Dolly,I,0,1,The_Mill_on_the_Floss
Dolly,A,0,1,The_Mill_on_the_Floss
