character,tag,count,chapter,novel
Agnes,N,1,1,The_Mysteries_of_London4
Agnes,C,0,1,The_Mysteries_of_London4
Agnes,I,0,1,The_Mysteries_of_London4
Agnes,A,1,1,The_Mysteries_of_London4
Agnes,DC,0,1,The_Mysteries_of_London4
Agnes,DN,0,1,The_Mysteries_of_London4
Alberto,N,0,1,The_Mysteries_of_London4
Alberto,C,0,1,The_Mysteries_of_London4
Alberto,I,0,1,The_Mysteries_of_London4
Alberto,A,0,1,The_Mysteries_of_London4
Alberto,DC,0,1,The_Mysteries_of_London4
Alberto,DN,0,1,The_Mysteries_of_London4
Arthur,N,0,1,The_Mysteries_of_London4
Arthur,C,0,1,The_Mysteries_of_London4
Arthur,I,0,1,The_Mysteries_of_London4
Arthur,A,0,1,The_Mysteries_of_London4
Arthur,DC,0,1,The_Mysteries_of_London4
Arthur,DN,0,1,The_Mysteries_of_London4
Augustine,N,0,1,The_Mysteries_of_London4
Augustine,C,0,1,The_Mysteries_of_London4
Augustine,I,0,1,The_Mysteries_of_London4
Augustine,A,0,1,The_Mysteries_of_London4
Augustine,DC,0,1,The_Mysteries_of_London4
Augustine,DN,0,1,The_Mysteries_of_London4
Beale,N,0,1,The_Mysteries_of_London4
Beale,C,0,1,The_Mysteries_of_London4
Beale,I,0,1,The_Mysteries_of_London4
Beale,A,0,1,The_Mysteries_of_London4
Beale,DC,0,1,The_Mysteries_of_London4
Beale,DN,0,1,The_Mysteries_of_London4
Benjamin Bones,N,0,1,The_Mysteries_of_London4
Benjamin Bones,C,0,1,The_Mysteries_of_London4
Benjamin Bones,I,0,1,The_Mysteries_of_London4
Benjamin Bones,A,0,1,The_Mysteries_of_London4
Benjamin Bones,DC,0,1,The_Mysteries_of_London4
Benjamin Bones,DN,0,1,The_Mysteries_of_London4
Bilk,N,0,1,The_Mysteries_of_London4
Bilk,C,0,1,The_Mysteries_of_London4
Bilk,I,0,1,The_Mysteries_of_London4
Bilk,A,0,1,The_Mysteries_of_London4
Bilk,DC,0,1,The_Mysteries_of_London4
Bilk,DN,0,1,The_Mysteries_of_London4
Bingham,N,0,1,The_Mysteries_of_London4
Bingham,C,0,1,The_Mysteries_of_London4
Bingham,I,0,1,The_Mysteries_of_London4
Bingham,A,0,1,The_Mysteries_of_London4
Bingham,DC,0,1,The_Mysteries_of_London4
Bingham,DN,0,1,The_Mysteries_of_London4
Captain Barthelma,N,0,1,The_Mysteries_of_London4
Captain Barthelma,C,0,1,The_Mysteries_of_London4
Captain Barthelma,I,0,1,The_Mysteries_of_London4
Captain Barthelma,A,0,1,The_Mysteries_of_London4
Captain Barthelma,DC,0,1,The_Mysteries_of_London4
Captain Barthelma,DN,0,1,The_Mysteries_of_London4
Captain Hatfield,N,0,1,The_Mysteries_of_London4
Captain Hatfield,C,0,1,The_Mysteries_of_London4
Captain Hatfield,I,0,1,The_Mysteries_of_London4
