character,tag,count,chapter,novel
Agnes Brissenden,N,0,1,The_Odd_Women
Agnes Brissenden,C,0,1,The_Odd_Women
Agnes Brissenden,I,0,1,The_Odd_Women
Agnes Brissenden,A,0,1,The_Odd_Women
Agnes Brissenden,DC,0,1,The_Odd_Women
Agnes Brissenden,DN,0,1,The_Odd_Women
Alice,N,12,1,The_Odd_Women
Alice,C,2,1,The_Odd_Women
Alice,I,2,1,The_Odd_Women
Alice,A,6,1,The_Odd_Women
Alice,DC,4,1,The_Odd_Women
Alice,DN,0,1,The_Odd_Women
Amy Drake,N,0,1,The_Odd_Women
Amy Drake,C,0,1,The_Odd_Women
Amy Drake,I,0,1,The_Odd_Women
Amy Drake,A,0,1,The_Odd_Women
Amy Drake,DC,0,1,The_Odd_Women
Amy Drake,DN,0,1,The_Odd_Women
Bevis,N,0,1,The_Odd_Women
Bevis,C,0,1,The_Odd_Women
Bevis,I,0,1,The_Odd_Women
Bevis,A,0,1,The_Odd_Women
Bevis,DC,0,1,The_Odd_Women
Bevis,DN,0,1,The_Odd_Women
DEAR MR . WIDDOWSON,N,0,1,The_Odd_Women
DEAR MR . WIDDOWSON,C,0,1,The_Odd_Women
DEAR MR . WIDDOWSON,I,0,1,The_Odd_Women
DEAR MR . WIDDOWSON,A,0,1,The_Odd_Women
DEAR MR . WIDDOWSON,DC,0,1,The_Odd_Women
DEAR MR . WIDDOWSON,DN,0,1,The_Odd_Women
Darling,N,0,1,The_Odd_Women
Darling,C,0,1,The_Odd_Women
Darling,I,0,1,The_Odd_Women
Darling,A,0,1,The_Odd_Women
Darling,DC,0,1,The_Odd_Women
Darling,DN,0,1,The_Odd_Women
Dr. Madden,N,12,1,The_Odd_Women
Dr. Madden,C,8,1,The_Odd_Women
Dr. Madden,I,16,1,The_Odd_Women
Dr. Madden,A,14,1,The_Odd_Women
Dr. Madden,DC,0,1,The_Odd_Women
Dr. Madden,DN,3,1,The_Odd_Women
Everard,N,0,1,The_Odd_Women
Everard,C,0,1,The_Odd_Women
Everard,I,0,1,The_Odd_Women
Everard,A,0,1,The_Odd_Women
Everard,DC,0,1,The_Odd_Women
Everard,DN,0,1,The_Odd_Women
Fanny,N,0,1,The_Odd_Women
Fanny,C,0,1,The_Odd_Women
Fanny,I,0,1,The_Odd_Women
Fanny,A,0,1,The_Odd_Women
Fanny,DC,0,1,The_Odd_Women
Fanny,DN,0,1,The_Odd_Women
Gertrude,N,3,1,The_Odd_Women
Gertrude,C,0,1,The_Odd_Women
Gertrude,I,0,1,The_Odd_Women
Gertrude,A,1,1,The_Odd_Women
Gertrude,DC,0,1,The_Odd_Women
Gertrude,DN,0,1,The_Odd_Women
Isabel,N,2,1,The_Odd_Women
Isabel,C,0,1,The_Odd_Women
Isabel,I,0,1,The_Odd_Women
Isabel,A,1,1,The_Odd_Women
Isabel,DC,0,1,The_Odd_Women
Isabel,DN,0,1,The_Odd_Women
Lady Horrocks,N,0,1,The_Odd_Women
Lady Horrocks,C,0,1,The_Odd_Women
Lady Horrocks,I,0,1,The_Odd_Women
Lady Horrocks,A,0,1,The_Odd_Women
Lady Horrocks,DC,0,1,The_Odd_Women
Lady Horrocks,DN,0,1,The_Odd_Women
"MARY,—I",N,0,1,The_Odd_Women
"MARY,—I",C,0,1,The_Odd_Women
"MARY,—I",I,0,1,The_Odd_Women
"MARY,—I",A,0,1,The_Odd_Women
"MARY,—I",DC,0,1,The_Odd_Women
"MARY,—I",DN,0,1,The_Odd_Women
Mary,N,0,1,The_Odd_Women
Mary,C,0,1,The_Odd_Women
Mary,I,0,1,The_Odd_Women
Mary,A,0,1,The_Odd_Women
Mary,DC,0,1,The_Odd_Women
Mary,DN,0,1,The_Odd_Women
Mick,N,0,1,The_Odd_Women
Mick,C,0,1,The_Odd_Women
Mick,I,0,1,The_Odd_Women
Mick,A,0,1,The_Odd_Women
Mick,DC,0,1,The_Odd_Women
Mick,DN,0,1,The_Odd_Women
Micklethwaite,N,0,1,The_Odd_Women
Micklethwaite,C,0,1,The_Odd_Women
Micklethwaite,I,0,1,The_Odd_Women
Micklethwaite,A,0,1,The_Odd_Women
Micklethwaite,DC,0,1,The_Odd_Women
Micklethwaite,DN,0,1,The_Odd_Women
Mildred,N,0,1,The_Odd_Women
Mildred,C,0,1,The_Odd_Women
Mildred,I,0,1,The_Odd_Women
Mildred,A,0,1,The_Odd_Women
Mildred,DC,0,1,The_Odd_Women
Mildred,DN,0,1,The_Odd_Women
Miss Barfoot,N,0,1,The_Odd_Women
Miss Barfoot,C,0,1,The_Odd_Women
Miss Barfoot,I,0,1,The_Odd_Women
Miss Barfoot,A,0,1,The_Odd_Women
Miss Barfoot,DC,0,1,The_Odd_Women
Miss Barfoot,DN,0,1,The_Odd_Women
Miss Eade,N,0,1,The_Odd_Women
Miss Eade,C,0,1,The_Odd_Women
Miss Eade,I,0,1,The_Odd_Women
Miss Eade,A,0,1,The_Odd_Women
Miss Eade,DC,0,1,The_Odd_Women
Miss Eade,DN,0,1,The_Odd_Women
Miss Haven,N,0,1,The_Odd_Women
Miss Haven,C,0,1,The_Odd_Women
Miss Haven,I,0,1,The_Odd_Women
Miss Haven,A,0,1,The_Odd_Women
Miss Haven,DC,0,1,The_Odd_Women
Miss Haven,DN,0,1,The_Odd_Women
Miss M.,N,0,1,The_Odd_Women
Miss M.,C,0,1,The_Odd_Women
Miss M.,I,0,1,The_Odd_Women
Miss M.,A,0,1,The_Odd_Women
Miss M.,DC,0,1,The_Odd_Women
Miss M.,DN,0,1,The_Odd_Women
Miss Madden,N,0,1,The_Odd_Women
Miss Madden,C,0,1,The_Odd_Women
Miss Madden,I,0,1,The_Odd_Women
Miss Madden,A,0,1,The_Odd_Women
Miss Madden,DC,0,1,The_Odd_Women
Miss Madden,DN,0,1,The_Odd_Women
Miss Nunn,N,3,1,The_Odd_Women
Miss Nunn,C,0,1,The_Odd_Women
Miss Nunn,I,0,1,The_Odd_Women
Miss Nunn,A,1,1,The_Odd_Women
Miss Nunn,DC,0,1,The_Odd_Women
Miss Nunn,DN,0,1,The_Odd_Women
Miss Royston,N,0,1,The_Odd_Women
Miss Royston,C,0,1,The_Odd_Women
Miss Royston,I,0,1,The_Odd_Women
Miss Royston,A,0,1,The_Odd_Women
Miss Royston,DC,0,1,The_Odd_Women
Miss Royston,DN,0,1,The_Odd_Women
Miss Vesper,N,0,1,The_Odd_Women
Miss Vesper,C,0,1,The_Odd_Women
Miss Vesper,I,0,1,The_Odd_Women
Miss Vesper,A,0,1,The_Odd_Women
Miss Vesper,DC,0,1,The_Odd_Women
Miss Vesper,DN,0,1,The_Odd_Women
Miss Wheatley,N,0,1,The_Odd_Women
Miss Wheatley,C,0,1,The_Odd_Women
Miss Wheatley,I,0,1,The_Odd_Women
Miss Wheatley,A,0,1,The_Odd_Women
Miss Wheatley,DC,0,1,The_Odd_Women
Miss Wheatley,DN,0,1,The_Odd_Women
Monica,N,5,1,The_Odd_Women
Monica,C,0,1,The_Odd_Women
Monica,I,0,1,The_Odd_Women
Monica,A,2,1,The_Odd_Women
Monica,DC,0,1,The_Odd_Women
Monica,DN,1,1,The_Odd_Women
Mr. Barfoot,N,0,1,The_Odd_Women
Mr. Barfoot,C,0,1,The_Odd_Women
Mr. Barfoot,I,0,1,The_Odd_Women
Mr. Barfoot,A,0,1,The_Odd_Women
Mr. Barfoot,DC,0,1,The_Odd_Women
Mr. Barfoot,DN,0,1,The_Odd_Women
Mr. Bullivant,N,0,1,The_Odd_Women
Mr. Bullivant,C,0,1,The_Odd_Women
Mr. Bullivant,I,0,1,The_Odd_Women
Mr. Bullivant,A,0,1,The_Odd_Women
Mr. Bullivant,DC,0,1,The_Odd_Women
Mr. Bullivant,DN,0,1,The_Odd_Women
Mr. Orchard,N,0,1,The_Odd_Women
Mr. Orchard,C,0,1,The_Odd_Women
Mr. Orchard,I,0,1,The_Odd_Women
Mr. Orchard,A,0,1,The_Odd_Women
Mr. Orchard,DC,0,1,The_Odd_Women
Mr. Orchard,DN,0,1,The_Odd_Women
Mr. Smithson,N,4,1,The_Odd_Women
Mr. Smithson,C,0,1,The_Odd_Women
Mr. Smithson,I,1,1,The_Odd_Women
Mr. Smithson,A,1,1,The_Odd_Women
Mr. Smithson,DC,1,1,The_Odd_Women
Mr. Smithson,DN,1,1,The_Odd_Women
Mr. Thomas,N,0,1,The_Odd_Women
Mr. Thomas,C,0,1,The_Odd_Women
Mr. Thomas,I,0,1,The_Odd_Women
Mr. Thomas,A,0,1,The_Odd_Women
Mr. Thomas,DC,0,1,The_Odd_Women
Mr. Thomas,DN,0,1,The_Odd_Women
Mrs. Conisbee,N,0,1,The_Odd_Women
Mrs. Conisbee,C,0,1,The_Odd_Women
Mrs. Conisbee,I,0,1,The_Odd_Women
Mrs. Conisbee,A,0,1,The_Odd_Women
Mrs. Conisbee,DC,0,1,The_Odd_Women
Mrs. Conisbee,DN,0,1,The_Odd_Women
Mrs. Cosgrove,N,0,1,The_Odd_Women
Mrs. Cosgrove,C,0,1,The_Odd_Women
Mrs. Cosgrove,I,0,1,The_Odd_Women
Mrs. Cosgrove,A,0,1,The_Odd_Women
Mrs. Cosgrove,DC,0,1,The_Odd_Women
Mrs. Cosgrove,DN,0,1,The_Odd_Women
Mrs. Darby,N,0,1,The_Odd_Women
Mrs. Darby,C,0,1,The_Odd_Women
Mrs. Darby,I,0,1,The_Odd_Women
Mrs. Darby,A,0,1,The_Odd_Women
Mrs. Darby,DC,0,1,The_Odd_Women
Mrs. Darby,DN,0,1,The_Odd_Women
Mrs. Goodall,N,0,1,The_Odd_Women
Mrs. Goodall,C,0,1,The_Odd_Women
Mrs. Goodall,I,0,1,The_Odd_Women
Mrs. Goodall,A,0,1,The_Odd_Women
Mrs. Goodall,DC,0,1,The_Odd_Women
Mrs. Goodall,DN,0,1,The_Odd_Women
Mrs. Madden,N,1,1,The_Odd_Women
Mrs. Madden,C,0,1,The_Odd_Women
Mrs. Madden,I,1,1,The_Odd_Women
Mrs. Madden,A,0,1,The_Odd_Women
Mrs. Madden,DC,0,1,The_Odd_Women
Mrs. Madden,DN,0,1,The_Odd_Women
Mrs. Orchard,N,0,1,The_Odd_Women
Mrs. Orchard,C,0,1,The_Odd_Women
Mrs. Orchard,I,0,1,The_Odd_Women
Mrs. Orchard,A,0,1,The_Odd_Women
Mrs. Orchard,DC,0,1,The_Odd_Women
Mrs. Orchard,DN,0,1,The_Odd_Women
Mrs. Poppleton,N,0,1,The_Odd_Women
Mrs. Poppleton,C,0,1,The_Odd_Women
Mrs. Poppleton,I,0,1,The_Odd_Women
Mrs. Poppleton,A,0,1,The_Odd_Women
Mrs. Poppleton,DC,0,1,The_Odd_Women
Mrs. Poppleton,DN,0,1,The_Odd_Women
Mrs. Smallbrook,N,0,1,The_Odd_Women
Mrs. Smallbrook,C,0,1,The_Odd_Women
Mrs. Smallbrook,I,0,1,The_Odd_Women
Mrs. Smallbrook,A,0,1,The_Odd_Women
Mrs. Smallbrook,DC,0,1,The_Odd_Women
Mrs. Smallbrook,DN,0,1,The_Odd_Women
Mrs. Thomas,N,0,1,The_Odd_Women
Mrs. Thomas,C,0,1,The_Odd_Women
Mrs. Thomas,I,0,1,The_Odd_Women
Mrs. Thomas,A,0,1,The_Odd_Women
Mrs. Thomas,DC,0,1,The_Odd_Women
Mrs. Thomas,DN,0,1,The_Odd_Women
Mrs. Widdowson,N,0,1,The_Odd_Women
Mrs. Widdowson,C,0,1,The_Odd_Women
Mrs. Widdowson,I,0,1,The_Odd_Women
Mrs. Widdowson,A,0,1,The_Odd_Women
Mrs. Widdowson,DC,0,1,The_Odd_Women
Mrs. Widdowson,DN,0,1,The_Odd_Women
Newdick,N,0,1,The_Odd_Women
Newdick,C,0,1,The_Odd_Women
Newdick,I,0,1,The_Odd_Women
Newdick,A,0,1,The_Odd_Women
Newdick,DC,0,1,The_Odd_Women
Newdick,DN,0,1,The_Odd_Women
Old Bennet,N,0,1,The_Odd_Women
Old Bennet,C,0,1,The_Odd_Women
Old Bennet,I,0,1,The_Odd_Women
Old Bennet,A,0,1,The_Odd_Women
Old Bennet,DC,0,1,The_Odd_Women
Old Bennet,DN,0,1,The_Odd_Women
Rhoda,N,9,1,The_Odd_Women
Rhoda,C,2,1,The_Odd_Women
Rhoda,I,4,1,The_Odd_Women
Rhoda,A,4,1,The_Odd_Women
Rhoda,DC,1,1,The_Odd_Women
Rhoda,DN,0,1,The_Odd_Women
Tennyson,N,2,1,The_Odd_Women
Tennyson,C,0,1,The_Odd_Women
Tennyson,I,1,1,The_Odd_Women
Tennyson,A,2,1,The_Odd_Women
Tennyson,DC,0,1,The_Odd_Women
Tennyson,DN,0,1,The_Odd_Women
Virgie,N,0,1,The_Odd_Women
Virgie,C,0,1,The_Odd_Women
Virgie,I,0,1,The_Odd_Women
Virgie,A,0,1,The_Odd_Women
Virgie,DC,0,1,The_Odd_Women
Virgie,DN,0,1,The_Odd_Women
Virginia,N,5,1,The_Odd_Women
Virginia,C,0,1,The_Odd_Women
Virginia,I,0,1,The_Odd_Women
Virginia,A,4,1,The_Odd_Women
Virginia,DC,0,1,The_Odd_Women
Virginia,DN,0,1,The_Odd_Women
Widdowson,N,0,1,The_Odd_Women
Widdowson,C,0,1,The_Odd_Women
Widdowson,I,0,1,The_Odd_Women
Widdowson,A,0,1,The_Odd_Women
Widdowson,DC,0,1,The_Odd_Women
