character,tag,count,chapter,novel
Adrian Singleton,N,0,1,The_Picture_of_Dorian_Gray
Adrian Singleton,C,0,1,The_Picture_of_Dorian_Gray
Adrian Singleton,I,0,1,The_Picture_of_Dorian_Gray
Adrian Singleton,A,0,1,The_Picture_of_Dorian_Gray
Adrian Singleton,DC,0,1,The_Picture_of_Dorian_Gray
Adrian Singleton,DN,0,1,The_Picture_of_Dorian_Gray
Alan,N,0,1,The_Picture_of_Dorian_Gray
Alan,C,0,1,The_Picture_of_Dorian_Gray
Alan,I,0,1,The_Picture_of_Dorian_Gray
Alan,A,0,1,The_Picture_of_Dorian_Gray
Alan,DC,0,1,The_Picture_of_Dorian_Gray
Alan,DN,0,1,The_Picture_of_Dorian_Gray
Aunt Agatha,N,0,1,The_Picture_of_Dorian_Gray
Aunt Agatha,C,0,1,The_Picture_of_Dorian_Gray
Aunt Agatha,I,0,1,The_Picture_of_Dorian_Gray
Aunt Agatha,A,0,1,The_Picture_of_Dorian_Gray
Aunt Agatha,DC,0,1,The_Picture_of_Dorian_Gray
Aunt Agatha,DN,0,1,The_Picture_of_Dorian_Gray
Basil,N,0,1,The_Picture_of_Dorian_Gray
Basil,C,0,1,The_Picture_of_Dorian_Gray
Basil,I,0,1,The_Picture_of_Dorian_Gray
Basil,A,0,1,The_Picture_of_Dorian_Gray
Basil,DC,0,1,The_Picture_of_Dorian_Gray
Basil,DN,0,1,The_Picture_of_Dorian_Gray
Berwick,N,0,1,The_Picture_of_Dorian_Gray
Berwick,C,0,1,The_Picture_of_Dorian_Gray
Berwick,I,0,1,The_Picture_of_Dorian_Gray
Berwick,A,0,1,The_Picture_of_Dorian_Gray
Berwick,DC,0,1,The_Picture_of_Dorian_Gray
Berwick,DN,0,1,The_Picture_of_Dorian_Gray
Caliban,N,0,1,The_Picture_of_Dorian_Gray
Caliban,C,0,1,The_Picture_of_Dorian_Gray
Caliban,I,0,1,The_Picture_of_Dorian_Gray
Caliban,A,0,1,The_Picture_of_Dorian_Gray
Caliban,DC,0,1,The_Picture_of_Dorian_Gray
Caliban,DN,0,1,The_Picture_of_Dorian_Gray
Dorian,N,0,1,The_Picture_of_Dorian_Gray
Dorian,C,0,1,The_Picture_of_Dorian_Gray
Dorian,I,0,1,The_Picture_of_Dorian_Gray
Dorian,A,0,1,The_Picture_of_Dorian_Gray
Dorian,DC,0,1,The_Picture_of_Dorian_Gray
Dorian,DN,0,1,The_Picture_of_Dorian_Gray
Duchess,N,0,1,The_Picture_of_Dorian_Gray
Duchess,C,0,1,The_Picture_of_Dorian_Gray
Duchess,I,0,1,The_Picture_of_Dorian_Gray
Duchess,A,0,1,The_Picture_of_Dorian_Gray
Duchess,DC,0,1,The_Picture_of_Dorian_Gray
Duchess,DN,0,1,The_Picture_of_Dorian_Gray
Francis,N,0,1,The_Picture_of_Dorian_Gray
Francis,C,0,1,The_Picture_of_Dorian_Gray
Francis,I,0,1,The_Picture_of_Dorian_Gray
Francis,A,0,1,The_Picture_of_Dorian_Gray
Francis,DC,0,1,The_Picture_of_Dorian_Gray
Francis,DN,0,1,The_Picture_of_Dorian_Gray
Geoffrey,N,0,1,The_Picture_of_Dorian_Gray
Geoffrey,C,0,1,The_Picture_of_Dorian_Gray
Geoffrey,I,0,1,The_Picture_of_Dorian_Gray
Geoffrey,A,0,1,The_Picture_of_Dorian_Gray
Geoffrey,DC,0,1,The_Picture_of_Dorian_Gray
Geoffrey,DN,0,1,The_Picture_of_Dorian_Gray
Giordano Bruno,N,0,1,The_Picture_of_Dorian_Gray
Giordano Bruno,C,0,1,The_Picture_of_Dorian_Gray
Giordano Bruno,I,0,1,The_Picture_of_Dorian_Gray
Giordano Bruno,A,0,1,The_Picture_of_Dorian_Gray
Giordano Bruno,DC,0,1,The_Picture_of_Dorian_Gray
Giordano Bruno,DN,0,1,The_Picture_of_Dorian_Gray
Gladys,N,0,1,The_Picture_of_Dorian_Gray
Gladys,C,0,1,The_Picture_of_Dorian_Gray
Gladys,I,0,1,The_Picture_of_Dorian_Gray
Gladys,A,0,1,The_Picture_of_Dorian_Gray
Gladys,DC,0,1,The_Picture_of_Dorian_Gray
Gladys,DN,0,1,The_Picture_of_Dorian_Gray
God,N,0,1,The_Picture_of_Dorian_Gray
God,C,0,1,The_Picture_of_Dorian_Gray
God,I,0,1,The_Picture_of_Dorian_Gray
God,A,0,1,The_Picture_of_Dorian_Gray
God,DC,0,1,The_Picture_of_Dorian_Gray
God,DN,0,1,The_Picture_of_Dorian_Gray
Harry,N,0,1,The_Picture_of_Dorian_Gray
Harry,C,0,1,The_Picture_of_Dorian_Gray
Harry,I,0,1,The_Picture_of_Dorian_Gray
Harry,A,0,1,The_Picture_of_Dorian_Gray
Harry,DC,0,1,The_Picture_of_Dorian_Gray
Harry,DN,0,1,The_Picture_of_Dorian_Gray
Henry VIII,N,0,1,The_Picture_of_Dorian_Gray
Henry VIII,C,0,1,The_Picture_of_Dorian_Gray
Henry VIII,I,0,1,The_Picture_of_Dorian_Gray
Henry VIII,A,0,1,The_Picture_of_Dorian_Gray
Henry VIII,DC,0,1,The_Picture_of_Dorian_Gray
Henry VIII,DN,0,1,The_Picture_of_Dorian_Gray
Hetty,N,0,1,The_Picture_of_Dorian_Gray
Hetty,C,0,1,The_Picture_of_Dorian_Gray
Hetty,I,0,1,The_Picture_of_Dorian_Gray
Hetty,A,0,1,The_Picture_of_Dorian_Gray
Hetty,DC,0,1,The_Picture_of_Dorian_Gray
Hetty,DN,0,1,The_Picture_of_Dorian_Gray
Jim,N,0,1,The_Picture_of_Dorian_Gray
