character,tag,count,chapter,novel
ANDREW LANG,N,0,1,The_Pirate
ANDREW LANG,C,0,1,The_Pirate
ANDREW LANG,I,0,1,The_Pirate
ANDREW LANG,A,0,1,The_Pirate
ANDREW LANG,DC,0,1,The_Pirate
ANDREW LANG,DN,0,1,The_Pirate
Altamont,N,0,1,The_Pirate
Altamont,C,0,1,The_Pirate
Altamont,I,0,1,The_Pirate
Altamont,A,0,1,The_Pirate
Altamont,DC,0,1,The_Pirate
Altamont,DN,0,1,The_Pirate
Baby,N,6,1,The_Pirate
Baby,C,1,1,The_Pirate
Baby,I,0,1,The_Pirate
Baby,A,1,1,The_Pirate
Baby,DC,1,1,The_Pirate
Baby,DN,0,1,The_Pirate
Barbara,N,0,1,The_Pirate
Barbara,C,0,1,The_Pirate
Barbara,I,0,1,The_Pirate
Barbara,A,0,1,The_Pirate
Barbara,DC,0,1,The_Pirate
Barbara,DN,0,1,The_Pirate
Bartholine,N,0,1,The_Pirate
Bartholine,C,0,1,The_Pirate
Bartholine,I,0,1,The_Pirate
Bartholine,A,0,1,The_Pirate
Bartholine,DC,0,1,The_Pirate
Bartholine,DN,0,1,The_Pirate
Bear,N,1,1,The_Pirate
Bear,C,0,1,The_Pirate
Bear,I,0,1,The_Pirate
Bear,A,2,1,The_Pirate
Bear,DC,0,1,The_Pirate
Bear,DN,1,1,The_Pirate
Bessie Millie,N,0,1,The_Pirate
Bessie Millie,C,0,1,The_Pirate
Bessie Millie,I,0,1,The_Pirate
Bessie Millie,A,0,1,The_Pirate
Bessie Millie,DC,0,1,The_Pirate
Bessie Millie,DN,0,1,The_Pirate
Brenda,N,91,1,The_Pirate
Brenda,C,95,1,The_Pirate
Brenda,I,63,1,The_Pirate
Brenda,A,49,1,The_Pirate
Brenda,DC,37,1,The_Pirate
Brenda,DN,6,1,The_Pirate
Bryce,N,26,1,The_Pirate
Bryce,C,16,1,The_Pirate
Bryce,I,9,1,The_Pirate
Bryce,A,17,1,The_Pirate
Bryce,DC,15,1,The_Pirate
Bryce,DN,1,1,The_Pirate
Bunce,N,0,1,The_Pirate
Bunce,C,0,1,The_Pirate
Bunce,I,0,1,The_Pirate
Bunce,A,0,1,The_Pirate
Bunce,DC,0,1,The_Pirate
Bunce,DN,0,1,The_Pirate
"Bunce--""Now",N,0,1,The_Pirate
"Bunce--""Now",C,0,1,The_Pirate
"Bunce--""Now",I,0,1,The_Pirate
"Bunce--""Now",A,0,1,The_Pirate
"Bunce--""Now",DC,0,1,The_Pirate
"Bunce--""Now",DN,0,1,The_Pirate
"Captain Cleveland;--""but",N,0,1,The_Pirate
"Captain Cleveland;--""but",C,0,1,The_Pirate
"Captain Cleveland;--""but",I,0,1,The_Pirate
"Captain Cleveland;--""but",A,0,1,The_Pirate
"Captain Cleveland;--""but",DC,0,1,The_Pirate
"Captain Cleveland;--""but",DN,0,1,The_Pirate
Captain Weatherport,N,0,1,The_Pirate
Captain Weatherport,C,0,1,The_Pirate
Captain Weatherport,I,0,1,The_Pirate
Captain Weatherport,A,0,1,The_Pirate
Captain Weatherport,DC,0,1,The_Pirate
Captain Weatherport,DN,0,1,The_Pirate
Clement,N,1,1,The_Pirate
Clement,C,0,1,The_Pirate
Clement,I,0,1,The_Pirate
Clement,A,0,1,The_Pirate
Clement,DC,1,1,The_Pirate
Clement,DN,0,1,The_Pirate
Clement Vaughan,N,0,1,The_Pirate
Clement Vaughan,C,0,1,The_Pirate
Clement Vaughan,I,0,1,The_Pirate
Clement Vaughan,A,0,1,The_Pirate
Clement Vaughan,DC,0,1,The_Pirate
Clement Vaughan,DN,0,1,The_Pirate
Cleveland,N,54,1,The_Pirate
Cleveland,C,28,1,The_Pirate
Cleveland,I,22,1,The_Pirate
Cleveland,A,22,1,The_Pirate
Cleveland,DC,23,1,The_Pirate
Cleveland,DN,3,1,The_Pirate
"Cleveland--""I",N,0,1,The_Pirate
"Cleveland--""I",C,0,1,The_Pirate
"Cleveland--""I",I,0,1,The_Pirate
"Cleveland--""I",A,0,1,The_Pirate
"Cleveland--""I",DC,0,1,The_Pirate
"Cleveland--""I",DN,0,1,The_Pirate
"Cleveland.--""Common",N,0,1,The_Pirate
"Cleveland.--""Common",C,0,1,The_Pirate
"Cleveland.--""Common",I,0,1,The_Pirate
"Cleveland.--""Common",A,0,1,The_Pirate
"Cleveland.--""Common",DC,0,1,The_Pirate
"Cleveland.--""Common",DN,0,1,The_Pirate
Dame Baby,N,0,1,The_Pirate
Dame Baby,C,0,1,The_Pirate
Dame Baby,I,0,1,The_Pirate
Dame Baby,A,0,1,The_Pirate
Dame Baby,DC,0,1,The_Pirate
