character,tag,count,chapter,novel
ADOLPHUS CROSBIE,N,1,1,The_Small_House_at_Allington
ADOLPHUS CROSBIE,C,0,1,The_Small_House_at_Allington
ADOLPHUS CROSBIE,I,0,1,The_Small_House_at_Allington
ADOLPHUS CROSBIE,A,1,1,The_Small_House_at_Allington
ADOLPHUS CROSBIE,DC,0,1,The_Small_House_at_Allington
ADOLPHUS CROSBIE,DN,0,1,The_Small_House_at_Allington
Alexandrina,N,0,1,The_Small_House_at_Allington
Alexandrina,C,0,1,The_Small_House_at_Allington
Alexandrina,I,0,1,The_Small_House_at_Allington
Alexandrina,A,0,1,The_Small_House_at_Allington
Alexandrina,DC,0,1,The_Small_House_at_Allington
Alexandrina,DN,0,1,The_Small_House_at_Allington
Amelia,N,2,1,The_Small_House_at_Allington
Amelia,C,0,1,The_Small_House_at_Allington
Amelia,I,0,1,The_Small_House_at_Allington
Amelia,A,0,1,The_Small_House_at_Allington
Amelia,DC,0,1,The_Small_House_at_Allington
Amelia,DN,0,1,The_Small_House_at_Allington
Apollos,N,0,1,The_Small_House_at_Allington
Apollos,C,0,1,The_Small_House_at_Allington
Apollos,I,0,1,The_Small_House_at_Allington
Apollos,A,0,1,The_Small_House_at_Allington
Apollos,DC,0,1,The_Small_House_at_Allington
Apollos,DN,0,1,The_Small_House_at_Allington
Bell,N,0,1,The_Small_House_at_Allington
Bell,C,0,1,The_Small_House_at_Allington
Bell,I,0,1,The_Small_House_at_Allington
Bell,A,0,1,The_Small_House_at_Allington
Bell,DC,0,1,The_Small_House_at_Allington
Bell,DN,0,1,The_Small_House_at_Allington
Bernard,N,0,1,The_Small_House_at_Allington
Bernard,C,0,1,The_Small_House_at_Allington
Bernard,I,0,1,The_Small_House_at_Allington
Bernard,A,0,1,The_Small_House_at_Allington
Bernard,DC,0,1,The_Small_House_at_Allington
Bernard,DN,0,1,The_Small_House_at_Allington
Butterwell,N,0,1,The_Small_House_at_Allington
Butterwell,C,0,1,The_Small_House_at_Allington
Butterwell,I,0,1,The_Small_House_at_Allington
Butterwell,A,0,1,The_Small_House_at_Allington
Butterwell,DC,0,1,The_Small_House_at_Allington
Butterwell,DN,0,1,The_Small_House_at_Allington
Caudle,N,0,1,The_Small_House_at_Allington
Caudle,C,0,1,The_Small_House_at_Allington
Caudle,I,0,1,The_Small_House_at_Allington
Caudle,A,0,1,The_Small_House_at_Allington
Caudle,DC,0,1,The_Small_House_at_Allington
Caudle,DN,0,1,The_Small_House_at_Allington
Christopher Dale,N,0,1,The_Small_House_at_Allington
Christopher Dale,C,0,1,The_Small_House_at_Allington
Christopher Dale,I,0,1,The_Small_House_at_Allington
Christopher Dale,A,0,1,The_Small_House_at_Allington
Christopher Dale,DC,0,1,The_Small_House_at_Allington
Christopher Dale,DN,0,1,The_Small_House_at_Allington
Chumpend,N,0,1,The_Small_House_at_Allington
Chumpend,C,0,1,The_Small_House_at_Allington
Chumpend,I,0,1,The_Small_House_at_Allington
Chumpend,A,0,1,The_Small_House_at_Allington
Chumpend,DC,0,1,The_Small_House_at_Allington
Chumpend,DN,0,1,The_Small_House_at_Allington
Colonel Dale,N,0,1,The_Small_House_at_Allington
Colonel Dale,C,0,1,The_Small_House_at_Allington
Colonel Dale,I,0,1,The_Small_House_at_Allington
Colonel Dale,A,0,1,The_Small_House_at_Allington
Colonel Dale,DC,0,1,The_Small_House_at_Allington
Colonel Dale,DN,0,1,The_Small_House_at_Allington
Cradell,N,0,1,The_Small_House_at_Allington
Cradell,C,0,1,The_Small_House_at_Allington
Cradell,I,0,1,The_Small_House_at_Allington
Cradell,A,0,1,The_Small_House_at_Allington
Cradell,DC,0,1,The_Small_House_at_Allington
Cradell,DN,0,1,The_Small_House_at_Allington
Crosbie,N,2,1,The_Small_House_at_Allington
Crosbie,C,0,1,The_Small_House_at_Allington
Crosbie,I,0,1,The_Small_House_at_Allington
Crosbie,A,2,1,The_Small_House_at_Allington
Crosbie,DC,0,1,The_Small_House_at_Allington
Crosbie,DN,0,1,The_Small_House_at_Allington
"DEAREST JOHN,--It",N,0,1,The_Small_House_at_Allington
"DEAREST JOHN,--It",C,0,1,The_Small_House_at_Allington
"DEAREST JOHN,--It",I,0,1,The_Small_House_at_Allington
"DEAREST JOHN,--It",A,0,1,The_Small_House_at_Allington
"DEAREST JOHN,--It",DC,0,1,The_Small_House_at_Allington
"DEAREST JOHN,--It",DN,0,1,The_Small_House_at_Allington
Dale of Allington,N,0,1,The_Small_House_at_Allington
Dale of Allington,C,0,1,The_Small_House_at_Allington
Dale of Allington,I,0,1,The_Small_House_at_Allington
Dale of Allington,A,0,1,The_Small_House_at_Allington
Dale of Allington,DC,0,1,The_Small_House_at_Allington
Dale of Allington,DN,0,1,The_Small_House_at_Allington
Dear Bernard,N,0,1,The_Small_House_at_Allington
Dear Bernard,C,0,1,The_Small_House_at_Allington
Dear Bernard,I,0,1,The_Small_House_at_Allington
Dear Bernard,A,0,1,The_Small_House_at_Allington
Dear Bernard,DC,0,1,The_Small_House_at_Allington
Dear Bernard,DN,0,1,The_Small_House_at_Allington
Dick Boyce,N,0,1,The_Small_House_at_Allington
Dick Boyce,C,0,1,The_Small_House_at_Allington
Dick Boyce,I,0,1,The_Small_House_at_Allington
Dick Boyce,A,0,1,The_Small_House_at_Allington
Dick Boyce,DC,0,1,The_Small_House_at_Allington
Dick Boyce,DN,0,1,The_Small_House_at_Allington
Dingles,N,0,1,The_Small_House_at_Allington
Dingles,C,0,1,The_Small_House_at_Allington
Dingles,I,0,1,The_Small_House_at_Allington
Dingles,A,0,1,The_Small_House_at_Allington
Dingles,DC,0,1,The_Small_House_at_Allington
Dingles,DN,0,1,The_Small_House_at_Allington
Don Juan,N,0,1,The_Small_House_at_Allington
Don Juan,C,0,1,The_Small_House_at_Allington
Don Juan,I,0,1,The_Small_House_at_Allington
Don Juan,A,0,1,The_Small_House_at_Allington
Don Juan,DC,0,1,The_Small_House_at_Allington
Don Juan,DN,0,1,The_Small_House_at_Allington
Dr. Crofts,N,0,1,The_Small_House_at_Allington
Dr. Crofts,C,0,1,The_Small_House_at_Allington
Dr. Crofts,I,0,1,The_Small_House_at_Allington
Dr. Crofts,A,0,1,The_Small_House_at_Allington
Dr. Crofts,DC,0,1,The_Small_House_at_Allington
Dr. Crofts,DN,0,1,The_Small_House_at_Allington
Dr. Gruffen,N,0,1,The_Small_House_at_Allington
Dr. Gruffen,C,0,1,The_Small_House_at_Allington
Dr. Gruffen,I,0,1,The_Small_House_at_Allington
