character,tag,count,chapter,novel
Alison,N,0,1,The_Story_of_a_Modern_Woman
Alison,C,0,1,The_Story_of_a_Modern_Woman
Alison,I,0,1,The_Story_of_a_Modern_Woman
Alison,A,0,1,The_Story_of_a_Modern_Woman
Alison,DC,0,1,The_Story_of_a_Modern_Woman
Alison,DN,0,1,The_Story_of_a_Modern_Woman
Aunt Julia,N,0,1,The_Story_of_a_Modern_Woman
Aunt Julia,C,0,1,The_Story_of_a_Modern_Woman
Aunt Julia,I,0,1,The_Story_of_a_Modern_Woman
Aunt Julia,A,0,1,The_Story_of_a_Modern_Woman
Aunt Julia,DC,0,1,The_Story_of_a_Modern_Woman
Aunt Julia,DN,0,1,The_Story_of_a_Modern_Woman
Beaufy,N,0,1,The_Story_of_a_Modern_Woman
Beaufy,C,0,1,The_Story_of_a_Modern_Woman
Beaufy,I,0,1,The_Story_of_a_Modern_Woman
Beaufy,A,0,1,The_Story_of_a_Modern_Woman
Beaufy,DC,0,1,The_Story_of_a_Modern_Woman
Beaufy,DN,0,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,N,0,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,C,0,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,I,0,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,A,0,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,DC,0,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,DN,0,1,The_Story_of_a_Modern_Woman
Dr. Danby,N,0,1,The_Story_of_a_Modern_Woman
Dr. Danby,C,0,1,The_Story_of_a_Modern_Woman
Dr. Danby,I,0,1,The_Story_of_a_Modern_Woman
Dr. Danby,A,0,1,The_Story_of_a_Modern_Woman
Dr. Danby,DC,0,1,The_Story_of_a_Modern_Woman
Dr. Danby,DN,0,1,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,N,0,1,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,C,0,1,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,I,0,1,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,A,0,1,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,DC,0,1,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,DN,0,1,The_Story_of_a_Modern_Woman
Elijah Higgins,N,0,1,The_Story_of_a_Modern_Woman
Elijah Higgins,C,0,1,The_Story_of_a_Modern_Woman
Elijah Higgins,I,0,1,The_Story_of_a_Modern_Woman
Elijah Higgins,A,0,1,The_Story_of_a_Modern_Woman
Elijah Higgins,DC,0,1,The_Story_of_a_Modern_Woman
Elijah Higgins,DN,0,1,The_Story_of_a_Modern_Woman
Elizabeth,N,0,1,The_Story_of_a_Modern_Woman
Elizabeth,C,0,1,The_Story_of_a_Modern_Woman
Elizabeth,I,0,1,The_Story_of_a_Modern_Woman
Elizabeth,A,0,1,The_Story_of_a_Modern_Woman
Elizabeth,DC,0,1,The_Story_of_a_Modern_Woman
Elizabeth,DN,0,1,The_Story_of_a_Modern_Woman
Evelina,N,0,1,The_Story_of_a_Modern_Woman
Evelina,C,0,1,The_Story_of_a_Modern_Woman
Evelina,I,0,1,The_Story_of_a_Modern_Woman
Evelina,A,0,1,The_Story_of_a_Modern_Woman
Evelina,DC,0,1,The_Story_of_a_Modern_Woman
Evelina,DN,0,1,The_Story_of_a_Modern_Woman
Jimmie,N,2,1,The_Story_of_a_Modern_Woman
Jimmie,C,0,1,The_Story_of_a_Modern_Woman
Jimmie,I,0,1,The_Story_of_a_Modern_Woman
Jimmie,A,0,1,The_Story_of_a_Modern_Woman
Jimmie,DC,0,1,The_Story_of_a_Modern_Woman
Jimmie,DN,1,1,The_Story_of_a_Modern_Woman
Joe,N,0,1,The_Story_of_a_Modern_Woman
Joe,C,0,1,The_Story_of_a_Modern_Woman
Joe,I,0,1,The_Story_of_a_Modern_Woman
Joe,A,0,1,The_Story_of_a_Modern_Woman
Joe,DC,0,1,The_Story_of_a_Modern_Woman
Joe,DN,0,1,The_Story_of_a_Modern_Woman
Lady Blay,N,0,1,The_Story_of_a_Modern_Woman
Lady Blay,C,0,1,The_Story_of_a_Modern_Woman
Lady Blay,I,0,1,The_Story_of_a_Modern_Woman
Lady Blay,A,0,1,The_Story_of_a_Modern_Woman
Lady Blay,DC,0,1,The_Story_of_a_Modern_Woman
Lady Blay,DN,0,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,N,0,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,C,0,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,I,0,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,A,0,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,DC,0,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,DN,0,1,The_Story_of_a_Modern_Woman
Lady Jane,N,0,1,The_Story_of_a_Modern_Woman
Lady Jane,C,0,1,The_Story_of_a_Modern_Woman
Lady Jane,I,0,1,The_Story_of_a_Modern_Woman
Lady Jane,A,0,1,The_Story_of_a_Modern_Woman
Lady Jane,DC,0,1,The_Story_of_a_Modern_Woman
Lady Jane,DN,0,1,The_Story_of_a_Modern_Woman
Mary,N,3,1,The_Story_of_a_Modern_Woman
Mary,C,0,1,The_Story_of_a_Modern_Woman
Mary,I,0,1,The_Story_of_a_Modern_Woman
Mary,A,1,1,The_Story_of_a_Modern_Woman
Mary,DC,0,1,The_Story_of_a_Modern_Woman
Mary,DN,1,1,The_Story_of_a_Modern_Woman
Miss Erle,N,0,1,The_Story_of_a_Modern_Woman
Miss Erle,C,0,1,The_Story_of_a_Modern_Woman
Miss Erle,I,0,1,The_Story_of_a_Modern_Woman
Miss Erle,A,0,1,The_Story_of_a_Modern_Woman
Miss Erle,DC,0,1,The_Story_of_a_Modern_Woman
Miss Erle,DN,0,1,The_Story_of_a_Modern_Woman
Miss Higgins,N,0,1,The_Story_of_a_Modern_Woman
Miss Higgins,C,0,1,The_Story_of_a_Modern_Woman
Miss Higgins,I,0,1,The_Story_of_a_Modern_Woman
Miss Higgins,A,0,1,The_Story_of_a_Modern_Woman
Miss Higgins,DC,0,1,The_Story_of_a_Modern_Woman
Miss Higgins,DN,0,1,The_Story_of_a_Modern_Woman
Miss Simpkins,N,0,1,The_Story_of_a_Modern_Woman
Miss Simpkins,C,0,1,The_Story_of_a_Modern_Woman
Miss Simpkins,I,0,1,The_Story_of_a_Modern_Woman
Miss Simpkins,A,0,1,The_Story_of_a_Modern_Woman
Miss Simpkins,DC,0,1,The_Story_of_a_Modern_Woman
Miss Simpkins,DN,0,1,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,N,0,1,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,C,0,1,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,I,0,1,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,A,0,1,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,DC,0,1,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,DN,0,1,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,N,0,1,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,C,0,1,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,I,0,1,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,A,0,1,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,DC,0,1,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,DN,0,1,The_Story_of_a_Modern_Woman
Mr. Sanderson,N,0,1,The_Story_of_a_Modern_Woman
Mr. Sanderson,C,0,1,The_Story_of_a_Modern_Woman
