character,tag,count,chapter,novel
Alice,N,42,1,Trilby
Alice,C,1,1,Trilby
Alice,I,4,1,Trilby
Alice,A,13,1,Trilby
Alice,DC,19,1,Trilby
Alice,DN,1,1,Trilby
Angèle Boisse,N,22,1,Trilby
Angèle Boisse,C,1,1,Trilby
Angèle Boisse,I,1,1,Trilby
Angèle Boisse,A,2,1,Trilby
Angèle Boisse,DC,5,1,Trilby
Angèle Boisse,DN,0,1,Trilby
Antony,N,22,1,Trilby
Antony,C,8,1,Trilby
Antony,I,11,1,Trilby
Antony,A,13,1,Trilby
Antony,DC,1,1,Trilby
Antony,DN,8,1,Trilby
Bach,N,9,1,Trilby
Bach,C,0,1,Trilby
Bach,I,0,1,Trilby
Bach,A,1,1,Trilby
Bach,DC,2,1,Trilby
Bach,DN,0,1,Trilby
Barizel,N,4,1,Trilby
Barizel,C,1,1,Trilby
Barizel,I,0,1,Trilby
Barizel,A,0,1,Trilby
Barizel,DC,0,1,Trilby
Barizel,DN,0,1,Trilby
Bastide Lendormi,N,2,1,Trilby
Bastide Lendormi,C,0,1,Trilby
Bastide Lendormi,I,1,1,Trilby
Bastide Lendormi,A,0,1,Trilby
Bastide Lendormi,DC,3,1,Trilby
Bastide Lendormi,DN,0,1,Trilby
Ben Bolt,N,22,1,Trilby
Ben Bolt,C,1,1,Trilby
Ben Bolt,I,0,1,Trilby
Ben Bolt,A,0,1,Trilby
Ben Bolt,DC,14,1,Trilby
Ben Bolt,DN,0,1,Trilby
Blanche Bagot,N,5,1,Trilby
Blanche Bagot,C,1,1,Trilby
Blanche Bagot,I,1,1,Trilby
Blanche Bagot,A,3,1,Trilby
Blanche Bagot,DC,0,1,Trilby
Blanche Bagot,DN,1,1,Trilby
Bouchardy,N,5,1,Trilby
Bouchardy,C,3,1,Trilby
Bouchardy,I,1,1,Trilby
Bouchardy,A,1,1,Trilby
Bouchardy,DC,0,1,Trilby
Bouchardy,DN,0,1,Trilby
Carnegie,N,9,1,Trilby
Carnegie,C,0,1,Trilby
Carnegie,I,1,1,Trilby
Carnegie,A,4,1,Trilby
Carnegie,DC,0,1,Trilby
Carnegie,DN,3,1,Trilby
Carrel,N,38,1,Trilby
Carrel,C,6,1,Trilby
Carrel,I,2,1,Trilby
Carrel,A,10,1,Trilby
Carrel,DC,8,1,Trilby
Carrel,DN,1,1,Trilby
Chopin,N,14,1,Trilby
Chopin,C,0,1,Trilby
Chopin,I,0,1,Trilby
Chopin,A,1,1,Trilby
Chopin,DC,1,1,Trilby
Chopin,DN,1,1,Trilby
Circe,N,3,1,Trilby
Circe,C,0,1,Trilby
Circe,I,0,1,Trilby
Circe,A,0,1,Trilby
Circe,DC,2,1,Trilby
Circe,DN,1,1,Trilby
Clytie,N,2,1,Trilby
Clytie,C,0,1,Trilby
Clytie,I,0,1,Trilby
Clytie,A,1,1,Trilby
Clytie,DC,0,1,Trilby
Clytie,DN,0,1,Trilby
Dame Nature,N,1,1,Trilby
Dame Nature,C,0,1,Trilby
Dame Nature,I,1,1,Trilby
Dame Nature,A,1,1,Trilby
Dame Nature,DC,0,1,Trilby
Dame Nature,DN,0,1,Trilby
Dickens,N,5,1,Trilby
Dickens,C,0,1,Trilby
Dickens,I,1,1,Trilby
Dickens,A,0,1,Trilby
Dickens,DC,0,1,Trilby
Dickens,DN,0,1,Trilby
Dodor,N,51,1,Trilby
Dodor,C,4,1,Trilby
Dodor,I,7,1,Trilby
Dodor,A,18,1,Trilby
Dodor,DC,13,1,Trilby
Dodor,DN,3,1,Trilby
Drilpy,N,8,1,Trilby
Drilpy,C,0,1,Trilby
Drilpy,I,2,1,Trilby
Drilpy,A,2,1,Trilby
Drilpy,DC,0,1,Trilby
Drilpy,DN,1,1,Trilby
Durien,N,38,1,Trilby
Durien,C,8,1,Trilby
Durien,I,2,1,Trilby
Durien,A,8,1,Trilby
Durien,DC,12,1,Trilby
Durien,DN,4,1,Trilby
Gecko,N,78,1,Trilby
Gecko,C,45,1,Trilby
Gecko,I,24,1,Trilby
Gecko,A,51,1,Trilby
Gecko,DC,14,1,Trilby
Gecko,DN,7,1,Trilby
Glorioli,N,7,1,Trilby
Glorioli,C,2,1,Trilby
Glorioli,I,0,1,Trilby
Glorioli,A,6,1,Trilby
Glorioli,DC,0,1,Trilby
Glorioli,DN,1,1,Trilby
God,N,14,1,Trilby
God,C,0,1,Trilby
God,I,2,1,Trilby
God,A,2,1,Trilby
God,DC,17,1,Trilby
God,DN,1,1,Trilby
Gontran,N,5,1,Trilby
Gontran,C,2,1,Trilby
Gontran,I,0,1,Trilby
Gontran,A,5,1,Trilby
Gontran,DC,0,1,Trilby
Gontran,DN,4,1,Trilby
HARPER & BROTHERS,N,5,1,Trilby
HARPER & BROTHERS,C,5,1,Trilby
HARPER & BROTHERS,I,0,1,Trilby
HARPER & BROTHERS,A,0,1,Trilby
HARPER & BROTHERS,DC,0,1,Trilby
HARPER & BROTHERS,DN,0,1,Trilby
Heaven,N,9,1,Trilby
Heaven,C,0,1,Trilby
Heaven,I,4,1,Trilby
Heaven,A,0,1,Trilby
Heaven,DC,2,1,Trilby
Heaven,DN,0,1,Trilby
Herr Blagner,N,1,1,Trilby
Herr Blagner,C,2,1,Trilby
Herr Blagner,I,0,1,Trilby
Herr Blagner,A,1,1,Trilby
Herr Blagner,DC,0,1,Trilby
Herr Blagner,DN,0,1,Trilby
Herr Kreutzer,N,1,1,Trilby
Herr Kreutzer,C,5,1,Trilby
Herr Kreutzer,I,1,1,Trilby
Herr Kreutzer,A,1,1,Trilby
Herr Kreutzer,DC,1,1,Trilby
Herr Kreutzer,DN,0,1,Trilby
Himmel,N,5,1,Trilby
Himmel,C,0,1,Trilby
Himmel,I,1,1,Trilby
Himmel,A,5,1,Trilby
Himmel,DC,3,1,Trilby
Himmel,DN,2,1,Trilby
Honorine,N,4,1,Trilby
Honorine,C,1,1,Trilby
Honorine,I,0,1,Trilby
Honorine,A,0,1,Trilby
Honorine,DC,0,1,Trilby
Honorine,DN,1,1,Trilby
Jeannot,N,19,1,Trilby
Jeannot,C,0,1,Trilby
Jeannot,I,2,1,Trilby
Jeannot,A,6,1,Trilby
Jeannot,DC,17,1,Trilby
Jeannot,DN,0,1,Trilby
Jules Guinot,N,4,1,Trilby
Jules Guinot,C,4,1,Trilby
Jules Guinot,I,0,1,Trilby
Jules Guinot,A,0,1,Trilby
Jules Guinot,DC,0,1,Trilby
Jules Guinot,DN,0,1,Trilby
Lady Cornelys,N,3,1,Trilby
Lady Cornelys,C,0,1,Trilby
Lady Cornelys,I,0,1,Trilby
Lady Cornelys,A,0,1,Trilby
Lady Cornelys,DC,0,1,Trilby
Lady Cornelys,DN,0,1,Trilby
Lambert,N,3,1,Trilby
Lambert,C,2,1,Trilby
Lambert,I,3,1,Trilby
Lambert,A,0,1,Trilby
Lambert,DC,0,1,Trilby
Lambert,DN,0,1,Trilby
Litrebili,N,6,1,Trilby
Litrebili,C,0,1,Trilby
Litrebili,I,0,1,Trilby
Litrebili,A,0,1,Trilby
Litrebili,DC,2,1,Trilby
Litrebili,DN,0,1,Trilby
Little Billee,N,353,1,Trilby
Little Billee,C,288,1,Trilby
Little Billee,I,293,1,Trilby
Little Billee,A,434,1,Trilby
Little Billee,DC,50,1,Trilby
Little Billee,DN,86,1,Trilby
Little Dodors,N,3,1,Trilby
Little Dodors,C,0,1,Trilby
Little Dodors,I,0,1,Trilby
Little Dodors,A,2,1,Trilby
Little Dodors,DC,2,1,Trilby
Little Dodors,DN,2,1,Trilby
Lord Byron,N,3,1,Trilby
Lord Byron,C,1,1,Trilby
Lord Byron,I,1,1,Trilby
Lord Byron,A,0,1,Trilby
Lord Byron,DC,3,1,Trilby
Lord Byron,DN,0,1,Trilby
Lorrimer,N,19,1,Trilby
Lorrimer,C,6,1,Trilby
Lorrimer,I,0,1,Trilby
Lorrimer,A,3,1,Trilby
Lorrimer,DC,0,1,Trilby
Lorrimer,DN,1,1,Trilby
Madame Alboni,N,8,1,Trilby
Madame Alboni,C,0,1,Trilby
Madame Alboni,I,0,1,Trilby
Madame Alboni,A,1,1,Trilby
Madame Alboni,DC,5,1,Trilby
Madame Alboni,DN,0,1,Trilby
Madame Cantharidi,N,9,1,Trilby
Madame Cantharidi,C,5,1,Trilby
Madame Cantharidi,I,2,1,Trilby
Madame Cantharidi,A,3,1,Trilby
Madame Cantharidi,DC,1,1,Trilby
Madame Cantharidi,DN,5,1,Trilby
Madame Paul,N,6,1,Trilby
Madame Paul,C,3,1,Trilby
Madame Paul,I,0,1,Trilby
Madame Paul,A,1,1,Trilby
Madame Paul,DC,0,1,Trilby
Madame Paul,DN,2,1,Trilby
Madame Vinard,N,20,1,Trilby
Madame Vinard,C,21,1,Trilby
Madame Vinard,I,3,1,Trilby
Madame Vinard,A,10,1,Trilby
Madame Vinard,DC,1,1,Trilby
Madame Vinard,DN,2,1,Trilby
Madame la Maréchale - Duchesse,N,2,1,Trilby
Madame la Maréchale - Duchesse,C,0,1,Trilby
Madame la Maréchale - Duchesse,I,1,1,Trilby
Madame la Maréchale - Duchesse,A,0,1,Trilby
Madame la Maréchale - Duchesse,DC,0,1,Trilby
Madame la Maréchale - Duchesse,DN,0,1,Trilby
Mademoiselle Ernestine,N,3,1,Trilby
Mademoiselle Ernestine,C,0,1,Trilby
Mademoiselle Ernestine,I,1,1,Trilby
