character,tag,count,chapter,novel
Achilles,N,0,1,Vanity_Fair_1847
Achilles,C,0,1,Vanity_Fair_1847
Achilles,I,0,1,Vanity_Fair_1847
Achilles,A,0,1,Vanity_Fair_1847
Achilles,DC,0,1,Vanity_Fair_1847
Achilles,DN,0,1,Vanity_Fair_1847
Aegisthus,N,0,1,Vanity_Fair_1847
Aegisthus,C,0,1,Vanity_Fair_1847
Aegisthus,I,0,1,Vanity_Fair_1847
Aegisthus,A,0,1,Vanity_Fair_1847
Aegisthus,DC,0,1,Vanity_Fair_1847
Aegisthus,DN,0,1,Vanity_Fair_1847
Amelia,N,2,1,Vanity_Fair_1847
Amelia,C,0,1,Vanity_Fair_1847
Amelia,I,0,1,Vanity_Fair_1847
Amelia,A,0,1,Vanity_Fair_1847
Amelia,DC,0,1,Vanity_Fair_1847
Amelia,DN,0,1,Vanity_Fair_1847
Arabella,N,0,1,Vanity_Fair_1847
Arabella,C,0,1,Vanity_Fair_1847
Arabella,I,0,1,Vanity_Fair_1847
Arabella,A,0,1,Vanity_Fair_1847
Arabella,DC,0,1,Vanity_Fair_1847
Arabella,DN,0,1,Vanity_Fair_1847
Barbara,N,0,1,Vanity_Fair_1847
Barbara,C,0,1,Vanity_Fair_1847
Barbara,I,0,1,Vanity_Fair_1847
Barbara,A,0,1,Vanity_Fair_1847
Barbara,DC,0,1,Vanity_Fair_1847
Barbara,DN,0,1,Vanity_Fair_1847
Bart,N,0,1,Vanity_Fair_1847
Bart,C,0,1,Vanity_Fair_1847
Bart,I,0,1,Vanity_Fair_1847
Bart,A,0,1,Vanity_Fair_1847
Bart,DC,0,1,Vanity_Fair_1847
Bart,DN,0,1,Vanity_Fair_1847
Beauty,N,0,1,Vanity_Fair_1847
Beauty,C,0,1,Vanity_Fair_1847
Beauty,I,0,1,Vanity_Fair_1847
Beauty,A,0,1,Vanity_Fair_1847
Beauty,DC,0,1,Vanity_Fair_1847
Beauty,DN,0,1,Vanity_Fair_1847
Becky,N,0,1,Vanity_Fair_1847
Becky,C,0,1,Vanity_Fair_1847
Becky,I,0,1,Vanity_Fair_1847
Becky,A,0,1,Vanity_Fair_1847
Becky,DC,0,1,Vanity_Fair_1847
Becky,DN,0,1,Vanity_Fair_1847
Bedwin,N,0,1,Vanity_Fair_1847
Bedwin,C,0,1,Vanity_Fair_1847
Bedwin,I,0,1,Vanity_Fair_1847
Bedwin,A,0,1,Vanity_Fair_1847
Bedwin,DC,0,1,Vanity_Fair_1847
Bedwin,DN,0,1,Vanity_Fair_1847
Bessy,N,0,1,Vanity_Fair_1847
Bessy,C,0,1,Vanity_Fair_1847
Bessy,I,0,1,Vanity_Fair_1847
Bessy,A,0,1,Vanity_Fair_1847
Bessy,DC,0,1,Vanity_Fair_1847
Bessy,DN,0,1,Vanity_Fair_1847
Betty,N,0,1,Vanity_Fair_1847
Betty,C,0,1,Vanity_Fair_1847
Betty,I,0,1,Vanity_Fair_1847
Betty,A,0,1,Vanity_Fair_1847
Betty,DC,0,1,Vanity_Fair_1847
Betty,DN,0,1,Vanity_Fair_1847
Betty Flanagan,N,0,1,Vanity_Fair_1847
Betty Flanagan,C,0,1,Vanity_Fair_1847
Betty Flanagan,I,0,1,Vanity_Fair_1847
Betty Flanagan,A,0,1,Vanity_Fair_1847
Betty Flanagan,DC,0,1,Vanity_Fair_1847
Betty Flanagan,DN,0,1,Vanity_Fair_1847
Black Sambo,N,0,1,Vanity_Fair_1847
Black Sambo,C,0,1,Vanity_Fair_1847
Black Sambo,I,0,1,Vanity_Fair_1847
Black Sambo,A,0,1,Vanity_Fair_1847
Black Sambo,DC,0,1,Vanity_Fair_1847
Black Sambo,DN,0,1,Vanity_Fair_1847
Boggley Wollah,N,0,1,Vanity_Fair_1847
Boggley Wollah,C,0,1,Vanity_Fair_1847
Boggley Wollah,I,0,1,Vanity_Fair_1847
Boggley Wollah,A,0,1,Vanity_Fair_1847
Boggley Wollah,DC,0,1,Vanity_Fair_1847
Boggley Wollah,DN,0,1,Vanity_Fair_1847
Boney,N,0,1,Vanity_Fair_1847
Boney,C,0,1,Vanity_Fair_1847
Boney,I,0,1,Vanity_Fair_1847
Boney,A,0,1,Vanity_Fair_1847
Boney,DC,0,1,Vanity_Fair_1847
Boney,DN,0,1,Vanity_Fair_1847
Briefless,N,0,1,Vanity_Fair_1847
Briefless,C,0,1,Vanity_Fair_1847
Briefless,I,0,1,Vanity_Fair_1847
Briefless,A,0,1,Vanity_Fair_1847
Briefless,DC,0,1,Vanity_Fair_1847
Briefless,DN,0,1,Vanity_Fair_1847
Briggs,N,0,1,Vanity_Fair_1847
Briggs,C,0,1,Vanity_Fair_1847
Briggs,I,0,1,Vanity_Fair_1847
Briggs,A,0,1,Vanity_Fair_1847
Briggs,DC,0,1,Vanity_Fair_1847
Briggs,DN,0,1,Vanity_Fair_1847
Britons,N,0,1,Vanity_Fair_1847
Britons,C,0,1,Vanity_Fair_1847
Britons,I,0,1,Vanity_Fair_1847
Britons,A,0,1,Vanity_Fair_1847
Britons,DC,0,1,Vanity_Fair_1847
Britons,DN,0,1,Vanity_Fair_1847
Bullfinch,N,0,1,Vanity_Fair_1847
Bullfinch,C,0,1,Vanity_Fair_1847
Bullfinch,I,0,1,Vanity_Fair_1847
Bullfinch,A,0,1,Vanity_Fair_1847
Bullfinch,DC,0,1,Vanity_Fair_1847
Bullfinch,DN,0,1,Vanity_Fair_1847
Bute Crawleys,N,0,1,Vanity_Fair_1847
Bute Crawleys,C,0,1,Vanity_Fair_1847
Bute Crawleys,I,0,1,Vanity_Fair_1847
Bute Crawleys,A,0,1,Vanity_Fair_1847
Bute Crawleys,DC,0,1,Vanity_Fair_1847
Bute Crawleys,DN,0,1,Vanity_Fair_1847
Buty,N,0,1,Vanity_Fair_1847
Buty,C,0,1,Vanity_Fair_1847
Buty,I,0,1,Vanity_Fair_1847
Buty,A,0,1,Vanity_Fair_1847
Buty,DC,0,1,Vanity_Fair_1847
Buty,DN,0,1,Vanity_Fair_1847
Cackle,N,0,1,Vanity_Fair_1847
Cackle,C,0,1,Vanity_Fair_1847
Cackle,I,0,1,Vanity_Fair_1847
Cackle,A,0,1,Vanity_Fair_1847
Cackle,DC,0,1,Vanity_Fair_1847
Cackle,DN,0,1,Vanity_Fair_1847
Caliban,N,0,1,Vanity_Fair_1847
Caliban,C,0,1,Vanity_Fair_1847
Caliban,I,0,1,Vanity_Fair_1847
Caliban,A,0,1,Vanity_Fair_1847
Caliban,DC,0,1,Vanity_Fair_1847
Caliban,DN,0,1,Vanity_Fair_1847
Captain Bragg,N,0,1,Vanity_Fair_1847
Captain Bragg,C,0,1,Vanity_Fair_1847
Captain Bragg,I,0,1,Vanity_Fair_1847
Captain Bragg,A,0,1,Vanity_Fair_1847
Captain Bragg,DC,0,1,Vanity_Fair_1847
Captain Bragg,DN,0,1,Vanity_Fair_1847
Captain Dobbin Proceeds,N,1,1,Vanity_Fair_1847
Captain Dobbin Proceeds,C,0,1,Vanity_Fair_1847
Captain Dobbin Proceeds,I,0,1,Vanity_Fair_1847
Captain Dobbin Proceeds,A,0,1,Vanity_Fair_1847
Captain Dobbin Proceeds,DC,0,1,Vanity_Fair_1847
Captain Dobbin Proceeds,DN,0,1,Vanity_Fair_1847
Captain Macmurdo,N,0,1,Vanity_Fair_1847
Captain Macmurdo,C,0,1,Vanity_Fair_1847
Captain Macmurdo,I,0,1,Vanity_Fair_1847
Captain Macmurdo,A,0,1,Vanity_Fair_1847
Captain Macmurdo,DC,0,1,Vanity_Fair_1847
Captain Macmurdo,DN,0,1,Vanity_Fair_1847
Captain Marker,N,0,1,Vanity_Fair_1847
Captain Marker,C,0,1,Vanity_Fair_1847
Captain Marker,I,0,1,Vanity_Fair_1847
Captain Marker,A,0,1,Vanity_Fair_1847
Captain Marker,DC,0,1,Vanity_Fair_1847
Captain Marker,DN,0,1,Vanity_Fair_1847
Clement William,N,0,1,Vanity_Fair_1847
Clement William,C,0,1,Vanity_Fair_1847
Clement William,I,0,1,Vanity_Fair_1847
Clement William,A,0,1,Vanity_Fair_1847
Clement William,DC,0,1,Vanity_Fair_1847
Clement William,DN,0,1,Vanity_Fair_1847
Clytemnestra,N,0,1,Vanity_Fair_1847
Clytemnestra,C,0,1,Vanity_Fair_1847
Clytemnestra,I,0,1,Vanity_Fair_1847
Clytemnestra,A,0,1,Vanity_Fair_1847
Clytemnestra,DC,0,1,Vanity_Fair_1847
Clytemnestra,DN,0,1,Vanity_Fair_1847
Colonel Dobbin,N,0,1,Vanity_Fair_1847
Colonel Dobbin,C,0,1,Vanity_Fair_1847
Colonel Dobbin,I,0,1,Vanity_Fair_1847
Colonel Dobbin,A,0,1,Vanity_Fair_1847
Colonel Dobbin,DC,0,1,Vanity_Fair_1847
Colonel Dobbin,DN,0,1,Vanity_Fair_1847
Crawleys,N,0,1,Vanity_Fair_1847
Crawleys,C,0,1,Vanity_Fair_1847
Crawleys,I,0,1,Vanity_Fair_1847
Crawleys,A,0,1,Vanity_Fair_1847
Crawleys,DC,0,1,Vanity_Fair_1847
Crawleys,DN,0,1,Vanity_Fair_1847
Cuff,N,0,1,Vanity_Fair_1847
Cuff,C,0,1,Vanity_Fair_1847
Cuff,I,0,1,Vanity_Fair_1847
Cuff,A,0,1,Vanity_Fair_1847
Cuff,DC,0,1,Vanity_Fair_1847
Cuff,DN,0,1,Vanity_Fair_1847
Cupid,N,0,1,Vanity_Fair_1847
Cupid,C,0,1,Vanity_Fair_1847
Cupid,I,0,1,Vanity_Fair_1847
Cupid,A,0,1,Vanity_Fair_1847
Cupid,DC,0,1,Vanity_Fair_1847
Cupid,DN,0,1,Vanity_Fair_1847
"DEAR MAMA,--I",N,0,1,Vanity_Fair_1847
"DEAR MAMA,--I",C,0,1,Vanity_Fair_1847
"DEAR MAMA,--I",I,0,1,Vanity_Fair_1847
"DEAR MAMA,--I",A,0,1,Vanity_Fair_1847
"DEAR MAMA,--I",DC,0,1,Vanity_Fair_1847
"DEAR MAMA,--I",DN,0,1,Vanity_Fair_1847
Dammy,N,0,1,Vanity_Fair_1847
Dammy,C,0,1,Vanity_Fair_1847
Dammy,I,0,1,Vanity_Fair_1847
Dammy,A,0,1,Vanity_Fair_1847
Dammy,DC,0,1,Vanity_Fair_1847
Dammy,DN,0,1,Vanity_Fair_1847
Dear Miss Osborne,N,0,1,Vanity_Fair_1847
Dear Miss Osborne,C,0,1,Vanity_Fair_1847
Dear Miss Osborne,I,0,1,Vanity_Fair_1847
Dear Miss Osborne,A,0,1,Vanity_Fair_1847
Dear Miss Osborne,DC,0,1,Vanity_Fair_1847
Dear Miss Osborne,DN,0,1,Vanity_Fair_1847
Dives,N,0,1,Vanity_Fair_1847
Dives,C,0,1,Vanity_Fair_1847
Dives,I,0,1,Vanity_Fair_1847
Dives,A,0,1,Vanity_Fair_1847
Dives,DC,0,1,Vanity_Fair_1847
Dives,DN,0,1,Vanity_Fair_1847
Dob,N,0,1,Vanity_Fair_1847
Dob,C,0,1,Vanity_Fair_1847
Dob,I,0,1,Vanity_Fair_1847
Dob,A,0,1,Vanity_Fair_1847
Dob,DC,0,1,Vanity_Fair_1847
Dob,DN,0,1,Vanity_Fair_1847
Dobbin,N,0,1,Vanity_Fair_1847
Dobbin,C,0,1,Vanity_Fair_1847
Dobbin,I,0,1,Vanity_Fair_1847
Dobbin,A,0,1,Vanity_Fair_1847
Dobbin,DC,0,1,Vanity_Fair_1847
Dobbin,DN,0,1,Vanity_Fair_1847
Doctor Johnson,N,0,1,Vanity_Fair_1847
Doctor Johnson,C,0,1,Vanity_Fair_1847
Doctor Johnson,I,0,1,Vanity_Fair_1847
Doctor Johnson,A,0,1,Vanity_Fair_1847
Doctor Johnson,DC,0,1,Vanity_Fair_1847
Doctor Johnson,DN,0,1,Vanity_Fair_1847
Doctor von Glauber,N,0,1,Vanity_Fair_1847
Doctor von Glauber,C,0,1,Vanity_Fair_1847
Doctor von Glauber,I,0,1,Vanity_Fair_1847
Doctor von Glauber,A,0,1,Vanity_Fair_1847
Doctor von Glauber,DC,0,1,Vanity_Fair_1847
Doctor von Glauber,DN,0,1,Vanity_Fair_1847
Don Juan,N,0,1,Vanity_Fair_1847
Don Juan,C,0,1,Vanity_Fair_1847
