character,tag,count,chapter,novel
Adolph,N,0,1,Vivian_Grey
Adolph,C,0,1,Vivian_Grey
Adolph,I,0,1,Vivian_Grey
Adolph,A,0,1,Vivian_Grey
Adolph,DC,0,1,Vivian_Grey
Adolph,DN,0,1,Vivian_Grey
Albert,N,0,1,Vivian_Grey
Albert,C,0,1,Vivian_Grey
Albert,I,0,1,Vivian_Grey
Albert,A,0,1,Vivian_Grey
Albert,DC,0,1,Vivian_Grey
Albert,DN,0,1,Vivian_Grey
Amalia,N,0,1,Vivian_Grey
Amalia,C,0,1,Vivian_Grey
Amalia,I,0,1,Vivian_Grey
Amalia,A,0,1,Vivian_Grey
Amalia,DC,0,1,Vivian_Grey
Amalia,DN,0,1,Vivian_Grey
Arnelm,N,0,1,Vivian_Grey
Arnelm,C,0,1,Vivian_Grey
Arnelm,I,0,1,Vivian_Grey
Arnelm,A,0,1,Vivian_Grey
Arnelm,DC,0,1,Vivian_Grey
Arnelm,DN,0,1,Vivian_Grey
Asmanshausen,N,0,1,Vivian_Grey
Asmanshausen,C,0,1,Vivian_Grey
Asmanshausen,I,0,1,Vivian_Grey
Asmanshausen,A,0,1,Vivian_Grey
Asmanshausen,DC,0,1,Vivian_Grey
Asmanshausen,DN,0,1,Vivian_Grey
Aubrey Vere,N,0,1,Vivian_Grey
Aubrey Vere,C,0,1,Vivian_Grey
Aubrey Vere,I,0,1,Vivian_Grey
Aubrey Vere,A,0,1,Vivian_Grey
Aubrey Vere,DC,0,1,Vivian_Grey
Aubrey Vere,DN,0,1,Vivian_Grey
Augustus Clay,N,0,1,Vivian_Grey
Augustus Clay,C,0,1,Vivian_Grey
Augustus Clay,I,0,1,Vivian_Grey
Augustus Clay,A,0,1,Vivian_Grey
Augustus Clay,DC,0,1,Vivian_Grey
Augustus Clay,DN,0,1,Vivian_Grey
Aurelia,N,0,1,Vivian_Grey
Aurelia,C,0,1,Vivian_Grey
Aurelia,I,0,1,Vivian_Grey
Aurelia,A,0,1,Vivian_Grey
Aurelia,DC,0,1,Vivian_Grey
Aurelia,DN,0,1,Vivian_Grey
Baron von Konigstein,N,0,1,Vivian_Grey
Baron von Konigstein,C,0,1,Vivian_Grey
Baron von Konigstein,I,0,1,Vivian_Grey
Baron von Konigstein,A,0,1,Vivian_Grey
Baron von Konigstein,DC,0,1,Vivian_Grey
Baron von Konigstein,DN,0,1,Vivian_Grey
Beautiful Cynthia,N,0,1,Vivian_Grey
Beautiful Cynthia,C,0,1,Vivian_Grey
Beautiful Cynthia,I,0,1,Vivian_Grey
Beautiful Cynthia,A,0,1,Vivian_Grey
Beautiful Cynthia,DC,0,1,Vivian_Grey
Beautiful Cynthia,DN,0,1,Vivian_Grey
Booby,N,0,1,Vivian_Grey
Booby,C,0,1,Vivian_Grey
Booby,I,0,1,Vivian_Grey
Booby,A,0,1,Vivian_Grey
Booby,DC,0,1,Vivian_Grey
Booby,DN,0,1,Vivian_Grey
Boreall,N,0,1,Vivian_Grey
Boreall,C,0,1,Vivian_Grey
Boreall,I,0,1,Vivian_Grey
Boreall,A,0,1,Vivian_Grey
Boreall,DC,0,1,Vivian_Grey
Boreall,DN,0,1,Vivian_Grey
Byron,N,0,1,Vivian_Grey
Byron,C,0,1,Vivian_Grey
Byron,I,0,1,Vivian_Grey
Byron,A,0,1,Vivian_Grey
Byron,DC,0,1,Vivian_Grey
Byron,DN,0,1,Vivian_Grey
