character,tag,count,chapter,novel
A CONFIDANT Waverley,N,0,1,Waverley
A CONFIDANT Waverley,C,0,1,Waverley
A CONFIDANT Waverley,I,0,1,Waverley
A CONFIDANT Waverley,A,0,1,Waverley
A CONFIDANT Waverley,DC,0,1,Waverley
A CONFIDANT Waverley,DN,0,1,Waverley
A RECONCILIATION Waverley,N,0,1,Waverley
A RECONCILIATION Waverley,C,0,1,Waverley
A RECONCILIATION Waverley,I,0,1,Waverley
A RECONCILIATION Waverley,A,0,1,Waverley
A RECONCILIATION Waverley,DC,0,1,Waverley
A RECONCILIATION Waverley,DN,0,1,Waverley
A.,N,0,1,Waverley
A.,C,0,1,Waverley
A.,I,0,1,Waverley
A.,A,0,1,Waverley
A.,DC,0,1,Waverley
A.,DN,0,1,Waverley
Adam,N,0,1,Waverley
Adam,C,0,1,Waverley
Adam,I,0,1,Waverley
Adam,A,0,1,Waverley
Adam,DC,0,1,Waverley
Adam,DN,0,1,Waverley
Alice,N,0,1,Waverley
Alice,C,0,1,Waverley
Alice,I,0,1,Waverley
Alice,A,0,1,Waverley
Alice,DC,0,1,Waverley
Alice,DN,0,1,Waverley
Alick,N,0,1,Waverley
Alick,C,0,1,Waverley
Alick,I,0,1,Waverley
Alick,A,0,1,Waverley
Alick,DC,0,1,Waverley
Alick,DN,0,1,Waverley
Allan Ramsay,N,0,1,Waverley
Allan Ramsay,C,0,1,Waverley
Allan Ramsay,I,0,1,Waverley
Allan Ramsay,A,0,1,Waverley
Allan Ramsay,DC,0,1,Waverley
Allan Ramsay,DN,0,1,Waverley
Amhurst,N,0,1,Waverley
Amhurst,C,0,1,Waverley
Amhurst,I,0,1,Waverley
Amhurst,A,0,1,Waverley
Amhurst,DC,0,1,Waverley
Amhurst,DN,0,1,Waverley
Arthur,N,0,1,Waverley
Arthur,C,0,1,Waverley
Arthur,I,0,1,Waverley
Arthur,A,0,1,Waverley
Arthur,DC,0,1,Waverley
Arthur,DN,0,1,Waverley
Aunt Rachel,N,0,1,Waverley
Aunt Rachel,C,0,1,Waverley
Aunt Rachel,I,0,1,Waverley
Aunt Rachel,A,0,1,Waverley
Aunt Rachel,DC,0,1,Waverley
Aunt Rachel,DN,0,1,Waverley
B.,N,0,1,Waverley
B.,C,0,1,Waverley
B.,I,0,1,Waverley
B.,A,0,1,Waverley
B.,DC,0,1,Waverley
B.,DN,0,1,Waverley
Bailie Macwheeble,N,0,1,Waverley
Bailie Macwheeble,C,0,1,Waverley
Bailie Macwheeble,I,0,1,Waverley
Bailie Macwheeble,A,0,1,Waverley
Bailie Macwheeble,DC,0,1,Waverley
Bailie Macwheeble,DN,0,1,Waverley
Balmawhapple,N,0,1,Waverley
Balmawhapple,C,0,1,Waverley
Balmawhapple,I,0,1,Waverley
Balmawhapple,A,0,1,Waverley
Balmawhapple,DC,0,1,Waverley
Balmawhapple,DN,0,1,Waverley
Ben Jonson,N,0,1,Waverley
Ben Jonson,C,0,1,Waverley
Ben Jonson,I,0,1,Waverley
Ben Jonson,A,0,1,Waverley
Ben Jonson,DC,0,1,Waverley
Ben Jonson,DN,0,1,Waverley
Bran,N,0,1,Waverley
Bran,C,0,1,Waverley
Bran,I,0,1,Waverley
Bran,A,0,1,Waverley
Bran,DC,0,1,Waverley
Bran,DN,0,1,Waverley
Bridoon,N,0,1,Waverley
Bridoon,C,0,1,Waverley
Bridoon,I,0,1,Waverley
Bridoon,A,0,1,Waverley
Bridoon,DC,0,1,Waverley
Bridoon,DN,0,1,Waverley
Cairnvreckan,N,0,1,Waverley
Cairnvreckan,C,0,1,Waverley
Cairnvreckan,I,0,1,Waverley
Cairnvreckan,A,0,1,Waverley
Cairnvreckan,DC,0,1,Waverley
Cairnvreckan,DN,0,1,Waverley
Caleb,N,0,1,Waverley
Caleb,C,0,1,Waverley
Caleb,I,0,1,Waverley
Caleb,A,0,1,Waverley
Caleb,DC,0,1,Waverley
Caleb,DN,0,1,Waverley
Callum,N,0,1,Waverley
Callum,C,0,1,Waverley
Callum,I,0,1,Waverley
Callum,A,0,1,Waverley
Callum,DC,0,1,Waverley
Callum,DN,0,1,Waverley
Cathleen,N,0,1,Waverley
Cathleen,C,0,1,Waverley
Cathleen,I,0,1,Waverley
Cathleen,A,0,1,Waverley
Cathleen,DC,0,1,Waverley
Cathleen,DN,0,1,Waverley
Colonel Gardiner,N,0,1,Waverley
Colonel Gardiner,C,0,1,Waverley
Colonel Gardiner,I,0,1,Waverley
Colonel Gardiner,A,0,1,Waverley
Colonel Gardiner,DC,0,1,Waverley
Colonel Gardiner,DN,0,1,Waverley
Colonel Mac - Ivor,N,0,1,Waverley
Colonel Mac - Ivor,C,0,1,Waverley
Colonel Mac - Ivor,I,0,1,Waverley
Colonel Mac - Ivor,A,0,1,Waverley
Colonel Mac - Ivor,DC,0,1,Waverley
Colonel Mac - Ivor,DN,0,1,Waverley
Colonel Stewart,N,0,1,Waverley
Colonel Stewart,C,0,1,Waverley
Colonel Stewart,I,0,1,Waverley
Colonel Stewart,A,0,1,Waverley
Colonel Stewart,DC,0,1,Waverley
Colonel Stewart,DN,0,1,Waverley
Colonel Talbot,N,0,1,Waverley
Colonel Talbot,C,0,1,Waverley
Colonel Talbot,I,0,1,Waverley
Colonel Talbot,A,0,1,Waverley
Colonel Talbot,DC,0,1,Waverley
Colonel Talbot,DN,0,1,Waverley
Colonel Whitefoord,N,0,1,Waverley
Colonel Whitefoord,C,0,1,Waverley
Colonel Whitefoord,I,0,1,Waverley
Colonel Whitefoord,A,0,1,Waverley
Colonel Whitefoord,DC,0,1,Waverley
Colonel Whitefoord,DN,0,1,Waverley
Comberland,N,0,1,Waverley
Comberland,C,0,1,Waverley
Comberland,I,0,1,Waverley
Comberland,A,0,1,Waverley
Comberland,DC,0,1,Waverley
Comberland,DN,0,1,Waverley
Conan,N,0,1,Waverley
Conan,C,0,1,Waverley
Conan,I,0,1,Waverley
Conan,A,0,1,Waverley
Conan,DC,0,1,Waverley
Conan,DN,0,1,Waverley
Cromwell,N,0,1,Waverley
Cromwell,C,0,1,Waverley
Cromwell,I,0,1,Waverley
Cromwell,A,0,1,Waverley
Cromwell,DC,0,1,Waverley
Cromwell,DN,0,1,Waverley
Cupid,N,0,1,Waverley
Cupid,C,0,1,Waverley
Cupid,I,0,1,Waverley
Cupid,A,0,1,Waverley
Cupid,DC,0,1,Waverley
Cupid,DN,0,1,Waverley
Davie,N,0,1,Waverley
Davie,C,0,1,Waverley
Davie,I,0,1,Waverley
Davie,A,0,1,Waverley
Davie,DC,0,1,Waverley
Davie,DN,0,1,Waverley
Dermid,N,0,1,Waverley
Dermid,C,0,1,Waverley
Dermid,I,0,1,Waverley
Dermid,A,0,1,Waverley
Dermid,DC,0,1,Waverley
Dermid,DN,0,1,Waverley
Dick,N,0,1,Waverley
Dick,C,0,1,Waverley
Dick,I,0,1,Waverley
Dick,A,0,1,Waverley
Dick,DC,0,1,Waverley
Dick,DN,0,1,Waverley
Dicken,N,0,1,Waverley
Dicken,C,0,1,Waverley
Dicken,I,0,1,Waverley
Dicken,A,0,1,Waverley
Dicken,DC,0,1,Waverley
Dicken,DN,0,1,Waverley
Doctor John Leyden,N,0,1,Waverley
Doctor John Leyden,C,0,1,Waverley
Doctor John Leyden,I,0,1,Waverley
Doctor John Leyden,A,0,1,Waverley
Doctor John Leyden,DC,0,1,Waverley
Doctor John Leyden,DN,0,1,Waverley
Donald Bean Lean,N,0,1,Waverley
Donald Bean Lean,C,0,1,Waverley
Donald Bean Lean,I,0,1,Waverley
Donald Bean Lean,A,0,1,Waverley
Donald Bean Lean,DC,0,1,Waverley
Donald Bean Lean,DN,0,1,Waverley
Dr.,N,0,1,Waverley
Dr.,C,0,1,Waverley
Dr.,I,0,1,Waverley
Dr.,A,0,1,Waverley
Dr.,DC,0,1,Waverley
Dr.,DN,0,1,Waverley
Drawslot,N,0,1,Waverley
Drawslot,C,0,1,Waverley
Drawslot,I,0,1,Waverley
Drawslot,A,0,1,Waverley
Drawslot,DC,0,1,Waverley
Drawslot,DN,0,1,Waverley
Duchran,N,0,1,Waverley
Duchran,C,0,1,Waverley
Duchran,I,0,1,Waverley
Duchran,A,0,1,Waverley
Duchran,DC,0,1,Waverley
Duchran,DN,0,1,Waverley
Dugald Mahony,N,0,1,Waverley
Dugald Mahony,C,0,1,Waverley
Dugald Mahony,I,0,1,Waverley
Dugald Mahony,A,0,1,Waverley
Dugald Mahony,DC,0,1,Waverley
Dugald Mahony,DN,0,1,Waverley
Duncan,N,0,1,Waverley
Duncan,C,0,1,Waverley
Duncan,I,0,1,Waverley
Duncan,A,0,1,Waverley
Duncan,DC,0,1,Waverley
Duncan,DN,0,1,Waverley
Durst,N,0,1,Waverley
Durst,C,0,1,Waverley
Durst,I,0,1,Waverley
Durst,A,0,1,Waverley
Durst,DC,0,1,Waverley
Durst,DN,0,1,Waverley
Edward,N,0,1,Waverley
Edward,C,0,1,Waverley
Edward,I,0,1,Waverley
Edward,A,0,1,Waverley
Edward,DC,0,1,Waverley
Edward,DN,0,1,Waverley
Eleanor,N,0,1,Waverley
Eleanor,C,0,1,Waverley
Eleanor,I,0,1,Waverley
Eleanor,A,0,1,Waverley
Eleanor,DC,0,1,Waverley
Eleanor,DN,0,1,Waverley
Ensign Maccombich,N,0,1,Waverley
Ensign Maccombich,C,0,1,Waverley
Ensign Maccombich,I,0,1,Waverley
Ensign Maccombich,A,0,1,Waverley
Ensign Maccombich,DC,0,1,Waverley
Ensign Maccombich,DN,0,1,Waverley
Evan,N,0,1,Waverley
Evan,C,0,1,Waverley
Evan,I,0,1,Waverley
Evan,A,0,1,Waverley
Evan,DC,0,1,Waverley
Evan,DN,0,1,Waverley
"Evan,'they",N,0,1,Waverley
"Evan,'they",C,0,1,Waverley
"Evan,'they",I,0,1,Waverley
"Evan,'they",A,0,1,Waverley
"Evan,'they",DC,0,1,Waverley
"Evan,'they",DN,0,1,Waverley
Fabian,N,0,1,Waverley
Fabian,C,0,1,Waverley
Fabian,I,0,1,Waverley
Fabian,A,0,1,Waverley
Fabian,DC,0,1,Waverley
Fabian,DN,0,1,Waverley
Farmer Williams,N,0,1,Waverley
Farmer Williams,C,0,1,Waverley
Farmer Williams,I,0,1,Waverley
Farmer Williams,A,0,1,Waverley
Farmer Williams,DC,0,1,Waverley
Farmer Williams,DN,0,1,Waverley
Fergus,N,0,1,Waverley
Fergus,C,0,1,Waverley
Fergus,I,0,1,Waverley
Fergus,A,0,1,Waverley
Fergus,DC,0,1,Waverley
Fergus,DN,0,1,Waverley
Fitzallen,N,0,1,Waverley
Fitzallen,C,0,1,Waverley
Fitzallen,I,0,1,Waverley
Fitzallen,A,0,1,Waverley
Fitzallen,DC,0,1,Waverley
Fitzallen,DN,0,1,Waverley
Fitzosborne,N,0,1,Waverley
Fitzosborne,C,0,1,Waverley
Fitzosborne,I,0,1,Waverley
Fitzosborne,A,0,1,Waverley
Fitzosborne,DC,0,1,Waverley
Fitzosborne,DN,0,1,Waverley
Flora,N,0,1,Waverley
Flora,C,0,1,Waverley
Flora,I,0,1,Waverley
Flora,A,0,1,Waverley
Flora,DC,0,1,Waverley
Flora,DN,0,1,Waverley
Francisco de Ubeda,N,0,1,Waverley
Francisco de Ubeda,C,0,1,Waverley
Francisco de Ubeda,I,0,1,Waverley
Francisco de Ubeda,A,0,1,Waverley
Francisco de Ubeda,DC,0,1,Waverley
Francisco de Ubeda,DN,0,1,Waverley
Gaunt,N,0,1,Waverley
Gaunt,C,0,1,Waverley
Gaunt,I,0,1,Waverley
Gaunt,A,0,1,Waverley
Gaunt,DC,0,1,Waverley
Gaunt,DN,0,1,Waverley
Gay Bowers,N,0,1,Waverley
Gay Bowers,C,0,1,Waverley
Gay Bowers,I,0,1,Waverley
Gay Bowers,A,0,1,Waverley
Gay Bowers,DC,0,1,Waverley
Gay Bowers,DN,0,1,Waverley
Gilfillan,N,0,1,Waverley
Gilfillan,C,0,1,Waverley
Gilfillan,I,0,1,Waverley
Gilfillan,A,0,1,Waverley
Gilfillan,DC,0,1,Waverley
Gilfillan,DN,0,1,Waverley
Gilliewhackit,N,0,1,Waverley
Gilliewhackit,C,0,1,Waverley
Gilliewhackit,I,0,1,Waverley
Gilliewhackit,A,0,1,Waverley
Gilliewhackit,DC,0,1,Waverley
Gilliewhackit,DN,0,1,Waverley
Glena----Glenamuck,N,0,1,Waverley
Glena----Glenamuck,C,0,1,Waverley
Glena----Glenamuck,I,0,1,Waverley
Glena----Glenamuck,A,0,1,Waverley
Glena----Glenamuck,DC,0,1,Waverley
Glena----Glenamuck,DN,0,1,Waverley
God,N,0,1,Waverley
God,C,0,1,Waverley
God,I,0,1,Waverley
God,A,0,1,Waverley
God,DC,0,1,Waverley
God,DN,0,1,Waverley
Green - Breeks,N,0,1,Waverley
Green - Breeks,C,0,1,Waverley
Green - Breeks,I,0,1,Waverley
Green - Breeks,A,0,1,Waverley
Green - Breeks,DC,0,1,Waverley
Green - Breeks,DN,0,1,Waverley
Gregory,N,0,1,Waverley
Gregory,C,0,1,Waverley
Gregory,I,0,1,Waverley
Gregory,A,0,1,Waverley
Gregory,DC,0,1,Waverley
Gregory,DN,0,1,Waverley
Heaven,N,0,1,Waverley
Heaven,C,0,1,Waverley
Heaven,I,0,1,Waverley
Heaven,A,0,1,Waverley
Heaven,DC,0,1,Waverley
Heaven,DN,0,1,Waverley
Henry Saint Clere,N,0,1,Waverley
Henry Saint Clere,C,0,1,Waverley
Henry Saint Clere,I,0,1,Waverley
Henry Saint Clere,A,0,1,Waverley
Henry Saint Clere,DC,0,1,Waverley
Henry Saint Clere,DN,0,1,Waverley
Highlander,N,0,1,Waverley
Highlander,C,0,1,Waverley
Highlander,I,0,1,Waverley
Highlander,A,0,1,Waverley
Highlander,DC,0,1,Waverley
Highlander,DN,0,1,Waverley
Ian nan Chaistel,N,0,1,Waverley
Ian nan Chaistel,C,0,1,Waverley
Ian nan Chaistel,I,0,1,Waverley
Ian nan Chaistel,A,0,1,Waverley
Ian nan Chaistel,DC,0,1,Waverley
Ian nan Chaistel,DN,0,1,Waverley
Inch - Grabbit,N,0,1,Waverley
Inch - Grabbit,C,0,1,Waverley
Inch - Grabbit,I,0,1,Waverley
Inch - Grabbit,A,0,1,Waverley
Inch - Grabbit,DC,0,1,Waverley
Inch - Grabbit,DN,0,1,Waverley
Invernahyle,N,0,1,Waverley
Invernahyle,C,0,1,Waverley
Invernahyle,I,0,1,Waverley
Invernahyle,A,0,1,Waverley
Invernahyle,DC,0,1,Waverley
Invernahyle,DN,0,1,Waverley
Jamie Howie,N,1,1,Waverley
Jamie Howie,C,0,1,Waverley
Jamie Howie,I,0,1,Waverley
Jamie Howie,A,0,1,Waverley
Jamie Howie,DC,0,1,Waverley
Jamie Howie,DN,0,1,Waverley
Janet,N,0,1,Waverley
Janet,C,0,1,Waverley
Janet,I,0,1,Waverley
Janet,A,0,1,Waverley
Janet,DC,0,1,Waverley
Janet,DN,0,1,Waverley
Janet Gellatley,N,0,1,Waverley
Janet Gellatley,C,0,1,Waverley
Janet Gellatley,I,0,1,Waverley
Janet Gellatley,A,0,1,Waverley
Janet Gellatley,DC,0,1,Waverley
Janet Gellatley,DN,0,1,Waverley
Jinker,N,0,1,Waverley
Jinker,C,0,1,Waverley
Jinker,I,0,1,Waverley
Jinker,A,0,1,Waverley
Jinker,DC,0,1,Waverley
Jinker,DN,0,1,Waverley
John Hodges,N,0,1,Waverley
John Hodges,C,0,1,Waverley
John Hodges,I,0,1,Waverley
John Hodges,A,0,1,Waverley
John Hodges,DC,0,1,Waverley
John Hodges,DN,0,1,Waverley
John Mucklewrath,N,0,1,Waverley
John Mucklewrath,C,0,1,Waverley
John Mucklewrath,I,0,1,Waverley
John Mucklewrath,A,0,1,Waverley
John Mucklewrath,DC,0,1,Waverley
John Mucklewrath,DN,0,1,Waverley
Johnstone,N,0,1,Waverley
Johnstone,C,0,1,Waverley
Johnstone,I,0,1,Waverley
Johnstone,A,0,1,Waverley
Johnstone,DC,0,1,Waverley
Johnstone,DN,0,1,Waverley
Juliet,N,0,1,Waverley
Juliet,C,0,1,Waverley
Juliet,I,0,1,Waverley
Juliet,A,0,1,Waverley
Juliet,DC,0,1,Waverley
Juliet,DN,0,1,Waverley
