character,tag,count,chapter,novel
Adam,N,0,1,Westward_Ho!
Adam,C,0,1,Westward_Ho!
Adam,I,0,1,Westward_Ho!
Adam,A,0,1,Westward_Ho!
Adam,DC,0,1,Westward_Ho!
Adam,DN,0,1,Westward_Ho!
Admiral Hawkins--,N,0,1,Westward_Ho!
Admiral Hawkins--,C,0,1,Westward_Ho!
Admiral Hawkins--,I,0,1,Westward_Ho!
Admiral Hawkins--,A,0,1,Westward_Ho!
Admiral Hawkins--,DC,0,1,Westward_Ho!
Admiral Hawkins--,DN,0,1,Westward_Ho!
Admiral Leigh,N,0,1,Westward_Ho!
Admiral Leigh,C,0,1,Westward_Ho!
Admiral Leigh,I,0,1,Westward_Ho!
Admiral Leigh,A,0,1,Westward_Ho!
Admiral Leigh,DC,0,1,Westward_Ho!
Admiral Leigh,DN,0,1,Westward_Ho!
Adrian,N,0,1,Westward_Ho!
Adrian,C,0,1,Westward_Ho!
Adrian,I,0,1,Westward_Ho!
Adrian,A,0,1,Westward_Ho!
Adrian,DC,0,1,Westward_Ho!
Adrian,DN,0,1,Westward_Ho!
Almagro,N,0,1,Westward_Ho!
Almagro,C,0,1,Westward_Ho!
Almagro,I,0,1,Westward_Ho!
Almagro,A,0,1,Westward_Ho!
Almagro,DC,0,1,Westward_Ho!
Almagro,DN,0,1,Westward_Ho!
Americans,N,0,1,Westward_Ho!
Americans,C,0,1,Westward_Ho!
Americans,I,0,1,Westward_Ho!
Americans,A,0,1,Westward_Ho!
Americans,DC,0,1,Westward_Ho!
Americans,DN,0,1,Westward_Ho!
Amyas,N,6,1,Westward_Ho!
Amyas,C,1,1,Westward_Ho!
Amyas,I,0,1,Westward_Ho!
Amyas,A,2,1,Westward_Ho!
Amyas,DC,3,1,Westward_Ho!
Amyas,DN,0,1,Westward_Ho!
Amyas--,N,0,1,Westward_Ho!
Amyas--,C,0,1,Westward_Ho!
Amyas--,I,0,1,Westward_Ho!
Amyas--,A,0,1,Westward_Ho!
Amyas--,DC,0,1,Westward_Ho!
Amyas--,DN,0,1,Westward_Ho!
Anthony,N,0,1,Westward_Ho!
Anthony,C,0,1,Westward_Ho!
Anthony,I,0,1,Westward_Ho!
Anthony,A,0,1,Westward_Ho!
Anthony,DC,0,1,Westward_Ho!
Anthony,DN,0,1,Westward_Ho!
Antichrist,N,0,1,Westward_Ho!
Antichrist,C,0,1,Westward_Ho!
Antichrist,I,0,1,Westward_Ho!
Antichrist,A,0,1,Westward_Ho!
Antichrist,DC,0,1,Westward_Ho!
Antichrist,DN,0,1,Westward_Ho!
Arthur,N,0,1,Westward_Ho!
Arthur,C,0,1,Westward_Ho!
Arthur,I,0,1,Westward_Ho!
Arthur,A,0,1,Westward_Ho!
Arthur,DC,0,1,Westward_Ho!
Arthur,DN,0,1,Westward_Ho!
Augustine Delgado,N,0,1,Westward_Ho!
Augustine Delgado,C,0,1,Westward_Ho!
Augustine Delgado,I,0,1,Westward_Ho!
Augustine Delgado,A,0,1,Westward_Ho!
Augustine Delgado,DC,0,1,Westward_Ho!
Augustine Delgado,DN,0,1,Westward_Ho!
Ayacanora,N,0,1,Westward_Ho!
Ayacanora,C,0,1,Westward_Ho!
Ayacanora,I,0,1,Westward_Ho!
Ayacanora,A,0,1,Westward_Ho!
Ayacanora,DC,0,1,Westward_Ho!
Ayacanora,DN,0,1,Westward_Ho!
BROTHER,N,0,1,Westward_Ho!
BROTHER,C,0,1,Westward_Ho!
BROTHER,I,0,1,Westward_Ho!
BROTHER,A,0,1,Westward_Ho!
BROTHER,DC,0,1,Westward_Ho!
BROTHER,DN,0,1,Westward_Ho!
Barker,N,0,1,Westward_Ho!
Barker,C,0,1,Westward_Ho!
Barker,I,0,1,Westward_Ho!
Barker,A,0,1,Westward_Ho!
Barker,DC,0,1,Westward_Ho!
Barker,DN,0,1,Westward_Ho!
Belphegor,N,0,1,Westward_Ho!
Belphegor,C,0,1,Westward_Ho!
Belphegor,I,0,1,Westward_Ho!
Belphegor,A,0,1,Westward_Ho!
Belphegor,DC,0,1,Westward_Ho!
Belphegor,DN,0,1,Westward_Ho!
Berreo,N,0,1,Westward_Ho!
Berreo,C,0,1,Westward_Ho!
Berreo,I,0,1,Westward_Ho!
Berreo,A,0,1,Westward_Ho!
Berreo,DC,0,1,Westward_Ho!
Berreo,DN,0,1,Westward_Ho!
Bideford,N,0,1,Westward_Ho!
Bideford,C,0,1,Westward_Ho!
Bideford,I,0,1,Westward_Ho!
Bideford,A,0,1,Westward_Ho!
Bideford,DC,0,1,Westward_Ho!
Bideford,DN,0,1,Westward_Ho!
Bobadils,N,0,1,Westward_Ho!
Bobadils,C,0,1,Westward_Ho!
Bobadils,I,0,1,Westward_Ho!
Bobadils,A,0,1,Westward_Ho!
Bobadils,DC,0,1,Westward_Ho!
Bobadils,DN,0,1,Westward_Ho!
Budaeus,N,0,1,Westward_Ho!
Budaeus,C,0,1,Westward_Ho!
Budaeus,I,0,1,Westward_Ho!
Budaeus,A,0,1,Westward_Ho!
Budaeus,DC,0,1,Westward_Ho!
Budaeus,DN,0,1,Westward_Ho!
CAMPBELL,N,0,1,Westward_Ho!
CAMPBELL,C,0,1,Westward_Ho!
CAMPBELL,I,0,1,Westward_Ho!
CAMPBELL,A,0,1,Westward_Ho!
CAMPBELL,DC,0,1,Westward_Ho!
CAMPBELL,DN,0,1,Westward_Ho!
Cabot,N,0,1,Westward_Ho!
Cabot,C,0,1,Westward_Ho!
Cabot,I,0,1,Westward_Ho!
Cabot,A,0,1,Westward_Ho!
Cabot,DC,0,1,Westward_Ho!
Cabot,DN,0,1,Westward_Ho!
Campian,N,0,1,Westward_Ho!
Campian,C,0,1,Westward_Ho!
Campian,I,0,1,Westward_Ho!
Campian,A,0,1,Westward_Ho!
Campian,DC,0,1,Westward_Ho!
Campian,DN,0,1,Westward_Ho!
Captain Drake,N,3,1,Westward_Ho!
Captain Drake,C,0,1,Westward_Ho!
Captain Drake,I,3,1,Westward_Ho!
Captain Drake,A,4,1,Westward_Ho!
Captain Drake,DC,0,1,Westward_Ho!
Captain Drake,DN,0,1,Westward_Ho!
Captain Hawkins,N,0,1,Westward_Ho!
Captain Hawkins,C,0,1,Westward_Ho!
Captain Hawkins,I,0,1,Westward_Ho!
Captain Hawkins,A,0,1,Westward_Ho!
Captain Hawkins,DC,0,1,Westward_Ho!
Captain Hawkins,DN,0,1,Westward_Ho!
Cary,N,0,1,Westward_Ho!
Cary,C,0,1,Westward_Ho!
Cary,I,0,1,Westward_Ho!
Cary,A,0,1,Westward_Ho!
Cary,DC,0,1,Westward_Ho!
Cary,DN,0,1,Westward_Ho!
Catharina,N,0,1,Westward_Ho!
Catharina,C,0,1,Westward_Ho!
Catharina,I,0,1,Westward_Ho!
Catharina,A,0,1,Westward_Ho!
Catharina,DC,0,1,Westward_Ho!
Catharina,DN,0,1,Westward_Ho!
Catiline,N,0,1,Westward_Ho!
Catiline,C,0,1,Westward_Ho!
Catiline,I,0,1,Westward_Ho!
Catiline,A,0,1,Westward_Ho!
Catiline,DC,0,1,Westward_Ho!
Catiline,DN,0,1,Westward_Ho!
Christ,N,0,1,Westward_Ho!
Christ,C,0,1,Westward_Ho!
Christ,I,0,1,Westward_Ho!
Christ,A,0,1,Westward_Ho!
Christ,DC,0,1,Westward_Ho!
Christ,DN,0,1,Westward_Ho!
Colin Clout,N,0,1,Westward_Ho!
Colin Clout,C,0,1,Westward_Ho!
Colin Clout,I,0,1,Westward_Ho!
Colin Clout,A,0,1,Westward_Ho!
Colin Clout,DC,0,1,Westward_Ho!
Colin Clout,DN,0,1,Westward_Ho!
Columbus,N,0,1,Westward_Ho!
Columbus,C,0,1,Westward_Ho!
Columbus,I,0,1,Westward_Ho!
Columbus,A,0,1,Westward_Ho!
Columbus,DC,0,1,Westward_Ho!
Columbus,DN,0,1,Westward_Ho!
DEAR LAD,N,0,1,Westward_Ho!
DEAR LAD,C,0,1,Westward_Ho!
DEAR LAD,I,0,1,Westward_Ho!
DEAR LAD,A,0,1,Westward_Ho!
DEAR LAD,DC,0,1,Westward_Ho!
DEAR LAD,DN,0,1,Westward_Ho!
Daniel,N,0,1,Westward_Ho!
Daniel,C,0,1,Westward_Ho!
Daniel,I,0,1,Westward_Ho!
Daniel,A,0,1,Westward_Ho!
Daniel,DC,0,1,Westward_Ho!
Daniel,DN,0,1,Westward_Ho!
David,N,0,1,Westward_Ho!
David,C,0,1,Westward_Ho!
David,I,0,1,Westward_Ho!
David,A,0,1,Westward_Ho!
David,DC,0,1,Westward_Ho!
David,DN,0,1,Westward_Ho!
Davils,N,0,1,Westward_Ho!
Davils,C,0,1,Westward_Ho!
Davils,I,0,1,Westward_Ho!
Davils,A,0,1,Westward_Ho!
Davils,DC,0,1,Westward_Ho!
Davils,DN,0,1,Westward_Ho!
Desmond,N,0,1,Westward_Ho!
Desmond,C,0,1,Westward_Ho!
Desmond,I,0,1,Westward_Ho!
Desmond,A,0,1,Westward_Ho!
Desmond,DC,0,1,Westward_Ho!
Desmond,DN,0,1,Westward_Ho!
Devon,N,0,1,Westward_Ho!
Devon,C,0,1,Westward_Ho!
Devon,I,0,1,Westward_Ho!
Devon,A,0,1,Westward_Ho!
Devon,DC,0,1,Westward_Ho!
Devon,DN,0,1,Westward_Ho!
Diabolus,N,0,1,Westward_Ho!
Diabolus,C,0,1,Westward_Ho!
Diabolus,I,0,1,Westward_Ho!
Diabolus,A,0,1,Westward_Ho!
Diabolus,DC,0,1,Westward_Ho!
Diabolus,DN,0,1,Westward_Ho!
Dian,N,0,1,Westward_Ho!
Dian,C,0,1,Westward_Ho!
Dian,I,0,1,Westward_Ho!
Dian,A,0,1,Westward_Ho!
Dian,DC,0,1,Westward_Ho!
Dian,DN,0,1,Westward_Ho!
Dick Grenville,N,4,1,Westward_Ho!
Dick Grenville,C,0,1,Westward_Ho!
Dick Grenville,I,0,1,Westward_Ho!
Dick Grenville,A,0,1,Westward_Ho!
Dick Grenville,DC,3,1,Westward_Ho!
Dick Grenville,DN,0,1,Westward_Ho!
Don Ferdinando de Soto,N,0,1,Westward_Ho!
Don Ferdinando de Soto,C,0,1,Westward_Ho!
Don Ferdinando de Soto,I,0,1,Westward_Ho!
Don Ferdinando de Soto,A,0,1,Westward_Ho!
Don Ferdinando de Soto,DC,0,1,Westward_Ho!
Don Ferdinando de Soto,DN,0,1,Westward_Ho!
Don Guzman,N,0,1,Westward_Ho!
Don Guzman,C,0,1,Westward_Ho!
Don Guzman,I,0,1,Westward_Ho!
Don Guzman,A,0,1,Westward_Ho!
Don Guzman,DC,0,1,Westward_Ho!
Don Guzman,DN,0,1,Westward_Ho!
Don Pedro,N,0,1,Westward_Ho!
Don Pedro,C,0,1,Westward_Ho!
Don Pedro,I,0,1,Westward_Ho!
Don Pedro,A,0,1,Westward_Ho!
Don Pedro,DC,0,1,Westward_Ho!
Don Pedro,DN,0,1,Westward_Ho!
Don Sebastian,N,0,1,Westward_Ho!
Don Sebastian,C,0,1,Westward_Ho!
Don Sebastian,I,0,1,Westward_Ho!
Don Sebastian,A,0,1,Westward_Ho!
Don Sebastian,DC,0,1,Westward_Ho!
Don Sebastian,DN,0,1,Westward_Ho!
Drake,N,0,1,Westward_Ho!
Drake,C,0,1,Westward_Ho!
Drake,I,0,1,Westward_Ho!
Drake,A,0,1,Westward_Ho!
Drake,DC,0,1,Westward_Ho!
Drake,DN,0,1,Westward_Ho!
Drew,N,0,1,Westward_Ho!
Drew,C,0,1,Westward_Ho!
Drew,I,0,1,Westward_Ho!
Drew,A,0,1,Westward_Ho!
Drew,DC,0,1,Westward_Ho!
Drew,DN,0,1,Westward_Ho!
Earl Ordulf,N,0,1,Westward_Ho!
Earl Ordulf,C,0,1,Westward_Ho!
Earl Ordulf,I,0,1,Westward_Ho!
Earl Ordulf,A,0,1,Westward_Ho!
Earl Ordulf,DC,0,1,Westward_Ho!
Earl Ordulf,DN,0,1,Westward_Ho!
Ebsworthy,N,0,1,Westward_Ho!
Ebsworthy,C,0,1,Westward_Ho!
Ebsworthy,I,0,1,Westward_Ho!
Ebsworthy,A,0,1,Westward_Ho!
Ebsworthy,DC,0,1,Westward_Ho!
Ebsworthy,DN,0,1,Westward_Ho!
Elizabeth,N,0,1,Westward_Ho!
Elizabeth,C,0,1,Westward_Ho!
Elizabeth,I,0,1,Westward_Ho!
Elizabeth,A,0,1,Westward_Ho!
Elizabeth,DC,0,1,Westward_Ho!
Elizabeth,DN,0,1,Westward_Ho!
England,N,0,1,Westward_Ho!
England,C,1,1,Westward_Ho!
England,I,0,1,Westward_Ho!
England,A,1,1,Westward_Ho!
England,DC,0,1,Westward_Ho!
England,DN,0,1,Westward_Ho!
Englishman,N,0,1,Westward_Ho!
Englishman,C,0,1,Westward_Ho!
Englishman,I,0,1,Westward_Ho!
Englishman,A,0,1,Westward_Ho!
Englishman,DC,0,1,Westward_Ho!
