character,tag,count,novel
Aggerawayter,N,2,A_Tale_of_Two_Cities
Aggerawayter,C,4,A_Tale_of_Two_Cities
Aggerawayter,I,1,A_Tale_of_Two_Cities
Aggerawayter,A,1,A_Tale_of_Two_Cities
Aggerawayter,DC,2,A_Tale_of_Two_Cities
Aggerawayter,DN,0,A_Tale_of_Two_Cities
Alexandre Manette,N,6,A_Tale_of_Two_Cities
Alexandre Manette,C,0,A_Tale_of_Two_Cities
Alexandre Manette,I,0,A_Tale_of_Two_Cities
Alexandre Manette,A,0,A_Tale_of_Two_Cities
Alexandre Manette,DC,5,A_Tale_of_Two_Cities
Alexandre Manette,DN,0,A_Tale_of_Two_Cities
Barsad,N,10,A_Tale_of_Two_Cities
Barsad,C,0,A_Tale_of_Two_Cities
Barsad,I,0,A_Tale_of_Two_Cities
Barsad,A,3,A_Tale_of_Two_Cities
Barsad,DC,2,A_Tale_of_Two_Cities
Barsad,DN,1,A_Tale_of_Two_Cities
Carton,N,143,A_Tale_of_Two_Cities
Carton,C,173,A_Tale_of_Two_Cities
Carton,I,124,A_Tale_of_Two_Cities
Carton,A,184,A_Tale_of_Two_Cities
Carton,DC,59,A_Tale_of_Two_Cities
Carton,DN,15,A_Tale_of_Two_Cities
Charles Evrémonde,N,17,A_Tale_of_Two_Cities
Charles Evrémonde,C,0,A_Tale_of_Two_Cities
Charles Evrémonde,I,2,A_Tale_of_Two_Cities
Charles Evrémonde,A,1,A_Tale_of_Two_Cities
Charles Evrémonde,DC,6,A_Tale_of_Two_Cities
Charles Evrémonde,DN,1,A_Tale_of_Two_Cities
Citizen Gabelle,N,2,A_Tale_of_Two_Cities
Citizen Gabelle,C,0,A_Tale_of_Two_Cities
Citizen Gabelle,I,1,A_Tale_of_Two_Cities
Citizen Gabelle,A,0,A_Tale_of_Two_Cities
Citizen Gabelle,DC,0,A_Tale_of_Two_Cities
Citizen Gabelle,DN,0,A_Tale_of_Two_Cities
Citizen Manette,N,1,A_Tale_of_Two_Cities
Citizen Manette,C,0,A_Tale_of_Two_Cities
Citizen Manette,I,0,A_Tale_of_Two_Cities
Citizen Manette,A,1,A_Tale_of_Two_Cities
Citizen Manette,DC,0,A_Tale_of_Two_Cities
Citizen Manette,DN,1,A_Tale_of_Two_Cities
Cly,N,11,A_Tale_of_Two_Cities
Cly,C,0,A_Tale_of_Two_Cities
Cly,I,0,A_Tale_of_Two_Cities
Cly,A,6,A_Tale_of_Two_Cities
Cly,DC,16,A_Tale_of_Two_Cities
Cly,DN,1,A_Tale_of_Two_Cities
Darnay,N,173,A_Tale_of_Two_Cities
Darnay,C,122,A_Tale_of_Two_Cities
Darnay,I,156,A_Tale_of_Two_Cities
Darnay,A,174,A_Tale_of_Two_Cities
Darnay,DC,81,A_Tale_of_Two_Cities
Darnay,DN,31,A_Tale_of_Two_Cities
Darnay--,N,1,A_Tale_of_Two_Cities
Darnay--,C,1,A_Tale_of_Two_Cities
Darnay--,I,2,A_Tale_of_Two_Cities
Darnay--,A,1,A_Tale_of_Two_Cities
Darnay--,DC,8,A_Tale_of_Two_Cities
Darnay--,DN,0,A_Tale_of_Two_Cities
Death,N,9,A_Tale_of_Two_Cities
Death,C,0,A_Tale_of_Two_Cities
Death,I,0,A_Tale_of_Two_Cities
Death,A,1,A_Tale_of_Two_Cities
Death,DC,0,A_Tale_of_Two_Cities
Death,DN,0,A_Tale_of_Two_Cities
Defarge,N,104,A_Tale_of_Two_Cities
Defarge,C,105,A_Tale_of_Two_Cities
Defarge,I,29,A_Tale_of_Two_Cities
Defarge,A,58,A_Tale_of_Two_Cities
Defarge,DC,6,A_Tale_of_Two_Cities
Defarge,DN,14,A_Tale_of_Two_Cities
Doctor Manette,N,93,A_Tale_of_Two_Cities
Doctor Manette,C,29,A_Tale_of_Two_Cities
