character,tag,count,novel
Adam,N,1219,Adam_Bede
Adam,C,622,Adam_Bede
Adam,I,845,Adam_Bede
Adam,A,1236,Adam_Bede
Adam,DC,406,Adam_Bede
Adam,DN,176,Adam_Bede
Alick,N,33,Adam_Bede
Alick,C,5,Adam_Bede
Alick,I,6,Adam_Bede
Alick,A,17,Adam_Bede
Alick,DC,8,Adam_Bede
Alick,DN,3,Adam_Bede
Arthur,N,426,Adam_Bede
Arthur,C,202,Adam_Bede
Arthur,I,331,Adam_Bede
Arthur,A,462,Adam_Bede
Arthur,DC,88,Adam_Bede
Arthur,DN,96,Adam_Bede
Aunt,N,1,Adam_Bede
Aunt,C,0,Adam_Bede
Aunt,I,1,Adam_Bede
Aunt,A,2,Adam_Bede
Aunt,DC,6,Adam_Bede
Aunt,DN,0,Adam_Bede
Aunt Lydia,N,4,Adam_Bede
Aunt Lydia,C,0,Adam_Bede
Aunt Lydia,I,4,Adam_Bede
Aunt Lydia,A,2,Adam_Bede
Aunt Lydia,DC,3,Adam_Bede
Aunt Lydia,DN,1,Adam_Bede
Bartle,N,116,Adam_Bede
Bartle,C,97,Adam_Bede
Bartle,I,87,Adam_Bede
Bartle,A,115,Adam_Bede
Bartle,DC,45,Adam_Bede
Bartle,DN,7,Adam_Bede
Ben,N,43,Adam_Bede
Ben,C,25,Adam_Bede
Ben,I,19,Adam_Bede
Ben,A,42,Adam_Bede
Ben,DC,21,Adam_Bede
Ben,DN,5,Adam_Bede
Ben Cranage,N,2,Adam_Bede
Ben Cranage,C,0,Adam_Bede
Ben Cranage,I,0,Adam_Bede
Ben Cranage,A,2,Adam_Bede
Ben Cranage,DC,3,Adam_Bede
Ben Cranage,DN,0,Adam_Bede
Bessy,N,21,Adam_Bede
Bessy,C,2,Adam_Bede
Bessy,I,7,Adam_Bede
Bessy,A,17,Adam_Bede
Bessy,DC,17,Adam_Bede
Bessy,DN,4,Adam_Bede
Betty,N,2,Adam_Bede
Betty,C,0,Adam_Bede
Betty,I,0,Adam_Bede
Betty,A,2,Adam_Bede
Betty,DC,1,Adam_Bede
Betty,DN,0,Adam_Bede
Bill,N,11,Adam_Bede
Bill,C,0,Adam_Bede
Bill,I,2,Adam_Bede
Bill,A,5,Adam_Bede
Bill,DC,5,Adam_Bede
Bill,DN,1,Adam_Bede
Bony,N,6,Adam_Bede
Bony,C,0,Adam_Bede
Bony,I,0,Adam_Bede
Bony,A,2,Adam_Bede
Bony,DC,6,Adam_Bede
Bony,DN,0,Adam_Bede
Captain Donnithorne,N,32,Adam_Bede
Captain Donnithorne,C,23,Adam_Bede
Captain Donnithorne,I,41,Adam_Bede
Captain Donnithorne,A,49,Adam_Bede
Captain Donnithorne,DC,22,Adam_Bede
Captain Donnithorne,DN,3,Adam_Bede
