character,tag,count,novel
Abdulla,N,50,Almayer's_Folly
Abdulla,C,11,Almayer's_Folly
Abdulla,I,10,Almayer's_Folly
Abdulla,A,22,Almayer's_Folly
Abdulla,DC,8,Almayer's_Folly
Abdulla,DN,7,Almayer's_Folly
Ada,N,6,Almayer's_Folly
Ada,C,0,Almayer's_Folly
Ada,I,0,Almayer's_Folly
Ada,A,2,Almayer's_Folly
Ada,DC,3,Almayer's_Folly
Ada,DN,0,Almayer's_Folly
Ali,N,50,Almayer's_Folly
Ali,C,25,Almayer's_Folly
Ali,I,40,Almayer's_Folly
Ali,A,40,Almayer's_Folly
Ali,DC,2,Almayer's_Folly
Ali,DN,3,Almayer's_Folly
Almayer,N,449,Almayer's_Folly
Almayer,C,171,Almayer's_Folly
Almayer,I,107,Almayer's_Folly
Almayer,A,188,Almayer's_Folly
Almayer,DC,43,Almayer's_Folly
Almayer,DN,12,Almayer's_Folly
Babalatchi,N,193,Almayer's_Folly
Babalatchi,C,101,Almayer's_Folly
Babalatchi,I,75,Almayer's_Folly
Babalatchi,A,171,Almayer's_Folly
Babalatchi,DC,43,Almayer's_Folly
Babalatchi,DN,11,Almayer's_Folly
Bulangi,N,29,Almayer's_Folly
Bulangi,C,0,Almayer's_Folly
Bulangi,I,0,Almayer's_Folly
Bulangi,A,4,Almayer's_Folly
Bulangi,DC,3,Almayer's_Folly
Bulangi,DN,4,Almayer's_Folly
Dain,N,222,Almayer's_Folly
Dain,C,69,Almayer's_Folly
Dain,I,117,Almayer's_Folly
Dain,A,227,Almayer's_Folly
Dain,DC,90,Almayer's_Folly
Dain,DN,40,Almayer's_Folly
Ford,N,29,Almayer's_Folly
Ford,C,19,Almayer's_Folly
Ford,I,14,Almayer's_Folly
Ford,A,33,Almayer's_Folly
Ford,DC,2,Almayer's_Folly
Ford,DN,1,Almayer's_Folly
Hudig,N,10,Almayer's_Folly
Hudig,C,0,Almayer's_Folly
Hudig,I,0,Almayer's_Folly
Hudig,A,3,Almayer's_Folly
Hudig,DC,1,Almayer's_Folly
Hudig,DN,0,Almayer's_Folly
Jim - Eng,N,11,Almayer's_Folly
Jim - Eng,C,4,Almayer's_Folly
Jim - Eng,I,0,Almayer's_Folly
Jim - Eng,A,6,Almayer's_Folly
Jim - Eng,DC,1,Almayer's_Folly
Jim - Eng,DN,0,Almayer's_Folly
Jim- Eng,N,2,Almayer's_Folly
Jim- Eng,C,0,Almayer's_Folly
Jim- Eng,I,0,Almayer's_Folly
Jim- Eng,A,0,Almayer's_Folly
Jim- Eng,DC,0,Almayer's_Folly
Jim- Eng,DN,0,Almayer's_Folly
Joseph Conrad,N,2,Almayer's_Folly
Joseph Conrad,C,1,Almayer's_Folly
Joseph Conrad,I,8,Almayer's_Folly
Joseph Conrad,A,10,Almayer's_Folly
Joseph Conrad,DC,0,Almayer's_Folly
Joseph Conrad,DN,1,Almayer's_Folly
Kaspar,N,7,Almayer's_Folly
Kaspar,C,0,Almayer's_Folly
Kaspar,I,1,Almayer's_Folly
Kaspar,A,0,Almayer's_Folly
Kaspar,DC,5,Almayer's_Folly
Kaspar,DN,0,Almayer's_Folly
Lakamba,N,89,Almayer's_Folly
Lakamba,C,44,Almayer's_Folly
Lakamba,I,10,Almayer's_Folly
Lakamba,A,29,Almayer's_Folly
Lakamba,DC,11,Almayer's_Folly
Lakamba,DN,3,Almayer's_Folly
Lingard,N,37,Almayer's_Folly
Lingard,C,1,Almayer's_Folly
Lingard,I,3,Almayer's_Folly
Lingard,A,12,Almayer's_Folly
Lingard,DC,1,Almayer's_Folly
Lingard,DN,2,Almayer's_Folly
Mahmat,N,29,Almayer's_Folly
Mahmat,C,18,Almayer's_Folly
Mahmat,I,7,Almayer's_Folly
Mahmat,A,38,Almayer's_Folly
Mahmat,DC,6,Almayer's_Folly
Mahmat,DN,3,Almayer's_Folly
Mr. Almayer,N,5,Almayer's_Folly
Mr. Almayer,C,0,Almayer's_Folly
Mr. Almayer,I,0,Almayer's_Folly
Mr. Almayer,A,4,Almayer's_Folly
Mr. Almayer,DC,0,Almayer's_Folly
Mr. Almayer,DN,1,Almayer's_Folly
Mr. Vinck,N,6,Almayer's_Folly
Mr. Vinck,C,2,Almayer's_Folly
Mr. Vinck,I,0,Almayer's_Folly
Mr. Vinck,A,1,Almayer's_Folly
Mr. Vinck,DC,0,Almayer's_Folly
Mr. Vinck,DN,0,Almayer's_Folly
Mrs. Vinck,N,8,Almayer's_Folly
Mrs. Vinck,C,0,Almayer's_Folly
Mrs. Vinck,I,0,Almayer's_Folly
Mrs. Vinck,A,0,Almayer's_Folly
Mrs. Vinck,DC,0,Almayer's_Folly
Mrs. Vinck,DN,0,Almayer's_Folly
Nina,N,220,Almayer's_Folly
Nina,C,65,Almayer's_Folly
Nina,I,98,Almayer's_Folly
Nina,A,127,Almayer's_Folly
Nina,DC,67,Almayer's_Folly
Nina,DN,13,Almayer's_Folly
Poor Almayer,N,1,Almayer's_Folly
Poor Almayer,C,0,Almayer's_Folly
Poor Almayer,I,1,Almayer's_Folly
Poor Almayer,A,5,Almayer's_Folly
Poor Almayer,DC,0,Almayer's_Folly
Poor Almayer,DN,0,Almayer's_Folly
Reshid,N,17,Almayer's_Folly
Reshid,C,2,Almayer's_Folly
Reshid,I,3,Almayer's_Folly
Reshid,A,5,Almayer's_Folly
Reshid,DC,4,Almayer's_Folly
Reshid,DN,4,Almayer's_Folly
Sambir,N,17,Almayer's_Folly
Sambir,C,1,Almayer's_Folly
Sambir,I,0,Almayer's_Folly
Sambir,A,0,Almayer's_Folly
Sambir,DC,0,Almayer's_Folly
Sambir,DN,0,Almayer's_Folly
Taminah,N,44,Almayer's_Folly
Taminah,C,17,Almayer's_Folly
Taminah,I,21,Almayer's_Folly
Taminah,A,26,Almayer's_Folly
Taminah,DC,7,Almayer's_Folly
Taminah,DN,1,Almayer's_Folly
Tom Lingard,N,3,Almayer's_Folly
Tom Lingard,C,3,Almayer's_Folly
Tom Lingard,I,4,Almayer's_Folly
Tom Lingard,A,3,Almayer's_Folly
Tom Lingard,DC,0,Almayer's_Folly
Tom Lingard,DN,1,Almayer's_Folly
Tuan,N,6,Almayer's_Folly
Tuan,C,0,Almayer's_Folly
Tuan,I,0,Almayer's_Folly
Tuan,A,3,Almayer's_Folly
Tuan,DC,3,Almayer's_Folly
Tuan,DN,1,Almayer's_Folly
Tuan Almayer,N,9,Almayer's_Folly
Tuan Almayer,C,0,Almayer's_Folly
Tuan Almayer,I,4,Almayer's_Folly
Tuan Almayer,A,0,Almayer's_Folly
Tuan Almayer,DC,11,Almayer's_Folly
Tuan Almayer,DN,0,Almayer's_Folly
the Arabs,N,5,Almayer's_Folly
the Arabs,C,0,Almayer's_Folly
the Arabs,I,0,Almayer's_Folly
the Arabs,A,1,Almayer's_Folly
the Arabs,DC,2,Almayer's_Folly
the Arabs,DN,2,Almayer's_Folly
the Dutch,N,12,Almayer's_Folly
the Dutch,C,0,Almayer's_Folly
the Dutch,I,1,Almayer's_Folly
the Dutch,A,6,Almayer's_Folly
the Dutch,DC,9,Almayer's_Folly
the Dutch,DN,1,Almayer's_Folly
the Orang Blanda,N,8,Almayer's_Folly
the Orang Blanda,C,0,Almayer's_Folly
the Orang Blanda,I,0,Almayer's_Folly
