character,tag,count,novel
Abraham Sage,N,5,Armadale
Abraham Sage,C,7,Armadale
Abraham Sage,I,0,Armadale
Abraham Sage,A,4,Armadale
Abraham Sage,DC,3,Armadale
Abraham Sage,DN,0,Armadale
Allan,N,1533,Armadale
Allan,C,576,Armadale
Allan,I,392,Armadale
Allan,A,632,Armadale
Allan,DC,396,Armadale
Allan,DN,54,Armadale
Allan Armadales,N,9,Armadale
Allan Armadales,C,0,Armadale
Allan Armadales,I,0,Armadale
Allan Armadales,A,0,Armadale
Allan Armadales,DC,4,Armadale
Allan Armadales,DN,0,Armadale
Arthur Blanchard,N,9,Armadale
Arthur Blanchard,C,0,Armadale
Arthur Blanchard,I,3,Armadale
Arthur Blanchard,A,7,Armadale
Arthur Blanchard,DC,0,Armadale
Arthur Blanchard,DN,4,Armadale
Augustus,N,10,Armadale
Augustus,C,1,Armadale
Augustus,I,2,Armadale
Augustus,A,1,Armadale
Augustus,DC,8,Armadale
Augustus,DN,0,Armadale
Benjamin,N,12,Armadale
Benjamin,C,2,Armadale
Benjamin,I,0,Armadale
Benjamin,A,0,Armadale
Benjamin,DC,0,Armadale
Benjamin,DN,0,Armadale
Blackstone,N,12,Armadale
Blackstone,C,0,Armadale
Blackstone,I,1,Armadale
Blackstone,A,6,Armadale
Blackstone,DC,8,Armadale
Blackstone,DN,0,Armadale
Brown,N,4,Armadale
Brown,C,2,Armadale
Brown,I,7,Armadale
Brown,A,8,Armadale
Brown,DC,1,Armadale
Brown,DN,0,Armadale
Captain Manuel,N,11,Armadale
Captain Manuel,C,0,Armadale
Captain Manuel,I,2,Armadale
Captain Manuel,A,5,Armadale
Captain Manuel,DC,1,Armadale
Captain Manuel,DN,1,Armadale
DAD,N,1,Armadale
DAD,C,0,Armadale
DAD,I,6,Armadale
DAD,A,5,Armadale
DAD,DC,0,Armadale
DAD,DN,3,Armadale
DEAR MADAM,N,1,Armadale
DEAR MADAM,C,0,Armadale
DEAR MADAM,I,2,Armadale
DEAR MADAM,A,6,Armadale
DEAR MADAM,DC,25,Armadale
DEAR MADAM,DN,0,Armadale
DEAR MID --,N,1,Armadale
DEAR MID --,C,0,Armadale
DEAR MID --,I,0,Armadale
DEAR MID --,A,0,Armadale
DEAR MID --,DC,0,Armadale
DEAR MID --,DN,2,Armadale
DECIMUS BROCK,N,8,Armadale
DECIMUS BROCK,C,0,Armadale
DECIMUS BROCK,I,0,Armadale
DECIMUS BROCK,A,2,Armadale
DECIMUS BROCK,DC,5,Armadale
DECIMUS BROCK,DN,0,Armadale
Darch,N,5,Armadale
Darch,C,0,Armadale
Darch,I,3,Armadale
Darch,A,7,Armadale
Darch,DC,6,Armadale
Darch,DN,3,Armadale
Death,N,5,Armadale
Death,C,0,Armadale
Death,I,0,Armadale
Death,A,3,Armadale
Death,DC,2,Armadale
Death,DN,0,Armadale
Doctor Downward,N,5,Armadale
Doctor Downward,C,0,Armadale
Doctor Downward,I,0,Armadale
Doctor Downward,A,0,Armadale
Doctor Downward,DC,2,Armadale
