character,tag,count,novel
Andrew Floyd,N,3,Aurora_Floyd1
Andrew Floyd,C,1,Aurora_Floyd1
Andrew Floyd,I,3,Aurora_Floyd1
Andrew Floyd,A,1,Aurora_Floyd1
Andrew Floyd,DC,0,Aurora_Floyd1
Andrew Floyd,DN,1,Aurora_Floyd1
Archibald Floyd,N,87,Aurora_Floyd1
Archibald Floyd,C,10,Aurora_Floyd1
Archibald Floyd,I,29,Aurora_Floyd1
Archibald Floyd,A,41,Aurora_Floyd1
Archibald Floyd,DC,6,Aurora_Floyd1
Archibald Floyd,DN,6,Aurora_Floyd1
Archibald Martin Floyd,N,18,Aurora_Floyd1
Archibald Martin Floyd,C,2,Aurora_Floyd1
Archibald Martin Floyd,I,10,Aurora_Floyd1
Archibald Martin Floyd,A,17,Aurora_Floyd1
Archibald Martin Floyd,DC,0,Aurora_Floyd1
Archibald Martin Floyd,DN,5,Aurora_Floyd1
Aurora,N,431,Aurora_Floyd1
Aurora,C,115,Aurora_Floyd1
Aurora,I,152,Aurora_Floyd1
Aurora,A,233,Aurora_Floyd1
Aurora,DC,91,Aurora_Floyd1
Aurora,DN,76,Aurora_Floyd1
Bow - wow,N,6,Aurora_Floyd1
Bow - wow,C,0,Aurora_Floyd1
Bow - wow,I,0,Aurora_Floyd1
Bow - wow,A,0,Aurora_Floyd1
Bow - wow,DC,1,Aurora_Floyd1
Bow - wow,DN,2,Aurora_Floyd1
Constance Trevyllian,N,10,Aurora_Floyd1
Constance Trevyllian,C,0,Aurora_Floyd1
Constance Trevyllian,I,1,Aurora_Floyd1
Constance Trevyllian,A,3,Aurora_Floyd1
Constance Trevyllian,DC,8,Aurora_Floyd1
Constance Trevyllian,DN,0,Aurora_Floyd1
Eliza Floyd,N,18,Aurora_Floyd1
Eliza Floyd,C,0,Aurora_Floyd1
Eliza Floyd,I,5,Aurora_Floyd1
Eliza Floyd,A,18,Aurora_Floyd1
Eliza Floyd,DC,1,Aurora_Floyd1
Eliza Floyd,DN,5,Aurora_Floyd1
Francis Lewis Maldon,N,4,Aurora_Floyd1
Francis Lewis Maldon,C,0,Aurora_Floyd1
Francis Lewis Maldon,I,0,Aurora_Floyd1
Francis Lewis Maldon,A,1,Aurora_Floyd1
Francis Lewis Maldon,DC,0,Aurora_Floyd1
Francis Lewis Maldon,DN,1,Aurora_Floyd1
God,N,8,Aurora_Floyd1
God,C,0,Aurora_Floyd1
God,I,0,Aurora_Floyd1
God,A,2,Aurora_Floyd1
God,DC,2,Aurora_Floyd1
God,DN,0,Aurora_Floyd1
Heaven,N,16,Aurora_Floyd1
Heaven,C,0,Aurora_Floyd1
Heaven,I,9,Aurora_Floyd1
Heaven,A,1,Aurora_Floyd1
Heaven,DC,3,Aurora_Floyd1
Heaven,DN,0,Aurora_Floyd1
John,N,5,Aurora_Floyd1
John,C,0,Aurora_Floyd1
John,I,0,Aurora_Floyd1
John,A,0,Aurora_Floyd1
John,DC,0,Aurora_Floyd1
John,DN,0,Aurora_Floyd1
John Mellish,N,126,Aurora_Floyd1
John Mellish,C,53,Aurora_Floyd1
John Mellish,I,76,Aurora_Floyd1
John Mellish,A,121,Aurora_Floyd1
John Mellish,DC,18,Aurora_Floyd1
John Mellish,DN,31,Aurora_Floyd1
Lady Bulstrode,N,9,Aurora_Floyd1
Lady Bulstrode,C,6,Aurora_Floyd1
Lady Bulstrode,I,1,Aurora_Floyd1
Lady Bulstrode,A,2,Aurora_Floyd1
Lady Bulstrode,DC,1,Aurora_Floyd1
Lady Bulstrode,DN,0,Aurora_Floyd1
Langley,N,2,Aurora_Floyd1
Langley,C,0,Aurora_Floyd1
Langley,I,1,Aurora_Floyd1
Langley,A,0,Aurora_Floyd1
Langley,DC,3,Aurora_Floyd1
Langley,DN,0,Aurora_Floyd1
Lucy,N,181,Aurora_Floyd1
Lucy,C,26,Aurora_Floyd1
Lucy,I,64,Aurora_Floyd1
Lucy,A,67,Aurora_Floyd1
Lucy,DC,22,Aurora_Floyd1
Lucy,DN,21,Aurora_Floyd1
Maister Floyd,N,3,Aurora_Floyd1
Maister Floyd,C,0,Aurora_Floyd1
Maister Floyd,I,0,Aurora_Floyd1
Maister Floyd,A,1,Aurora_Floyd1
Maister Floyd,DC,0,Aurora_Floyd1
Maister Floyd,DN,0,Aurora_Floyd1
Miss Percival,N,13,Aurora_Floyd1
Miss Percival,C,1,Aurora_Floyd1
Miss Percival,I,12,Aurora_Floyd1
Miss Percival,A,16,Aurora_Floyd1
Miss Percival,DC,0,Aurora_Floyd1
Miss Percival,DN,9,Aurora_Floyd1
Miss Trevyllian,N,5,Aurora_Floyd1
Miss Trevyllian,C,0,Aurora_Floyd1
Miss Trevyllian,I,0,Aurora_Floyd1
Miss Trevyllian,A,1,Aurora_Floyd1
Miss Trevyllian,DC,3,Aurora_Floyd1
Miss Trevyllian,DN,1,Aurora_Floyd1
Mr. Maldon,N,5,Aurora_Floyd1
Mr. Maldon,C,0,Aurora_Floyd1
Mr. Maldon,I,1,Aurora_Floyd1
Mr. Maldon,A,2,Aurora_Floyd1
Mr. Maldon,DC,0,Aurora_Floyd1
Mr. Maldon,DN,0,Aurora_Floyd1
Mr. Matthew Harrison,N,9,Aurora_Floyd1
Mr. Matthew Harrison,C,2,Aurora_Floyd1
Mr. Matthew Harrison,I,0,Aurora_Floyd1
Mr. Matthew Harrison,A,1,Aurora_Floyd1
Mr. Matthew Harrison,DC,2,Aurora_Floyd1
Mr. Matthew Harrison,DN,1,Aurora_Floyd1
Mr. Pastern,N,3,Aurora_Floyd1
Mr. Pastern,C,1,Aurora_Floyd1
Mr. Pastern,I,4,Aurora_Floyd1
Mr. Pastern,A,0,Aurora_Floyd1
Mr. Pastern,DC,0,Aurora_Floyd1
Mr. Pastern,DN,0,Aurora_Floyd1
Mrs. Alexander,N,44,Aurora_Floyd1
Mrs. Alexander,C,5,Aurora_Floyd1
Mrs. Alexander,I,8,Aurora_Floyd1
Mrs. Alexander,A,29,Aurora_Floyd1
Mrs. Alexander,DC,3,Aurora_Floyd1
Mrs. Alexander,DN,11,Aurora_Floyd1
Mrs. Mellish,N,50,Aurora_Floyd1
Mrs. Mellish,C,8,Aurora_Floyd1
Mrs. Mellish,I,17,Aurora_Floyd1
Mrs. Mellish,A,30,Aurora_Floyd1
Mrs. Mellish,DC,4,Aurora_Floyd1
Mrs. Mellish,DN,7,Aurora_Floyd1
Mrs. Powell,N,22,Aurora_Floyd1
Mrs. Powell,C,4,Aurora_Floyd1
Mrs. Powell,I,8,Aurora_Floyd1
Mrs. Powell,A,11,Aurora_Floyd1
Mrs. Powell,DC,3,Aurora_Floyd1
Mrs. Powell,DN,1,Aurora_Floyd1
Othello,N,3,Aurora_Floyd1
Othello,C,0,Aurora_Floyd1
Othello,I,0,Aurora_Floyd1
Othello,A,2,Aurora_Floyd1
Othello,DC,0,Aurora_Floyd1
Othello,DN,0,Aurora_Floyd1
Prodder,N,9,Aurora_Floyd1
Prodder,C,1,Aurora_Floyd1
Prodder,I,0,Aurora_Floyd1
Prodder,A,2,Aurora_Floyd1
Prodder,DC,0,Aurora_Floyd1
Prodder,DN,1,Aurora_Floyd1
Reader,N,1,Aurora_Floyd1
Reader,C,0,Aurora_Floyd1
Reader,I,1,Aurora_Floyd1
Reader,A,1,Aurora_Floyd1
Reader,DC,0,Aurora_Floyd1
Reader,DN,0,Aurora_Floyd1
Steeve Hargraves,N,16,Aurora_Floyd1
Steeve Hargraves,C,5,Aurora_Floyd1
Steeve Hargraves,I,6,Aurora_Floyd1
Steeve Hargraves,A,11,Aurora_Floyd1
Steeve Hargraves,DC,7,Aurora_Floyd1
Steeve Hargraves,DN,3,Aurora_Floyd1
Stephen Hargraves,N,4,Aurora_Floyd1
Stephen Hargraves,C,0,Aurora_Floyd1
Stephen Hargraves,I,1,Aurora_Floyd1
Stephen Hargraves,A,4,Aurora_Floyd1
Stephen Hargraves,DC,5,Aurora_Floyd1
Stephen Hargraves,DN,0,Aurora_Floyd1
Talbot,N,247,Aurora_Floyd1
Talbot,C,104,Aurora_Floyd1
Talbot,I,172,Aurora_Floyd1
Talbot,A,245,Aurora_Floyd1
Talbot,DC,28,Aurora_Floyd1
Talbot,DN,52,Aurora_Floyd1
Walter Raleigh,N,5,Aurora_Floyd1
Walter Raleigh,C,0,Aurora_Floyd1
Walter Raleigh,I,0,Aurora_Floyd1
Walter Raleigh,A,0,Aurora_Floyd1
Walter Raleigh,DC,1,Aurora_Floyd1
Walter Raleigh,DN,0,Aurora_Floyd1
the Demoiselles Lespard,N,6,Aurora_Floyd1
the Demoiselles Lespard,C,0,Aurora_Floyd1
the Demoiselles Lespard,I,1,Aurora_Floyd1
the Demoiselles Lespard,A,0,Aurora_Floyd1
the Demoiselles Lespard,DC,2,Aurora_Floyd1
the Demoiselles Lespard,DN,0,Aurora_Floyd1
