character,tag,count,novel
Achilles,N,2,Barchester_Towers
Achilles,C,0,Barchester_Towers
Achilles,I,1,Barchester_Towers
Achilles,A,1,Barchester_Towers
Achilles,DC,0,Barchester_Towers
Achilles,DN,0,Barchester_Towers
Arabins,N,3,Barchester_Towers
Arabins,C,0,Barchester_Towers
Arabins,I,0,Barchester_Towers
Arabins,A,0,Barchester_Towers
Arabins,DC,0,Barchester_Towers
Arabins,DN,0,Barchester_Towers
Archdeacon,N,21,Barchester_Towers
Archdeacon,C,0,Barchester_Towers
Archdeacon,I,3,Barchester_Towers
Archdeacon,A,5,Barchester_Towers
Archdeacon,DC,12,Barchester_Towers
Archdeacon,DN,3,Barchester_Towers
Augusta,N,4,Barchester_Towers
Augusta,C,6,Barchester_Towers
Augusta,I,7,Barchester_Towers
Augusta,A,4,Barchester_Towers
Augusta,DC,1,Barchester_Towers
Augusta,DN,0,Barchester_Towers
Barchester,N,5,Barchester_Towers
Barchester,C,0,Barchester_Towers
Barchester,I,0,Barchester_Towers
Barchester,A,1,Barchester_Towers
Barchester,DC,0,Barchester_Towers
Barchester,DN,0,Barchester_Towers
Bertie,N,177,Barchester_Towers
Bertie,C,111,Barchester_Towers
Bertie,I,85,Barchester_Towers
Bertie,A,196,Barchester_Towers
Bertie,DC,57,Barchester_Towers
Bertie,DN,35,Barchester_Towers
Betsey,N,6,Barchester_Towers
Betsey,C,0,Barchester_Towers
Betsey,I,0,Barchester_Towers
Betsey,A,0,Barchester_Towers
Betsey,DC,5,Barchester_Towers
Betsey,DN,0,Barchester_Towers
Bishop,N,27,Barchester_Towers
Bishop,C,0,Barchester_Towers
Bishop,I,5,Barchester_Towers
Bishop,A,9,Barchester_Towers
Bishop,DC,10,Barchester_Towers
Bishop,DN,5,Barchester_Towers
Charlotte,N,139,Barchester_Towers
Charlotte,C,95,Barchester_Towers
Charlotte,I,70,Barchester_Towers
Charlotte,A,81,Barchester_Towers
Charlotte,DC,28,Barchester_Towers
Charlotte,DN,20,Barchester_Towers
Christ,N,3,Barchester_Towers
Christ,C,0,Barchester_Towers
Christ,I,0,Barchester_Towers
Christ,A,1,Barchester_Towers
Christ,DC,3,Barchester_Towers
Christ,DN,0,Barchester_Towers
Dido,N,5,Barchester_Towers
Dido,C,0,Barchester_Towers
Dido,I,2,Barchester_Towers
Dido,A,2,Barchester_Towers
Dido,DC,1,Barchester_Towers
Dido,DN,2,Barchester_Towers
Dominie Sampson,N,2,Barchester_Towers
Dominie Sampson,C,0,Barchester_Towers
Dominie Sampson,I,1,Barchester_Towers
Dominie Sampson,A,1,Barchester_Towers
Dominie Sampson,DC,1,Barchester_Towers
Dominie Sampson,DN,0,Barchester_Towers
Dr. Arabin,N,1,Barchester_Towers
Dr. Arabin,C,0,Barchester_Towers
Dr. Arabin,I,2,Barchester_Towers
Dr. Arabin,A,1,Barchester_Towers
Dr. Arabin,DC,0,Barchester_Towers
Dr. Arabin,DN,1,Barchester_Towers
Dr. Fillgrave,N,5,Barchester_Towers
Dr. Fillgrave,C,3,Barchester_Towers
Dr. Fillgrave,I,2,Barchester_Towers
Dr. Fillgrave,A,3,Barchester_Towers
Dr. Fillgrave,DC,0,Barchester_Towers
Dr. Fillgrave,DN,1,Barchester_Towers
Dr. Grantly,N,161,Barchester_Towers
Dr. Grantly,C,38,Barchester_Towers
Dr. Grantly,I,80,Barchester_Towers
Dr. Grantly,A,75,Barchester_Towers
Dr. Grantly,DC,26,Barchester_Towers
Dr. Grantly,DN,23,Barchester_Towers
Dr. Gwynne,N,54,Barchester_Towers
Dr. Gwynne,C,2,Barchester_Towers
Dr. Gwynne,I,21,Barchester_Towers
Dr. Gwynne,A,22,Barchester_Towers
Dr. Gwynne,DC,8,Barchester_Towers
Dr. Gwynne,DN,9,Barchester_Towers
Dr. Proudie,N,62,Barchester_Towers
Dr. Proudie,C,8,Barchester_Towers
Dr. Proudie,I,26,Barchester_Towers
Dr. Proudie,A,49,Barchester_Towers
Dr. Proudie,DC,0,Barchester_Towers
