character,tag,count,novel
Annabella,N,23,Belinda
Annabella,C,0,Belinda
Annabella,I,2,Belinda
Annabella,A,6,Belinda
Annabella,DC,7,Belinda
Annabella,DN,0,Belinda
Belinda,N,1312,Belinda
Belinda,C,598,Belinda
Belinda,I,680,Belinda
Belinda,A,755,Belinda
Belinda,DC,601,Belinda
Belinda,DN,114,Belinda
Bobby,N,4,Belinda
Bobby,C,0,Belinda
Bobby,I,0,Belinda
Bobby,A,0,Belinda
Bobby,DC,4,Belinda
Bobby,DN,0,Belinda
Captain Sunderland,N,11,Belinda
Captain Sunderland,C,0,Belinda
Captain Sunderland,I,2,Belinda
Captain Sunderland,A,11,Belinda
Captain Sunderland,DC,17,Belinda
Captain Sunderland,DN,0,Belinda
Champfort,N,64,Belinda
Champfort,C,6,Belinda
Champfort,I,10,Belinda
Champfort,A,17,Belinda
Champfort,DC,28,Belinda
Champfort,DN,4,Belinda
Charles,N,18,Belinda
Charles,C,18,Belinda
Charles,I,19,Belinda
Charles,A,7,Belinda
Charles,DC,7,Belinda
Charles,DN,1,Belinda
Clarence,N,3,Belinda
Clarence,C,4,Belinda
Clarence,I,1,Belinda
Clarence,A,0,Belinda
Clarence,DC,0,Belinda
Clarence,DN,0,Belinda
Clarence Hervey,N,48,Belinda
Clarence Hervey,C,1,Belinda
Clarence Hervey,I,12,Belinda
Clarence Hervey,A,12,Belinda
Clarence Hervey,DC,40,Belinda
Clarence Hervey,DN,1,Belinda
Clary,N,26,Belinda
Clary,C,1,Belinda
Clary,I,5,Belinda
Clary,A,9,Belinda
Clary,DC,30,Belinda
Clary,DN,0,Belinda
Cupid,N,11,Belinda
Cupid,C,0,Belinda
Cupid,I,0,Belinda
Cupid,A,1,Belinda
Cupid,DC,10,Belinda
Cupid,DN,0,Belinda
Damme,N,10,Belinda
Damme,C,0,Belinda
Damme,I,13,Belinda
Damme,A,7,Belinda
Damme,DC,17,Belinda
Damme,DN,0,Belinda
Doctor X----,N,7,Belinda
Doctor X----,C,2,Belinda
Doctor X----,I,1,Belinda
Doctor X----,A,4,Belinda
Doctor X----,DC,5,Belinda
Doctor X----,DN,0,Belinda
Dr. X----,N,115,Belinda
Dr. X----,C,56,Belinda
Dr. X----,I,34,Belinda
Dr. X----,A,40,Belinda
Dr. X----,DC,43,Belinda
Dr. X----,DN,4,Belinda
Edward,N,5,Belinda
Edward,C,1,Belinda
Edward,I,0,Belinda
Edward,A,1,Belinda
Edward,DC,3,Belinda
Edward,DN,1,Belinda
Fawcett,N,1,Belinda
Fawcett,C,0,Belinda
Fawcett,I,0,Belinda
Fawcett,A,2,Belinda
Fawcett,DC,1,Belinda
Fawcett,DN,0,Belinda
God,N,12,Belinda
God,C,0,Belinda
God,I,0,Belinda
God,A,2,Belinda
God,DC,6,Belinda
God,DN,0,Belinda
Harriot,N,82,Belinda
Harriot,C,0,Belinda
Harriot,I,16,Belinda
Harriot,A,31,Belinda
Harriot,DC,100,Belinda
Harriot,DN,3,Belinda
Heaven,N,5,Belinda
Heaven,C,0,Belinda
Heaven,I,0,Belinda
Heaven,A,0,Belinda
Heaven,DC,4,Belinda
Heaven,DN,0,Belinda
Helena,N,156,Belinda
Helena,C,55,Belinda
Helena,I,82,Belinda
Helena,A,74,Belinda
Helena,DC,107,Belinda
Helena,DN,13,Belinda
James,N,8,Belinda
James,C,0,Belinda
James,I,0,Belinda
James,A,5,Belinda
James,DC,6,Belinda
James,DN,0,Belinda
Jenny Mason,N,1,Belinda
Jenny Mason,C,0,Belinda
Jenny Mason,I,2,Belinda
Jenny Mason,A,2,Belinda
Jenny Mason,DC,0,Belinda
Jenny Mason,DN,2,Belinda
Joddrell,N,3,Belinda
Joddrell,C,0,Belinda
Joddrell,I,0,Belinda
Joddrell,A,3,Belinda
Joddrell,DC,2,Belinda
Joddrell,DN,1,Belinda
Jove,N,5,Belinda
Jove,C,0,Belinda
Jove,I,0,Belinda
Jove,A,0,Belinda
Jove,DC,5,Belinda
Jove,DN,0,Belinda
Juba,N,65,Belinda
Juba,C,4,Belinda
Juba,I,13,Belinda
Juba,A,30,Belinda
Juba,DC,24,Belinda
Juba,DN,4,Belinda
Lady Almeria,N,4,Belinda
Lady Almeria,C,0,Belinda
Lady Almeria,I,0,Belinda
Lady Almeria,A,3,Belinda
Lady Almeria,DC,4,Belinda
Lady Almeria,DN,0,Belinda
Lady Anne,N,192,Belinda
Lady Anne,C,107,Belinda
Lady Anne,I,57,Belinda
Lady Anne,A,57,Belinda
Lady Anne,DC,98,Belinda
Lady Anne,DN,7,Belinda
Lady Boucher,N,33,Belinda
Lady Boucher,C,17,Belinda
Lady Boucher,I,10,Belinda
Lady Boucher,A,14,Belinda
Lady Boucher,DC,19,Belinda
Lady Boucher,DN,2,Belinda
Lady Delacour,N,905,Belinda
Lady Delacour,C,810,Belinda
Lady Delacour,I,753,Belinda
Lady Delacour,A,887,Belinda
Lady Delacour,DC,288,Belinda
Lady Delacour,DN,79,Belinda
Lady Singleton,N,13,Belinda
Lady Singleton,C,1,Belinda
Lady Singleton,I,0,Belinda
Lady Singleton,A,1,Belinda
Lady Singleton,DC,5,Belinda
Lady Singleton,DN,0,Belinda
Lawless,N,33,Belinda
Lawless,C,0,Belinda
Lawless,I,5,Belinda
Lawless,A,11,Belinda
Lawless,DC,38,Belinda
Lawless,DN,1,Belinda
Lord,N,1,Belinda
Lord,C,0,Belinda
Lord,I,0,Belinda
Lord,A,2,Belinda
Lord,DC,4,Belinda
Lord,DN,0,Belinda
Lord Delacour,N,193,Belinda
Lord Delacour,C,51,Belinda
Lord Delacour,I,45,Belinda
Lord Delacour,A,61,Belinda
Lord Delacour,DC,80,Belinda
Lord Delacour,DN,3,Belinda
Lord Studley,N,8,Belinda
Lord Studley,C,0,Belinda
Lord Studley,I,0,Belinda
Lord Studley,A,5,Belinda
Lord Studley,DC,3,Belinda
Lord Studley,DN,0,Belinda
Lucy,N,8,Belinda
Lucy,C,0,Belinda
Lucy,I,2,Belinda
Lucy,A,0,Belinda
Lucy,DC,4,Belinda
Lucy,DN,0,Belinda
M. de St. Pierre,N,6,Belinda
M. de St. Pierre,C,0,Belinda
M. de St. Pierre,I,0,Belinda
M. de St. Pierre,A,1,Belinda
M. de St. Pierre,DC,5,Belinda
M. de St. Pierre,DN,0,Belinda
Mad,N,9,Belinda
Mad,C,0,Belinda
Mad,I,0,Belinda
Mad,A,0,Belinda
Mad,DC,6,Belinda
Mad,DN,0,Belinda
Mamma,N,2,Belinda
