character,tag,count,novel
Annémie,N,31,Bébée
Annémie,C,9,Bébée
Annémie,I,15,Bébée
Annémie,A,28,Bébée
Annémie,DC,12,Bébée
Annémie,DN,3,Bébée
Antoine,N,46,Bébée
Antoine,C,7,Bébée
Antoine,I,8,Bébée
Antoine,A,27,Bébée
Antoine,DC,18,Bébée
Antoine,DN,8,Bébée
Bac,N,7,Bébée
Bac,C,0,Bébée
Bac,I,0,Bébée
Bac,A,1,Bébée
Bac,DC,6,Bébée
Bac,DN,0,Bébée
Bébée,N,353,Bébée
Bébée,C,276,Bébée
Bébée,I,463,Bébée
Bébée,A,645,Bébée
Bébée,DC,60,Bébée
Bébée,DN,155,Bébée
Christ,N,5,Bébée
Christ,C,0,Bébée
Christ,I,0,Bébée
Christ,A,1,Bébée
Christ,DC,2,Bébée
Christ,DN,0,Bébée
Father Francis,N,20,Bébée
Father Francis,C,4,Bébée
Father Francis,I,5,Bébée
Father Francis,A,10,Bébée
Father Francis,DC,4,Bébée
Father Francis,DN,3,Bébée
Flamen,N,20,Bébée
Flamen,C,39,Bébée
Flamen,I,23,Bébée
Flamen,A,35,Bébée
Flamen,DC,16,Bébée
Flamen,DN,3,Bébée
Franz,N,5,Bébée
Franz,C,3,Bébée
Franz,I,2,Bébée
Franz,A,0,Bébée
Franz,DC,6,Bébée
Franz,DN,0,Bébée
God,N,40,Bébée
God,C,0,Bébée
God,I,7,Bébée
God,A,11,Bébée
God,DC,14,Bébée
God,DN,7,Bébée
Gretchen,N,18,Bébée
Gretchen,C,11,Bébée
Gretchen,I,1,Bébée
Gretchen,A,12,Bébée
Gretchen,DC,5,Bébée
Gretchen,DN,3,Bébée
Jeannot,N,55,Bébée
Jeannot,C,10,Bébée
Jeannot,I,13,Bébée
Jeannot,A,43,Bébée
Jeannot,DC,27,Bébée
Jeannot,DN,5,Bébée
Jesus,N,3,Bébée
Jesus,C,0,Bébée
Jesus,I,0,Bébée
Jesus,A,3,Bébée
Jesus,DC,0,Bébée
Jesus,DN,1,Bébée
John,N,3,Bébée
John,C,0,Bébée
John,I,1,Bébée
John,A,2,Bébée
John,DC,0,Bébée
John,DN,1,Bébée
Jules,N,4,Bébée
Jules,C,0,Bébée
Jules,I,1,Bébée
Jules,A,4,Bébée
Jules,DC,2,Bébée
Jules,DN,0,Bébée
Lisa,N,12,Bébée
Lisa,C,5,Bébée
Lisa,I,7,Bébée
Lisa,A,3,Bébée
Lisa,DC,4,Bébée
Lisa,DN,0,Bébée
Mary,N,8,Bébée
Mary,C,0,Bébée
Mary,I,1,Bébée
Mary,A,4,Bébée
Mary,DC,6,Bébée
Mary,DN,1,Bébée
Mère Krebs,N,15,Bébée
Mère Krebs,C,1,Bébée
Mère Krebs,I,1,Bébée
Mère Krebs,A,10,Bébée
Mère Krebs,DC,2,Bébée
Mère Krebs,DN,2,Bébée
Old Gran'mère Bishot,N,1,Bébée
Old Gran'mère Bishot,C,1,Bébée
Old Gran'mère Bishot,I,0,Bébée
Old Gran'mère Bishot,A,1,Bébée
Old Gran'mère Bishot,DC,0,Bébée
Old Gran'mère Bishot,DN,0,Bébée
Phryne,N,11,Bébée
Phryne,C,0,Bébée
Phryne,I,0,Bébée
Phryne,A,3,Bébée
Phryne,DC,0,Bébée
Phryne,DN,0,Bébée
Psyche,N,2,Bébée
Psyche,C,0,Bébée
Psyche,I,3,Bébée
Psyche,A,4,Bébée
Psyche,DC,0,Bébée
Psyche,DN,1,Bébée
Reine,N,6,Bébée
Reine,C,6,Bébée
Reine,I,1,Bébée
Reine,A,2,Bébée
Reine,DC,2,Bébée
Reine,DN,0,Bébée
Rubes,N,9,Bébée
Rubes,C,0,Bébée
Rubes,I,0,Bébée
Rubes,A,0,Bébée
Rubes,DC,3,Bébée
Rubes,DN,1,Bébée
Scheffer,N,7,Bébée
Scheffer,C,0,Bébée
Scheffer,I,2,Bébée
Scheffer,A,1,Bébée
Scheffer,DC,1,Bébée
Scheffer,DN,0,Bébée
Sun,N,3,Bébée
Sun,C,0,Bébée
Sun,I,0,Bébée
Sun,A,3,Bébée
Sun,DC,2,Bébée
Sun,DN,0,Bébée
Tambour,N,2,Bébée
Tambour,C,0,Bébée
Tambour,I,0,Bébée
Tambour,A,0,Bébée
Tambour,DC,0,Bébée
Tambour,DN,0,Bébée
Trine,N,4,Bébée
Trine,C,3,Bébée
Trine,I,3,Bébée
Trine,A,2,Bébée
Trine,DC,0,Bébée
Trine,DN,2,Bébée
Varnhart,N,5,Bébée
Varnhart,C,0,Bébée
Varnhart,I,0,Bébée
Varnhart,A,1,Bébée
Varnhart,DC,2,Bébée
Varnhart,DN,0,Bébée
old Jehan,N,13,Bébée
old Jehan,C,2,Bébée
old Jehan,I,1,Bébée
old Jehan,A,9,Bébée
old Jehan,DC,4,Bébée
old Jehan,DN,0,Bébée
the Broodhuis,N,8,Bébée
the Broodhuis,C,0,Bébée
the Broodhuis,I,0,Bébée
the Broodhuis,A,1,Bébée
the Broodhuis,DC,1,Bébée
the Broodhuis,DN,0,Bébée
