character,tag,count,novel
Alice,N,1697,Can_You_Forgive_Her
Alice,C,967,Can_You_Forgive_Her
Alice,I,1398,Can_You_Forgive_Her
Alice,A,1593,Can_You_Forgive_Her
Alice,DC,649,Can_You_Forgive_Her
Alice,DN,341,Can_You_Forgive_Her
Alice Macleod,N,2,Can_You_Forgive_Her
Alice Macleod,C,0,Can_You_Forgive_Her
Alice Macleod,I,1,Can_You_Forgive_Her
Alice Macleod,A,4,Can_You_Forgive_Her
Alice Macleod,DC,0,Can_You_Forgive_Her
Alice Macleod,DN,0,Can_You_Forgive_Her
"Alice,--""I",N,1,Can_You_Forgive_Her
"Alice,--""I",C,7,Can_You_Forgive_Her
"Alice,--""I",I,3,Can_You_Forgive_Her
"Alice,--""I",A,2,Can_You_Forgive_Her
"Alice,--""I",DC,0,Can_You_Forgive_Her
"Alice,--""I",DN,0,Can_You_Forgive_Her
"Alice,--if",N,1,Can_You_Forgive_Her
"Alice,--if",C,0,Can_You_Forgive_Her
"Alice,--if",I,2,Can_You_Forgive_Her
"Alice,--if",A,1,Can_You_Forgive_Her
"Alice,--if",DC,0,Can_You_Forgive_Her
"Alice,--if",DN,0,Can_You_Forgive_Her
Alice--,N,2,Can_You_Forgive_Her
Alice--,C,0,Can_You_Forgive_Her
Alice--,I,1,Can_You_Forgive_Her
Alice--,A,3,Can_You_Forgive_Her
Alice--,DC,5,Can_You_Forgive_Her
Alice--,DN,0,Can_You_Forgive_Her
Arabella,N,16,Can_You_Forgive_Her
Arabella,C,0,Can_You_Forgive_Her
Arabella,I,3,Can_You_Forgive_Her
Arabella,A,8,Can_You_Forgive_Her
Arabella,DC,2,Can_You_Forgive_Her
Arabella,DN,2,Can_You_Forgive_Her
Athenian,N,1,Can_You_Forgive_Her
Athenian,C,0,Can_You_Forgive_Her
Athenian,I,1,Can_You_Forgive_Her
Athenian,A,2,Can_You_Forgive_Her
Athenian,DC,4,Can_You_Forgive_Her
Athenian,DN,0,Can_You_Forgive_Her
Auld Reekie,N,8,Can_You_Forgive_Her
Auld Reekie,C,0,Can_You_Forgive_Her
Auld Reekie,I,0,Can_You_Forgive_Her
Auld Reekie,A,2,Can_You_Forgive_Her
Auld Reekie,DC,0,Can_You_Forgive_Her
Auld Reekie,DN,1,Can_You_Forgive_Her
Aunt Greenow,N,28,Can_You_Forgive_Her
Aunt Greenow,C,4,Can_You_Forgive_Her
Aunt Greenow,I,6,Can_You_Forgive_Her
Aunt Greenow,A,19,Can_You_Forgive_Her
Aunt Greenow,DC,44,Can_You_Forgive_Her
Aunt Greenow,DN,3,Can_You_Forgive_Her
Aunt Macleod,N,3,Can_You_Forgive_Her
Aunt Macleod,C,0,Can_You_Forgive_Her
Aunt Macleod,I,4,Can_You_Forgive_Her
Aunt Macleod,A,6,Can_You_Forgive_Her
Aunt Macleod,DC,8,Can_You_Forgive_Her
Aunt Macleod,DN,0,Can_You_Forgive_Her
Baker,N,4,Can_You_Forgive_Her
Baker,C,1,Can_You_Forgive_Her
Baker,I,0,Can_You_Forgive_Her
Baker,A,4,Can_You_Forgive_Her
Baker,DC,4,Can_You_Forgive_Her
Baker,DN,0,Can_You_Forgive_Her
Basle,N,6,Can_You_Forgive_Her
Basle,C,0,Can_You_Forgive_Her
Basle,I,0,Can_You_Forgive_Her
Basle,A,0,Can_You_Forgive_Her
Basle,DC,2,Can_You_Forgive_Her
Basle,DN,0,Can_You_Forgive_Her
Bat,N,21,Can_You_Forgive_Her
Bat,C,14,Can_You_Forgive_Her
Bat,I,8,Can_You_Forgive_Her
Bat,A,11,Can_You_Forgive_Her
Bat,DC,2,Can_You_Forgive_Her
Bat,DN,1,Can_You_Forgive_Her
Bellfield,N,11,Can_You_Forgive_Her
Bellfield,C,4,Can_You_Forgive_Her
Bellfield,I,1,Can_You_Forgive_Her
Bellfield,A,12,Can_You_Forgive_Her
Bellfield,DC,8,Can_You_Forgive_Her
Bellfield,DN,1,Can_You_Forgive_Her
Burgo,N,295,Can_You_Forgive_Her
Burgo,C,193,Can_You_Forgive_Her
Burgo,I,237,Can_You_Forgive_Her
Burgo,A,381,Can_You_Forgive_Her
Burgo,DC,119,Can_You_Forgive_Her
Burgo,DN,68,Can_You_Forgive_Her
"Burgo--""very",N,1,Can_You_Forgive_Her
"Burgo--""very",C,2,Can_You_Forgive_Her
"Burgo--""very",I,0,Can_You_Forgive_Her
"Burgo--""very",A,1,Can_You_Forgive_Her
"Burgo--""very",DC,0,Can_You_Forgive_Her
"Burgo--""very",DN,0,Can_You_Forgive_Her
Calder Jones,N,44,Can_You_Forgive_Her
Calder Jones,C,26,Can_You_Forgive_Her
Calder Jones,I,9,Can_You_Forgive_Her
Calder Jones,A,23,Can_You_Forgive_Her
Calder Jones,DC,6,Can_You_Forgive_Her
Calder Jones,DN,3,Can_You_Forgive_Her
Captain Bellfield,N,222,Can_You_Forgive_Her
Captain Bellfield,C,99,Can_You_Forgive_Her
Captain Bellfield,I,89,Can_You_Forgive_Her
Captain Bellfield,A,178,Can_You_Forgive_Her
Captain Bellfield,DC,110,Can_You_Forgive_Her
Captain Bellfield,DN,38,Can_You_Forgive_Her
Charlie,N,73,Can_You_Forgive_Her
Charlie,C,22,Can_You_Forgive_Her
Charlie,I,21,Can_You_Forgive_Her
Charlie,A,30,Can_You_Forgive_Her
Charlie,DC,29,Can_You_Forgive_Her
Charlie,DN,9,Can_You_Forgive_Her
Cheesy,N,12,Can_You_Forgive_Her
