character,tag,count,novel
Adelaide Rebekah,N,15,Daniel_Deronda
Adelaide Rebekah,C,1,Daniel_Deronda
Adelaide Rebekah,I,2,Daniel_Deronda
Adelaide Rebekah,A,2,Daniel_Deronda
Adelaide Rebekah,DC,1,Daniel_Deronda
Adelaide Rebekah,DN,2,Daniel_Deronda
Alice,N,12,Daniel_Deronda
Alice,C,2,Daniel_Deronda
Alice,I,2,Daniel_Deronda
Alice,A,5,Daniel_Deronda
Alice,DC,7,Daniel_Deronda
Alice,DN,2,Daniel_Deronda
Amy,N,30,Daniel_Deronda
Amy,C,33,Daniel_Deronda
Amy,I,9,Daniel_Deronda
Amy,A,4,Daniel_Deronda
Amy,DC,8,Daniel_Deronda
Amy,DN,1,Daniel_Deronda
Anna,N,112,Daniel_Deronda
Anna,C,46,Daniel_Deronda
Anna,I,51,Daniel_Deronda
Anna,A,61,Daniel_Deronda
Anna,DC,52,Daniel_Deronda
Anna,DN,14,Daniel_Deronda
BROWNING,N,2,Daniel_Deronda
BROWNING,C,2,Daniel_Deronda
BROWNING,I,1,Daniel_Deronda
BROWNING,A,0,Daniel_Deronda
BROWNING,DC,0,Daniel_Deronda
BROWNING,DN,0,Daniel_Deronda
Baruch Spinoza,N,3,Daniel_Deronda
Baruch Spinoza,C,0,Daniel_Deronda
Baruch Spinoza,I,1,Daniel_Deronda
Baruch Spinoza,A,3,Daniel_Deronda
Baruch Spinoza,DC,3,Daniel_Deronda
Baruch Spinoza,DN,0,Daniel_Deronda
Berenice,N,12,Daniel_Deronda
Berenice,C,1,Daniel_Deronda
Berenice,I,4,Daniel_Deronda
Berenice,A,13,Daniel_Deronda
Berenice,DC,30,Daniel_Deronda
Berenice,DN,0,Daniel_Deronda
Bertha,N,4,Daniel_Deronda
Bertha,C,0,Daniel_Deronda
Bertha,I,1,Daniel_Deronda
Bertha,A,1,Daniel_Deronda
Bertha,DC,0,Daniel_Deronda
Bertha,DN,0,Daniel_Deronda
Buchan,N,5,Daniel_Deronda
Buchan,C,4,Daniel_Deronda
Buchan,I,1,Daniel_Deronda
Buchan,A,2,Daniel_Deronda
Buchan,DC,1,Daniel_Deronda
Buchan,DN,2,Daniel_Deronda
Buddha,N,4,Daniel_Deronda
Buddha,C,0,Daniel_Deronda
Buddha,I,1,Daniel_Deronda
Buddha,A,4,Daniel_Deronda
Buddha,DC,5,Daniel_Deronda
Buddha,DN,0,Daniel_Deronda
Bugle,N,4,Daniel_Deronda
Bugle,C,1,Daniel_Deronda
Bugle,I,1,Daniel_Deronda
Bugle,A,1,Daniel_Deronda
Bugle,DC,1,Daniel_Deronda
Bugle,DN,0,Daniel_Deronda
Byron,N,3,Daniel_Deronda
Byron,C,0,Daniel_Deronda
Byron,I,0,Daniel_Deronda
Byron,A,1,Daniel_Deronda
Byron,DC,1,Daniel_Deronda
Byron,DN,0,Daniel_Deronda
Catherine,N,43,Daniel_Deronda
Catherine,C,35,Daniel_Deronda
Catherine,I,28,Daniel_Deronda
