character,tag,count,novel
Alice,N,17,Deerbrook
Alice,C,3,Deerbrook
Alice,I,1,Deerbrook
Alice,A,4,Deerbrook
Alice,DC,5,Deerbrook
Alice,DN,2,Deerbrook
Anna,N,20,Deerbrook
Anna,C,8,Deerbrook
Anna,I,1,Deerbrook
Anna,A,5,Deerbrook
Anna,DC,4,Deerbrook
Anna,DN,1,Deerbrook
Anna Rowland,N,1,Deerbrook
Anna Rowland,C,0,Deerbrook
Anna Rowland,I,1,Deerbrook
Anna Rowland,A,1,Deerbrook
Anna Rowland,DC,0,Deerbrook
Anna Rowland,DN,0,Deerbrook
Anne,N,22,Deerbrook
Anne,C,0,Deerbrook
Anne,I,3,Deerbrook
Anne,A,12,Deerbrook
Anne,DC,21,Deerbrook
Anne,DN,2,Deerbrook
Ben,N,8,Deerbrook
Ben,C,4,Deerbrook
Ben,I,1,Deerbrook
Ben,A,4,Deerbrook
Ben,DC,3,Deerbrook
Ben,DN,1,Deerbrook
Betsy,N,7,Deerbrook
Betsy,C,7,Deerbrook
Betsy,I,10,Deerbrook
Betsy,A,7,Deerbrook
Betsy,DC,6,Deerbrook
Betsy,DN,1,Deerbrook
Brother,N,3,Deerbrook
Brother,C,0,Deerbrook
Brother,I,2,Deerbrook
Brother,A,3,Deerbrook
Brother,DC,8,Deerbrook
Brother,DN,0,Deerbrook
Charles,N,24,Deerbrook
Charles,C,0,Deerbrook
Charles,I,3,Deerbrook
Charles,A,8,Deerbrook
Charles,DC,9,Deerbrook
Charles,DN,1,Deerbrook
"Dear Frank,--Your",N,1,Deerbrook
"Dear Frank,--Your",C,0,Deerbrook
"Dear Frank,--Your",I,3,Deerbrook
"Dear Frank,--Your",A,2,Deerbrook
"Dear Frank,--Your",DC,13,Deerbrook
"Dear Frank,--Your",DN,0,Deerbrook
Deborah Giles,N,7,Deerbrook
Deborah Giles,C,0,Deerbrook
Deborah Giles,I,1,Deerbrook
Deborah Giles,A,1,Deerbrook
Deborah Giles,DC,11,Deerbrook
Deborah Giles,DN,0,Deerbrook
Deerbrook,N,28,Deerbrook
Deerbrook,C,1,Deerbrook
Deerbrook,I,3,Deerbrook
Deerbrook,A,6,Deerbrook
Deerbrook,DC,15,Deerbrook
Deerbrook,DN,2,Deerbrook
Dr Levitt,N,83,Deerbrook
Dr Levitt,C,27,Deerbrook
Dr Levitt,I,35,Deerbrook
Dr Levitt,A,50,Deerbrook
Dr Levitt,DC,41,Deerbrook
Dr Levitt,DN,2,Deerbrook
Edward,N,192,Deerbrook
Edward,C,63,Deerbrook
Edward,I,79,Deerbrook
Edward,A,144,Deerbrook
Edward,DC,97,Deerbrook
Edward,DN,13,Deerbrook
Emily,N,9,Deerbrook
Emily,C,0,Deerbrook
Emily,I,0,Deerbrook
Emily,A,1,Deerbrook
