character,tag,count,novel
Alexander MacStinger,N,14,Dombey_and_Son
Alexander MacStinger,C,0,Dombey_and_Son
Alexander MacStinger,I,0,Dombey_and_Son
Alexander MacStinger,A,6,Dombey_and_Son
Alexander MacStinger,DC,2,Dombey_and_Son
Alexander MacStinger,DN,2,Dombey_and_Son
Alice,N,66,Dombey_and_Son
Alice,C,58,Dombey_and_Son
Alice,I,30,Dombey_and_Son
Alice,A,53,Dombey_and_Son
Alice,DC,7,Dombey_and_Son
Alice,DN,0,Dombey_and_Son
B.A.,N,19,Dombey_and_Son
B.A.,C,1,Dombey_and_Son
B.A.,I,0,Dombey_and_Son
B.A.,A,0,Dombey_and_Son
B.A.,DC,1,Dombey_and_Son
B.A.,DN,0,Dombey_and_Son
Betsey Jane,N,12,Dombey_and_Son
Betsey Jane,C,0,Dombey_and_Son
Betsey Jane,I,0,Dombey_and_Son
Betsey Jane,A,2,Dombey_and_Son
Betsey Jane,DC,15,Dombey_and_Son
Betsey Jane,DN,0,Dombey_and_Son
Biler,N,18,Dombey_and_Son
Biler,C,6,Dombey_and_Son
Biler,I,5,Dombey_and_Son
Biler,A,20,Dombey_and_Son
Biler,DC,11,Dombey_and_Son
Biler,DN,1,Dombey_and_Son
Bill Bitherstone,N,4,Dombey_and_Son
Bill Bitherstone,C,0,Dombey_and_Son
Bill Bitherstone,I,0,Dombey_and_Son
Bill Bitherstone,A,0,Dombey_and_Son
Bill Bitherstone,DC,0,Dombey_and_Son
Bill Bitherstone,DN,0,Dombey_and_Son
Bitherstone,N,5,Dombey_and_Son
Bitherstone,C,1,Dombey_and_Son
Bitherstone,I,2,Dombey_and_Son
Bitherstone,A,3,Dombey_and_Son
Bitherstone,DC,0,Dombey_and_Son
Bitherstone,DN,1,Dombey_and_Son
Briggs,N,27,Dombey_and_Son
Briggs,C,2,Dombey_and_Son
Briggs,I,4,Dombey_and_Son
Briggs,A,10,Dombey_and_Son
Briggs,DC,1,Dombey_and_Son
Briggs,DN,5,Dombey_and_Son
Bunsby,N,104,Dombey_and_Son
Bunsby,C,27,Dombey_and_Son
Bunsby,I,9,Dombey_and_Son
Bunsby,A,47,Dombey_and_Son
Bunsby,DC,6,Dombey_and_Son
Bunsby,DN,11,Dombey_and_Son
Burgess,N,9,Dombey_and_Son
Burgess,C,0,Dombey_and_Son
Burgess,I,1,Dombey_and_Son
Burgess,A,1,Dombey_and_Son
Burgess,DC,4,Dombey_and_Son
Burgess,DN,1,Dombey_and_Son
Captain Cuttle,N,451,Dombey_and_Son
Captain Cuttle,C,105,Dombey_and_Son
Captain Cuttle,I,114,Dombey_and_Son
Captain Cuttle,A,213,Dombey_and_Son
Captain Cuttle,DC,108,Dombey_and_Son
Captain Cuttle,DN,24,Dombey_and_Son
Captain Gills,N,86,Dombey_and_Son
Captain Gills,C,0,Dombey_and_Son
Captain Gills,I,24,Dombey_and_Son
Captain Gills,A,16,Dombey_and_Son
Captain Gills,DC,110,Dombey_and_Son
Captain Gills,DN,2,Dombey_and_Son
Cap’en Cuttle,N,30,Dombey_and_Son
Cap’en Cuttle,C,0,Dombey_and_Son
Cap’en Cuttle,I,5,Dombey_and_Son
Cap’en Cuttle,A,3,Dombey_and_Son
Cap’en Cuttle,DC,26,Dombey_and_Son
Cap’en Cuttle,DN,1,Dombey_and_Son
Cicero,N,7,Dombey_and_Son
Cicero,C,1,Dombey_and_Son
Cicero,I,1,Dombey_and_Son
Cicero,A,1,Dombey_and_Son
Cicero,DC,2,Dombey_and_Son
Cicero,DN,2,Dombey_and_Son
Cincinnatus,N,1,Dombey_and_Son
Cincinnatus,C,0,Dombey_and_Son
Cincinnatus,I,1,Dombey_and_Son
Cincinnatus,A,0,Dombey_and_Son
Cincinnatus,DC,1,Dombey_and_Son
Cincinnatus,DN,0,Dombey_and_Son
Cleopatra,N,91,Dombey_and_Son
Cleopatra,C,88,Dombey_and_Son
Cleopatra,I,22,Dombey_and_Son
Cleopatra,A,54,Dombey_and_Son
Cleopatra,DC,3,Dombey_and_Son
Cleopatra,DN,5,Dombey_and_Son
Co.,N,8,Dombey_and_Son
Co.,C,0,Dombey_and_Son
Co.,I,0,Dombey_and_Son
Co.,A,0,Dombey_and_Son
Co.,DC,3,Dombey_and_Son
Co.,DN,0,Dombey_and_Son
Cook,N,27,Dombey_and_Son
Cook,C,14,Dombey_and_Son
