character,tag,count,novel
Afy,N,286,East_Lynne
Afy,C,229,East_Lynne
Afy,I,174,East_Lynne
Afy,A,232,East_Lynne
Afy,DC,143,East_Lynne
Afy,DN,23,East_Lynne
Alice,N,21,East_Lynne
Alice,C,11,East_Lynne
Alice,I,7,East_Lynne
Alice,A,15,East_Lynne
Alice,DC,10,East_Lynne
Alice,DN,2,East_Lynne
Archibald,N,227,East_Lynne
Archibald,C,3,East_Lynne
Archibald,I,38,East_Lynne
Archibald,A,66,East_Lynne
Archibald,DC,242,East_Lynne
Archibald,DN,5,East_Lynne
Archie,N,8,East_Lynne
Archie,C,1,East_Lynne
Archie,I,2,East_Lynne
Archie,A,1,East_Lynne
Archie,DC,6,East_Lynne
Archie,DN,0,East_Lynne
Arthur,N,7,East_Lynne
Arthur,C,0,East_Lynne
Arthur,I,0,East_Lynne
Arthur,A,1,East_Lynne
Arthur,DC,5,East_Lynne
Arthur,DN,0,East_Lynne
Aunt Cornelia,N,8,East_Lynne
Aunt Cornelia,C,0,East_Lynne
Aunt Cornelia,I,0,East_Lynne
Aunt Cornelia,A,0,East_Lynne
Aunt Cornelia,DC,7,East_Lynne
Aunt Cornelia,DN,0,East_Lynne
Barbara,N,878,East_Lynne
Barbara,C,645,East_Lynne
Barbara,I,469,East_Lynne
Barbara,A,655,East_Lynne
Barbara,DC,390,East_Lynne
Barbara,DN,76,East_Lynne
Barbara Carlyle,N,3,East_Lynne
Barbara Carlyle,C,0,East_Lynne
Barbara Carlyle,I,0,East_Lynne
Barbara Carlyle,A,1,East_Lynne
Barbara Carlyle,DC,0,East_Lynne
Barbara Carlyle,DN,3,East_Lynne
Baron von Stalkenberg,N,5,East_Lynne
Baron von Stalkenberg,C,0,East_Lynne
Baron von Stalkenberg,I,0,East_Lynne
Baron von Stalkenberg,A,0,East_Lynne
Baron von Stalkenberg,DC,0,East_Lynne
Baron von Stalkenberg,DN,3,East_Lynne
Beauchamp,N,14,East_Lynne
Beauchamp,C,0,East_Lynne
Beauchamp,I,0,East_Lynne
Beauchamp,A,1,East_Lynne
Beauchamp,DC,11,East_Lynne
Beauchamp,DN,1,East_Lynne
Beloved,N,1,East_Lynne
Beloved,C,2,East_Lynne
Beloved,I,1,East_Lynne
Beloved,A,1,East_Lynne
Beloved,DC,0,East_Lynne
Beloved,DN,0,East_Lynne
Benjamin,N,13,East_Lynne
Benjamin,C,0,East_Lynne
Benjamin,I,1,East_Lynne
Benjamin,A,7,East_Lynne
Benjamin,DC,8,East_Lynne
Benjamin,DN,0,East_Lynne
Bethel,N,29,East_Lynne
Bethel,C,5,East_Lynne
Bethel,I,6,East_Lynne
Bethel,A,21,East_Lynne
Bethel,DC,39,East_Lynne
Bethel,DN,2,East_Lynne
Bezant,N,5,East_Lynne
Bezant,C,0,East_Lynne
Bezant,I,1,East_Lynne
Bezant,A,0,East_Lynne
Bezant,DC,0,East_Lynne
Bezant,DN,1,East_Lynne
Bill White,N,4,East_Lynne
Bill White,C,0,East_Lynne
Bill White,I,0,East_Lynne
Bill White,A,0,East_Lynne
Bill White,DC,4,East_Lynne
Bill White,DN,0,East_Lynne
Blanche,N,38,East_Lynne
Blanche,C,13,East_Lynne
Blanche,I,11,East_Lynne
Blanche,A,17,East_Lynne
Blanche,DC,14,East_Lynne
