character,tag,count,novel
Anne Cox,N,2,Emma
Anne Cox,C,0,Emma
Anne Cox,I,2,Emma
Anne Cox,A,1,Emma
Anne Cox,DC,0,Emma
Anne Cox,DN,1,Emma
Augusta,N,4,Emma
Augusta,C,0,Emma
Augusta,I,0,Emma
Augusta,A,1,Emma
Augusta,DC,2,Emma
Augusta,DN,1,Emma
Captain Weston,N,3,Emma
Captain Weston,C,0,Emma
Captain Weston,I,1,Emma
Captain Weston,A,0,Emma
Captain Weston,DC,0,Emma
Captain Weston,DN,2,Emma
Colonel Campbell,N,38,Emma
Colonel Campbell,C,1,Emma
Colonel Campbell,I,9,Emma
Colonel Campbell,A,11,Emma
Colonel Campbell,DC,27,Emma
Colonel Campbell,DN,2,Emma
Donwell,N,16,Emma
Donwell,C,0,Emma
Donwell,I,1,Emma
Donwell,A,3,Emma
Donwell,DC,5,Emma
Donwell,DN,0,Emma
Elizabeth,N,9,Emma
Elizabeth,C,0,Emma
Elizabeth,I,1,Emma
Elizabeth,A,0,Emma
Elizabeth,DC,5,Emma
Elizabeth,DN,0,Emma
Emma,N,827,Emma
Emma,C,551,Emma
Emma,I,980,Emma
Emma,A,842,Emma
Emma,DC,288,Emma
Emma,DN,189,Emma
Enscombe,N,9,Emma
Enscombe,C,0,Emma
Enscombe,I,1,Emma
Enscombe,A,4,Emma
Enscombe,DC,1,Emma
Enscombe,DN,1,Emma
Frank Churchill,N,222,Emma
Frank Churchill,C,86,Emma
Frank Churchill,I,134,Emma
Frank Churchill,A,228,Emma
Frank Churchill,DC,190,Emma
Frank Churchill,DN,47,Emma
George,N,6,Emma
George,C,0,Emma
George,I,0,Emma
George,A,0,Emma
George,DC,5,Emma
George,DN,0,Emma
Grandpapa,N,1,Emma
Grandpapa,C,0,Emma
Grandpapa,I,2,Emma
Grandpapa,A,1,Emma
Grandpapa,DC,3,Emma
Grandpapa,DN,0,Emma
Hannah,N,2,Emma
Hannah,C,0,Emma
Hannah,I,1,Emma
Hannah,A,3,Emma
Hannah,DC,0,Emma
Hannah,DN,2,Emma
Harriet,N,521,Emma
Harriet,C,140,Emma
Harriet,I,265,Emma
Harriet,A,342,Emma
Harriet,DC,237,Emma
Harriet,DN,114,Emma
Harriet;—“well,N,1,Emma
Harriet;—“well,C,4,Emma
Harriet;—“well,I,0,Emma
Harriet;—“well,A,0,Emma
Harriet;—“well,DC,3,Emma
Harriet;—“well,DN,0,Emma
Henry,N,23,Emma
Henry,C,2,Emma
Henry,I,3,Emma
Henry,A,4,Emma
Henry,DC,17,Emma
Henry,DN,1,Emma
Hetty,N,2,Emma
Hetty,C,0,Emma
Hetty,I,0,Emma
Hetty,A,8,Emma
Hetty,DC,15,Emma
Hetty,DN,0,Emma
Highbury,N,4,Emma
Highbury,C,0,Emma
Highbury,I,2,Emma
Highbury,A,0,Emma
Highbury,DC,1,Emma
Highbury,DN,0,Emma
Isabella,N,68,Emma
Isabella,C,5,Emma
Isabella,I,9,Emma
Isabella,A,25,Emma
Isabella,DC,30,Emma
Isabella,DN,7,Emma
James,N,19,Emma
James,C,1,Emma
James,I,5,Emma
James,A,7,Emma
James,DC,4,Emma
James,DN,1,Emma
Madame de Genlis,N,1,Emma
Madame de Genlis,C,0,Emma
Madame de Genlis,I,0,Emma
Madame de Genlis,A,5,Emma
Madame de Genlis,DC,4,Emma
Madame de Genlis,DN,0,Emma
Miss Bates,N,179,Emma
Miss Bates,C,39,Emma
Miss Bates,I,75,Emma
Miss Bates,A,75,Emma
Miss Bates,DC,90,Emma
Miss Bates,DN,28,Emma
Miss Bickerton,N,3,Emma
Miss Bickerton,C,0,Emma
Miss Bickerton,I,0,Emma
Miss Bickerton,A,1,Emma
Miss Bickerton,DC,0,Emma
Miss Bickerton,DN,0,Emma
Miss Campbell,N,12,Emma
Miss Campbell,C,0,Emma
Miss Campbell,I,1,Emma
Miss Campbell,A,4,Emma
Miss Campbell,DC,8,Emma
Miss Campbell,DN,1,Emma
Miss Churchill,N,4,Emma
Miss Churchill,C,0,Emma
Miss Churchill,I,1,Emma
Miss Churchill,A,0,Emma
Miss Churchill,DC,0,Emma
Miss Churchill,DN,1,Emma
Miss Fairfax,N,333,Emma
Miss Fairfax,C,59,Emma
Miss Fairfax,I,116,Emma
Miss Fairfax,A,187,Emma
Miss Fairfax,DC,237,Emma
Miss Fairfax,DN,40,Emma
Miss Hawkins,N,15,Emma
Miss Hawkins,C,0,Emma
Miss Hawkins,I,1,Emma
Miss Hawkins,A,3,Emma
