character,tag,count,novel
Annie,N,9,Esther_Waters
Annie,C,0,Esther_Waters
Annie,I,6,Esther_Waters
Annie,A,5,Esther_Waters
Annie,DC,9,Esther_Waters
Annie,DN,1,Esther_Waters
Bayleaf,N,6,Esther_Waters
Bayleaf,C,0,Esther_Waters
Bayleaf,I,0,Esther_Waters
Bayleaf,A,1,Esther_Waters
Bayleaf,DC,3,Esther_Waters
Bayleaf,DN,0,Esther_Waters
Ben Jonson,N,16,Esther_Waters
Ben Jonson,C,0,Esther_Waters
Ben Jonson,I,2,Esther_Waters
Ben Jonson,A,21,Esther_Waters
Ben Jonson,DC,41,Esther_Waters
Ben Jonson,DN,0,Esther_Waters
Bill,N,45,Esther_Waters
Bill,C,15,Esther_Waters
Bill,I,19,Esther_Waters
Bill,A,39,Esther_Waters
Bill,DC,66,Esther_Waters
Bill,DN,3,Esther_Waters
Bill Short,N,3,Esther_Waters
Bill Short,C,0,Esther_Waters
Bill Short,I,1,Esther_Waters
Bill Short,A,1,Esther_Waters
Bill Short,DC,3,Esther_Waters
Bill Short,DN,0,Esther_Waters
Bob Barrett,N,4,Esther_Waters
Bob Barrett,C,0,Esther_Waters
Bob Barrett,I,1,Esther_Waters
Bob Barrett,A,4,Esther_Waters
Bob Barrett,DC,15,Esther_Waters
Bob Barrett,DN,0,Esther_Waters
Charles,N,20,Esther_Waters
Charles,C,5,Esther_Waters
Charles,I,4,Esther_Waters
Charles,A,15,Esther_Waters
Charles,DC,15,Esther_Waters
Charles,DN,0,Esther_Waters
Chasuble,N,14,Esther_Waters
Chasuble,C,0,Esther_Waters
Chasuble,I,0,Esther_Waters
Chasuble,A,10,Esther_Waters
Chasuble,DC,7,Esther_Waters
Chasuble,DN,1,Esther_Waters
Chifney,N,1,Esther_Waters
Chifney,C,0,Esther_Waters
Chifney,I,3,Esther_Waters
Chifney,A,5,Esther_Waters
Chifney,DC,8,Esther_Waters
Chifney,DN,1,Esther_Waters
Christ,N,18,Esther_Waters
Christ,C,0,Esther_Waters
Christ,I,0,Esther_Waters
Christ,A,7,Esther_Waters
Christ,DC,15,Esther_Waters
Christ,DN,0,Esther_Waters
Counsel,N,2,Esther_Waters
Counsel,C,0,Esther_Waters
Counsel,I,1,Esther_Waters
Counsel,A,1,Esther_Waters
Counsel,DC,0,Esther_Waters
Counsel,DN,0,Esther_Waters
Elliot,N,4,Esther_Waters
Elliot,C,0,Esther_Waters
Elliot,I,2,Esther_Waters
Elliot,A,4,Esther_Waters
Elliot,DC,0,Esther_Waters
Elliot,DN,1,Esther_Waters
Esther,N,1050,Esther_Waters
Esther,C,754,Esther_Waters
Esther,I,1083,Esther_Waters
Esther,A,1561,Esther_Waters
Esther,DC,498,Esther_Waters
Esther,DN,196,Esther_Waters
Father,N,10,Esther_Waters
Father,C,0,Esther_Waters
Father,I,5,Esther_Waters
Father,A,11,Esther_Waters
Father,DC,10,Esther_Waters
Father,DN,1,Esther_Waters
Fly - leaf,N,5,Esther_Waters
Fly - leaf,C,0,Esther_Waters
Fly - leaf,I,0,Esther_Waters
Fly - leaf,A,1,Esther_Waters
Fly - leaf,DC,0,Esther_Waters
Fly - leaf,DN,0,Esther_Waters
Fred,N,95,Esther_Waters
Fred,C,78,Esther_Waters
Fred,I,67,Esther_Waters
Fred,A,101,Esther_Waters
Fred,DC,47,Esther_Waters
Fred,DN,18,Esther_Waters
God,N,49,Esther_Waters
God,C,4,Esther_Waters
God,I,10,Esther_Waters
God,A,14,Esther_Waters
God,DC,31,Esther_Waters
God,DN,1,Esther_Waters
Grover,N,25,Esther_Waters
Grover,C,2,Esther_Waters
Grover,I,0,Esther_Waters
Grover,A,6,Esther_Waters
Grover,DC,4,Esther_Waters
Grover,DN,0,Esther_Waters
Herbert,N,7,Esther_Waters
Herbert,C,1,Esther_Waters
Herbert,I,0,Esther_Waters
Herbert,A,9,Esther_Waters
Herbert,DC,3,Esther_Waters
Herbert,DN,3,Esther_Waters
Jack,N,81,Esther_Waters
Jack,C,10,Esther_Waters
Jack,I,26,Esther_Waters
Jack,A,61,Esther_Waters
Jack,DC,45,Esther_Waters
Jack,DN,11,Esther_Waters
Jackie,N,57,Esther_Waters
Jackie,C,12,Esther_Waters
Jackie,I,18,Esther_Waters
Jackie,A,35,Esther_Waters
Jackie,DC,36,Esther_Waters
Jackie,DN,5,Esther_Waters
Jane,N,5,Esther_Waters
Jane,C,4,Esther_Waters
Jane,I,0,Esther_Waters
Jane,A,1,Esther_Waters
Jane,DC,3,Esther_Waters
Jane,DN,0,Esther_Waters
Jenny,N,94,Esther_Waters
Jenny,C,53,Esther_Waters
Jenny,I,48,Esther_Waters
Jenny,A,65,Esther_Waters
Jenny,DC,61,Esther_Waters
Jenny,DN,5,Esther_Waters
Jim,N,60,Esther_Waters
Jim,C,38,Esther_Waters
Jim,I,34,Esther_Waters
Jim,A,50,Esther_Waters
Jim,DC,46,Esther_Waters
Jim,DN,7,Esther_Waters
Joey,N,5,Esther_Waters
Joey,C,0,Esther_Waters
Joey,I,0,Esther_Waters
Joey,A,2,Esther_Waters
Joey,DC,0,Esther_Waters
Joey,DN,0,Esther_Waters
John Waters,N,6,Esther_Waters
John Waters,C,0,Esther_Waters
John Waters,I,1,Esther_Waters
John Waters,A,6,Esther_Waters
John Waters,DC,0,Esther_Waters
John Waters,DN,0,Esther_Waters
Journeyman,N,68,Esther_Waters
Journeyman,C,57,Esther_Waters
Journeyman,I,36,Esther_Waters
Journeyman,A,34,Esther_Waters
Journeyman,DC,19,Esther_Waters
Journeyman,DN,4,Esther_Waters
Julia,N,20,Esther_Waters
Julia,C,9,Esther_Waters
Julia,I,1,Esther_Waters
Julia,A,8,Esther_Waters
Julia,DC,8,Esther_Waters
Julia,DN,0,Esther_Waters
Ketley,N,52,Esther_Waters
Ketley,C,22,Esther_Waters
Ketley,I,19,Esther_Waters
Ketley,A,39,Esther_Waters
Ketley,DC,21,Esther_Waters
Ketley,DN,6,Esther_Waters
Lady Elwin,N,5,Esther_Waters
Lady Elwin,C,0,Esther_Waters
Lady Elwin,I,1,Esther_Waters
Lady Elwin,A,1,Esther_Waters
Lady Elwin,DC,0,Esther_Waters
Lady Elwin,DN,0,Esther_Waters
Lord,N,2,Esther_Waters
Lord,C,0,Esther_Waters
Lord,I,1,Esther_Waters
Lord,A,2,Esther_Waters
Lord,DC,2,Esther_Waters
Lord,DN,0,Esther_Waters
Mahomet,N,4,Esther_Waters
Mahomet,C,0,Esther_Waters
Mahomet,I,1,Esther_Waters
Mahomet,A,4,Esther_Waters
Mahomet,DC,6,Esther_Waters
Mahomet,DN,0,Esther_Waters
Margaret,N,65,Esther_Waters
Margaret,C,52,Esther_Waters
Margaret,I,33,Esther_Waters
Margaret,A,52,Esther_Waters
Margaret,DC,14,Esther_Waters
Margaret,DN,8,Esther_Waters
Master Harry,N,11,Esther_Waters
Master Harry,C,2,Esther_Waters
Master Harry,I,10,Esther_Waters
Master Harry,A,11,Esther_Waters
Master Harry,DC,13,Esther_Waters
Master Harry,DN,0,Esther_Waters
Miss Mary,N,21,Esther_Waters
Miss Mary,C,5,Esther_Waters
Miss Mary,I,4,Esther_Waters
Miss Mary,A,11,Esther_Waters
Miss Mary,DC,4,Esther_Waters
Miss Mary,DN,2,Esther_Waters
Miss Rice,N,38,Esther_Waters
Miss Rice,C,73,Esther_Waters
Miss Rice,I,57,Esther_Waters
Miss Rice,A,79,Esther_Waters
Miss Rice,DC,9,Esther_Waters
Miss Rice,DN,5,Esther_Waters
Mother,N,8,Esther_Waters
Mother,C,0,Esther_Waters
Mother,I,1,Esther_Waters
Mother,A,5,Esther_Waters
Mother,DC,13,Esther_Waters
Mother,DN,0,Esther_Waters
Mr. Alden,N,12,Esther_Waters
Mr. Alden,C,20,Esther_Waters
Mr. Alden,I,11,Esther_Waters
Mr. Alden,A,12,Esther_Waters
Mr. Alden,DC,2,Esther_Waters
Mr. Alden,DN,2,Esther_Waters
Mr. Arthur,N,13,Esther_Waters
Mr. Arthur,C,5,Esther_Waters
Mr. Arthur,I,18,Esther_Waters
Mr. Arthur,A,11,Esther_Waters
Mr. Arthur,DC,8,Esther_Waters
Mr. Arthur,DN,2,Esther_Waters
Mr. Barfield,N,5,Esther_Waters
Mr. Barfield,C,0,Esther_Waters
Mr. Barfield,I,1,Esther_Waters
Mr. Barfield,A,1,Esther_Waters
Mr. Barfield,DC,1,Esther_Waters
Mr. Barfield,DN,1,Esther_Waters
Mr. Blamy,N,3,Esther_Waters
Mr. Blamy,C,1,Esther_Waters
Mr. Blamy,I,0,Esther_Waters
Mr. Blamy,A,4,Esther_Waters
Mr. Blamy,DC,0,Esther_Waters
Mr. Blamy,DN,0,Esther_Waters
Mr. Leopold,N,157,Esther_Waters
Mr. Leopold,C,73,Esther_Waters
Mr. Leopold,I,54,Esther_Waters
Mr. Leopold,A,85,Esther_Waters
Mr. Leopold,DC,42,Esther_Waters
Mr. Leopold,DN,13,Esther_Waters
Mr. Randal,N,6,Esther_Waters
Mr. Randal,C,1,Esther_Waters
Mr. Randal,I,4,Esther_Waters
Mr. Randal,A,5,Esther_Waters
Mr. Randal,DC,3,Esther_Waters
Mr. Randal,DN,0,Esther_Waters
Mr. Swindles,N,30,Esther_Waters
Mr. Swindles,C,21,Esther_Waters
Mr. Swindles,I,11,Esther_Waters
Mr. Swindles,A,20,Esther_Waters
Mr. Swindles,DC,5,Esther_Waters
Mr. Swindles,DN,0,Esther_Waters
Mr. Thomas,N,2,Esther_Waters
Mr. Thomas,C,0,Esther_Waters
Mr. Thomas,I,0,Esther_Waters
Mr. Thomas,A,1,Esther_Waters
