character,tag,count,novel
Abel Sampson,N,7,Guy_Mannering
Abel Sampson,C,3,Guy_Mannering
Abel Sampson,I,1,Guy_Mannering
Abel Sampson,A,2,Guy_Mannering
Abel Sampson,DC,0,Guy_Mannering
Abel Sampson,DN,0,Guy_Mannering
Ailie,N,16,Guy_Mannering
Ailie,C,13,Guy_Mannering
Ailie,I,0,Guy_Mannering
Ailie,A,9,Guy_Mannering
Ailie,DC,2,Guy_Mannering
Ailie,DN,1,Guy_Mannering
Archer,N,4,Guy_Mannering
Archer,C,0,Guy_Mannering
Archer,I,0,Guy_Mannering
Archer,A,2,Guy_Mannering
Archer,DC,3,Guy_Mannering
Archer,DN,0,Guy_Mannering
Arthur Mervyn,N,6,Guy_Mannering
Arthur Mervyn,C,0,Guy_Mannering
Arthur Mervyn,I,1,Guy_Mannering
Arthur Mervyn,A,0,Guy_Mannering
Arthur Mervyn,DC,2,Guy_Mannering
Arthur Mervyn,DN,0,Guy_Mannering
Aweel,N,21,Guy_Mannering
Aweel,C,0,Guy_Mannering
Aweel,I,2,Guy_Mannering
Aweel,A,5,Guy_Mannering
Aweel,DC,11,Guy_Mannering
Aweel,DN,2,Guy_Mannering
Ay,N,7,Guy_Mannering
Ay,C,0,Guy_Mannering
Ay,I,0,Guy_Mannering
Ay,A,0,Guy_Mannering
Ay,DC,3,Guy_Mannering
Ay,DN,0,Guy_Mannering
Bargally,N,7,Guy_Mannering
Bargally,C,0,Guy_Mannering
Bargally,I,1,Guy_Mannering
Bargally,A,0,Guy_Mannering
Bargally,DC,0,Guy_Mannering
Bargally,DN,0,Guy_Mannering
Barnes,N,18,Guy_Mannering
Barnes,C,0,Guy_Mannering
Barnes,I,1,Guy_Mannering
Barnes,A,8,Guy_Mannering
Barnes,DC,3,Guy_Mannering
Barnes,DN,2,Guy_Mannering
Bertram,N,102,Guy_Mannering
Bertram,C,36,Guy_Mannering
Bertram,I,30,Guy_Mannering
Bertram,A,53,Guy_Mannering
Bertram,DC,28,Guy_Mannering
Bertram,DN,10,Guy_Mannering
Blackwood,N,6,Guy_Mannering
